'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:11:51.432',0.083,-,-,0.085,81.600
'14:11:51.440',0.083,-,-,0.113,80.000
'14:11:51.448',0.083,-,-,0.113,80.000
'14:11:51.456',0.083,-,-,0.085,80.000
'14:11:51.464',0.069,-,-,0.085,80.000
'14:11:51.472',0.069,-,-,0.070,79.200
'14:11:51.480',0.069,-,-,0.056,79.200
'14:11:51.488',0.056,-,-,0.085,79.200
'14:11:51.496',0.056,-,-,0.070,78.400
'14:11:51.504',0.069,-,-,0.056,77.600
'14:11:51.512',0.069,-,-,0.085,77.600
'14:11:51.520',0.069,-,-,0.113,76.800
'14:11:51.528',0.069,-,-,0.085,76.000
'14:11:51.536',0.069,-,-,0.085,76.000
'14:11:51.544',0.069,-,-,0.085,75.200
'14:11:51.552',0.069,-,-,0.113,74.400
'14:11:51.560',0.056,-,-,0.085,73.600
'14:11:51.568',0.097,-,-,0.127,73.600
'14:11:51.576',0.264,-,-,0.296,72.800
'14:11:51.584',0.486,-,-,0.465,72.000
'14:11:51.592',0.528,-,-,0.507,71.200
'14:11:51.600',0.264,-,-,-0.085,70.400
'14:11:51.608',0.056,-,-,-0.310,69.600
'14:11:51.616',-0.056,-,-,-0.254,69.600
'14:11:51.624',-0.125,-,-,-0.169,68.800
'14:11:51.632',-0.125,-,-,-0.042,68.000
'14:11:51.640',-0.069,-,-,0.000,68.000
'14:11:51.648',-0.069,-,-,0.028,67.200
'14:11:51.656',-0.083,-,-,0.000,66.400
'14:11:51.664',-0.097,-,-,0.000,65.600
'14:11:51.672',-0.083,-,-,0.000,65.600
'14:11:51.680',-0.083,-,-,-0.014,64.800
'14:11:51.688',-0.097,-,-,-0.028,64.800
'14:11:51.696',-0.097,-,-,-0.014,65.600
'14:11:51.704',-0.097,-,-,-0.028,68.800
'14:11:51.712',-0.097,-,-,-0.014,75.200
'14:11:51.720',-0.097,-,-,-0.028,85.600
'14:11:51.728',-0.125,-,-,-0.042,97.600
'14:11:51.736',-0.139,-,-,-0.070,109.600
'14:11:51.744',-0.139,-,-,-0.042,118.400
'14:11:51.752',-0.153,-,-,-0.070,123.200
'14:11:51.760',-0.167,-,-,-0.085,124.000
'14:11:51.768',-0.167,-,-,-0.113,123.200
'14:11:51.776',-0.181,-,-,-0.127,120.800
'14:11:51.784',-0.167,-,-,-0.141,118.400
'14:11:51.792',-0.181,-,-,-0.127,116.800
'14:11:51.800',-0.167,-,-,-0.141,115.200
'14:11:51.808',-0.153,-,-,-0.141,113.600
'14:11:51.816',-0.153,-,-,-0.141,112.000
'14:11:51.824',-0.125,-,-,-0.127,110.400
'14:11:51.832',-0.083,-,-,-0.141,108.800
'14:11:51.840',-0.069,-,-,-0.113,106.400
'14:11:51.848',-0.056,-,-,-0.085,104.800
'14:11:51.856',-0.028,-,-,-0.056,102.400
'14:11:51.864',0.000,-,-,-0.028,100.000
'14:11:51.872',0.000,-,-,-0.014,96.800
'14:11:51.880',0.014,-,-,0.000,93.600
'14:11:51.888',0.028,-,-,0.028,90.400
'14:11:51.896',0.028,-,-,0.042,87.200
'14:11:51.904',0.042,-,-,0.056,84.800
'14:11:51.912',0.056,-,-,0.070,82.400
'14:11:51.920',0.069,-,-,0.113,80.800
'14:11:51.928',0.069,-,-,0.113,80.800
