'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:25:00.832',0.308,-,-,-0.475,92.760,32.800
'38:25:00.840',0.115,-,-,-0.178,89.520,34.800
'38:25:00.848',0.038,-,-,-0.030,86.280,35.200
'38:25:00.856',0.038,-,-,0.000,83.880,33.200
'38:25:00.864',0.038,-,-,-0.030,81.480,30.400
'38:25:00.872',0.038,-,-,-0.030,80.760,28.000
'38:25:00.880',0.029,-,-,-0.069,79.920,28.000
'38:25:00.888',0.029,-,-,-0.069,80.760,31.600
'38:25:00.896',0.029,-,-,-0.069,83.160,40.000
'38:25:00.904',0.038,-,-,-0.069,86.280,49.200
'38:25:00.912',0.048,-,-,-0.069,91.080,55.600
'38:25:00.920',0.048,-,-,-0.069,95.880,58.000
'38:25:00.928',0.048,-,-,-0.069,101.520,57.600
'38:25:00.936',0.048,-,-,-0.109,106.320,56.000
'38:25:00.944',0.058,-,-,-0.109,110.280,54.400
'38:25:00.952',0.058,-,-,-0.109,114.360,53.600
'38:25:00.960',0.058,-,-,-0.109,116.760,54.400
'38:25:00.968',0.067,-,-,-0.139,117.480,56.400
'38:25:00.976',0.067,-,-,-0.139,118.320,58.800
'38:25:00.984',0.077,-,-,-0.109,118.320,60.800
'38:25:00.992',0.077,-,-,-0.139,119.160,61.600
'38:25:01.000',0.087,-,-,-0.139,119.160,61.200
'38:25:01.008',0.087,-,-,-0.139,119.160,60.000
'38:25:01.016',0.096,-,-,-0.139,120.720,59.200
'38:25:01.024',0.115,-,-,-0.139,123.120,58.800
'38:25:01.032',0.115,-,-,-0.139,126.360,58.800
'38:25:01.040',0.058,-,-,-0.109,129.480,59.600
'38:25:01.048',0.029,-,-,-0.069,131.160,60.400
'38:25:01.056',0.038,-,-,-0.069,131.160,60.800
'38:25:01.064',0.019,-,-,-0.069,129.480,60.400
'38:25:01.072',-0.038,-,-,-0.030,127.080,59.200
'38:25:01.080',-0.077,-,-,0.000,123.960,57.600
'38:25:01.088',-0.096,-,-,0.000,120.720,55.600
'38:25:01.096',-0.087,-,-,0.000,116.760,54.000
'38:25:01.104',-0.077,-,-,0.000,113.520,52.800
'38:25:01.112',-0.077,-,-,0.000,110.280,52.000
