'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'58:28.760',-,-,-,-,-,-,0.504,0.464,90.000,-
'58:28.768',-,-,-,-,-,-,0.552,0.528,88.800,-
'58:28.776',-,-,-,-,-,-,0.552,0.552,86.400,-
'58:28.784',-,-,-,-,-,-,0.504,0.504,85.200,-
'58:28.792',-,-,-,-,-,-,0.440,0.464,84.000,-
'58:28.800',-,-,-,-,-,-,0.336,0.344,81.600,-
'58:28.808',-,-,-,-,-,-,0.248,0.232,79.200,-
'58:28.816',-,-,-,-,-,-,0.184,0.184,75.600,-
'58:28.824',-,-,-,-,-,-,0.144,0.136,73.200,-
'58:28.832',-,-,-,-,-,-,0.080,0.088,70.800,-
'58:28.840',-,-,-,-,-,-,0.040,0.040,69.600,-
'58:28.848',-,-,-,-,-,-,0.000,0.000,69.600,-
'58:28.856',-,-,-,-,-,-,-0.016,-0.040,68.400,-
'58:28.864',-,-,-,-,-,-,-0.016,-0.040,67.200,-
'58:28.872',-,-,-,-,-,-,0.000,-0.016,67.200,-
'58:28.880',-,-,-,-,-,-,-0.016,-0.040,66.000,-
'58:28.888',-,-,-,-,-,-,-0.040,-0.040,66.000,-
'58:28.896',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'58:28.904',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'58:28.912',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'58:28.920',-,-,-,-,-,-,-0.056,-0.088,63.600,-
'58:28.928',-,-,-,-,-,-,-0.056,-0.112,63.600,-
'58:28.936',-,-,-,-,-,-,-0.056,-0.064,62.400,-
'58:28.944',-,-,-,-,-,-,-0.056,-0.040,62.400,-
'58:28.952',-,-,-,-,-,-,-0.056,-0.112,62.400,-
'58:28.960',-,-,-,-,-,-,-0.080,-0.088,61.200,-
'58:28.968',-,-,-,-,-,-,-0.056,-0.112,61.200,-
'58:28.976',-,-,-,-,-,-,-0.056,-0.064,61.200,-
'58:28.984',-,-,-,-,-,-,-0.040,-0.040,60.000,-
'58:28.992',-,-,-,-,-,-,-0.040,-0.040,60.000,-
'58:29.000',-,-,-,-,-,-,-0.040,-0.040,60.000,-
'58:29.008',-,-,-,-,-,-,-0.056,-0.064,60.000,-
'58:29.016',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'58:29.024',-,-,-,-,-,-,-0.056,-0.088,58.800,-
'58:29.032',-,-,-,-,-,-,-0.080,-0.112,58.800,-
'58:29.040',-,-,-,-,-,-,-0.104,-0.112,58.800,-
'58:29.048',-,-,-,-,-,-,-0.080,-0.112,58.800,-
'58:29.056',-,-,-,-,-,-,-0.056,-0.088,57.600,-
'58:29.064',-,-,-,-,-,-,-0.056,-0.088,57.600,-
'58:29.072',-,-,-,-,-,-,-0.056,-0.088,57.600,-
'58:29.080',-,-,-,-,-,-,-0.080,-0.112,57.600,-
'58:29.088',-,-,-,-,-,-,-0.080,-0.112,57.600,-
'58:29.096',-,-,-,-,-,-,-0.056,-0.112,57.600,-
'58:29.104',-,-,-,-,-,-,-0.056,-0.040,57.600,-
'58:29.112',-,-,-,-,-,-,-0.080,-0.088,57.600,-
'58:29.120',-,-,-,-,-,-,-0.104,-0.112,56.400,-
'58:29.128',-,-,-,-,-,-,-0.080,-0.136,56.400,-
'58:29.136',-,-,-,-,-,-,-0.056,-0.088,56.400,-
'58:29.144',-,-,-,-,-,-,-0.016,-0.112,55.200,-
'58:29.152',-,-,-,-,-,-,0.056,0.000,55.200,-
'58:29.160',-,-,-,-,-,-,0.104,0.088,54.000,-
'58:29.168',-,-,-,-,-,-,0.000,0.112,54.000,-
'58:29.176',-,-,-,-,-,-,-0.296,-0.112,52.800,-
'58:29.184',-,-,-,-,-,-,-0.528,-0.504,52.800,-
'58:29.192',-,-,-,-,-,-,-0.568,-0.720,51.600,-
'58:29.200',-,-,-,-,-,-,-0.400,-0.488,51.600,-
'58:29.208',-,-,-,-,-,-,-0.312,-0.368,51.600,-
'58:29.216',-,-,-,-,-,-,-0.248,-0.248,51.600,-
'58:29.224',-,-,-,-,-,-,-0.232,-0.208,51.600,-
'58:29.232',-,-,-,-,-,-,-0.184,-0.208,51.600,-
'58:29.240',-,-,-,-,-,-,-0.144,-0.136,52.800,-
'58:29.248',-,-,-,-,-,-,-0.120,-0.112,55.200,-
'58:29.256',-,-,-,-,-,-,-0.104,-0.112,58.800,-
'58:29.264',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'58:29.272',-,-,-,-,-,-,-0.080,-0.064,73.200,-
'58:29.280',-,-,-,-,-,-,-0.056,-0.088,79.200,-
'58:29.288',-,-,-,-,-,-,-0.040,-0.040,84.000,-
'58:29.296',-,-,-,-,-,-,-0.040,-0.040,86.400,-
'58:29.304',-,-,-,-,-,-,-0.016,-0.016,88.800,-
'58:29.312',-,-,-,-,-,-,-0.016,0.000,90.000,-
'58:29.320',-,-,-,-,-,-,-0.016,-0.016,92.400,-
'58:29.328',-,-,-,-,-,-,-0.016,0.000,93.600,-
'58:29.336',-,-,-,-,-,-,0.000,-0.016,93.600,-
'58:29.344',-,-,-,-,-,-,0.040,0.000,92.400,-
'58:29.352',-,-,-,-,-,-,0.104,0.064,92.400,-
'58:29.360',-,-,-,-,-,-,0.168,0.136,92.400,-
'58:29.368',-,-,-,-,-,-,0.232,0.184,92.400,-
'58:29.376',-,-,-,-,-,-,0.312,0.272,92.400,-
'58:29.384',-,-,-,-,-,-,0.400,0.344,91.200,-
'58:29.392',-,-,-,-,-,-,0.440,0.440,90.000,-
'58:29.400',-,-,-,-,-,-,0.488,0.464,90.000,-
'58:29.408',-,-,-,-,-,-,0.528,0.488,88.800,-
'58:29.416',-,-,-,-,-,-,0.568,0.552,87.600,-
'58:29.424',-,-,-,-,-,-,0.568,0.576,86.400,-
'58:29.432',-,-,-,-,-,-,0.488,0.528,84.000,-
'58:29.440',-,-,-,-,-,-,0.400,0.440,82.800,-
'58:29.448',-,-,-,-,-,-,0.296,0.344,80.400,-
'58:29.456',-,-,-,-,-,-,0.184,0.232,78.000,-
'58:29.464',-,-,-,-,-,-,0.104,0.112,74.400,-
'58:29.472',-,-,-,-,-,-,0.056,0.064,72.000,-
'58:29.480',-,-,-,-,-,-,0.040,0.016,69.600,-
'58:29.488',-,-,-,-,-,-,0.016,0.000,69.600,-
'58:29.496',-,-,-,-,-,-,0.016,0.000,68.400,-
'58:29.504',-,-,-,-,-,-,0.000,0.000,68.400,-
'58:29.512',-,-,-,-,-,-,-0.016,-0.016,67.200,-
'58:29.520',-,-,-,-,-,-,-0.056,-0.040,66.000,-
'58:29.528',-,-,-,-,-,-,-0.080,-0.064,66.000,-
'58:29.536',-,-,-,-,-,-,-0.080,-0.088,66.000,-
'58:29.544',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'58:29.552',-,-,-,-,-,-,-0.056,-0.040,64.800,-
'58:29.560',-,-,-,-,-,-,-0.056,-0.040,63.600,-
'58:29.568',-,-,-,-,-,-,-0.056,-0.040,63.600,-
'58:29.576',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'58:29.584',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'58:29.592',-,-,-,-,-,-,-0.080,-0.088,62.400,-
'58:29.600',-,-,-,-,-,-,-0.080,-0.088,61.200,-
'58:29.608',-,-,-,-,-,-,-0.080,-0.088,61.200,-
'58:29.616',-,-,-,-,-,-,-0.080,-0.064,61.200,-
