'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg','mmHg'
'37:08:18.064',-,0.000,-,-,-,-,62.400,19.080,45.000
'37:08:18.072',-,0.024,-,-,-,-,62.400,18.720,45.000
'37:08:18.080',-,0.040,-,-,-,-,62.400,20.760,45.000
'37:08:18.088',-,0.040,-,-,-,-,61.200,25.080,45.000
'37:08:18.096',-,0.040,-,-,-,-,61.200,30.720,45.000
'37:08:18.104',-,0.024,-,-,-,-,61.200,36.360,45.000
'37:08:18.112',-,0.024,-,-,-,-,61.200,40.680,45.000
'37:08:18.120',-,0.008,-,-,-,-,61.200,43.920,45.000
'37:08:18.128',-,0.008,-,-,-,-,61.200,45.480,45.000
'37:08:18.136',-,0.008,-,-,-,-,61.200,45.960,45.000
'37:08:18.144',-,0.008,-,-,-,-,60.000,45.960,45.000
'37:08:18.152',-,0.008,-,-,-,-,60.000,46.320,45.000
'37:08:18.160',-,0.008,-,-,-,-,60.000,46.680,45.000
'37:08:18.168',-,0.024,-,-,-,-,60.000,47.880,45.000
'37:08:18.176',-,0.024,-,-,-,-,61.200,49.080,45.000
'37:08:18.184',-,0.024,-,-,-,-,62.400,49.560,45.000
'37:08:18.192',-,0.024,-,-,-,-,67.200,49.560,45.000
'37:08:18.200',-,0.024,-,-,-,-,75.600,48.720,45.000
'37:08:18.208',-,0.024,-,-,-,-,86.400,47.520,45.000
'37:08:18.216',-,0.040,-,-,-,-,98.400,46.680,45.000
'37:08:18.224',-,0.040,-,-,-,-,109.200,45.480,45.000
'37:08:18.232',-,0.040,-,-,-,-,117.600,45.120,45.000
'37:08:18.240',-,0.040,-,-,-,-,124.800,44.760,45.000
'37:08:18.248',-,0.040,-,-,-,-,129.600,44.280,45.000
'37:08:18.256',-,0.056,-,-,-,-,132.000,44.280,45.000
'37:08:18.264',-,0.056,-,-,-,-,133.200,43.920,45.000
'37:08:18.272',-,0.056,-,-,-,-,133.200,43.920,45.000
'37:08:18.280',-,0.056,-,-,-,-,133.200,43.920,45.000
'37:08:18.288',-,0.040,-,-,-,-,132.000,43.560,45.000
'37:08:18.296',-,0.040,-,-,-,-,130.800,43.080,45.000
