'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'22:52.760',-,-,-,-,-,-,-0.528,-0.624,58.800,-
'22:52.768',-,-,-,-,-,-,-0.416,-0.464,58.800,-
'22:52.776',-,-,-,-,-,-,-0.328,-0.392,58.800,-
'22:52.784',-,-,-,-,-,-,-0.264,-0.296,58.800,-
'22:52.792',-,-,-,-,-,-,-0.216,-0.248,58.800,-
'22:52.800',-,-,-,-,-,-,-0.176,-0.208,57.600,-
'22:52.808',-,-,-,-,-,-,-0.128,-0.160,57.600,-
'22:52.816',-,-,-,-,-,-,-0.104,-0.136,57.600,-
'22:52.824',-,-,-,-,-,-,-0.088,-0.112,60.000,-
'22:52.832',-,-,-,-,-,-,-0.064,-0.088,63.600,-
'22:52.840',-,-,-,-,-,-,-0.040,-0.064,70.800,-
'22:52.848',-,-,-,-,-,-,-0.016,-0.040,78.000,-
'22:52.856',-,-,-,-,-,-,0.000,-0.040,82.800,-
'22:52.864',-,-,-,-,-,-,0.000,-0.016,86.400,-
'22:52.872',-,-,-,-,-,-,0.000,0.000,88.800,-
'22:52.880',-,-,-,-,-,-,0.016,0.000,90.000,-
'22:52.888',-,-,-,-,-,-,0.016,0.000,91.200,-
'22:52.896',-,-,-,-,-,-,0.040,0.016,92.400,-
'22:52.904',-,-,-,-,-,-,0.088,0.064,92.400,-
'22:52.912',-,-,-,-,-,-,0.128,0.088,92.400,-
'22:52.920',-,-,-,-,-,-,0.176,0.160,91.200,-
'22:52.928',-,-,-,-,-,-,0.240,0.184,91.200,-
'22:52.936',-,-,-,-,-,-,0.328,0.296,91.200,-
'22:52.944',-,-,-,-,-,-,0.416,0.368,91.200,-
'22:52.952',-,-,-,-,-,-,0.528,0.488,90.000,-
'22:52.960',-,-,-,-,-,-,0.592,0.576,88.800,-
'22:52.968',-,-,-,-,-,-,0.640,0.624,87.600,-
'22:52.976',-,-,-,-,-,-,0.664,0.648,86.400,-
'22:52.984',-,-,-,-,-,-,0.664,0.648,85.200,-
'22:52.992',-,-,-,-,-,-,0.664,0.648,84.000,-
'22:53.000',-,-,-,-,-,-,0.592,0.624,81.600,-
'22:53.008',-,-,-,-,-,-,0.528,0.552,79.200,-
'22:53.016',-,-,-,-,-,-,0.440,0.440,76.800,-
'22:53.024',-,-,-,-,-,-,0.376,0.368,74.400,-
'22:53.032',-,-,-,-,-,-,0.288,0.296,73.200,-
