'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'5:36:01.240',0.000,-,-,-,0.040,-,68.000,43.800
'5:36:01.248',0.008,-,-,-,0.040,-,65.600,44.000
'5:36:01.256',0.016,-,-,-,0.020,-,64.800,44.000
'5:36:01.264',0.024,-,-,-,0.020,-,64.000,43.800
'5:36:01.272',0.024,-,-,-,0.000,-,65.600,43.600
'5:36:01.280',0.032,-,-,-,0.000,-,69.600,43.400
'5:36:01.288',0.024,-,-,-,0.000,-,74.400,43.600
'5:36:01.296',0.032,-,-,-,0.000,-,79.200,43.800
'5:36:01.304',0.040,-,-,-,-0.020,-,84.000,44.000
'5:36:01.312',0.032,-,-,-,-0.020,-,88.000,44.200
'5:36:01.320',0.040,-,-,-,-0.020,-,92.000,44.000
'5:36:01.328',0.032,-,-,-,-0.040,-,94.400,43.400
'5:36:01.336',0.040,-,-,-,-0.020,-,96.000,42.400
'5:36:01.344',0.016,-,-,-,-0.040,-,96.800,41.400
'5:36:01.352',0.024,-,-,-,-0.040,-,96.000,40.200
'5:36:01.360',0.016,-,-,-,-0.040,-,95.200,39.200
'5:36:01.368',0.024,-,-,-,-0.040,-,92.800,38.200
'5:36:01.376',0.016,-,-,-,-0.040,-,89.600,37.400
'5:36:01.384',0.016,-,-,-,-0.040,-,84.000,36.600
'5:36:01.392',0.008,-,-,-,-0.040,-,76.800,35.800
'5:36:01.400',0.008,-,-,-,-0.040,-,71.200,35.200
'5:36:01.408',0.000,-,-,-,-0.040,-,67.200,34.600
'5:36:01.416',0.008,-,-,-,-0.040,-,64.800,34.200
'5:36:01.424',0.000,-,-,-,-0.040,-,63.200,33.800
'5:36:01.432',0.008,-,-,-,-0.040,-,63.200,33.600
'5:36:01.440',0.000,-,-,-,-0.040,-,64.800,33.400
'5:36:01.448',0.000,-,-,-,-0.040,-,66.400,33.200
'5:36:01.456',0.000,-,-,-,-0.040,-,68.800,32.800
'5:36:01.464',0.000,-,-,-,-0.040,-,70.400,32.600
'5:36:01.472',0.000,-,-,-,-0.040,-,72.000,32.200
'5:36:01.480',0.000,-,-,-,-0.040,-,72.800,31.800
'5:36:01.488',0.000,-,-,-,-0.040,-,72.800,31.400
'5:36:01.496',0.000,-,-,-,-0.040,-,71.200,31.000
'5:36:01.504',0.000,-,-,-,-0.040,-,69.600,30.800
