'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:19:13.832',0.000,-,-,0.000,130.320,32.400
'38:19:13.840',-0.019,-,-,0.000,128.760,31.200
'38:19:13.848',-0.038,-,-,0.000,125.520,30.400
'38:19:13.856',-0.058,-,-,0.030,122.280,29.200
'38:19:13.864',-0.067,-,-,0.030,118.320,27.600
'38:19:13.872',-0.077,-,-,0.030,114.360,26.000
'38:19:13.880',-0.067,-,-,0.069,110.280,24.000
'38:19:13.888',-0.067,-,-,0.030,107.160,22.400
'38:19:13.896',-0.067,-,-,0.030,103.920,21.600
'38:19:13.904',-0.058,-,-,0.030,102.360,21.200
'38:19:13.912',-0.048,-,-,0.030,100.680,22.000
'38:19:13.920',-0.038,-,-,0.000,99.960,24.400
'38:19:13.928',-0.038,-,-,0.000,99.120,26.000
'38:19:13.936',-0.029,-,-,0.000,99.120,26.400
'38:19:13.944',-0.029,-,-,0.000,98.280,26.000
'38:19:13.952',-0.019,-,-,0.000,98.280,25.200
'38:19:13.960',-0.019,-,-,0.000,99.960,24.400
'38:19:13.968',-0.029,-,-,0.000,101.520,23.200
'38:19:13.976',-0.029,-,-,0.000,103.920,22.400
'38:19:13.984',-0.019,-,-,0.000,107.160,22.000
'38:19:13.992',-0.019,-,-,0.000,110.280,21.600
'38:19:14.000',-0.019,-,-,0.000,111.960,21.200
'38:19:14.008',-0.019,-,-,0.000,113.520,20.800
'38:19:14.016',-0.019,-,-,0.000,114.360,20.000
'38:19:14.024',-0.019,-,-,0.000,114.360,19.200
'38:19:14.032',-0.019,-,-,0.000,115.080,18.800
'38:19:14.040',-0.019,-,-,0.000,115.920,19.200
'38:19:14.048',-0.019,-,-,0.000,116.760,20.000
'38:19:14.056',-0.010,-,-,0.000,118.320,20.400
'38:19:14.064',-0.010,-,-,0.000,119.160,20.400
'38:19:14.072',-0.019,-,-,0.000,120.720,20.000
'38:19:14.080',-0.019,-,-,0.000,121.560,19.200
'38:19:14.088',-0.019,-,-,0.000,122.280,18.000
'38:19:14.096',-0.010,-,-,0.000,122.280,17.600
'38:19:14.104',-0.010,-,-,0.000,122.280,17.200
'38:19:14.112',-0.010,-,-,0.000,122.280,17.600
'38:19:14.120',-0.010,-,-,0.000,121.560,18.000
'38:19:14.128',0.000,-,-,0.000,120.720,18.400
'38:19:14.136',0.010,-,-,0.000,119.160,18.000
'38:19:14.144',0.029,-,-,0.000,118.320,17.600
'38:19:14.152',0.038,-,-,-0.069,116.760,17.600
'38:19:14.160',0.048,-,-,-0.069,115.920,17.600
'38:19:14.168',0.048,-,-,-0.069,114.360,17.600
'38:19:14.176',0.038,-,-,-0.030,112.680,17.600
