'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'1:09:27.760',-,-,-,-,-,-,-0.056,-0.112,61.200,-
'1:09:27.768',-,-,-,-,-,-,-0.056,-0.112,61.200,-
'1:09:27.776',-,-,-,-,-,-,-0.040,-0.160,60.000,-
'1:09:27.784',-,-,-,-,-,-,0.056,-0.040,60.000,-
'1:09:27.792',-,-,-,-,-,-,0.120,0.088,58.800,-
'1:09:27.800',-,-,-,-,-,-,0.000,0.088,58.800,-
'1:09:27.808',-,-,-,-,-,-,-0.272,-0.112,57.600,-
'1:09:27.816',-,-,-,-,-,-,-0.552,-0.504,57.600,-
'1:09:27.824',-,-,-,-,-,-,-0.616,-0.808,56.400,-
'1:09:27.832',-,-,-,-,-,-,-0.464,-0.552,56.400,-
'1:09:27.840',-,-,-,-,-,-,-0.336,-0.392,55.200,-
'1:09:27.848',-,-,-,-,-,-,-0.272,-0.296,55.200,-
'1:09:27.856',-,-,-,-,-,-,-0.232,-0.232,55.200,-
'1:09:27.864',-,-,-,-,-,-,-0.184,-0.208,56.400,-
'1:09:27.872',-,-,-,-,-,-,-0.144,-0.160,56.400,-
'1:09:27.880',-,-,-,-,-,-,-0.120,-0.112,58.800,-
'1:09:27.888',-,-,-,-,-,-,-0.104,-0.136,61.200,-
'1:09:27.896',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'1:09:27.904',-,-,-,-,-,-,-0.056,-0.088,70.800,-
'1:09:27.912',-,-,-,-,-,-,-0.040,-0.040,78.000,-
'1:09:27.920',-,-,-,-,-,-,-0.040,-0.040,82.800,-
'1:09:27.928',-,-,-,-,-,-,-0.016,-0.016,86.400,-
'1:09:27.936',-,-,-,-,-,-,-0.016,-0.040,88.800,-
'1:09:27.944',-,-,-,-,-,-,0.000,0.000,91.200,-
'1:09:27.952',-,-,-,-,-,-,0.000,-0.016,93.600,-
'1:09:27.960',-,-,-,-,-,-,0.000,0.000,94.800,-
'1:09:27.968',-,-,-,-,-,-,0.000,-0.040,96.000,-
'1:09:27.976',-,-,-,-,-,-,0.040,0.000,96.000,-
'1:09:27.984',-,-,-,-,-,-,0.056,0.040,96.000,-
'1:09:27.992',-,-,-,-,-,-,0.120,0.088,96.000,-
'1:09:28.000',-,-,-,-,-,-,0.184,0.136,97.200,-
'1:09:28.008',-,-,-,-,-,-,0.248,0.232,96.000,-
'1:09:28.016',-,-,-,-,-,-,0.336,0.272,96.000,-
'1:09:28.024',-,-,-,-,-,-,0.440,0.392,94.800,-
'1:09:28.032',-,-,-,-,-,-,0.528,0.488,93.600,-
