'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'35:05:48.152',0.320,-,-,56.800
'35:05:48.160',0.408,-,-,56.800
'35:05:48.168',0.424,-,-,56.800
'35:05:48.176',0.392,-,-,56.000
'35:05:48.184',0.304,-,-,56.000
'35:05:48.192',0.160,-,-,56.000
'35:05:48.200',0.032,-,-,56.000
'35:05:48.208',-0.024,-,-,55.200
'35:05:48.216',-0.032,-,-,55.200
'35:05:48.224',-0.024,-,-,55.200
'35:05:48.232',-0.008,-,-,55.200
'35:05:48.240',-0.008,-,-,54.400
'35:05:48.248',-0.008,-,-,54.400
'35:05:48.256',-0.008,-,-,54.400
'35:05:48.264',-0.008,-,-,53.600
'35:05:48.272',-0.008,-,-,53.600
'35:05:48.280',-0.016,-,-,53.600
'35:05:48.288',-0.024,-,-,53.600
'35:05:48.296',-0.024,-,-,53.600
'35:05:48.304',-0.016,-,-,53.600
'35:05:48.312',-0.016,-,-,53.600
'35:05:48.320',-0.008,-,-,54.400
'35:05:48.328',-0.008,-,-,56.000
'35:05:48.336',0.000,-,-,57.600
'35:05:48.344',0.008,-,-,60.800
'35:05:48.352',0.016,-,-,64.800
'35:05:48.360',0.024,-,-,69.600
'35:05:48.368',0.040,-,-,74.400
'35:05:48.376',0.048,-,-,80.000
'35:05:48.384',0.056,-,-,85.600
'35:05:48.392',0.072,-,-,90.400
'35:05:48.400',0.080,-,-,95.200
'35:05:48.408',0.088,-,-,100.000
'35:05:48.416',0.096,-,-,104.000
'35:05:48.424',0.104,-,-,106.400
'35:05:48.432',0.104,-,-,108.800
'35:05:48.440',0.088,-,-,111.200
'35:05:48.448',0.080,-,-,112.000
'35:05:48.456',0.064,-,-,112.000
'35:05:48.464',0.048,-,-,112.000
'35:05:48.472',0.040,-,-,112.000
'35:05:48.480',0.024,-,-,111.200
'35:05:48.488',0.008,-,-,110.400
'35:05:48.496',0.000,-,-,108.800
'35:05:48.504',-0.008,-,-,107.200
'35:05:48.512',-0.016,-,-,105.600
'35:05:48.520',-0.024,-,-,104.000
'35:05:48.528',-0.032,-,-,101.600
'35:05:48.536',-0.032,-,-,99.200
'35:05:48.544',-0.040,-,-,96.800
'35:05:48.552',-0.040,-,-,93.600
'35:05:48.560',-0.040,-,-,90.400
'35:05:48.568',-0.040,-,-,86.400
'35:05:48.576',-0.040,-,-,83.200
'35:05:48.584',-0.040,-,-,80.000
'35:05:48.592',-0.024,-,-,77.600
