'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'46:31.760',-,-,-,-,-,-,-0.040,-0.064,92.400,-
'46:31.768',-,-,-,-,-,-,-0.016,-0.016,94.800,-
'46:31.776',-,-,-,-,-,-,0.000,0.000,96.000,-
'46:31.784',-,-,-,-,-,-,0.000,0.000,96.000,-
'46:31.792',-,-,-,-,-,-,0.040,0.000,94.800,-
'46:31.800',-,-,-,-,-,-,0.056,0.016,96.000,-
'46:31.808',-,-,-,-,-,-,0.120,0.088,96.000,-
'46:31.816',-,-,-,-,-,-,0.208,0.136,96.000,-
'46:31.824',-,-,-,-,-,-,0.272,0.248,94.800,-
'46:31.832',-,-,-,-,-,-,0.360,0.320,93.600,-
'46:31.840',-,-,-,-,-,-,0.440,0.416,93.600,-
'46:31.848',-,-,-,-,-,-,0.504,0.464,92.400,-
'46:31.856',-,-,-,-,-,-,0.552,0.552,91.200,-
'46:31.864',-,-,-,-,-,-,0.568,0.576,90.000,-
'46:31.872',-,-,-,-,-,-,0.552,0.552,88.800,-
'46:31.880',-,-,-,-,-,-,0.504,0.552,87.600,-
'46:31.888',-,-,-,-,-,-,0.424,0.464,86.400,-
'46:31.896',-,-,-,-,-,-,0.312,0.344,84.000,-
'46:31.904',-,-,-,-,-,-,0.232,0.232,81.600,-
'46:31.912',-,-,-,-,-,-,0.144,0.160,78.000,-
'46:31.920',-,-,-,-,-,-,0.056,0.088,75.600,-
'46:31.928',-,-,-,-,-,-,0.000,0.000,73.200,-
'46:31.936',-,-,-,-,-,-,-0.016,-0.016,72.000,-
'46:31.944',-,-,-,-,-,-,-0.016,-0.016,70.800,-
'46:31.952',-,-,-,-,-,-,-0.016,-0.040,70.800,-
'46:31.960',-,-,-,-,-,-,-0.016,0.000,69.600,-
'46:31.968',-,-,-,-,-,-,-0.040,-0.040,68.400,-
'46:31.976',-,-,-,-,-,-,-0.056,-0.064,68.400,-
'46:31.984',-,-,-,-,-,-,-0.080,-0.088,68.400,-
'46:31.992',-,-,-,-,-,-,-0.080,-0.064,67.200,-
'46:32.000',-,-,-,-,-,-,-0.104,-0.112,67.200,-
'46:32.008',-,-,-,-,-,-,-0.120,-0.112,66.000,-
'46:32.016',-,-,-,-,-,-,-0.120,-0.184,66.000,-
'46:32.024',-,-,-,-,-,-,-0.104,-0.112,64.800,-
'46:32.032',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'46:32.040',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'46:32.048',-,-,-,-,-,-,-0.056,-0.064,64.800,-
'46:32.056',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'46:32.064',-,-,-,-,-,-,-0.104,-0.088,64.800,-
'46:32.072',-,-,-,-,-,-,-0.080,-0.112,64.800,-
'46:32.080',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'46:32.088',-,-,-,-,-,-,-0.080,-0.088,64.800,-
'46:32.096',-,-,-,-,-,-,-0.104,-0.064,63.600,-
'46:32.104',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'46:32.112',-,-,-,-,-,-,-0.080,-0.112,63.600,-
'46:32.120',-,-,-,-,-,-,0.000,-0.040,62.400,-
'46:32.128',-,-,-,-,-,-,0.040,0.016,62.400,-
'46:32.136',-,-,-,-,-,-,0.000,0.088,62.400,-
'46:32.144',-,-,-,-,-,-,-0.184,-0.016,61.200,-
'46:32.152',-,-,-,-,-,-,-0.488,-0.272,60.000,-
'46:32.160',-,-,-,-,-,-,-0.680,-0.760,60.000,-
'46:32.168',-,-,-,-,-,-,-0.592,-0.808,58.800,-
'46:32.176',-,-,-,-,-,-,-0.440,-0.488,58.800,-
'46:32.184',-,-,-,-,-,-,-0.360,-0.392,57.600,-
'46:32.192',-,-,-,-,-,-,-0.272,-0.296,57.600,-
'46:32.200',-,-,-,-,-,-,-0.232,-0.232,57.600,-
'46:32.208',-,-,-,-,-,-,-0.184,-0.160,58.800,-
'46:32.216',-,-,-,-,-,-,-0.168,-0.208,60.000,-
'46:32.224',-,-,-,-,-,-,-0.120,-0.112,61.200,-
'46:32.232',-,-,-,-,-,-,-0.120,-0.088,64.800,-
'46:32.240',-,-,-,-,-,-,-0.120,-0.112,69.600,-
'46:32.248',-,-,-,-,-,-,-0.104,-0.112,76.800,-
'46:32.256',-,-,-,-,-,-,-0.080,-0.088,84.000,-
'46:32.264',-,-,-,-,-,-,-0.040,-0.040,87.600,-
'46:32.272',-,-,-,-,-,-,-0.040,-0.016,90.000,-
'46:32.280',-,-,-,-,-,-,-0.056,-0.040,91.200,-
'46:32.288',-,-,-,-,-,-,-0.040,-0.016,92.400,-
'46:32.296',-,-,-,-,-,-,-0.016,-0.040,94.800,-
'46:32.304',-,-,-,-,-,-,0.016,0.016,96.000,-
'46:32.312',-,-,-,-,-,-,0.040,0.040,96.000,-
'46:32.320',-,-,-,-,-,-,0.080,0.064,96.000,-
'46:32.328',-,-,-,-,-,-,0.144,0.136,94.800,-
'46:32.336',-,-,-,-,-,-,0.208,0.184,96.000,-
'46:32.344',-,-,-,-,-,-,0.296,0.272,96.000,-
'46:32.352',-,-,-,-,-,-,0.376,0.368,94.800,-
'46:32.360',-,-,-,-,-,-,0.464,0.464,93.600,-
'46:32.368',-,-,-,-,-,-,0.528,0.488,92.400,-
'46:32.376',-,-,-,-,-,-,0.568,0.576,92.400,-
'46:32.384',-,-,-,-,-,-,0.592,0.600,91.200,-
'46:32.392',-,-,-,-,-,-,0.552,0.576,90.000,-
'46:32.400',-,-,-,-,-,-,0.488,0.552,88.800,-
'46:32.408',-,-,-,-,-,-,0.376,0.392,86.400,-
'46:32.416',-,-,-,-,-,-,0.312,0.296,84.000,-
'46:32.424',-,-,-,-,-,-,0.248,0.272,81.600,-
'46:32.432',-,-,-,-,-,-,0.168,0.184,79.200,-
'46:32.440',-,-,-,-,-,-,0.104,0.112,75.600,-
'46:32.448',-,-,-,-,-,-,0.056,0.088,74.400,-
'46:32.456',-,-,-,-,-,-,0.040,0.040,73.200,-
'46:32.464',-,-,-,-,-,-,0.016,0.016,72.000,-
'46:32.472',-,-,-,-,-,-,0.000,0.000,72.000,-
'46:32.480',-,-,-,-,-,-,-0.016,0.000,70.800,-
'46:32.488',-,-,-,-,-,-,-0.016,-0.016,70.800,-
'46:32.496',-,-,-,-,-,-,-0.016,0.000,69.600,-
'46:32.504',-,-,-,-,-,-,-0.016,-0.040,69.600,-
'46:32.512',-,-,-,-,-,-,0.016,0.000,68.400,-
'46:32.520',-,-,-,-,-,-,0.016,0.016,68.400,-
'46:32.528',-,-,-,-,-,-,0.000,0.000,67.200,-
'46:32.536',-,-,-,-,-,-,-0.016,0.000,67.200,-
'46:32.544',-,-,-,-,-,-,-0.040,-0.016,67.200,-
'46:32.552',-,-,-,-,-,-,-0.040,-0.064,66.000,-
'46:32.560',-,-,-,-,-,-,-0.016,-0.016,66.000,-
'46:32.568',-,-,-,-,-,-,0.000,0.000,66.000,-
'46:32.576',-,-,-,-,-,-,0.000,0.000,66.000,-
'46:32.584',-,-,-,-,-,-,-0.016,0.000,64.800,-
'46:32.592',-,-,-,-,-,-,-0.016,-0.016,64.800,-
'46:32.600',-,-,-,-,-,-,0.000,0.000,63.600,-
'46:32.608',-,-,-,-,-,-,0.000,-0.016,63.600,-
'46:32.616',-,-,-,-,-,-,0.000,0.000,63.600,-
'46:32.624',-,-,-,-,-,-,0.000,0.000,62.400,-
