'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:19:35.152',-0.032,-,-,63.200
'34:19:35.160',-0.040,-,-,61.600
'34:19:35.168',-0.048,-,-,60.800
'34:19:35.176',-0.048,-,-,60.000
'34:19:35.184',-0.048,-,-,59.200
'34:19:35.192',-0.048,-,-,59.200
'34:19:35.200',-0.048,-,-,59.200
'34:19:35.208',-0.056,-,-,59.200
'34:19:35.216',-0.056,-,-,60.000
'34:19:35.224',-0.056,-,-,60.000
'34:19:35.232',-0.056,-,-,60.800
'34:19:35.240',-0.056,-,-,60.800
'34:19:35.248',-0.064,-,-,61.600
'34:19:35.256',-0.064,-,-,62.400
'34:19:35.264',-0.064,-,-,62.400
'34:19:35.272',-0.056,-,-,62.400
'34:19:35.280',-0.048,-,-,62.400
'34:19:35.288',-0.040,-,-,63.200
'34:19:35.296',-0.040,-,-,62.400
'34:19:35.304',-0.048,-,-,62.400
'34:19:35.312',-0.048,-,-,62.400
'34:19:35.320',-0.048,-,-,62.400
'34:19:35.328',-0.048,-,-,61.600
'34:19:35.336',-0.048,-,-,61.600
'34:19:35.344',-0.056,-,-,60.800
'34:19:35.352',-0.056,-,-,60.800
'34:19:35.360',-0.048,-,-,60.000
'34:19:35.368',-0.048,-,-,60.000
'34:19:35.376',-0.048,-,-,59.200
'34:19:35.384',-0.048,-,-,58.400
'34:19:35.392',-0.048,-,-,58.400
'34:19:35.400',-0.048,-,-,57.600
'34:19:35.408',-0.056,-,-,56.800
'34:19:35.416',-0.056,-,-,56.800
'34:19:35.424',-0.056,-,-,56.000
'34:19:35.432',-0.056,-,-,56.000
'34:19:35.440',-0.048,-,-,55.200
'34:19:35.448',-0.048,-,-,55.200
'34:19:35.456',-0.048,-,-,54.400
'34:19:35.464',-0.040,-,-,54.400
'34:19:35.472',-0.040,-,-,54.400
'34:19:35.480',-0.048,-,-,54.400
'34:19:35.488',-0.040,-,-,53.600
'34:19:35.496',-0.032,-,-,53.600
'34:19:35.504',0.008,-,-,53.600
'34:19:35.512',0.112,-,-,52.800
'34:19:35.520',0.256,-,-,52.800
'34:19:35.528',0.392,-,-,52.800
'34:19:35.536',0.456,-,-,52.000
'34:19:35.544',0.472,-,-,52.000
'34:19:35.552',0.416,-,-,52.000
'34:19:35.560',0.280,-,-,52.000
'34:19:35.568',0.112,-,-,52.000
'34:19:35.576',0.000,-,-,51.200
'34:19:35.584',-0.048,-,-,51.200
'34:19:35.592',-0.064,-,-,51.200
'34:19:35.600',-0.048,-,-,51.200
'34:19:35.608',-0.048,-,-,51.200
'34:19:35.616',-0.048,-,-,50.400
'34:19:35.624',-0.056,-,-,50.400
'34:19:35.632',-0.056,-,-,50.400
'34:19:35.640',-0.056,-,-,50.400
'34:19:35.648',-0.048,-,-,50.400
'34:19:35.656',-0.040,-,-,50.400
