'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'18:14.192',-0.017,-,-,-,-,58.400,16.320
'18:14.200',-0.043,-,-,-,-,56.000,16.080
'18:14.208',-0.096,-,-,-,-,53.600,14.880
'18:14.216',-0.130,-,-,-,-,51.200,13.320
'18:14.224',-0.139,-,-,-,-,48.000,12.360
'18:14.232',-0.043,-,-,-,-,44.800,12.360
'18:14.240',0.017,-,-,-,-,41.600,13.080
'18:14.248',0.035,-,-,-,-,38.400,15.120
'18:14.256',0.017,-,-,-,-,35.200,18.360
'18:14.264',0.009,-,-,-,-,32.800,22.560
'18:14.272',0.017,-,-,-,-,29.600,25.320
'18:14.280',0.017,-,-,-,-,27.200,23.760
'18:14.288',0.017,-,-,-,-,24.800,16.920
'18:14.296',0.009,-,-,-,-,23.200,9.240
'18:14.304',0.009,-,-,-,-,21.600,6.840
'18:14.312',0.009,-,-,-,-,20.000,12.360
'18:14.320',0.009,-,-,-,-,20.000,23.160
'18:14.328',0.009,-,-,-,-,20.800,33.360
'18:14.336',0.017,-,-,-,-,22.400,39.360
'18:14.344',0.035,-,-,-,-,24.000,39.120
'18:14.352',0.035,-,-,-,-,26.400,34.680
'18:14.360',0.043,-,-,-,-,28.000,28.560
'18:14.368',0.035,-,-,-,-,30.400,23.520
'18:14.376',0.035,-,-,-,-,32.000,21.120
'18:14.384',0.035,-,-,-,-,33.600,21.720
'18:14.392',0.035,-,-,-,-,35.200,24.120
'18:14.400',0.017,-,-,-,-,36.000,26.880
'18:14.408',0.009,-,-,-,-,37.600,28.320
'18:14.416',0.000,-,-,-,-,38.400,28.680
'18:14.424',0.000,-,-,-,-,40.000,27.960
'18:14.432',0.000,-,-,-,-,40.800,26.280
'18:14.440',0.000,-,-,-,-,41.600,24.480
'18:14.448',0.000,-,-,-,-,41.600,23.160
'18:14.456',0.000,-,-,-,-,42.400,22.560
'18:14.464',0.009,-,-,-,-,42.400,22.320
'18:14.472',0.000,-,-,-,-,42.400,22.560
'18:14.480',0.000,-,-,-,-,42.400,22.560
'18:14.488',0.000,-,-,-,-,41.600,21.720
'18:14.496',0.000,-,-,-,-,41.600,19.680
'18:14.504',0.000,-,-,-,-,40.800,16.920
'18:14.512',0.000,-,-,-,-,40.800,14.520
'18:14.520',0.000,-,-,-,-,40.800,13.920
'18:14.528',0.000,-,-,-,-,41.600,15.120
'18:14.536',0.000,-,-,-,-,42.400,17.280
'18:14.544',0.009,-,-,-,-,43.200,19.560
'18:14.552',0.009,-,-,-,-,44.800,21.360
'18:14.560',0.017,-,-,-,-,46.400,22.080
'18:14.568',0.035,-,-,-,-,48.000,21.960
'18:14.576',0.035,-,-,-,-,49.600,20.880
'18:14.584',0.052,-,-,-,-,52.000,20.280
'18:14.592',0.052,-,-,-,-,53.600,20.160
'18:14.600',0.052,-,-,-,-,56.000,19.920
'18:14.608',0.043,-,-,-,-,57.600,19.680
'18:14.616',0.035,-,-,-,-,60.000,19.680
'18:14.624',0.009,-,-,-,-,61.600,20.520
'18:14.632',0.000,-,-,-,-,63.200,21.360
'18:14.640',-0.009,-,-,-,-,64.000,21.720
'18:14.648',-0.017,-,-,-,-,64.800,21.360
'18:14.656',-0.035,-,-,-,-,65.600,20.760
'18:14.664',-0.043,-,-,-,-,64.800,20.160
'18:14.672',-0.035,-,-,-,-,64.000,20.520
'18:14.680',-0.035,-,-,-,-,62.400,21.480
'18:14.688',-0.043,-,-,-,-,60.000,22.920
'18:14.696',-0.052,-,-,-,-,57.600,24.120
'18:14.704',-0.070,-,-,-,-,54.400,24.720
'18:14.712',-0.104,-,-,-,-,51.200,24.480
