'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:09:05.832',-0.019,-,-,0.000,123.960,45.600
'38:09:05.840',-0.019,-,-,0.000,123.960,44.000
'38:09:05.848',-0.019,-,-,0.000,123.960,41.600
'38:09:05.856',-0.019,-,-,0.000,123.120,39.600
'38:09:05.864',-0.019,-,-,0.000,122.280,38.000
'38:09:05.872',-0.019,-,-,0.000,121.560,36.400
'38:09:05.880',-0.019,-,-,0.000,119.880,35.200
'38:09:05.888',-0.019,-,-,0.000,118.320,34.000
'38:09:05.896',-0.010,-,-,0.000,115.920,32.400
'38:09:05.904',0.000,-,-,0.000,113.520,30.800
'38:09:05.912',0.000,-,-,0.000,111.960,28.800
'38:09:05.920',0.010,-,-,0.000,109.560,27.200
'38:09:05.928',0.019,-,-,-0.030,107.880,26.000
'38:09:05.936',0.029,-,-,-0.030,106.320,25.200
'38:09:05.944',0.048,-,-,-0.069,105.480,24.800
'38:09:05.952',0.048,-,-,-0.069,103.920,24.000
'38:09:05.960',0.048,-,-,-0.069,103.080,23.600
'38:09:05.968',0.048,-,-,-0.069,101.520,23.600
'38:09:05.976',0.038,-,-,-0.069,100.680,24.000
'38:09:05.984',0.019,-,-,-0.069,100.680,25.200
'38:09:05.992',0.000,-,-,-0.030,100.680,25.600
'38:09:06.000',-0.029,-,-,0.000,99.960,24.400
'38:09:06.008',-0.038,-,-,0.000,99.960,20.000
'38:09:06.016',-0.048,-,-,0.030,99.960,14.400
'38:09:06.024',-0.067,-,-,0.000,98.280,10.000
'38:09:06.032',-0.125,-,-,0.030,97.560,9.200
'38:09:06.040',-0.192,-,-,0.178,95.880,12.400
'38:09:06.048',-0.163,-,-,0.218,93.480,17.200
'38:09:06.056',0.019,-,-,0.139,90.360,20.800
'38:09:06.064',0.308,-,-,-0.218,87.120,20.800
'38:09:06.072',0.462,-,-,-0.584,83.880,17.600
'38:09:06.080',0.337,-,-,-0.663,79.920,14.400
'38:09:06.088',0.125,-,-,-0.178,76.680,13.200
'38:09:06.096',0.029,-,-,0.000,73.560,14.000
'38:09:06.104',0.019,-,-,0.000,71.160,15.200
'38:09:06.112',0.019,-,-,-0.030,69.480,14.800
'38:09:06.120',0.010,-,-,0.000,67.920,13.200
'38:09:06.128',0.019,-,-,0.000,67.920,11.200
'38:09:06.136',0.019,-,-,-0.030,67.920,9.600
'38:09:06.144',0.019,-,-,0.000,70.320,9.200
'38:09:06.152',0.029,-,-,-0.030,74.280,10.800
'38:09:06.160',0.029,-,-,-0.030,80.760,14.800
'38:09:06.168',0.029,-,-,0.000,87.120,20.000
'38:09:06.176',0.029,-,-,-0.030,93.480,24.400
'38:09:06.184',0.038,-,-,-0.030,99.120,27.600
'38:09:06.192',0.038,-,-,-0.069,102.360,28.800
'38:09:06.200',0.048,-,-,-0.030,104.760,27.600
'38:09:06.208',0.048,-,-,-0.030,105.480,24.800
'38:09:06.216',0.058,-,-,-0.030,105.480,21.600
'38:09:06.224',0.058,-,-,-0.069,105.480,18.800
'38:09:06.232',0.067,-,-,-0.030,104.760,17.600
'38:09:06.240',0.067,-,-,-0.069,103.920,17.200
'38:09:06.248',0.067,-,-,-0.030,103.080,17.600
'38:09:06.256',0.067,-,-,-0.069,102.360,18.400
'38:09:06.264',0.058,-,-,-0.069,103.080,19.200
'38:09:06.272',0.058,-,-,-0.069,104.760,19.200
'38:09:06.280',0.048,-,-,-0.069,107.160,18.000
'38:09:06.288',0.029,-,-,-0.069,110.280,16.400
'38:09:06.296',0.010,-,-,-0.030,111.960,15.200
'38:09:06.304',-0.019,-,-,0.000,111.960,14.000
'38:09:06.312',-0.048,-,-,0.000,111.120,12.800
'38:09:06.320',-0.067,-,-,0.000,108.720,11.600
'38:09:06.328',-0.087,-,-,0.030,104.760,10.400
