'Elapsed time','II','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'34:51:13.304',-,0.000,50.400,-
'34:51:13.312',-,0.015,49.200,-
'34:51:13.320',-,0.015,49.200,-
'34:51:13.328',-,0.015,49.200,-
'34:51:13.336',-,-0.015,49.200,-
'34:51:13.344',-,-0.060,49.200,-
'34:51:13.352',-,-0.104,48.000,-
'34:51:13.360',-,-0.134,48.000,-
'34:51:13.368',-,-0.090,48.000,-
'34:51:13.376',-,-0.060,48.000,-
'34:51:13.384',-,-0.045,48.000,-
'34:51:13.392',-,-0.015,46.800,-
'34:51:13.400',-,-0.015,46.800,-
'34:51:13.408',-,-0.015,46.800,-
'34:51:13.416',-,-0.015,46.800,-
'34:51:13.424',-,0.000,46.800,-
'34:51:13.432',-,0.000,46.800,-
'34:51:13.440',-,0.000,46.800,-
'34:51:13.448',-,-0.015,46.800,-
'34:51:13.456',-,-0.015,45.600,-
'34:51:13.464',-,0.045,45.600,-
'34:51:13.472',-,0.149,45.600,-
'34:51:13.480',-,0.269,45.600,-
'34:51:13.488',-,0.313,45.600,-
'34:51:13.496',-,0.149,45.600,-
'34:51:13.504',-,-0.194,45.600,-
'34:51:13.512',-,-0.567,45.600,-
'34:51:13.520',-,-0.761,45.600,-
'34:51:13.528',-,-0.806,44.400,-
'34:51:13.536',-,-0.716,44.400,-
'34:51:13.544',-,-0.537,44.400,-
'34:51:13.552',-,-0.284,44.400,-
'34:51:13.560',-,-0.104,44.400,-
'34:51:13.568',-,0.000,44.400,-
'34:51:13.576',-,0.045,43.200,-
'34:51:13.584',-,0.045,43.200,-
'34:51:13.592',-,0.045,43.200,-
'34:51:13.600',-,0.045,43.200,-
'34:51:13.608',-,0.060,43.200,-
'34:51:13.616',-,0.060,43.200,-
'34:51:13.624',-,0.060,43.200,-
'34:51:13.632',-,0.045,44.400,-
'34:51:13.640',-,0.045,46.800,-
'34:51:13.648',-,0.045,50.400,-
'34:51:13.656',-,0.045,56.400,-
'34:51:13.664',-,0.060,62.400,-
'34:51:13.672',-,0.060,69.600,-
'34:51:13.680',-,0.060,78.000,-
'34:51:13.688',-,0.060,85.200,-
'34:51:13.696',-,0.060,91.200,-
'34:51:13.704',-,0.060,97.200,-
'34:51:13.712',-,0.060,102.000,-
'34:51:13.720',-,0.090,106.800,-
'34:51:13.728',-,0.090,109.200,-
'34:51:13.736',-,0.104,111.600,-
'34:51:13.744',-,0.134,112.800,-
'34:51:13.752',-,0.134,112.800,-
'34:51:13.760',-,0.149,112.800,-
'34:51:13.768',-,0.149,112.800,-
'34:51:13.776',-,0.179,112.800,-
'34:51:13.784',-,0.179,111.600,-
'34:51:13.792',-,0.194,111.600,-
'34:51:13.800',-,0.194,110.400,-
'34:51:13.808',-,0.194,109.200,-
'34:51:13.816',-,0.179,108.000,-
'34:51:13.824',-,0.149,108.000,-
'34:51:13.832',-,0.134,106.800,-
'34:51:13.840',-,0.104,105.600,-
'34:51:13.848',-,0.090,103.200,-
'34:51:13.856',-,0.060,102.000,-
'34:51:13.864',-,0.045,99.600,-
'34:51:13.872',-,0.015,98.400,-
'34:51:13.880',-,0.000,96.000,-
'34:51:13.888',-,-0.015,92.400,-
'34:51:13.896',-,-0.045,90.000,-
'34:51:13.904',-,-0.045,86.400,-
'34:51:13.912',-,-0.045,82.800,-
'34:51:13.920',-,-0.045,79.200,-
'34:51:13.928',-,-0.045,75.600,-
'34:51:13.936',-,-0.045,72.000,-
'34:51:13.944',-,-0.045,69.600,-
'34:51:13.952',-,-0.015,67.200,-
'34:51:13.960',-,-0.015,64.800,-
'34:51:13.968',-,-0.015,63.600,-
'34:51:13.976',-,0.000,63.600,-
'34:51:13.984',-,0.000,62.400,-
'34:51:13.992',-,0.000,62.400,-
'34:51:14.000',-,0.000,62.400,-
'34:51:14.008',-,0.000,62.400,-
'34:51:14.016',-,0.000,63.600,-
'34:51:14.024',-,0.000,63.600,-
'34:51:14.032',-,0.000,63.600,-
'34:51:14.040',-,0.000,62.400,-
'34:51:14.048',-,0.000,62.400,-
'34:51:14.056',-,0.000,62.400,-
'34:51:14.064',-,0.000,62.400,-
'34:51:14.072',-,0.000,61.200,-
'34:51:14.080',-,0.000,61.200,-
'34:51:14.088',-,0.000,60.000,-
'34:51:14.096',-,0.000,60.000,-
'34:51:14.104',-,0.000,58.800,-
'34:51:14.112',-,0.000,58.800,-
'34:51:14.120',-,0.000,57.600,-
'34:51:14.128',-,0.000,57.600,-
'34:51:14.136',-,-0.015,56.400,-
'34:51:14.144',-,-0.015,56.400,-
'34:51:14.152',-,-0.015,55.200,-
'34:51:14.160',-,-0.015,55.200,-
'34:51:14.168',-,-0.015,54.000,-
'34:51:14.176',-,-0.015,54.000,-
'34:51:14.184',-,-0.015,54.000,-
'34:51:14.192',-,-0.015,52.800,-
'34:51:14.200',-,-0.015,52.800,-
'34:51:14.208',-,-0.015,52.800,-
'34:51:14.216',-,-0.015,51.600,-
'34:51:14.224',-,-0.015,51.600,-
'34:51:14.232',-,-0.015,51.600,-
'34:51:14.240',-,-0.015,51.600,-
'34:51:14.248',-,-0.015,50.400,-
'34:51:14.256',-,-0.015,50.400,-
'34:51:14.264',-,-0.015,50.400,-
