'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'13:01:52.352',0.368,-,-,68.000,19.600
'13:01:52.360',0.416,-,-,65.600,20.800
'13:01:52.368',0.384,-,-,64.000,22.000
'13:01:52.376',0.432,-,-,62.400,22.800
'13:01:52.384',0.384,-,-,60.000,23.200
'13:01:52.392',0.432,-,-,58.400,24.000
'13:01:52.400',0.416,-,-,56.800,24.800
'13:01:52.408',0.448,-,-,55.200,25.600
'13:01:52.416',0.416,-,-,53.600,26.000
'13:01:52.424',0.448,-,-,52.000,26.400
'13:01:52.432',0.416,-,-,50.400,26.000
'13:01:52.440',0.416,-,-,49.600,25.200
'13:01:52.448',0.352,-,-,48.000,24.400
'13:01:52.456',0.368,-,-,47.200,23.600
'13:01:52.464',0.288,-,-,45.600,22.400
'13:01:52.472',0.272,-,-,44.800,21.200
'13:01:52.480',0.208,-,-,43.200,19.600
'13:01:52.488',0.208,-,-,42.400,18.000
'13:01:52.496',0.112,-,-,41.600,16.400
'13:01:52.504',0.112,-,-,40.800,14.400
'13:01:52.512',0.048,-,-,40.000,12.800
'13:01:52.520',0.032,-,-,39.200,11.600
'13:01:52.528',0.032,-,-,38.400,10.800
'13:01:52.536',0.000,-,-,37.600,11.200
'13:01:52.544',-0.032,-,-,36.800,12.400
'13:01:52.552',-0.048,-,-,36.000,14.000
'13:01:52.560',-0.016,-,-,36.000,15.200
'13:01:52.568',-0.064,-,-,35.200,16.800
'13:01:52.576',-0.016,-,-,35.200,18.000
'13:01:52.584',-0.080,-,-,34.400,18.800
'13:01:52.592',-0.032,-,-,34.400,19.200
'13:01:52.600',-0.064,-,-,33.600,19.200
'13:01:52.608',-0.032,-,-,33.600,18.800
'13:01:52.616',-0.080,-,-,33.600,18.000
'13:01:52.624',-0.032,-,-,32.800,17.200
'13:01:52.632',-0.080,-,-,32.800,16.000
'13:01:52.640',-0.032,-,-,32.800,14.800
'13:01:52.648',-0.080,-,-,32.800,13.600
'13:01:52.656',-0.032,-,-,32.800,12.800
'13:01:52.664',-0.080,-,-,32.800,12.400
'13:01:52.672',-0.032,-,-,32.800,12.000
'13:01:52.680',-0.064,-,-,33.600,12.000
'13:01:52.688',-0.032,-,-,34.400,12.000
'13:01:52.696',-0.080,-,-,35.200,12.400
'13:01:52.704',-0.032,-,-,35.200,12.800
'13:01:52.712',-0.064,-,-,36.000,13.200
