'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'1:01:45.760',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'1:01:45.768',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'1:01:45.776',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'1:01:45.784',-,-,-,-,-,-,-0.104,-0.112,63.600,-
'1:01:45.792',-,-,-,-,-,-,-0.120,-0.112,62.400,-
'1:01:45.800',-,-,-,-,-,-,-0.120,-0.112,62.400,-
'1:01:45.808',-,-,-,-,-,-,-0.104,-0.112,61.200,-
'1:01:45.816',-,-,-,-,-,-,-0.056,-0.112,61.200,-
'1:01:45.824',-,-,-,-,-,-,0.040,-0.016,61.200,-
'1:01:45.832',-,-,-,-,-,-,0.080,0.088,60.000,-
'1:01:45.840',-,-,-,-,-,-,0.000,0.136,60.000,-
'1:01:45.848',-,-,-,-,-,-,-0.248,-0.016,58.800,-
'1:01:45.856',-,-,-,-,-,-,-0.528,-0.368,58.800,-
'1:01:45.864',-,-,-,-,-,-,-0.632,-0.744,57.600,-
'1:01:45.872',-,-,-,-,-,-,-0.504,-0.600,57.600,-
'1:01:45.880',-,-,-,-,-,-,-0.376,-0.440,57.600,-
'1:01:45.888',-,-,-,-,-,-,-0.312,-0.344,56.400,-
'1:01:45.896',-,-,-,-,-,-,-0.248,-0.248,56.400,-
'1:01:45.904',-,-,-,-,-,-,-0.184,-0.160,57.600,-
'1:01:45.912',-,-,-,-,-,-,-0.144,-0.112,58.800,-
'1:01:45.920',-,-,-,-,-,-,-0.120,-0.112,60.000,-
'1:01:45.928',-,-,-,-,-,-,-0.120,-0.064,63.600,-
'1:01:45.936',-,-,-,-,-,-,-0.120,-0.112,69.600,-
'1:01:45.944',-,-,-,-,-,-,-0.120,-0.112,76.800,-
'1:01:45.952',-,-,-,-,-,-,-0.080,-0.088,84.000,-
'1:01:45.960',-,-,-,-,-,-,-0.056,-0.040,88.800,-
'1:01:45.968',-,-,-,-,-,-,-0.056,-0.040,91.200,-
'1:01:45.976',-,-,-,-,-,-,-0.056,-0.016,93.600,-
'1:01:45.984',-,-,-,-,-,-,-0.040,-0.040,96.000,-
'1:01:45.992',-,-,-,-,-,-,0.000,0.000,98.400,-
'1:01:46.000',-,-,-,-,-,-,0.016,0.000,100.800,-
'1:01:46.008',-,-,-,-,-,-,0.016,0.016,100.800,-
'1:01:46.016',-,-,-,-,-,-,0.040,0.040,100.800,-
'1:01:46.024',-,-,-,-,-,-,0.056,0.016,102.000,-
'1:01:46.032',-,-,-,-,-,-,0.104,0.088,102.000,-
'1:01:46.040',-,-,-,-,-,-,0.144,0.136,102.000,-
'1:01:46.048',-,-,-,-,-,-,0.232,0.208,102.000,-
'1:01:46.056',-,-,-,-,-,-,0.312,0.296,100.800,-
'1:01:46.064',-,-,-,-,-,-,0.424,0.416,100.800,-
'1:01:46.072',-,-,-,-,-,-,0.528,0.488,99.600,-
'1:01:46.080',-,-,-,-,-,-,0.568,0.576,99.600,-
'1:01:46.088',-,-,-,-,-,-,0.592,0.600,98.400,-
'1:01:46.096',-,-,-,-,-,-,0.592,0.600,97.200,-
'1:01:46.104',-,-,-,-,-,-,0.552,0.600,96.000,-
'1:01:46.112',-,-,-,-,-,-,0.504,0.528,94.800,-
'1:01:46.120',-,-,-,-,-,-,0.400,0.464,92.400,-
'1:01:46.128',-,-,-,-,-,-,0.312,0.344,90.000,-
'1:01:46.136',-,-,-,-,-,-,0.232,0.272,87.600,-
'1:01:46.144',-,-,-,-,-,-,0.168,0.184,84.000,-
'1:01:46.152',-,-,-,-,-,-,0.104,0.112,80.400,-
'1:01:46.160',-,-,-,-,-,-,0.056,0.064,79.200,-
'1:01:46.168',-,-,-,-,-,-,0.040,0.040,78.000,-
'1:01:46.176',-,-,-,-,-,-,0.016,0.016,76.800,-
'1:01:46.184',-,-,-,-,-,-,0.016,0.016,76.800,-
'1:01:46.192',-,-,-,-,-,-,0.000,0.016,75.600,-
'1:01:46.200',-,-,-,-,-,-,0.000,0.000,74.400,-
'1:01:46.208',-,-,-,-,-,-,0.000,0.000,74.400,-
'1:01:46.216',-,-,-,-,-,-,0.000,0.000,73.200,-
'1:01:46.224',-,-,-,-,-,-,-0.016,0.000,73.200,-
'1:01:46.232',-,-,-,-,-,-,-0.016,-0.016,73.200,-
'1:01:46.240',-,-,-,-,-,-,-0.016,-0.016,72.000,-
'1:01:46.248',-,-,-,-,-,-,-0.016,0.000,72.000,-
'1:01:46.256',-,-,-,-,-,-,-0.040,0.000,70.800,-
'1:01:46.264',-,-,-,-,-,-,-0.040,-0.016,70.800,-
'1:01:46.272',-,-,-,-,-,-,-0.016,-0.040,70.800,-
'1:01:46.280',-,-,-,-,-,-,-0.016,0.000,69.600,-
'1:01:46.288',-,-,-,-,-,-,-0.040,0.000,69.600,-
'1:01:46.296',-,-,-,-,-,-,-0.040,-0.040,68.400,-
'1:01:46.304',-,-,-,-,-,-,-0.016,0.000,68.400,-
'1:01:46.312',-,-,-,-,-,-,0.000,0.000,68.400,-
'1:01:46.320',-,-,-,-,-,-,0.000,0.000,68.400,-
'1:01:46.328',-,-,-,-,-,-,0.000,0.000,67.200,-
'1:01:46.336',-,-,-,-,-,-,0.016,0.016,67.200,-
'1:01:46.344',-,-,-,-,-,-,0.016,0.040,67.200,-
'1:01:46.352',-,-,-,-,-,-,0.000,0.000,66.000,-
'1:01:46.360',-,-,-,-,-,-,-0.016,-0.016,66.000,-
'1:01:46.368',-,-,-,-,-,-,-0.016,0.000,66.000,-
'1:01:46.376',-,-,-,-,-,-,-0.040,-0.016,66.000,-
'1:01:46.384',-,-,-,-,-,-,-0.016,-0.040,64.800,-
'1:01:46.392',-,-,-,-,-,-,0.000,0.000,64.800,-
'1:01:46.400',-,-,-,-,-,-,0.000,0.000,64.800,-
'1:01:46.408',-,-,-,-,-,-,-0.016,0.000,64.800,-
'1:01:46.416',-,-,-,-,-,-,-0.016,-0.016,64.800,-
'1:01:46.424',-,-,-,-,-,-,0.000,-0.016,64.800,-
'1:01:46.432',-,-,-,-,-,-,0.000,0.000,64.800,-
