'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:07:35.240',0.016,-,-,-,-0.040,-,101.600,39.400
'6:07:35.248',0.008,-,-,-,-0.040,-,99.200,38.400
'6:07:35.256',0.000,-,-,-,-0.040,-,96.800,37.600
'6:07:35.264',0.008,-,-,-,-0.040,-,92.800,37.000
'6:07:35.272',0.008,-,-,-,-0.040,-,88.000,36.600
'6:07:35.280',0.000,-,-,-,-0.040,-,82.400,36.200
'6:07:35.288',0.008,-,-,-,-0.040,-,78.400,36.000
'6:07:35.296',0.000,-,-,-,-0.040,-,76.000,35.800
'6:07:35.304',0.000,-,-,-,-0.040,-,74.400,35.400
'6:07:35.312',0.000,-,-,-,-0.040,-,74.400,35.000
'6:07:35.320',0.000,-,-,-,-0.040,-,75.200,34.600
'6:07:35.328',0.000,-,-,-,-0.040,-,76.800,34.200
'6:07:35.336',0.000,-,-,-,-0.040,-,77.600,34.000
'6:07:35.344',0.000,-,-,-,-0.040,-,78.400,33.800
'6:07:35.352',0.000,-,-,-,-0.040,-,79.200,33.400
'6:07:35.360',0.000,-,-,-,-0.040,-,79.200,33.000
'6:07:35.368',0.000,-,-,-,-0.040,-,79.200,32.600
'6:07:35.376',0.000,-,-,-,-0.040,-,78.400,32.400
'6:07:35.384',0.000,-,-,-,-0.020,-,76.800,32.000
'6:07:35.392',0.000,-,-,-,-0.040,-,76.000,31.600
'6:07:35.400',0.000,-,-,-,-0.020,-,74.400,31.400
'6:07:35.408',0.000,-,-,-,-0.040,-,72.800,31.200
'6:07:35.416',0.000,-,-,-,-0.020,-,71.200,31.000
'6:07:35.424',-0.008,-,-,-,-0.020,-,70.400,30.800
'6:07:35.432',0.000,-,-,-,-0.020,-,69.600,30.400
'6:07:35.440',0.000,-,-,-,-0.040,-,68.800,30.200
'6:07:35.448',0.000,-,-,-,-0.020,-,68.000,30.000
'6:07:35.456',0.000,-,-,-,-0.040,-,68.000,29.800
'6:07:35.464',0.000,-,-,-,-0.040,-,68.000,29.600
'6:07:35.472',0.000,-,-,-,-0.040,-,67.200,29.400
'6:07:35.480',0.000,-,-,-,-0.040,-,67.200,29.200
'6:07:35.488',0.000,-,-,-,-0.040,-,66.400,29.000
'6:07:35.496',0.000,-,-,-,-0.040,-,66.400,28.600
'6:07:35.504',0.000,-,-,-,-0.020,-,65.600,28.400
'6:07:35.512',0.000,-,-,-,-0.040,-,65.600,28.400
