'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'12:07.192',-0.017,-,-,-,-,99.200,44.880
'12:07.200',-0.009,-,-,-,-,99.200,44.880
'12:07.208',-0.009,-,-,-,-,98.400,44.880
'12:07.216',0.000,-,-,-,-,98.400,44.880
'12:07.224',0.000,-,-,-,-,98.400,44.880
'12:07.232',0.000,-,-,-,-,99.200,44.880
'12:07.240',0.000,-,-,-,-,100.000,44.880
'12:07.248',0.017,-,-,-,-,101.600,44.880
'12:07.256',0.035,-,-,-,-,103.200,44.880
'12:07.264',0.035,-,-,-,-,104.000,44.880
'12:07.272',0.035,-,-,-,-,105.600,44.880
'12:07.280',0.043,-,-,-,-,107.200,44.880
'12:07.288',0.043,-,-,-,-,109.600,44.880
'12:07.296',0.043,-,-,-,-,111.200,44.880
'12:07.304',0.043,-,-,-,-,112.800,44.880
'12:07.312',1.522,-,-,-,-,114.400,44.880
'12:07.320',-,-,-,-,-,116.800,44.880
'12:07.328',0.009,-,-,-,-,118.400,44.880
'12:07.336',-0.009,-,-,-,-,119.200,44.880
'12:07.344',0.000,-,-,-,-,120.800,44.880
'12:07.352',-0.009,-,-,-,-,120.800,44.880
'12:07.360',-0.009,-,-,-,-,120.800,44.880
'12:07.368',-0.009,-,-,-,-,120.000,44.880
'12:07.376',-0.009,-,-,-,-,119.200,44.880
'12:07.384',-0.017,-,-,-,-,117.600,44.880
'12:07.392',-0.035,-,-,-,-,116.000,44.880
'12:07.400',-0.052,-,-,-,-,113.600,44.880
'12:07.408',-0.070,-,-,-,-,111.200,44.880
'12:07.416',-0.104,-,-,-,-,108.000,44.880
'12:07.424',-0.113,-,-,-,-,104.800,44.880
'12:07.432',-0.070,-,-,-,-,102.400,44.880
'12:07.440',0.009,-,-,-,-,99.200,44.880
'12:07.448',0.070,-,-,-,-,96.000,44.880
'12:07.456',0.052,-,-,-,-,93.600,44.880
'12:07.464',0.035,-,-,-,-,90.400,44.880
'12:07.472',0.043,-,-,-,-,88.000,44.880
'12:07.480',0.052,-,-,-,-,85.600,44.880
'12:07.488',0.043,-,-,-,-,83.200,44.880
'12:07.496',0.017,-,-,-,-,80.800,44.880
'12:07.504',0.017,-,-,-,-,79.200,44.880
'12:07.512',0.035,-,-,-,-,78.400,44.880
'12:07.520',0.017,-,-,-,-,78.400,44.880
'12:07.528',0.017,-,-,-,-,78.400,44.880
'12:07.536',0.009,-,-,-,-,79.200,44.880
'12:07.544',0.017,-,-,-,-,80.800,44.880
'12:07.552',0.017,-,-,-,-,82.400,44.880
'12:07.560',0.009,-,-,-,-,84.000,44.880
'12:07.568',0.009,-,-,-,-,86.400,44.880
'12:07.576',0.009,-,-,-,-,88.800,44.880
'12:07.584',0.017,-,-,-,-,91.200,44.880
'12:07.592',0.009,-,-,-,-,92.800,44.880
'12:07.600',0.000,-,-,-,-,95.200,44.880
'12:07.608',0.000,-,-,-,-,96.800,44.880
'12:07.616',-0.017,-,-,-,-,98.400,44.880
'12:07.624',-0.017,-,-,-,-,100.000,44.880
'12:07.632',-0.035,-,-,-,-,100.800,44.880
'12:07.640',-0.043,-,-,-,-,101.600,44.880
'12:07.648',-0.052,-,-,-,-,102.400,44.880
'12:07.656',-0.043,-,-,-,-,102.400,44.880
'12:07.664',-0.043,-,-,-,-,102.400,44.880
'12:07.672',-0.035,-,-,-,-,102.400,44.880
'12:07.680',-0.017,-,-,-,-,102.400,44.880
'12:07.688',-0.009,-,-,-,-,101.600,44.880
'12:07.696',-0.009,-,-,-,-,101.600,44.880
'12:07.704',0.000,-,-,-,-,101.600,44.880
'12:07.712',0.000,-,-,-,-,100.800,44.880
'12:07.720',0.000,-,-,-,-,100.000,44.880
'12:07.728',0.000,-,-,-,-,100.000,44.880
'12:07.736',0.009,-,-,-,-,100.000,44.880
'12:07.744',0.017,-,-,-,-,100.000,44.880
'12:07.752',0.009,-,-,-,-,101.600,44.880
'12:07.760',0.000,-,-,-,-,102.400,44.880
'12:07.768',0.009,-,-,-,-,103.200,44.880
'12:07.776',0.017,-,-,-,-,104.000,44.880
'12:07.784',0.035,-,-,-,-,104.800,44.880
'12:07.792',0.035,-,-,-,-,105.600,44.880
'12:07.800',0.035,-,-,-,-,107.200,44.880
'12:07.808',0.017,-,-,-,-,108.800,44.880
'12:07.816',0.000,-,-,-,-,110.400,44.880
'12:07.824',-0.009,-,-,-,-,112.000,44.880
'12:07.832',1.522,-,-,-,-,113.600,44.880
'12:07.840',-,-,-,-,-,116.000,44.880
'12:07.848',-0.043,-,-,-,-,116.800,44.880
'12:07.856',-0.043,-,-,-,-,118.400,44.880
'12:07.864',-0.043,-,-,-,-,119.200,44.880
'12:07.872',-0.043,-,-,-,-,120.000,44.880
'12:07.880',-0.035,-,-,-,-,120.800,44.880
'12:07.888',-0.009,-,-,-,-,120.000,44.880
'12:07.896',-0.009,-,-,-,-,119.200,44.880
'12:07.904',-0.043,-,-,-,-,117.600,44.880
'12:07.912',-0.104,-,-,-,-,116.000,44.880
'12:07.920',-0.139,-,-,-,-,114.400,44.880
'12:07.928',-0.157,-,-,-,-,112.000,44.880
'12:07.936',-0.070,-,-,-,-,109.600,44.880
'12:07.944',0.017,-,-,-,-,106.400,44.880
'12:07.952',0.043,-,-,-,-,104.000,44.880
'12:07.960',0.017,-,-,-,-,100.800,44.880
'12:07.968',0.009,-,-,-,-,98.400,44.880
'12:07.976',0.009,-,-,-,-,95.200,44.880
'12:07.984',0.000,-,-,-,-,92.800,44.880
'12:07.992',0.000,-,-,-,-,90.400,44.880
'12:08.000',0.000,-,-,-,-,88.000,44.880
'12:08.008',0.000,-,-,-,-,85.600,44.880
'12:08.016',0.000,-,-,-,-,84.000,44.880
'12:08.024',0.000,-,-,-,-,84.000,44.880
'12:08.032',0.017,-,-,-,-,84.000,44.880
'12:08.040',0.035,-,-,-,-,84.800,44.880
'12:08.048',0.017,-,-,-,-,86.400,44.880
'12:08.056',0.017,-,-,-,-,88.000,44.880
'12:08.064',0.017,-,-,-,-,89.600,44.880
'12:08.072',0.009,-,-,-,-,92.000,44.880
'12:08.080',0.009,-,-,-,-,93.600,44.880
'12:08.088',0.009,-,-,-,-,95.200,44.880
'12:08.096',0.000,-,-,-,-,97.600,44.880
'12:08.104',0.000,-,-,-,-,99.200,44.880
'12:08.112',-0.009,-,-,-,-,100.000,44.880
'12:08.120',-0.009,-,-,-,-,101.600,44.880
'12:08.128',-0.017,-,-,-,-,102.400,44.880
'12:08.136',-0.035,-,-,-,-,103.200,44.880
'12:08.144',-0.043,-,-,-,-,104.000,44.880
'12:08.152',-0.017,-,-,-,-,104.000,44.880
'12:08.160',-0.009,-,-,-,-,104.800,44.880
'12:08.168',-0.009,-,-,-,-,104.800,44.880
'12:08.176',-0.035,-,-,-,-,104.800,44.880
'12:08.184',-0.043,-,-,-,-,104.800,44.880
'12:08.192',-0.035,-,-,-,-,104.800,44.880
'12:08.200',-0.009,-,-,-,-,104.800,44.880
'12:08.208',0.009,-,-,-,-,104.800,44.880
'12:08.216',0.009,-,-,-,-,104.800,44.880
'12:08.224',0.009,-,-,-,-,104.800,44.880
'12:08.232',0.009,-,-,-,-,105.600,44.880
'12:08.240',0.009,-,-,-,-,106.400,44.880
'12:08.248',0.000,-,-,-,-,107.200,44.880
'12:08.256',0.009,-,-,-,-,107.200,44.880
'12:08.264',0.009,-,-,-,-,108.000,44.880
'12:08.272',0.000,-,-,-,-,108.800,44.880
'12:08.280',0.000,-,-,-,-,109.600,44.880
'12:08.288',0.017,-,-,-,-,110.400,44.880
'12:08.296',0.035,-,-,-,-,112.000,44.880
'12:08.304',1.522,-,-,-,-,112.800,44.880
'12:08.312',-,-,-,-,-,114.400,44.880
'12:08.320',0.017,-,-,-,-,116.000,44.880
'12:08.328',0.000,-,-,-,-,117.600,44.880
'12:08.336',-0.009,-,-,-,-,119.200,44.880
'12:08.344',-0.009,-,-,-,-,120.000,44.880
'12:08.352',-0.035,-,-,-,-,120.800,44.880
'12:08.360',-0.052,-,-,-,-,120.800,44.880
'12:08.368',-0.052,-,-,-,-,120.000,44.880
'12:08.376',-0.052,-,-,-,-,118.400,44.880
'12:08.384',-0.052,-,-,-,-,116.800,44.880
'12:08.392',-0.035,-,-,-,-,115.200,44.880
'12:08.400',-0.035,-,-,-,-,112.800,44.880
'12:08.408',-0.052,-,-,-,-,110.400,44.880
'12:08.416',-0.096,-,-,-,-,107.200,44.880
'12:08.424',-0.130,-,-,-,-,104.800,44.880
'12:08.432',-0.113,-,-,-,-,101.600,44.880
'12:08.440',-0.017,-,-,-,-,98.400,44.880
'12:08.448',0.052,-,-,-,-,96.000,44.880
'12:08.456',0.070,-,-,-,-,92.800,44.880
'12:08.464',0.052,-,-,-,-,90.400,44.880
'12:08.472',0.052,-,-,-,-,87.200,44.880
'12:08.480',0.052,-,-,-,-,84.800,44.880
'12:08.488',0.052,-,-,-,-,82.400,44.880
'12:08.496',0.043,-,-,-,-,80.800,44.880
'12:08.504',0.043,-,-,-,-,79.200,44.880
'12:08.512',0.052,-,-,-,-,78.400,44.880
'12:08.520',0.052,-,-,-,-,78.400,44.880
'12:08.528',0.035,-,-,-,-,79.200,44.880
'12:08.536',0.009,-,-,-,-,80.000,44.880
'12:08.544',0.009,-,-,-,-,81.600,44.880
'12:08.552',0.009,-,-,-,-,84.000,44.880
'12:08.560',0.035,-,-,-,-,86.400,44.880
'12:08.568',0.035,-,-,-,-,88.800,44.880
'12:08.576',0.017,-,-,-,-,90.400,44.880
'12:08.584',0.017,-,-,-,-,92.800,44.880
'12:08.592',0.017,-,-,-,-,94.400,44.880
'12:08.600',0.009,-,-,-,-,96.000,44.880
'12:08.608',0.000,-,-,-,-,97.600,44.880
'12:08.616',-0.009,-,-,-,-,99.200,44.880
'12:08.624',-0.035,-,-,-,-,100.800,44.880
'12:08.632',-0.035,-,-,-,-,102.400,44.880
'12:08.640',-0.017,-,-,-,-,103.200,44.880
'12:08.648',-0.009,-,-,-,-,104.000,44.880
'12:08.656',-0.009,-,-,-,-,104.000,44.880
'12:08.664',-0.009,-,-,-,-,104.000,44.880
'12:08.672',-0.017,-,-,-,-,104.000,44.880
'12:08.680',0.000,-,-,-,-,104.000,44.880
'12:08.688',0.000,-,-,-,-,103.200,44.880
'12:08.696',0.000,-,-,-,-,103.200,44.880
'12:08.704',0.000,-,-,-,-,102.400,44.880
'12:08.712',0.000,-,-,-,-,101.600,44.880
'12:08.720',0.000,-,-,-,-,100.800,44.880
'12:08.728',0.000,-,-,-,-,100.800,44.880
'12:08.736',0.009,-,-,-,-,100.000,44.880
'12:08.744',0.009,-,-,-,-,100.800,44.880
'12:08.752',0.009,-,-,-,-,101.600,44.880
'12:08.760',1.522,-,-,-,-,102.400,44.880
'12:08.768',-,-,-,-,-,103.200,44.880
'12:08.776',0.043,-,-,-,-,104.800,44.880
'12:08.784',0.070,-,-,-,-,105.600,44.880
'12:08.792',0.070,-,-,-,-,107.200,44.880
'12:08.800',0.078,-,-,-,-,108.000,44.880
'12:08.808',0.078,-,-,-,-,109.600,44.880
'12:08.816',0.070,-,-,-,-,110.400,44.880
'12:08.824',0.043,-,-,-,-,112.000,44.880
'12:08.832',0.035,-,-,-,-,113.600,44.880
'12:08.840',0.009,-,-,-,-,114.400,44.880
'12:08.848',0.000,-,-,-,-,116.000,44.880
'12:08.856',-0.009,-,-,-,-,117.600,44.880
'12:08.864',-0.009,-,-,-,-,118.400,44.880
'12:08.872',-0.009,-,-,-,-,119.200,44.880
'12:08.880',-0.009,-,-,-,-,119.200,44.880
'12:08.888',-0.017,-,-,-,-,118.400,44.880
'12:08.896',-0.035,-,-,-,-,117.600,44.880
'12:08.904',-0.043,-,-,-,-,116.000,44.880
'12:08.912',-0.043,-,-,-,-,114.400,44.880
'12:08.920',-0.070,-,-,-,-,112.000,44.880
'12:08.928',-0.096,-,-,-,-,109.600,44.880
'12:08.936',-0.104,-,-,-,-,106.400,44.880
'12:08.944',-0.017,-,-,-,-,104.000,44.880
'12:08.952',0.070,-,-,-,-,100.800,44.880
'12:08.960',0.113,-,-,-,-,98.400,44.880
'12:08.968',0.096,-,-,-,-,95.200,44.880
'12:08.976',0.070,-,-,-,-,92.000,44.880
'12:08.984',0.070,-,-,-,-,89.600,44.880
'12:08.992',0.070,-,-,-,-,86.400,44.880
'12:09.000',0.070,-,-,-,-,84.000,44.880
'12:09.008',0.078,-,-,-,-,81.600,44.880
'12:09.016',0.070,-,-,-,-,80.000,44.880
'12:09.024',0.052,-,-,-,-,79.200,44.880
'12:09.032',0.043,-,-,-,-,79.200,44.880
'12:09.040',0.043,-,-,-,-,79.200,44.880
'12:09.048',0.052,-,-,-,-,80.800,44.880
'12:09.056',0.070,-,-,-,-,82.400,44.880
'12:09.064',0.070,-,-,-,-,84.000,44.880
'12:09.072',0.070,-,-,-,-,86.400,44.880
'12:09.080',0.070,-,-,-,-,88.000,44.880
'12:09.088',0.070,-,-,-,-,90.400,44.880
'12:09.096',0.052,-,-,-,-,92.000,44.880
'12:09.104',0.052,-,-,-,-,93.600,44.880
'12:09.112',0.052,-,-,-,-,95.200,44.880
'12:09.120',0.035,-,-,-,-,96.000,44.880
'12:09.128',0.009,-,-,-,-,96.800,44.880
'12:09.136',0.000,-,-,-,-,97.600,44.880
'12:09.144',0.000,-,-,-,-,97.600,44.880
'12:09.152',0.009,-,-,-,-,98.400,44.880
'12:09.160',0.009,-,-,-,-,99.200,44.880
'12:09.168',0.009,-,-,-,-,99.200,44.880
'12:09.176',0.017,-,-,-,-,99.200,44.880
'12:09.184',0.009,-,-,-,-,99.200,44.880
'12:09.192',0.000,-,-,-,-,99.200,44.880
'12:09.200',0.000,-,-,-,-,99.200,44.880
'12:09.208',0.000,-,-,-,-,98.400,44.880
'12:09.216',0.009,-,-,-,-,98.400,44.880
'12:09.224',0.009,-,-,-,-,98.400,44.880
'12:09.232',0.017,-,-,-,-,99.200,44.880
'12:09.240',0.017,-,-,-,-,99.200,44.880
'12:09.248',0.009,-,-,-,-,100.000,44.880
'12:09.256',0.017,-,-,-,-,101.600,44.880
'12:09.264',0.035,-,-,-,-,102.400,44.880
'12:09.272',0.035,-,-,-,-,103.200,44.880
'12:09.280',0.035,-,-,-,-,104.800,44.880
'12:09.288',0.035,-,-,-,-,105.600,44.880
'12:09.296',0.043,-,-,-,-,107.200,44.880
'12:09.304',0.043,-,-,-,-,108.800,44.880
'12:09.312',0.043,-,-,-,-,111.200,44.880
'12:09.320',0.035,-,-,-,-,112.800,44.880
'12:09.328',0.017,-,-,-,-,114.400,44.880
'12:09.336',0.009,-,-,-,-,116.800,44.880
'12:09.344',0.009,-,-,-,-,118.400,44.880
'12:09.352',0.000,-,-,-,-,119.200,44.880
'12:09.360',-0.009,-,-,-,-,120.800,44.880
'12:09.368',-0.017,-,-,-,-,120.800,44.880
'12:09.376',-0.009,-,-,-,-,120.000,44.880
'12:09.384',-0.009,-,-,-,-,119.200,44.880
'12:09.392',-0.009,-,-,-,-,117.600,44.880
'12:09.400',-0.035,-,-,-,-,115.200,44.880
'12:09.408',-0.043,-,-,-,-,112.800,44.880
'12:09.416',-0.052,-,-,-,-,109.600,44.880
'12:09.424',-0.052,-,-,-,-,107.200,44.880
'12:09.432',-0.078,-,-,-,-,104.000,44.880
'12:09.440',-0.096,-,-,-,-,100.800,44.880
'12:09.448',-0.035,-,-,-,-,98.400,44.880
'12:09.456',0.035,-,-,-,-,95.200,44.880
'12:09.464',0.070,-,-,-,-,92.000,44.880
'12:09.472',0.043,-,-,-,-,89.600,44.880
'12:09.480',0.035,-,-,-,-,87.200,44.880
'12:09.488',0.017,-,-,-,-,84.800,44.880
'12:09.496',0.009,-,-,-,-,82.400,44.880
'12:09.504',0.009,-,-,-,-,80.000,44.880
'12:09.512',0.009,-,-,-,-,78.400,44.880
'12:09.520',0.017,-,-,-,-,76.800,44.880
'12:09.528',0.017,-,-,-,-,76.000,44.880
'12:09.536',0.009,-,-,-,-,76.000,44.880
'12:09.544',0.009,-,-,-,-,77.600,44.880
'12:09.552',0.017,-,-,-,-,79.200,44.880
'12:09.560',0.035,-,-,-,-,80.800,44.880
'12:09.568',0.035,-,-,-,-,82.400,44.880
'12:09.576',0.043,-,-,-,-,84.800,44.880
'12:09.584',0.035,-,-,-,-,87.200,44.880
'12:09.592',0.035,-,-,-,-,88.800,44.880
'12:09.600',0.017,-,-,-,-,91.200,44.880
'12:09.608',0.017,-,-,-,-,92.800,44.880
'12:09.616',0.009,-,-,-,-,94.400,44.880
'12:09.624',0.009,-,-,-,-,96.000,44.880
'12:09.632',0.000,-,-,-,-,96.800,44.880
'12:09.640',-0.009,-,-,-,-,98.400,44.880
'12:09.648',-0.017,-,-,-,-,99.200,44.880
'12:09.656',-0.009,-,-,-,-,100.000,44.880
'12:09.664',-0.009,-,-,-,-,100.800,44.880
'12:09.672',-0.009,-,-,-,-,100.800,44.880
'12:09.680',-0.009,-,-,-,-,101.600,44.880
'12:09.688',-0.009,-,-,-,-,101.600,44.880
