'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'24:51.192',0.078,-,-,-,-,84.800,39.720
'24:51.200',0.078,-,-,-,-,88.000,40.080
'24:51.208',0.096,-,-,-,-,92.000,38.160
'24:51.216',0.096,-,-,-,-,95.200,35.280
'24:51.224',0.096,-,-,-,-,98.400,33.360
'24:51.232',0.078,-,-,-,-,101.600,32.760
'24:51.240',0.078,-,-,-,-,104.000,33.480
'24:51.248',0.070,-,-,-,-,105.600,35.160
'24:51.256',0.052,-,-,-,-,107.200,36.480
'24:51.264',0.043,-,-,-,-,108.800,37.080
'24:51.272',0.035,-,-,-,-,109.600,36.720
'24:51.280',0.035,-,-,-,-,110.400,35.760
'24:51.288',0.035,-,-,-,-,110.400,34.320
'24:51.296',0.035,-,-,-,-,110.400,33.120
'24:51.304',0.043,-,-,-,-,110.400,32.520
'24:51.312',0.052,-,-,-,-,109.600,32.160
'24:51.320',0.043,-,-,-,-,108.800,31.920
'24:51.328',0.043,-,-,-,-,108.000,31.320
'24:51.336',0.052,-,-,-,-,106.400,29.880
'24:51.344',0.070,-,-,-,-,104.800,28.080
'24:51.352',0.070,-,-,-,-,104.000,27.120
'24:51.360',0.070,-,-,-,-,103.200,27.120
'24:51.368',0.070,-,-,-,-,103.200,27.960
'24:51.376',0.070,-,-,-,-,104.000,29.280
'24:51.384',0.070,-,-,-,-,104.800,30.480
'24:51.392',0.078,-,-,-,-,106.400,31.680
'24:51.400',0.078,-,-,-,-,107.200,32.280
'24:51.408',0.078,-,-,-,-,109.600,32.160
'24:51.416',0.078,-,-,-,-,112.000,31.080
'24:51.424',0.096,-,-,-,-,113.600,29.760
'24:51.432',0.096,-,-,-,-,116.000,28.080
'24:51.440',0.078,-,-,-,-,118.400,27.120
'24:51.448',0.078,-,-,-,-,120.800,27.360
'24:51.456',0.052,-,-,-,-,123.200,28.920
'24:51.464',0.035,-,-,-,-,124.800,32.160
'24:51.472',0.017,-,-,-,-,127.200,34.680
'24:51.480',0.017,-,-,-,-,128.000,34.680
'24:51.488',0.017,-,-,-,-,129.600,32.280
'24:51.496',0.017,-,-,-,-,129.600,29.160
'24:51.504',0.009,-,-,-,-,128.800,27.120
'24:51.512',0.009,-,-,-,-,127.200,26.760
'24:51.520',0.009,-,-,-,-,124.000,27.480
'24:51.528',0.009,-,-,-,-,120.800,28.920
'24:51.536',0.000,-,-,-,-,116.800,30.120
'24:51.544',-0.043,-,-,-,-,112.800,30.720
'24:51.552',-0.096,-,-,-,-,108.800,30.960
'24:51.560',-0.113,-,-,-,-,104.000,30.720
'24:51.568',-0.035,-,-,-,-,100.000,29.880
'24:51.576',0.070,-,-,-,-,96.000,29.160
