'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'35:02:43.152',-0.040,-,-,56.800
'35:02:43.160',-0.040,-,-,56.800
'35:02:43.168',-0.032,-,-,56.000
'35:02:43.176',-0.040,-,-,56.000
'35:02:43.184',-0.040,-,-,55.200
'35:02:43.192',-0.040,-,-,55.200
'35:02:43.200',-0.040,-,-,55.200
'35:02:43.208',-0.040,-,-,54.400
'35:02:43.216',-0.040,-,-,54.400
'35:02:43.224',-0.040,-,-,54.400
'35:02:43.232',-0.040,-,-,53.600
'35:02:43.240',-0.040,-,-,53.600
'35:02:43.248',-0.048,-,-,53.600
'35:02:43.256',-0.032,-,-,53.600
'35:02:43.264',0.024,-,-,53.600
'35:02:43.272',0.160,-,-,52.800
'35:02:43.280',0.312,-,-,52.800
'35:02:43.288',0.416,-,-,52.800
'35:02:43.296',0.440,-,-,52.800
'35:02:43.304',0.416,-,-,52.800
'35:02:43.312',0.344,-,-,52.000
'35:02:43.320',0.192,-,-,52.000
'35:02:43.328',0.048,-,-,52.000
'35:02:43.336',-0.032,-,-,52.000
'35:02:43.344',-0.056,-,-,51.200
'35:02:43.352',-0.056,-,-,51.200
'35:02:43.360',-0.048,-,-,51.200
'35:02:43.368',-0.040,-,-,51.200
'35:02:43.376',-0.040,-,-,50.400
'35:02:43.384',-0.040,-,-,50.400
'35:02:43.392',-0.040,-,-,50.400
'35:02:43.400',-0.040,-,-,49.600
'35:02:43.408',-0.040,-,-,49.600
'35:02:43.416',-0.032,-,-,49.600
'35:02:43.424',-0.024,-,-,49.600
'35:02:43.432',-0.016,-,-,49.600
'35:02:43.440',-0.016,-,-,50.400
'35:02:43.448',-0.016,-,-,51.200
'35:02:43.456',-0.016,-,-,52.800
'35:02:43.464',-0.008,-,-,54.400
'35:02:43.472',0.000,-,-,57.600
'35:02:43.480',0.008,-,-,61.600
'35:02:43.488',0.016,-,-,66.400
'35:02:43.496',0.016,-,-,70.400
'35:02:43.504',0.024,-,-,76.000
'35:02:43.512',0.032,-,-,80.800
'35:02:43.520',0.048,-,-,85.600
'35:02:43.528',0.064,-,-,90.400
'35:02:43.536',0.072,-,-,94.400
'35:02:43.544',0.080,-,-,98.400
'35:02:43.552',0.088,-,-,101.600
'35:02:43.560',0.088,-,-,104.000
'35:02:43.568',0.088,-,-,105.600
'35:02:43.576',0.088,-,-,107.200
'35:02:43.584',0.080,-,-,107.200
'35:02:43.592',0.072,-,-,107.200
'35:02:43.600',0.064,-,-,107.200
'35:02:43.608',0.048,-,-,106.400
'35:02:43.616',0.032,-,-,105.600
'35:02:43.624',0.016,-,-,104.000
'35:02:43.632',-0.008,-,-,102.400
'35:02:43.640',-0.024,-,-,100.800
'35:02:43.648',-0.032,-,-,98.400
'35:02:43.656',-0.040,-,-,96.800
'35:02:43.664',-0.048,-,-,93.600
'35:02:43.672',-0.048,-,-,91.200
'35:02:43.680',-0.056,-,-,88.000
'35:02:43.688',-0.056,-,-,84.800
'35:02:43.696',-0.048,-,-,81.600
'35:02:43.704',-0.040,-,-,78.400
'35:02:43.712',-0.040,-,-,75.200
'35:02:43.720',-0.040,-,-,72.800
'35:02:43.728',-0.040,-,-,70.400
'35:02:43.736',-0.040,-,-,68.000
'35:02:43.744',-0.024,-,-,66.400
'35:02:43.752',-0.016,-,-,64.800
'35:02:43.760',-0.016,-,-,64.000
'35:02:43.768',-0.016,-,-,63.200
'35:02:43.776',-0.016,-,-,63.200
'35:02:43.784',-0.016,-,-,63.200
'35:02:43.792',-0.024,-,-,63.200
'35:02:43.800',-0.040,-,-,63.200
'35:02:43.808',-0.040,-,-,64.000
'35:02:43.816',-0.048,-,-,64.000
'35:02:43.824',-0.056,-,-,64.800
'35:02:43.832',-0.056,-,-,64.800
'35:02:43.840',-0.056,-,-,64.800
'35:02:43.848',-0.064,-,-,64.800
'35:02:43.856',-0.072,-,-,64.800
'35:02:43.864',-0.072,-,-,64.800
'35:02:43.872',-0.072,-,-,64.800
'35:02:43.880',-0.072,-,-,64.800
'35:02:43.888',-0.072,-,-,64.000
'35:02:43.896',-0.072,-,-,63.200
'35:02:43.904',-0.072,-,-,63.200
