'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'35:25:42.072',-0.179,0.049,56.000,-
'35:25:42.080',-0.262,0.134,56.000,-
'35:25:42.088',-0.226,0.049,55.200,-
'35:25:42.096',-0.262,0.049,55.200,-
'35:25:42.104',-0.226,0.110,55.200,-
'35:25:42.112',-0.226,0.134,55.200,-
'35:25:42.120',-0.179,0.110,56.000,-
'35:25:42.128',-0.226,0.073,56.800,-
'35:25:42.136',-0.226,0.134,60.000,-
'35:25:42.144',-0.179,0.159,67.200,-
'35:25:42.152',-0.226,0.049,79.200,-
'35:25:42.160',-0.179,0.073,92.000,-
'35:25:42.168',-0.226,0.183,100.800,-
'35:25:42.176',-0.179,0.024,103.200,-
'35:25:42.184',-0.131,0.000,104.000,-
'35:25:42.192',-0.131,0.049,106.400,-
'35:25:42.200',-0.131,0.073,111.200,-
'35:25:42.208',-0.179,0.049,114.400,-
'35:25:42.216',-0.131,0.049,115.200,-
'35:25:42.224',-0.083,0.049,116.000,-
'35:25:42.232',-0.083,0.049,119.200,-
'35:25:42.240',-0.083,0.024,122.400,-
'35:25:42.248',-0.083,0.000,124.800,-
'35:25:42.256',0.000,0.000,125.600,-
'35:25:42.264',0.000,0.000,125.600,-
'35:25:42.272',0.000,-0.024,127.200,-
'35:25:42.280',-0.036,0.049,128.800,-
'35:25:42.288',0.000,-0.110,128.800,-
'35:25:42.296',0.036,-0.159,128.000,-
'35:25:42.304',0.036,-0.134,127.200,-
'35:25:42.312',0.000,-0.110,126.400,-
'35:25:42.320',0.000,-0.073,125.600,-
'35:25:42.328',0.000,-0.049,124.800,-
'35:25:42.336',0.000,-0.049,122.400,-
'35:25:42.344',0.000,-0.024,120.000,-
'35:25:42.352',0.000,0.000,116.800,-
'35:25:42.360',0.000,0.000,113.600,-
'35:25:42.368',-0.036,0.000,109.600,-
'35:25:42.376',-0.036,0.000,105.600,-
'35:25:42.384',0.000,0.049,100.800,-
'35:25:42.392',-0.083,0.000,96.800,-
'35:25:42.400',-0.036,0.000,92.800,-
'35:25:42.408',0.000,0.024,90.400,-
'35:25:42.416',0.000,0.000,89.600,-
'35:25:42.424',0.000,0.024,89.600,-
'35:25:42.432',0.000,0.000,88.000,-
