'Elapsed time','I','II','AVR','AVL','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'13:44.192',-0.009,-,-,-,-,65.600,44.880
'13:44.200',-0.017,-,-,-,-,67.200,44.880
'13:44.208',-0.035,-,-,-,-,68.800,44.880
'13:44.216',-0.035,-,-,-,-,70.400,44.880
'13:44.224',-0.035,-,-,-,-,70.400,44.880
'13:44.232',-0.043,-,-,-,-,70.400,44.880
'13:44.240',-0.035,-,-,-,-,69.600,44.880
'13:44.248',-0.017,-,-,-,-,68.000,44.880
'13:44.256',-0.017,-,-,-,-,65.600,44.880
'13:44.264',-0.035,-,-,-,-,62.400,44.880
'13:44.272',-0.070,-,-,-,-,59.200,44.880
'13:44.280',-0.113,-,-,-,-,55.200,44.880
'13:44.288',-0.130,-,-,-,-,52.000,44.880
'13:44.296',-0.052,-,-,-,-,48.000,44.880
'13:44.304',0.017,-,-,-,-,44.000,44.880
'13:44.312',0.070,-,-,-,-,40.000,44.880
'13:44.320',0.070,-,-,-,-,36.000,44.880
'13:44.328',0.052,-,-,-,-,32.800,44.880
'13:44.336',0.052,-,-,-,-,30.400,44.880
'13:44.344',0.052,-,-,-,-,28.000,44.880
'13:44.352',0.052,-,-,-,-,25.600,44.880
'13:44.360',0.052,-,-,-,-,24.000,44.880
'13:44.368',0.035,-,-,-,-,23.200,44.880
'13:44.376',0.017,-,-,-,-,23.200,44.880
'13:44.384',0.009,-,-,-,-,23.200,44.880
'13:44.392',0.009,-,-,-,-,24.000,44.880
'13:44.400',0.017,-,-,-,-,24.800,44.880
'13:44.408',0.017,-,-,-,-,26.400,44.880
'13:44.416',0.017,-,-,-,-,28.800,44.880
'13:44.424',0.009,-,-,-,-,30.400,44.880
'13:44.432',0.009,-,-,-,-,32.800,44.880
'13:44.440',0.009,-,-,-,-,36.000,44.880
'13:44.448',0.017,-,-,-,-,39.200,44.880
'13:44.456',0.035,-,-,-,-,41.600,44.880
'13:44.464',0.017,-,-,-,-,43.200,44.880
'13:44.472',0.009,-,-,-,-,45.600,44.880
'13:44.480',-0.009,-,-,-,-,47.200,44.880
'13:44.488',-0.009,-,-,-,-,48.800,44.880
'13:44.496',-0.009,-,-,-,-,49.600,44.880
'13:44.504',0.000,-,-,-,-,50.400,44.880
'13:44.512',0.000,-,-,-,-,50.400,44.880
'13:44.520',0.000,-,-,-,-,50.400,44.880
'13:44.528',0.000,-,-,-,-,50.400,44.880
'13:44.536',-0.009,-,-,-,-,50.400,44.880
'13:44.544',-0.009,-,-,-,-,50.400,44.880
'13:44.552',-0.009,-,-,-,-,49.600,44.880
'13:44.560',0.000,-,-,-,-,48.800,44.880
'13:44.568',-0.009,-,-,-,-,48.000,44.880
'13:44.576',-0.009,-,-,-,-,46.400,44.880
'13:44.584',-0.009,-,-,-,-,45.600,44.880
'13:44.592',-0.009,-,-,-,-,44.800,44.880
'13:44.600',0.000,-,-,-,-,44.800,44.880
'13:44.608',0.009,-,-,-,-,44.800,44.880
'13:44.616',0.017,-,-,-,-,44.800,44.880
'13:44.624',0.017,-,-,-,-,45.600,44.880
'13:44.632',0.017,-,-,-,-,47.200,44.880
'13:44.640',0.017,-,-,-,-,48.800,44.880
'13:44.648',0.017,-,-,-,-,50.400,44.880
'13:44.656',0.017,-,-,-,-,52.000,44.880
'13:44.664',0.017,-,-,-,-,53.600,44.880
'13:44.672',0.035,-,-,-,-,56.000,44.880
'13:44.680',0.017,-,-,-,-,58.400,44.880
'13:44.688',0.009,-,-,-,-,61.600,44.880
'13:44.696',0.000,-,-,-,-,63.200,44.880
'13:44.704',0.000,-,-,-,-,65.600,44.880
'13:44.712',-0.009,-,-,-,-,68.000,44.880
'13:44.720',-0.017,-,-,-,-,69.600,44.880
'13:44.728',-0.017,-,-,-,-,72.000,44.880
'13:44.736',-0.009,-,-,-,-,72.800,44.880
'13:44.744',-0.017,-,-,-,-,73.600,44.880
'13:44.752',-0.009,-,-,-,-,72.800,44.880
'13:44.760',-0.009,-,-,-,-,71.200,44.880
'13:44.768',-0.009,-,-,-,-,69.600,44.880
'13:44.776',-0.035,-,-,-,-,67.200,44.880
'13:44.784',-0.070,-,-,-,-,64.000,44.880
'13:44.792',-0.104,-,-,-,-,60.800,44.880
'13:44.800',-0.130,-,-,-,-,57.600,44.880
'13:44.808',-0.078,-,-,-,-,53.600,44.880
'13:44.816',0.000,-,-,-,-,50.400,44.880
