'Elapsed time','I','AVF','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'34:56:09.152',-0.024,-,-,48.800
'34:56:09.160',-0.016,-,-,48.800
'34:56:09.168',-0.008,-,-,48.800
'34:56:09.176',0.000,-,-,48.000
'34:56:09.184',0.000,-,-,48.000
'34:56:09.192',0.008,-,-,48.000
'34:56:09.200',0.008,-,-,48.800
'34:56:09.208',0.008,-,-,48.800
'34:56:09.216',0.008,-,-,49.600
'34:56:09.224',0.008,-,-,51.200
'34:56:09.232',0.016,-,-,52.800
'34:56:09.240',0.024,-,-,56.000
'34:56:09.248',0.024,-,-,59.200
'34:56:09.256',0.024,-,-,63.200
'34:56:09.264',0.032,-,-,68.000
'34:56:09.272',0.040,-,-,72.800
'34:56:09.280',0.048,-,-,77.600
'34:56:09.288',0.056,-,-,81.600
'34:56:09.296',0.064,-,-,86.400
'34:56:09.304',0.072,-,-,90.400
'34:56:09.312',0.072,-,-,93.600
'34:56:09.320',0.080,-,-,96.800
'34:56:09.328',0.088,-,-,98.400
'34:56:09.336',0.088,-,-,100.000
'34:56:09.344',0.088,-,-,100.800
'34:56:09.352',0.072,-,-,101.600
'34:56:09.360',0.056,-,-,101.600
'34:56:09.368',0.040,-,-,100.800
'34:56:09.376',0.016,-,-,100.000
'34:56:09.384',-0.008,-,-,98.400
'34:56:09.392',-0.024,-,-,97.600
'34:56:09.400',-0.032,-,-,96.000
'34:56:09.408',-0.048,-,-,93.600
'34:56:09.416',-0.064,-,-,92.000
'34:56:09.424',-0.072,-,-,89.600
'34:56:09.432',-0.080,-,-,87.200
'34:56:09.440',-0.080,-,-,84.000
'34:56:09.448',-0.072,-,-,81.600
'34:56:09.456',-0.072,-,-,78.400
'34:56:09.464',-0.064,-,-,75.200
'34:56:09.472',-0.056,-,-,72.800
'34:56:09.480',-0.056,-,-,69.600
'34:56:09.488',-0.056,-,-,67.200
'34:56:09.496',-0.048,-,-,65.600
'34:56:09.504',-0.040,-,-,63.200
'34:56:09.512',-0.032,-,-,62.400
'34:56:09.520',-0.032,-,-,60.800
'34:56:09.528',-0.032,-,-,60.000
'34:56:09.536',-0.032,-,-,60.000
'34:56:09.544',-0.032,-,-,59.200
'34:56:09.552',-0.032,-,-,59.200
'34:56:09.560',-0.040,-,-,59.200
'34:56:09.568',-0.040,-,-,60.000
'34:56:09.576',-0.048,-,-,60.000
'34:56:09.584',-0.056,-,-,60.800
'34:56:09.592',-0.064,-,-,60.800
'34:56:09.600',-0.064,-,-,60.800
'34:56:09.608',-0.064,-,-,61.600
'34:56:09.616',-0.064,-,-,61.600
'34:56:09.624',-0.064,-,-,61.600
'34:56:09.632',-0.072,-,-,61.600
'34:56:09.640',-0.080,-,-,61.600
'34:56:09.648',-0.080,-,-,61.600
'34:56:09.656',-0.032,-,-,61.600
'34:56:09.664',0.080,-,-,60.800
'34:56:09.672',0.240,-,-,60.800
'34:56:09.680',0.360,-,-,60.000
'34:56:09.688',0.392,-,-,60.000
'34:56:09.696',0.344,-,-,59.200
'34:56:09.704',0.248,-,-,58.400
'34:56:09.712',0.120,-,-,57.600
'34:56:09.720',-0.008,-,-,57.600
'34:56:09.728',-0.080,-,-,56.800
'34:56:09.736',-0.096,-,-,56.000
'34:56:09.744',-0.088,-,-,55.200
'34:56:09.752',-0.072,-,-,55.200
'34:56:09.760',-0.056,-,-,54.400
'34:56:09.768',-0.048,-,-,53.600
'34:56:09.776',-0.048,-,-,53.600
'34:56:09.784',-0.040,-,-,52.800
'34:56:09.792',-0.040,-,-,52.800
'34:56:09.800',-0.040,-,-,52.800
'34:56:09.808',-0.040,-,-,52.000
'34:56:09.816',-0.032,-,-,52.000
'34:56:09.824',-0.024,-,-,52.000
'34:56:09.832',-0.024,-,-,52.000
'34:56:09.840',-0.024,-,-,52.000
'34:56:09.848',-0.016,-,-,52.800
'34:56:09.856',-0.008,-,-,52.800
'34:56:09.864',0.000,-,-,53.600
'34:56:09.872',0.000,-,-,54.400
'34:56:09.880',0.008,-,-,56.000
'34:56:09.888',0.016,-,-,58.400
'34:56:09.896',0.032,-,-,61.600
'34:56:09.904',0.048,-,-,64.800
'34:56:09.912',0.064,-,-,68.800
'34:56:09.920',0.072,-,-,72.800
'34:56:09.928',0.080,-,-,77.600
'34:56:09.936',0.088,-,-,81.600
'34:56:09.944',0.088,-,-,85.600
'34:56:09.952',0.088,-,-,89.600
'34:56:09.960',0.080,-,-,92.800
'34:56:09.968',0.072,-,-,95.200
'34:56:09.976',0.056,-,-,97.600
'34:56:09.984',0.040,-,-,98.400
'34:56:09.992',0.016,-,-,99.200
'34:56:10.000',0.000,-,-,99.200
'34:56:10.008',-0.024,-,-,99.200
'34:56:10.016',-0.040,-,-,98.400
'34:56:10.024',-0.056,-,-,96.800
'34:56:10.032',-0.072,-,-,95.200
'34:56:10.040',-0.080,-,-,93.600
'34:56:10.048',-0.080,-,-,92.000
'34:56:10.056',-0.080,-,-,89.600
'34:56:10.064',-0.080,-,-,87.200
'34:56:10.072',-0.072,-,-,84.000
'34:56:10.080',-0.064,-,-,81.600
'34:56:10.088',-0.056,-,-,78.400
'34:56:10.096',-0.048,-,-,75.200
'34:56:10.104',-0.040,-,-,72.000
'34:56:10.112',-0.032,-,-,69.600
'34:56:10.120',-0.032,-,-,67.200
'34:56:10.128',-0.024,-,-,64.800
'34:56:10.136',-0.024,-,-,63.200
'34:56:10.144',-0.016,-,-,61.600
'34:56:10.152',0.008,-,-,60.800
'34:56:10.160',0.088,-,-,60.000
'34:56:10.168',0.248,-,-,59.200
'34:56:10.176',0.440,-,-,59.200
'34:56:10.184',0.592,-,-,59.200
'34:56:10.192',0.616,-,-,59.200
'34:56:10.200',0.480,-,-,59.200
'34:56:10.208',0.272,-,-,60.000
'34:56:10.216',0.072,-,-,60.800
'34:56:10.224',-0.056,-,-,60.800
'34:56:10.232',-0.112,-,-,60.800
'34:56:10.240',-0.120,-,-,61.600
'34:56:10.248',-0.120,-,-,61.600
'34:56:10.256',-0.112,-,-,62.400
'34:56:10.264',-0.104,-,-,62.400
'34:56:10.272',-0.112,-,-,62.400
'34:56:10.280',-0.104,-,-,62.400
'34:56:10.288',-0.104,-,-,61.600
'34:56:10.296',-0.096,-,-,61.600
