'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:28:29.432',0.486,-,-,0.056,78.400
'14:28:29.440',0.125,-,-,-0.310,77.600
'14:28:29.448',-0.014,-,-,-0.352,76.800
'14:28:29.456',-0.069,-,-,-0.197,75.200
'14:28:29.464',-0.069,-,-,-0.070,74.400
'14:28:29.472',-0.028,-,-,0.000,73.600
'14:28:29.480',-0.014,-,-,0.028,72.800
'14:28:29.488',-0.014,-,-,0.028,72.000
'14:28:29.496',-0.014,-,-,0.000,71.200
'14:28:29.504',0.000,-,-,0.000,71.200
'14:28:29.512',0.014,-,-,0.000,70.400
'14:28:29.520',0.042,-,-,0.014,69.600
'14:28:29.528',0.042,-,-,0.028,69.600
'14:28:29.536',0.056,-,-,0.000,70.400
'14:28:29.544',0.056,-,-,0.014,72.000
'14:28:29.552',0.056,-,-,0.000,76.800
'14:28:29.560',0.056,-,-,0.000,84.000
'14:28:29.568',0.056,-,-,-0.014,92.800
'14:28:29.576',0.042,-,-,0.000,102.400
'14:28:29.584',0.028,-,-,-0.028,110.400
'14:28:29.592',0.014,-,-,-0.028,116.000
'14:28:29.600',0.014,-,-,-0.070,118.400
'14:28:29.608',0.014,-,-,-0.070,117.600
'14:28:29.616',0.028,-,-,-0.070,116.000
'14:28:29.624',0.014,-,-,-0.070,113.600
'14:28:29.632',0.028,-,-,-0.070,111.200
'14:28:29.640',0.056,-,-,-0.056,109.600
'14:28:29.648',0.069,-,-,-0.056,108.000
'14:28:29.656',0.083,-,-,-0.070,107.200
'14:28:29.664',0.125,-,-,-0.028,106.400
'14:28:29.672',0.139,-,-,-0.028,105.600
'14:28:29.680',0.167,-,-,-0.014,104.800
'14:28:29.688',0.181,-,-,0.000,103.200
'14:28:29.696',0.208,-,-,0.028,100.800
'14:28:29.704',0.236,-,-,0.042,98.400
'14:28:29.712',0.250,-,-,0.056,95.200
'14:28:29.720',0.278,-,-,0.070,92.000
'14:28:29.728',0.292,-,-,0.113,88.800
'14:28:29.736',0.306,-,-,0.141,85.600
'14:28:29.744',0.319,-,-,0.169,84.000
'14:28:29.752',0.347,-,-,0.169,82.400
'14:28:29.760',0.347,-,-,0.183,82.400
'14:28:29.768',0.347,-,-,0.197,82.400
'14:28:29.776',0.319,-,-,0.197,82.400
'14:28:29.784',0.319,-,-,0.197,82.400
'14:28:29.792',0.347,-,-,0.183,82.400
'14:28:29.800',0.319,-,-,0.197,82.400
'14:28:29.808',0.306,-,-,0.183,81.600
'14:28:29.816',0.306,-,-,0.169,80.800
'14:28:29.824',0.306,-,-,0.169,80.000
'14:28:29.832',0.292,-,-,0.183,79.200
'14:28:29.840',0.278,-,-,0.169,78.400
'14:28:29.848',0.264,-,-,0.169,77.600
'14:28:29.856',0.264,-,-,0.169,77.600
'14:28:29.864',0.278,-,-,0.169,76.800
'14:28:29.872',0.403,-,-,0.268,76.800
'14:28:29.880',0.625,-,-,0.423,76.000
'14:28:29.888',0.722,-,-,0.507,76.000
'14:28:29.896',0.583,-,-,0.197,75.200
'14:28:29.904',0.375,-,-,-0.127,75.200
'14:28:29.912',0.208,-,-,-0.169,75.200
'14:28:29.920',0.125,-,-,-0.113,74.400
'14:28:29.928',0.097,-,-,-0.014,73.600
'14:28:29.936',0.139,-,-,0.042,73.600
'14:28:29.944',0.153,-,-,0.085,72.800
'14:28:29.952',0.153,-,-,0.085,72.000
'14:28:29.960',0.139,-,-,0.085,72.000
'14:28:29.968',0.139,-,-,0.070,71.200
'14:28:29.976',0.125,-,-,0.056,70.400
'14:28:29.984',0.125,-,-,0.056,70.400
'14:28:29.992',0.097,-,-,0.042,71.200
'14:28:30.000',0.083,-,-,0.028,74.400
'14:28:30.008',0.069,-,-,0.028,80.000
'14:28:30.016',0.056,-,-,0.000,88.800
'14:28:30.024',0.042,-,-,0.000,99.200
'14:28:30.032',0.042,-,-,-0.014,110.400
'14:28:30.040',0.042,-,-,-0.028,118.400
'14:28:30.048',0.028,-,-,-0.056,122.400
'14:28:30.056',0.014,-,-,-0.070,122.400
'14:28:30.064',0.014,-,-,-0.085,120.800
'14:28:30.072',0.014,-,-,-0.113,119.200
'14:28:30.080',0.028,-,-,-0.113,116.800
'14:28:30.088',0.028,-,-,-0.113,115.200
'14:28:30.096',0.028,-,-,-0.127,113.600
'14:28:30.104',0.028,-,-,-0.113,112.800
'14:28:30.112',0.042,-,-,-0.113,112.000
'14:28:30.120',0.056,-,-,-0.113,111.200
'14:28:30.128',0.069,-,-,-0.085,110.400
'14:28:30.136',0.083,-,-,-0.070,108.800
'14:28:30.144',0.097,-,-,-0.028,107.200
'14:28:30.152',0.125,-,-,-0.014,104.800
'14:28:30.160',0.139,-,-,0.000,102.400
'14:28:30.168',0.153,-,-,0.028,100.000
'14:28:30.176',0.167,-,-,0.056,97.600
'14:28:30.184',0.167,-,-,0.056,94.400
'14:28:30.192',0.167,-,-,0.085,91.200
'14:28:30.200',0.153,-,-,0.085,88.800
'14:28:30.208',0.153,-,-,0.085,86.400
'14:28:30.216',0.167,-,-,0.127,85.600
'14:28:30.224',0.181,-,-,0.113,85.600
'14:28:30.232',0.194,-,-,0.127,85.600
'14:28:30.240',0.194,-,-,0.127,85.600
'14:28:30.248',0.194,-,-,0.127,85.600
'14:28:30.256',0.194,-,-,0.127,85.600
'14:28:30.264',0.181,-,-,0.127,84.800
'14:28:30.272',0.181,-,-,0.127,84.000
'14:28:30.280',0.167,-,-,0.127,83.200
'14:28:30.288',0.167,-,-,0.113,82.400
'14:28:30.296',0.167,-,-,0.113,81.600
'14:28:30.304',0.167,-,-,0.113,80.800
'14:28:30.312',0.153,-,-,0.085,80.000
'14:28:30.320',0.153,-,-,0.085,79.200
'14:28:30.328',0.153,-,-,0.085,78.400
'14:28:30.336',0.153,-,-,0.085,77.600
'14:28:30.344',0.153,-,-,0.113,77.600
'14:28:30.352',0.153,-,-,0.085,76.800
'14:28:30.360',0.139,-,-,0.085,76.000
'14:28:30.368',0.125,-,-,0.070,76.000
'14:28:30.376',0.139,-,-,0.085,75.200
'14:28:30.384',0.139,-,-,0.085,74.400
'14:28:30.392',0.139,-,-,0.085,74.400
'14:28:30.400',0.139,-,-,0.070,73.600
'14:28:30.408',0.139,-,-,0.085,72.800
'14:28:30.416',0.139,-,-,0.085,72.800
'14:28:30.424',0.153,-,-,0.085,72.000
'14:28:30.432',0.153,-,-,0.085,71.200
'14:28:30.440',0.153,-,-,0.113,71.200
'14:28:30.448',0.139,-,-,0.085,70.400
'14:28:30.456',0.139,-,-,0.085,70.400
'14:28:30.464',0.139,-,-,0.085,69.600
'14:28:30.472',0.125,-,-,0.085,69.600
'14:28:30.480',0.125,-,-,0.085,68.800
'14:28:30.488',0.097,-,-,0.085,68.800
'14:28:30.496',0.097,-,-,0.085,68.800
'14:28:30.504',0.083,-,-,0.070,68.000
'14:28:30.512',0.083,-,-,0.056,68.000
'14:28:30.520',0.083,-,-,0.056,68.000
'14:28:30.528',0.069,-,-,0.056,67.200
'14:28:30.536',0.069,-,-,0.042,67.200
'14:28:30.544',0.069,-,-,0.056,66.400
'14:28:30.552',0.069,-,-,0.042,66.400
'14:28:30.560',0.069,-,-,0.042,65.600
'14:28:30.568',0.069,-,-,0.028,65.600
'14:28:30.576',0.069,-,-,0.028,65.600
'14:28:30.584',0.069,-,-,0.042,64.800
'14:28:30.592',0.069,-,-,0.042,64.800
'14:28:30.600',0.069,-,-,0.042,64.000
'14:28:30.608',0.056,-,-,0.042,64.000
'14:28:30.616',0.056,-,-,0.042,63.200
'14:28:30.624',0.069,-,-,0.042,63.200
'14:28:30.632',0.069,-,-,0.056,63.200
'14:28:30.640',0.083,-,-,0.042,62.400
'14:28:30.648',0.069,-,-,0.056,62.400
