'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:44:03.432',0.083,-,-,0.070,76.000
'13:44:03.440',0.083,-,-,0.056,75.200
'13:44:03.448',0.069,-,-,0.070,74.400
'13:44:03.456',0.056,-,-,0.056,73.600
'13:44:03.464',0.056,-,-,0.056,72.800
'13:44:03.472',0.056,-,-,0.070,72.800
'13:44:03.480',0.069,-,-,0.070,72.000
'13:44:03.488',0.056,-,-,0.085,71.200
'13:44:03.496',0.056,-,-,0.070,70.400
'13:44:03.504',0.056,-,-,0.070,70.400
'13:44:03.512',0.056,-,-,0.056,69.600
'13:44:03.520',0.056,-,-,0.070,68.800
'13:44:03.528',0.056,-,-,0.056,68.000
'13:44:03.536',0.056,-,-,0.070,68.000
'13:44:03.544',0.042,-,-,0.042,67.200
'13:44:03.552',0.042,-,-,0.056,67.200
'13:44:03.560',0.042,-,-,0.042,66.400
'13:44:03.568',0.042,-,-,0.056,66.400
'13:44:03.576',0.042,-,-,0.056,65.600
'13:44:03.584',0.042,-,-,0.056,64.800
'13:44:03.592',0.042,-,-,0.042,64.800
'13:44:03.600',0.042,-,-,0.056,64.000
'13:44:03.608',0.028,-,-,0.028,64.000
'13:44:03.616',0.028,-,-,0.056,63.200
'13:44:03.624',0.028,-,-,0.042,63.200
'13:44:03.632',0.028,-,-,0.056,62.400
'13:44:03.640',0.028,-,-,0.042,62.400
'13:44:03.648',0.028,-,-,0.056,62.400
'13:44:03.656',0.014,-,-,0.042,61.600
'13:44:03.664',0.014,-,-,0.042,61.600
'13:44:03.672',0.014,-,-,0.042,60.800
'13:44:03.680',0.028,-,-,0.056,60.800
'13:44:03.688',0.028,-,-,0.056,60.000
'13:44:03.696',0.028,-,-,0.056,60.000
'13:44:03.704',0.042,-,-,0.042,59.200
'13:44:03.712',0.042,-,-,0.028,59.200
'13:44:03.720',0.028,-,-,0.042,58.400
'13:44:03.728',0.028,-,-,0.042,58.400
'13:44:03.736',0.042,-,-,0.028,57.600
'13:44:03.744',0.139,-,-,0.113,57.600
'13:44:03.752',0.361,-,-,0.296,57.600
'13:44:03.760',0.569,-,-,0.465,56.800
'13:44:03.768',0.583,-,-,0.254,56.800
'13:44:03.776',0.125,-,-,-0.183,56.000
