'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:21:05.832',-0.019,-,-,0.000,126.360,21.200
'38:21:05.840',-0.029,-,-,0.000,127.080,20.800
'38:21:05.848',-0.019,-,-,0.000,127.080,20.000
'38:21:05.856',-0.019,-,-,0.000,127.920,19.600
'38:21:05.864',-0.019,-,-,0.000,127.920,19.600
'38:21:05.872',-0.019,-,-,0.000,127.080,19.600
'38:21:05.880',-0.010,-,-,0.000,126.360,19.600
'38:21:05.888',0.000,-,-,0.000,125.520,19.600
'38:21:05.896',0.000,-,-,0.000,124.680,19.600
'38:21:05.904',0.010,-,-,0.000,123.120,19.200
'38:21:05.912',0.029,-,-,0.000,122.280,18.800
'38:21:05.920',0.038,-,-,-0.030,120.720,18.800
'38:21:05.928',0.048,-,-,-0.069,119.160,18.800
'38:21:05.936',0.048,-,-,-0.069,118.320,19.600
'38:21:05.944',0.029,-,-,-0.069,116.760,19.600
'38:21:05.952',0.019,-,-,-0.069,115.080,18.800
'38:21:05.960',-0.010,-,-,-0.030,113.520,16.800
'38:21:05.968',-0.029,-,-,0.000,111.960,15.600
'38:21:05.976',-0.038,-,-,0.000,110.280,15.200
'38:21:05.984',-0.038,-,-,0.000,108.720,15.200
'38:21:05.992',-0.058,-,-,0.000,107.160,15.600
'38:21:06.000',-0.115,-,-,0.030,105.480,17.200
'38:21:06.008',-0.163,-,-,0.139,103.080,18.400
'38:21:06.016',-0.096,-,-,0.109,100.680,19.200
'38:21:06.024',0.067,-,-,0.030,96.720,18.800
'38:21:06.032',0.298,-,-,-0.257,93.480,18.800
'38:21:06.040',0.375,-,-,-0.554,89.520,18.800
'38:21:06.048',0.240,-,-,-0.584,86.280,18.800
'38:21:06.056',0.087,-,-,-0.109,83.880,18.800
'38:21:06.064',0.029,-,-,-0.030,80.760,18.400
'38:21:06.072',0.019,-,-,-0.030,79.080,18.400
'38:21:06.080',0.019,-,-,-0.030,76.680,19.200
'38:21:06.088',0.019,-,-,-0.030,75.960,19.600
'38:21:06.096',0.019,-,-,-0.030,75.960,17.600
'38:21:06.104',0.019,-,-,0.000,77.520,14.400
'38:21:06.112',0.019,-,-,-0.030,81.480,12.800
'38:21:06.120',0.029,-,-,0.000,87.120,16.000
'38:21:06.128',0.029,-,-,-0.030,93.480,24.400
'38:21:06.136',0.029,-,-,-0.030,99.960,35.200
'38:21:06.144',0.029,-,-,-0.030,105.480,44.000
'38:21:06.152',0.038,-,-,-0.030,110.280,46.800
'38:21:06.160',0.038,-,-,-0.030,113.520,44.400
'38:21:06.168',0.038,-,-,-0.030,115.920,39.600
'38:21:06.176',0.048,-,-,-0.030,116.760,34.800
'38:21:06.184',0.048,-,-,-0.069,117.480,32.400
'38:21:06.192',0.058,-,-,-0.030,117.480,32.800
'38:21:06.200',0.058,-,-,-0.069,117.480,35.200
'38:21:06.208',0.058,-,-,-0.069,118.320,37.600
'38:21:06.216',0.058,-,-,-0.069,119.880,39.200
'38:21:06.224',0.058,-,-,-0.069,122.280,39.200
'38:21:06.232',0.058,-,-,-0.069,126.360,38.400
'38:21:06.240',0.048,-,-,-0.069,130.320,37.600
'38:21:06.248',0.038,-,-,-0.030,132.720,36.800
'38:21:06.256',0.019,-,-,0.000,134.280,35.600
'38:21:06.264',0.000,-,-,0.000,133.560,34.400
'38:21:06.272',-0.010,-,-,0.000,131.880,33.600
'38:21:06.280',-0.038,-,-,0.000,129.480,33.200
'38:21:06.288',-0.058,-,-,0.030,126.360,32.800
'38:21:06.296',-0.067,-,-,0.030,123.120,32.000
'38:21:06.304',-0.087,-,-,0.069,119.160,30.400
'38:21:06.312',-0.087,-,-,0.069,115.080,28.000
'38:21:06.320',-0.087,-,-,0.069,111.960,25.600
'38:21:06.328',-0.077,-,-,0.069,108.720,23.600
'38:21:06.336',-0.067,-,-,0.069,106.320,22.800
'38:21:06.344',-0.067,-,-,0.030,104.760,22.000
'38:21:06.352',-0.058,-,-,0.030,103.920,22.400
'38:21:06.360',-0.048,-,-,0.030,103.080,24.800
'38:21:06.368',-0.048,-,-,0.030,102.360,27.200
'38:21:06.376',-0.038,-,-,0.030,103.080,28.800
'38:21:06.384',-0.038,-,-,0.000,103.920,28.800
'38:21:06.392',-0.038,-,-,0.030,106.320,28.000
'38:21:06.400',-0.029,-,-,0.000,109.560,26.400
'38:21:06.408',-0.029,-,-,0.030,112.680,24.400
'38:21:06.416',-0.038,-,-,0.000,115.080,23.200
'38:21:06.424',-0.038,-,-,0.000,116.760,23.200
'38:21:06.432',-0.029,-,-,0.000,118.320,23.200
'38:21:06.440',-0.029,-,-,0.000,119.160,23.600
'38:21:06.448',-0.029,-,-,0.000,119.880,23.600
'38:21:06.456',-0.029,-,-,0.000,119.880,23.200
'38:21:06.464',-0.029,-,-,0.000,120.720,23.200
'38:21:06.472',-0.029,-,-,0.000,122.280,23.600
'38:21:06.480',-0.029,-,-,0.000,123.120,24.000
'38:21:06.488',-0.029,-,-,0.000,124.680,24.400
'38:21:06.496',-0.029,-,-,0.000,125.520,24.000
'38:21:06.504',-0.029,-,-,0.000,127.080,24.000
'38:21:06.512',-0.029,-,-,0.000,127.920,23.600
'38:21:06.520',-0.029,-,-,0.000,127.920,23.200
'38:21:06.528',-0.029,-,-,0.000,127.920,23.200
'38:21:06.536',-0.029,-,-,0.000,127.920,23.600
'38:21:06.544',-0.019,-,-,0.000,127.920,23.600
'38:21:06.552',-0.019,-,-,0.000,127.080,24.000
'38:21:06.560',-0.019,-,-,0.000,125.520,24.400
'38:21:06.568',-0.010,-,-,0.000,124.680,24.800
'38:21:06.576',-0.010,-,-,0.000,123.120,24.800
'38:21:06.584',-0.010,-,-,0.000,122.280,24.800
'38:21:06.592',0.000,-,-,0.000,120.720,24.400
'38:21:06.600',0.019,-,-,0.000,119.160,24.400
'38:21:06.608',0.029,-,-,-0.030,117.480,24.000
'38:21:06.616',0.029,-,-,-0.069,115.920,24.000
'38:21:06.624',0.029,-,-,-0.030,114.360,24.400
'38:21:06.632',0.010,-,-,-0.030,113.520,24.800
'38:21:06.640',-0.010,-,-,0.000,111.960,26.000
'38:21:06.648',-0.029,-,-,0.000,110.280,26.400
'38:21:06.656',-0.038,-,-,0.000,109.560,26.800
'38:21:06.664',-0.038,-,-,0.000,108.720,26.000
'38:21:06.672',-0.038,-,-,0.000,107.880,24.000
'38:21:06.680',-0.087,-,-,0.000,106.320,21.600
'38:21:06.688',-0.125,-,-,0.109,104.760,20.800
'38:21:06.696',-0.125,-,-,0.139,103.080,22.400
'38:21:06.704',-0.010,-,-,0.069,100.680,25.200
'38:21:06.712',0.183,-,-,-0.030,97.560,27.600
'38:21:06.720',0.317,-,-,-0.366,94.320,28.800
'38:21:06.728',0.260,-,-,-0.475,91.080,28.800
'38:21:06.736',0.106,-,-,-0.178,87.960,28.000
'38:21:06.744',0.029,-,-,0.000,84.720,28.000
'38:21:06.752',0.019,-,-,0.000,82.320,28.800
'38:21:06.760',0.019,-,-,0.000,80.760,29.200
'38:21:06.768',0.019,-,-,0.000,79.080,27.600
'38:21:06.776',0.019,-,-,0.000,79.080,22.800
'38:21:06.784',0.019,-,-,0.000,79.920,16.800
'38:21:06.792',0.019,-,-,0.000,83.160,15.600
'38:21:06.800',0.019,-,-,0.000,87.960,23.200
'38:21:06.808',0.019,-,-,0.000,93.480,37.200
'38:21:06.816',0.029,-,-,0.000,99.120,51.200
'38:21:06.824',0.029,-,-,0.000,104.760,58.000
'38:21:06.832',0.029,-,-,0.000,109.560,57.200
'38:21:06.840',0.029,-,-,0.000,113.520,51.600
'38:21:06.848',0.038,-,-,0.000,115.920,45.200
