'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:31:51.432',-0.139,-,-,-0.070,77.600
'14:31:51.440',-0.139,-,-,-0.070,91.200
'14:31:51.448',-0.139,-,-,-0.085,106.400
'14:31:51.456',-0.139,-,-,-0.113,119.200
'14:31:51.464',-0.139,-,-,-0.113,127.200
'14:31:51.472',-0.153,-,-,-0.127,129.600
'14:31:51.480',-0.153,-,-,-0.127,129.600
'14:31:51.488',-0.153,-,-,-0.141,127.200
'14:31:51.496',-0.167,-,-,-0.141,125.600
'14:31:51.504',-0.139,-,-,-0.141,124.800
'14:31:51.512',-0.125,-,-,-0.155,124.000
'14:31:51.520',-0.097,-,-,-0.141,124.000
'14:31:51.528',-0.083,-,-,-0.141,124.000
'14:31:51.536',-0.069,-,-,-0.141,123.200
'14:31:51.544',-0.069,-,-,-0.141,122.400
'14:31:51.552',-0.069,-,-,-0.155,120.800
'14:31:51.560',-0.056,-,-,-0.169,118.400
'14:31:51.568',-0.042,-,-,-0.141,116.800
'14:31:51.576',-0.028,-,-,-0.169,114.400
'14:31:51.584',-0.014,-,-,-0.141,112.000
'14:31:51.592',0.000,-,-,-0.113,110.400
'14:31:51.600',0.000,-,-,-0.085,108.000
'14:31:51.608',0.014,-,-,-0.070,106.400
'14:31:51.616',0.014,-,-,-0.028,104.000
'14:31:51.624',0.014,-,-,-0.014,100.800
'14:31:51.632',0.014,-,-,0.000,98.400
'14:31:51.640',0.014,-,-,0.000,96.000
'14:31:51.648',0.014,-,-,0.028,93.600
'14:31:51.656',0.014,-,-,0.028,92.000
'14:31:51.664',0.028,-,-,0.042,90.400
'14:31:51.672',0.028,-,-,0.056,90.400
'14:31:51.680',0.028,-,-,0.070,90.400
'14:31:51.688',0.028,-,-,0.085,90.400
'14:31:51.696',0.042,-,-,0.085,89.600
'14:31:51.704',0.042,-,-,0.085,88.800
'14:31:51.712',0.042,-,-,0.085,88.000
'14:31:51.720',0.042,-,-,0.113,87.200
'14:31:51.728',0.042,-,-,0.085,86.400
'14:31:51.736',0.042,-,-,0.070,84.800
'14:31:51.744',0.042,-,-,0.056,84.000
'14:31:51.752',0.042,-,-,0.056,83.200
'14:31:51.760',0.042,-,-,0.056,82.400
'14:31:51.768',0.042,-,-,0.042,81.600
'14:31:51.776',0.042,-,-,0.056,80.800
'14:31:51.784',0.042,-,-,0.056,80.800
'14:31:51.792',0.028,-,-,0.056,80.000
