'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg','mmHg'
'37:33:46.064',-,0.040,-,-,-,-,114.000,38.280,45.000
'37:33:46.072',-,0.040,-,-,-,-,112.800,37.560,45.000
'37:33:46.080',-,0.024,-,-,-,-,110.400,37.080,45.000
'37:33:46.088',-,0.024,-,-,-,-,109.200,37.080,45.000
'37:33:46.096',-,0.024,-,-,-,-,108.000,37.560,45.000
'37:33:46.104',-,0.024,-,-,-,-,105.600,37.560,45.000
'37:33:46.112',-,0.024,-,-,-,-,103.200,37.560,45.000
'37:33:46.120',-,0.008,-,-,-,-,100.800,36.720,45.000
'37:33:46.128',-,0.008,-,-,-,-,98.400,35.880,45.000
'37:33:46.136',-,0.008,-,-,-,-,94.800,34.320,45.000
'37:33:46.144',-,0.024,-,-,-,-,91.200,33.120,45.000
'37:33:46.152',-,0.024,-,-,-,-,87.600,32.760,45.000
'37:33:46.160',-,0.024,-,-,-,-,84.000,32.760,45.000
'37:33:46.168',-,0.040,-,-,-,-,79.200,33.480,45.000
'37:33:46.176',-,0.024,-,-,-,-,76.800,34.680,45.000
'37:33:46.184',-,0.024,-,-,-,-,75.600,35.520,45.000
'37:33:46.192',-,0.024,-,-,-,-,76.800,35.520,45.000
'37:33:46.200',-,0.024,-,-,-,-,78.000,35.520,45.000
'37:33:46.208',-,0.024,-,-,-,-,79.200,35.160,45.000
'37:33:46.216',-,0.024,-,-,-,-,79.200,34.680,45.000
'37:33:46.224',-,0.024,-,-,-,-,79.200,33.960,45.000
'37:33:46.232',-,0.024,-,-,-,-,79.200,33.480,45.000
'37:33:46.240',-,0.008,-,-,-,-,79.200,32.760,45.000
'37:33:46.248',-,0.008,-,-,-,-,79.200,32.280,45.000
'37:33:46.256',-,0.000,-,-,-,-,79.200,31.920,45.000
'37:33:46.264',-,0.000,-,-,-,-,79.200,31.560,45.000
'37:33:46.272',-,0.000,-,-,-,-,79.200,31.080,45.000
'37:33:46.280',-,0.000,-,-,-,-,79.200,30.720,45.000
'37:33:46.288',-,0.000,-,-,-,-,78.000,30.720,45.000
'37:33:46.296',-,0.000,-,-,-,-,78.000,30.360,45.000
'37:33:46.304',-,0.000,-,-,-,-,76.800,29.880,45.000
'37:33:46.312',-,0.000,-,-,-,-,76.800,29.520,45.000
'37:33:46.320',-,0.000,-,-,-,-,76.800,29.520,45.000
'37:33:46.328',-,0.000,-,-,-,-,76.800,29.520,45.000
