'Elapsed time','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'107:57:10.200',-0.043,-,49.200,59.880
'107:57:10.208',-0.118,-,48.000,62.280
'107:57:10.216',-0.022,-,50.400,64.680
'107:57:10.224',-0.118,-,54.000,66.360
'107:57:10.232',-0.140,-,58.800,67.080
'107:57:10.240',-0.043,-,62.400,67.920
'107:57:10.248',-0.022,-,67.200,67.920
'107:57:10.256',-0.065,-,70.800,67.920
'107:57:10.264',-0.097,-,74.400,67.920
'107:57:10.272',-0.043,-,76.800,67.920
'107:57:10.280',-0.065,-,79.200,67.920
'107:57:10.288',0.043,-,81.600,67.920
'107:57:10.296',0.043,-,86.400,67.080
'107:57:10.304',-0.043,-,88.800,66.360
'107:57:10.312',0.000,-,90.000,65.520
'107:57:10.320',0.000,-,91.200,64.680
'107:57:10.328',-0.022,-,91.200,63.960
'107:57:10.336',0.000,-,91.200,63.120
'107:57:10.344',0.000,-,91.200,63.120
'107:57:10.352',-0.043,-,91.200,63.120
'107:57:10.360',0.000,-,91.200,63.120
'107:57:10.368',0.043,-,92.400,62.280
'107:57:10.376',0.097,-,93.600,61.560
'107:57:10.384',0.043,-,92.400,59.880
'107:57:10.392',0.161,-,90.000,58.320
'107:57:10.400',0.097,-,86.400,56.760
'107:57:10.408',0.140,-,82.800,54.360
'107:57:10.416',0.258,-,76.800,52.680
'107:57:10.424',0.194,-,72.000,51.960
'107:57:10.432',0.140,-,67.200,51.120
'107:57:10.440',0.258,-,64.800,50.280
'107:57:10.448',0.258,-,64.800,49.560
'107:57:10.456',0.140,-,68.400,49.560
'107:57:10.464',0.215,-,74.400,48.720
'107:57:10.472',0.118,-,80.400,48.720
'107:57:10.480',0.140,-,86.400,47.880
'107:57:10.488',0.215,-,91.200,47.880
'107:57:10.496',0.140,-,94.800,47.160
'107:57:10.504',0.140,-,97.200,47.160
'107:57:10.512',0.043,-,98.400,46.320
'107:57:10.520',0.022,-,98.400,46.320
'107:57:10.528',0.043,-,98.400,46.320
'107:57:10.536',-0.022,-,96.000,45.480
'107:57:10.544',0.000,-,94.800,45.480
'107:57:10.552',0.022,-,93.600,43.920
'107:57:10.560',-0.022,-,93.600,43.080
'107:57:10.568',0.000,-,94.800,41.520
'107:57:10.576',0.022,-,94.800,40.680
'107:57:10.584',-0.065,-,93.600,39.120
'107:57:10.592',-0.043,-,92.400,36.720
'107:57:10.600',0.000,-,92.400,35.880
'107:57:10.608',0.000,-,93.600,35.160
'107:57:10.616',0.043,-,99.600,35.880
'107:57:10.624',0.097,-,108.000,36.720
'107:57:10.632',0.022,-,114.000,37.560
'107:57:10.640',0.000,-,115.200,38.280
'107:57:10.648',0.043,-,112.800,38.280
'107:57:10.656',0.043,-,109.200,38.280
'107:57:10.664',0.097,-,105.600,38.280
'107:57:10.672',0.097,-,102.000,37.560
'107:57:10.680',0.022,-,99.600,36.720
'107:57:10.688',0.043,-,97.200,35.880
'107:57:10.696',-0.022,-,93.600,35.880
'107:57:10.704',0.097,-,87.600,35.160
'107:57:10.712',0.022,-,82.800,34.320
'107:57:10.720',0.000,-,79.200,33.480
'107:57:10.728',0.065,-,76.800,32.760
'107:57:10.736',0.097,-,75.600,31.920
'107:57:10.744',0.065,-,75.600,31.920
'107:57:10.752',0.000,-,75.600,31.080
'107:57:10.760',0.000,-,75.600,30.360
'107:57:10.768',0.000,-,75.600,29.520
'107:57:10.776',0.043,-,75.600,28.680
'107:57:10.784',0.022,-,74.400,27.960
'107:57:10.792',-0.043,-,73.200,26.280
'107:57:10.800',-0.065,-,70.800,25.560
'107:57:10.808',-0.043,-,68.400,25.560
'107:57:10.816',-0.022,-,66.000,24.720
'107:57:10.824',-0.065,-,64.800,24.720
'107:57:10.832',-0.097,-,62.400,24.720
'107:57:10.840',-0.022,-,61.200,25.560
'107:57:10.848',0.000,-,61.200,25.560
'107:57:10.856',-0.065,-,61.200,26.280
'107:57:10.864',0.097,-,60.000,26.280
'107:57:10.872',0.258,-,60.000,26.280
'107:57:10.880',0.602,-,58.800,26.280
'107:57:10.888',0.624,-,56.400,26.280
'107:57:10.896',-0.043,-,52.800,26.280
'107:57:10.904',-0.237,-,49.200,26.280
'107:57:10.912',-0.312,-,45.600,27.120
'107:57:10.920',-0.462,-,45.600,27.960
'107:57:10.928',-0.559,-,46.800,27.960
'107:57:10.936',-0.409,-,46.800,28.680
'107:57:10.944',-0.333,-,46.800,29.520
'107:57:10.952',-0.258,-,46.800,30.360
'107:57:10.960',0.000,-,45.600,31.080
'107:57:10.968',0.043,-,45.600,32.760
'107:57:10.976',-0.258,-,44.400,33.480
'107:57:10.984',-0.194,-,43.200,34.320
'107:57:10.992',-0.140,-,44.400,35.880
'107:57:11.000',-0.118,-,45.600,37.560
'107:57:11.008',-0.161,-,48.000,39.120
'107:57:11.016',-0.140,-,50.400,40.680
'107:57:11.024',-0.140,-,51.600,43.080
'107:57:11.032',-0.118,-,52.800,45.480
'107:57:11.040',-0.097,-,52.800,48.720
'107:57:11.048',-0.065,-,54.000,51.120
'107:57:11.056',-0.118,-,55.200,54.360
'107:57:11.064',-0.097,-,56.400,57.480
'107:57:11.072',0.000,-,56.400,59.880
'107:57:11.080',-0.118,-,57.600,61.560
'107:57:11.088',-0.161,-,60.000,63.120
'107:57:11.096',-0.118,-,62.400,64.680
'107:57:11.104',-0.140,-,64.800,65.520
'107:57:11.112',-0.118,-,68.400,66.360
'107:57:11.120',-0.097,-,72.000,66.360
'107:57:11.128',-0.194,-,74.400,66.360
'107:57:11.136',-0.215,-,76.800,66.360
'107:57:11.144',-0.194,-,78.000,65.520
'107:57:11.152',-0.161,-,79.200,65.520
'107:57:11.160',-0.258,-,80.400,64.680
'107:57:11.168',-0.215,-,81.600,63.960
'107:57:11.176',-0.215,-,84.000,63.120
'107:57:11.184',-0.312,-,85.200,63.120
'107:57:11.192',-0.333,-,87.600,62.280
'107:57:11.200',-0.258,-,88.800,61.560
'107:57:11.208',-0.290,-,90.000,60.720
