'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:56:07.432',-0.028,-,-,-0.028,84.800
'13:56:07.440',-0.042,-,-,-0.014,94.400
'13:56:07.448',-0.042,-,-,-0.028,104.800
'13:56:07.456',-0.056,-,-,-0.042,112.800
'13:56:07.464',-0.069,-,-,-0.028,118.400
'13:56:07.472',-0.069,-,-,-0.070,119.200
'13:56:07.480',-0.069,-,-,-0.113,118.400
'13:56:07.488',-0.069,-,-,-0.113,115.200
'13:56:07.496',-0.069,-,-,-0.127,111.200
'13:56:07.504',-0.056,-,-,-0.113,107.200
'13:56:07.512',-0.056,-,-,-0.127,104.000
'13:56:07.520',-0.056,-,-,-0.113,101.600
'13:56:07.528',-0.069,-,-,-0.127,99.200
'13:56:07.536',-0.069,-,-,-0.127,97.600
'13:56:07.544',-0.069,-,-,-0.113,96.000
'13:56:07.552',-0.069,-,-,-0.113,94.400
'13:56:07.560',-0.056,-,-,-0.070,92.800
'13:56:07.568',-0.042,-,-,-0.028,91.200
'13:56:07.576',-0.028,-,-,-0.014,88.800
'13:56:07.584',-0.014,-,-,0.028,85.600
'13:56:07.592',0.014,-,-,0.056,83.200
'13:56:07.600',0.014,-,-,0.070,80.800
'13:56:07.608',0.014,-,-,0.070,78.400
'13:56:07.616',0.000,-,-,0.056,76.800
'13:56:07.624',0.014,-,-,0.085,76.800
'13:56:07.632',0.042,-,-,0.085,76.800
'13:56:07.640',0.139,-,-,0.141,77.600
'13:56:07.648',0.347,-,-,0.310,77.600
'13:56:07.656',0.528,-,-,0.493,78.400
'13:56:07.664',0.542,-,-,0.507,78.400
'13:56:07.672',0.153,-,-,-0.197,78.400
'13:56:07.680',-0.056,-,-,-0.282,77.600
'13:56:07.688',-0.153,-,-,-0.183,76.800
'13:56:07.696',-0.167,-,-,-0.070,76.000
'13:56:07.704',-0.167,-,-,0.000,75.200
'13:56:07.712',-0.167,-,-,0.000,75.200
'13:56:07.720',-0.167,-,-,0.000,74.400
'13:56:07.728',-0.167,-,-,0.000,72.800
'13:56:07.736',-0.167,-,-,0.000,72.000
'13:56:07.744',-0.181,-,-,0.000,72.000
'13:56:07.752',-0.208,-,-,-0.014,71.200
'13:56:07.760',-0.236,-,-,-0.028,70.400
'13:56:07.768',-0.236,-,-,-0.042,69.600
'13:56:07.776',-0.236,-,-,-0.056,69.600
'13:56:07.784',-0.236,-,-,-0.042,69.600
'13:56:07.792',-0.208,-,-,-0.056,70.400
'13:56:07.800',-0.236,-,-,-0.042,72.000
'13:56:07.808',-0.208,-,-,-0.056,74.400
'13:56:07.816',-0.194,-,-,-0.042,78.400
'13:56:07.824',-0.194,-,-,-0.070,83.200
'13:56:07.832',-0.208,-,-,-0.070,88.800
'13:56:07.840',-0.208,-,-,-0.113,93.600
'13:56:07.848',-0.194,-,-,-0.127,96.000
'13:56:07.856',-0.167,-,-,-0.113,96.800
'13:56:07.864',-0.167,-,-,-0.113,96.000
'13:56:07.872',-0.153,-,-,-0.113,94.400
'13:56:07.880',-0.153,-,-,-0.113,92.000
'13:56:07.888',-0.139,-,-,-0.113,89.600
'13:56:07.896',-0.125,-,-,-0.070,87.200
'13:56:07.904',-0.097,-,-,-0.056,84.800
'13:56:07.912',-0.097,-,-,-0.042,82.400
'13:56:07.920',-0.097,-,-,-0.028,79.200
