'Elapsed time','I','II','III','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'38:20:48.832',0.029,-,-,-0.030,108.720,40.400
'38:20:48.840',0.038,-,-,-0.030,115.080,47.200
'38:20:48.848',0.038,-,-,-0.030,119.880,52.000
'38:20:48.856',0.048,-,-,-0.030,123.120,52.400
'38:20:48.864',0.048,-,-,-0.069,124.680,48.400
'38:20:48.872',0.048,-,-,-0.030,125.520,43.200
'38:20:48.880',0.058,-,-,-0.069,125.520,40.000
'38:20:48.888',0.058,-,-,-0.069,125.520,40.400
'38:20:48.896',0.058,-,-,-0.069,125.520,42.400
'38:20:48.904',0.067,-,-,-0.069,125.520,44.800
'38:20:48.912',0.067,-,-,-0.069,125.520,46.000
'38:20:48.920',0.067,-,-,-0.069,126.360,46.400
'38:20:48.928',0.067,-,-,-0.069,128.760,45.600
'38:20:48.936',0.058,-,-,-0.069,131.880,44.400
'38:20:48.944',0.048,-,-,-0.069,135.120,43.600
'38:20:48.952',0.038,-,-,-0.030,138.360,43.200
'38:20:48.960',0.019,-,-,0.000,139.920,42.800
'38:20:48.968',0.000,-,-,0.000,139.080,42.400
'38:20:48.976',-0.019,-,-,0.000,137.520,40.800
'38:20:48.984',-0.029,-,-,0.000,134.280,38.800
'38:20:48.992',-0.048,-,-,0.030,130.320,36.800
'38:20:49.000',-0.058,-,-,0.030,125.520,35.200
'38:20:49.008',-0.067,-,-,0.030,120.720,34.800
'38:20:49.016',-0.058,-,-,0.030,116.760,34.400
'38:20:49.024',-0.058,-,-,0.030,113.520,32.800
'38:20:49.032',-0.048,-,-,0.030,111.120,30.400
'38:20:49.040',-0.048,-,-,0.030,109.560,28.800
'38:20:49.048',-0.038,-,-,0.000,108.720,29.600
'38:20:49.056',-0.029,-,-,0.000,107.880,31.200
'38:20:49.064',-0.019,-,-,0.000,107.160,33.200
'38:20:49.072',-0.019,-,-,0.000,107.160,34.400
'38:20:49.080',-0.019,-,-,0.000,107.880,34.800
'38:20:49.088',-0.019,-,-,0.000,110.280,34.000
'38:20:49.096',-0.019,-,-,0.000,112.680,33.200
'38:20:49.104',-0.019,-,-,0.000,115.920,32.000
'38:20:49.112',-0.019,-,-,0.000,118.320,30.800
'38:20:49.120',-0.019,-,-,0.000,119.880,30.000
'38:20:49.128',-0.019,-,-,0.000,120.720,29.200
'38:20:49.136',-0.019,-,-,0.000,120.720,28.800
'38:20:49.144',-0.019,-,-,0.000,121.560,28.800
'38:20:49.152',-0.019,-,-,0.000,121.560,28.800
'38:20:49.160',-0.019,-,-,0.000,122.280,28.800
'38:20:49.168',-0.019,-,-,0.000,123.120,28.800
'38:20:49.176',-0.010,-,-,0.000,123.960,28.800
'38:20:49.184',-0.019,-,-,0.000,124.680,28.400
'38:20:49.192',-0.019,-,-,0.000,125.520,27.600
'38:20:49.200',-0.010,-,-,0.000,126.360,27.200
'38:20:49.208',-0.010,-,-,0.000,127.080,26.800
'38:20:49.216',-0.010,-,-,0.000,127.920,26.400
'38:20:49.224',0.000,-,-,0.000,127.920,26.400
'38:20:49.232',0.010,-,-,0.000,127.920,26.000
'38:20:49.240',0.019,-,-,0.000,127.080,26.000
'38:20:49.248',0.029,-,-,0.000,126.360,25.600
'38:20:49.256',0.038,-,-,-0.030,125.520,25.600
'38:20:49.264',0.048,-,-,-0.069,123.960,25.600
'38:20:49.272',0.048,-,-,-0.069,123.120,25.600
'38:20:49.280',0.038,-,-,-0.069,122.280,25.200
'38:20:49.288',0.029,-,-,-0.030,120.720,24.400
