'Elapsed time','I','II','III','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'79:54:53.120',-,0.136,-,0.072,-,48.000,39.200
'79:54:53.128',-,0.128,-,0.090,-,48.800,38.800
'79:54:53.136',-,0.128,-,0.090,-,48.800,37.600
'79:54:53.144',-,0.120,-,0.090,-,49.600,36.400
'79:54:53.152',-,0.112,-,0.072,-,50.400,35.600
'79:54:53.160',-,0.112,-,0.054,-,52.800,34.800
'79:54:53.168',-,0.136,-,0.072,-,56.000,34.400
'79:54:53.176',-,0.144,-,0.090,-,61.600,34.400
'79:54:53.184',-,0.136,-,0.072,-,69.600,34.400
'79:54:53.192',-,0.136,-,0.090,-,78.400,34.800
'79:54:53.200',-,0.144,-,0.090,-,86.400,34.800
'79:54:53.208',-,0.152,-,0.108,-,93.600,34.800
'79:54:53.216',-,0.160,-,0.126,-,98.400,34.400
'79:54:53.224',-,0.168,-,0.108,-,101.600,33.600
'79:54:53.232',-,0.160,-,0.126,-,104.000,32.800
'79:54:53.240',-,0.176,-,0.144,-,104.000,31.600
'79:54:53.248',-,0.184,-,0.144,-,102.400,30.000
'79:54:53.256',-,0.160,-,0.126,-,100.000,28.400
'79:54:53.264',-,0.136,-,0.126,-,96.000,26.800
'79:54:53.272',-,0.136,-,0.126,-,92.000,25.200
'79:54:53.280',-,0.144,-,0.126,-,88.800,24.000
'79:54:53.288',-,0.128,-,0.108,-,85.600,22.800
'79:54:53.296',-,0.112,-,0.090,-,82.400,22.400
'79:54:53.304',-,0.088,-,0.072,-,80.000,23.600
'79:54:53.312',-,0.072,-,0.054,-,77.600,26.400
'79:54:53.320',-,0.064,-,0.054,-,76.000,30.000
'79:54:53.328',-,0.072,-,0.054,-,74.400,33.600
'79:54:53.336',-,0.080,-,0.072,-,72.800,35.600
'79:54:53.344',-,0.080,-,0.072,-,70.400,35.200
'79:54:53.352',-,0.064,-,0.054,-,68.800,32.800
'79:54:53.360',-,0.056,-,0.054,-,68.000,29.600
'79:54:53.368',-,0.064,-,0.054,-,68.000,26.400
'79:54:53.376',-,0.064,-,0.054,-,68.000,24.000
'79:54:53.384',-,0.056,-,0.054,-,69.600,22.800
'79:54:53.392',-,0.056,-,0.054,-,71.200,22.000
'79:54:53.400',-,0.064,-,0.054,-,72.800,22.400
'79:54:53.408',-,0.072,-,0.054,-,75.200,23.200
'79:54:53.416',-,0.080,-,0.054,-,78.400,24.000
'79:54:53.424',-,0.056,-,0.072,-,82.400,24.400
'79:54:53.432',-,0.064,-,0.072,-,88.000,24.400
'79:54:53.440',-,0.080,-,0.054,-,94.400,24.000
'79:54:53.448',-,0.080,-,0.072,-,102.400,23.600
'79:54:53.456',-,0.080,-,0.090,-,109.600,23.600
'79:54:53.464',-,0.072,-,0.090,-,116.000,23.600
'79:54:53.472',-,0.072,-,0.072,-,120.800,24.000
'79:54:53.480',-,0.080,-,0.072,-,123.200,24.400
'79:54:53.488',-,0.080,-,0.090,-,124.000,24.800
'79:54:53.496',-,0.072,-,0.072,-,124.000,25.200
'79:54:53.504',-,0.072,-,0.090,-,123.200,24.800
'79:54:53.512',-,0.088,-,0.126,-,121.600,24.000
'79:54:53.520',-,0.104,-,0.144,-,120.000,22.400
'79:54:53.528',-,0.120,-,0.108,-,116.800,21.200
'79:54:53.536',-,0.112,-,0.090,-,112.800,20.000
'79:54:53.544',-,0.112,-,0.090,-,109.600,19.200
'79:54:53.552',-,0.104,-,0.108,-,105.600,19.200
'79:54:53.560',-,0.096,-,0.108,-,103.200,19.600
'79:54:53.568',-,0.096,-,0.108,-,100.800,20.400
'79:54:53.576',-,0.088,-,0.108,-,98.400,21.600
'79:54:53.584',-,0.088,-,0.126,-,96.000,22.800
'79:54:53.592',-,0.088,-,0.126,-,93.600,23.600
'79:54:53.600',-,0.104,-,0.108,-,91.200,24.000
'79:54:53.608',-,0.120,-,0.090,-,88.800,23.600
'79:54:53.616',-,0.136,-,0.126,-,87.200,22.800
'79:54:53.624',-,0.160,-,0.162,-,84.800,22.000
'79:54:53.632',-,0.184,-,0.198,-,83.200,20.800
'79:54:53.640',-,0.184,-,0.198,-,82.400,20.000
'79:54:53.648',-,0.176,-,0.144,-,80.800,19.600
'79:54:53.656',-,0.152,-,0.090,-,80.800,19.600
'79:54:53.664',-,0.128,-,0.072,-,80.800,20.400
'79:54:53.672',-,0.096,-,0.072,-,80.800,21.600
'79:54:53.680',-,0.064,-,0.054,-,81.600,23.200
'79:54:53.688',-,0.040,-,0.036,-,82.400,24.800
'79:54:53.696',-,0.024,-,0.018,-,84.000,25.600
'79:54:53.704',-,0.008,-,0.018,-,84.800,25.600
'79:54:53.712',-,0.008,-,0.000,-,85.600,24.800
