'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'13:58:58.352',-0.256,-,-,78.400,10.000
'13:58:58.360',-0.288,-,-,76.800,9.600
'13:58:58.368',-0.240,-,-,75.200,9.600
'13:58:58.376',-0.224,-,-,73.600,9.600
'13:58:58.384',-0.288,-,-,72.800,9.600
'13:58:58.392',-0.256,-,-,70.400,9.200
'13:58:58.400',-0.240,-,-,68.800,9.600
'13:58:58.408',-0.224,-,-,67.200,10.400
'13:58:58.416',-0.240,-,-,64.800,12.000
'13:58:58.424',-0.256,-,-,63.200,14.000
'13:58:58.432',-0.240,-,-,61.600,17.200
'13:58:58.440',-0.240,-,-,60.800,21.200
'13:58:58.448',-0.240,-,-,60.000,25.200
'13:58:58.456',-0.224,-,-,59.200,29.600
'13:58:58.464',-0.256,-,-,59.200,33.200
'13:58:58.472',-0.240,-,-,60.000,35.600
'13:58:58.480',-0.256,-,-,60.800,37.600
'13:58:58.488',-0.240,-,-,61.600,38.400
'13:58:58.496',-0.240,-,-,63.200,38.800
'13:58:58.504',-0.256,-,-,64.000,38.000
'13:58:58.512',-0.256,-,-,66.400,37.200
'13:58:58.520',-0.256,-,-,68.000,35.600
'13:58:58.528',-0.256,-,-,70.400,34.000
'13:58:58.536',-0.240,-,-,72.000,32.400
'13:58:58.544',-0.224,-,-,74.400,30.800
'13:58:58.552',-0.256,-,-,76.000,29.600
'13:58:58.560',-0.256,-,-,77.600,28.800
'13:58:58.568',-0.256,-,-,79.200,28.400
'13:58:58.576',-0.256,-,-,80.800,28.000
'13:58:58.584',-0.240,-,-,81.600,27.200
'13:58:58.592',-0.224,-,-,82.400,26.800
'13:58:58.600',-0.256,-,-,81.600,26.000
'13:58:58.608',-0.240,-,-,81.600,24.800
'13:58:58.616',-0.224,-,-,80.800,23.200
'13:58:58.624',-0.240,-,-,80.800,21.200
'13:58:58.632',-0.224,-,-,80.000,18.800
'13:58:58.640',-0.208,-,-,79.200,16.400
'13:58:58.648',-0.208,-,-,78.400,14.000
'13:58:58.656',-0.208,-,-,76.800,12.000
'13:58:58.664',-0.208,-,-,75.200,11.200
'13:58:58.672',-0.208,-,-,73.600,10.800
'13:58:58.680',-0.208,-,-,72.000,11.600
'13:58:58.688',-0.208,-,-,70.400,13.200
'13:58:58.696',-0.208,-,-,68.800,14.400
'13:58:58.704',-0.208,-,-,67.200,16.000
'13:58:58.712',-0.208,-,-,66.400,16.800
'13:58:58.720',-0.208,-,-,65.600,17.600
'13:58:58.728',-0.192,-,-,64.800,18.000
'13:58:58.736',-0.208,-,-,64.800,18.000
'13:58:58.744',-0.208,-,-,64.800,18.000
'13:58:58.752',-0.192,-,-,64.800,17.200
'13:58:58.760',-0.192,-,-,64.800,16.400
'13:58:58.768',-0.176,-,-,65.600,15.600
'13:58:58.776',-0.192,-,-,65.600,14.800
'13:58:58.784',-0.176,-,-,67.200,14.400
'13:58:58.792',-0.144,-,-,68.000,14.000
'13:58:58.800',-0.128,-,-,68.800,13.600
'13:58:58.808',-0.112,-,-,69.600,13.200
'13:58:58.816',-0.096,-,-,71.200,13.200
'13:58:58.824',-0.080,-,-,72.000,12.800
'13:58:58.832',-0.112,-,-,73.600,12.800
'13:58:58.840',-0.080,-,-,74.400,12.800
'13:58:58.848',-0.112,-,-,76.000,12.800
'13:58:58.856',-0.112,-,-,76.800,12.800
'13:58:58.864',-0.128,-,-,78.400,12.800
'13:58:58.872',-0.144,-,-,79.200,13.200
'13:58:58.880',-0.176,-,-,80.800,13.200
'13:58:58.888',-0.176,-,-,81.600,13.200
'13:58:58.896',-0.192,-,-,83.200,13.200
'13:58:58.904',-0.192,-,-,83.200,12.800
'13:58:58.912',-0.208,-,-,84.000,12.800
'13:58:58.920',-0.192,-,-,84.800,12.800
'13:58:58.928',-0.192,-,-,84.800,13.200
'13:58:58.936',-0.176,-,-,85.600,13.600
'13:58:58.944',-0.080,-,-,85.600,13.600
'13:58:58.952',0.000,-,-,85.600,13.600
'13:58:58.960',0.112,-,-,84.800,13.200
'13:58:58.968',0.160,-,-,84.800,12.800
'13:58:58.976',0.016,-,-,84.000,12.400
'13:58:58.984',-0.112,-,-,84.000,12.800
'13:58:58.992',-0.144,-,-,83.200,12.800
'13:58:59.000',-0.112,-,-,82.400,12.800
'13:58:59.008',-0.128,-,-,81.600,12.800
'13:58:59.016',-0.144,-,-,80.800,12.400
'13:58:59.024',-0.256,-,-,80.000,12.000
'13:58:59.032',-0.272,-,-,78.400,12.000
'13:58:59.040',-0.208,-,-,77.600,12.000
'13:58:59.048',-0.240,-,-,76.000,12.800
'13:58:59.056',-0.272,-,-,74.400,12.800
'13:58:59.064',-0.208,-,-,72.800,12.800
'13:58:59.072',-0.208,-,-,71.200,12.800
'13:58:59.080',-0.192,-,-,68.800,13.200
'13:58:59.088',-0.192,-,-,67.200,14.400
'13:58:59.096',-0.192,-,-,65.600,16.400
'13:58:59.104',-0.192,-,-,64.000,19.200
'13:58:59.112',-0.176,-,-,63.200,22.800
'13:58:59.120',-0.192,-,-,62.400,26.400
'13:58:59.128',-0.176,-,-,61.600,30.400
'13:58:59.136',-0.192,-,-,61.600,33.600
'13:58:59.144',-0.176,-,-,62.400,36.000
'13:58:59.152',-0.192,-,-,63.200,38.000
'13:58:59.160',-0.176,-,-,64.000,39.600
'13:58:59.168',-0.176,-,-,64.800,40.000
'13:58:59.176',-0.192,-,-,66.400,39.600
'13:58:59.184',-0.176,-,-,68.000,38.800
'13:58:59.192',-0.176,-,-,70.400,37.600
'13:58:59.200',-0.192,-,-,72.800,36.400
'13:58:59.208',-0.176,-,-,74.400,34.800
'13:58:59.216',-0.176,-,-,76.000,33.600
'13:58:59.224',-0.176,-,-,77.600,32.800
'13:58:59.232',-0.176,-,-,79.200,32.000
'13:58:59.240',-0.176,-,-,80.800,31.200
'13:58:59.248',-0.176,-,-,82.400,30.800
'13:58:59.256',-0.160,-,-,84.000,30.000
'13:58:59.264',-0.144,-,-,84.000,29.200
'13:58:59.272',-0.144,-,-,84.000,28.400
'13:58:59.280',-0.144,-,-,83.200,27.200
'13:58:59.288',-0.144,-,-,83.200,25.200
'13:58:59.296',-0.128,-,-,82.400,23.200
'13:58:59.304',-0.144,-,-,82.400,21.200
'13:58:59.312',-0.128,-,-,81.600,18.800
'13:58:59.320',-0.128,-,-,80.000,16.800
'13:58:59.328',-0.112,-,-,78.400,15.200
'13:58:59.336',-0.128,-,-,76.800,14.400
'13:58:59.344',-0.112,-,-,75.200,14.400
'13:58:59.352',-0.128,-,-,74.400,15.200
'13:58:59.360',-0.128,-,-,72.800,16.400
'13:58:59.368',-0.128,-,-,70.400,17.600
'13:58:59.376',-0.112,-,-,69.600,18.800
'13:58:59.384',-0.128,-,-,68.000,19.200
'13:58:59.392',-0.112,-,-,67.200,20.000
'13:58:59.400',-0.112,-,-,66.400,20.000
'13:58:59.408',-0.112,-,-,66.400,20.000
'13:58:59.416',-0.112,-,-,65.600,19.600
'13:58:59.424',-0.112,-,-,65.600,19.200
'13:58:59.432',-0.096,-,-,66.400,18.400
'13:58:59.440',-0.112,-,-,67.200,17.600
'13:58:59.448',-0.080,-,-,67.200,16.800
'13:58:59.456',-0.080,-,-,68.000,16.400
'13:58:59.464',-0.048,-,-,68.800,16.000
'13:58:59.472',-0.016,-,-,69.600,16.000
'13:58:59.480',0.000,-,-,71.200,16.000
'13:58:59.488',0.000,-,-,72.000,16.000
'13:58:59.496',0.000,-,-,73.600,15.600
'13:58:59.504',0.000,-,-,74.400,15.200
'13:58:59.512',0.000,-,-,75.200,14.800
'13:58:59.520',0.000,-,-,76.800,14.800
'13:58:59.528',-0.016,-,-,77.600,14.400
'13:58:59.536',-0.048,-,-,79.200,14.000
'13:58:59.544',-0.064,-,-,80.000,14.000
'13:58:59.552',-0.080,-,-,80.800,13.600
'13:58:59.560',-0.080,-,-,82.400,13.600
'13:58:59.568',-0.096,-,-,83.200,13.200
'13:58:59.576',-0.080,-,-,84.000,13.200
'13:58:59.584',-0.112,-,-,84.800,12.800
'13:58:59.592',-0.080,-,-,84.800,12.800
'13:58:59.600',-0.080,-,-,85.600,13.200
'13:58:59.608',0.000,-,-,85.600,13.600
'13:58:59.616',0.080,-,-,85.600,14.000
'13:58:59.624',0.176,-,-,85.600,14.400
'13:58:59.632',0.224,-,-,85.600,14.800
'13:58:59.640',0.096,-,-,84.800,14.400
'13:58:59.648',-0.016,-,-,84.800,14.400
'13:58:59.656',-0.064,-,-,84.000,14.000
'13:58:59.664',0.000,-,-,83.200,13.600
'13:58:59.672',-0.016,-,-,83.200,13.200
'13:58:59.680',-0.032,-,-,81.600,12.800
'13:58:59.688',-0.112,-,-,80.800,12.800
'13:58:59.696',-0.160,-,-,80.000,12.400
'13:58:59.704',-0.112,-,-,79.200,12.400
'13:58:59.712',-0.096,-,-,77.600,12.400
'13:58:59.720',-0.144,-,-,76.000,12.800
'13:58:59.728',-0.112,-,-,73.600,12.800
'13:58:59.736',-0.096,-,-,72.000,12.800
'13:58:59.744',-0.080,-,-,70.400,13.200
'13:58:59.752',-0.080,-,-,68.800,14.000
'13:58:59.760',-0.080,-,-,66.400,14.800
'13:58:59.768',-0.080,-,-,64.800,16.800
'13:58:59.776',-0.080,-,-,64.000,18.800
'13:58:59.784',-0.080,-,-,63.200,21.600
'13:58:59.792',-0.080,-,-,62.400,24.400
'13:58:59.800',-0.080,-,-,62.400,27.600
'13:58:59.808',-0.080,-,-,62.400,30.400
'13:58:59.816',-0.080,-,-,63.200,32.800
'13:58:59.824',-0.080,-,-,64.000,34.400
'13:58:59.832',-0.064,-,-,65.600,35.600
'13:58:59.840',-0.080,-,-,67.200,36.000
'13:58:59.848',-0.080,-,-,68.800,35.600
'13:58:59.856',-0.080,-,-,70.400,35.200
'13:58:59.864',-0.064,-,-,72.800,34.400
'13:58:59.872',-0.080,-,-,75.200,33.200
'13:58:59.880',-0.064,-,-,76.800,32.400
'13:58:59.888',-0.064,-,-,78.400,31.200
'13:58:59.896',-0.064,-,-,80.000,30.000
'13:58:59.904',-0.048,-,-,81.600,29.200
'13:58:59.912',-0.064,-,-,83.200,28.000
'13:58:59.920',-0.048,-,-,84.000,27.200
'13:58:59.928',-0.032,-,-,84.800,26.000
'13:58:59.936',-0.048,-,-,84.800,24.800
'13:58:59.944',-0.032,-,-,84.000,23.200
'13:58:59.952',-0.032,-,-,84.000,21.600
'13:58:59.960',-0.032,-,-,84.000,19.600
'13:58:59.968',-0.032,-,-,83.200,17.600
'13:58:59.976',-0.016,-,-,82.400,16.000
'13:58:59.984',-0.032,-,-,81.600,14.400
'13:58:59.992',-0.016,-,-,80.000,14.000
'13:59:00.000',-0.032,-,-,78.400,14.000
'13:59:00.008',-0.016,-,-,76.800,14.400
'13:59:00.016',-0.016,-,-,75.200,15.600
'13:59:00.024',-0.016,-,-,73.600,16.800
'13:59:00.032',-0.016,-,-,72.000,18.000
'13:59:00.040',-0.016,-,-,70.400,18.800
'13:59:00.048',-0.016,-,-,69.600,19.200
'13:59:00.056',-0.016,-,-,68.800,19.200
'13:59:00.064',0.000,-,-,68.000,19.200
'13:59:00.072',-0.016,-,-,67.200,18.800
'13:59:00.080',0.000,-,-,67.200,18.400
'13:59:00.088',0.000,-,-,68.000,17.600
'13:59:00.096',0.000,-,-,68.000,16.800
'13:59:00.104',0.000,-,-,68.000,16.000
'13:59:00.112',0.000,-,-,68.800,15.200
'13:59:00.120',0.000,-,-,69.600,14.800
'13:59:00.128',0.032,-,-,70.400,14.800
'13:59:00.136',0.048,-,-,72.000,14.800
'13:59:00.144',0.064,-,-,72.800,15.200
'13:59:00.152',0.096,-,-,73.600,15.200
'13:59:00.160',0.096,-,-,75.200,15.200
'13:59:00.168',0.080,-,-,76.000,15.200
'13:59:00.176',0.048,-,-,76.800,14.800
'13:59:00.184',0.064,-,-,78.400,14.400
'13:59:00.192',-0.032,-,-,79.200,14.400
'13:59:00.200',-0.192,-,-,80.800,14.000
'13:59:00.208',-0.256,-,-,81.600,13.600
'13:59:00.216',-0.288,-,-,82.400,13.200
'13:59:00.224',-0.320,-,-,84.000,13.200
'13:59:00.232',-0.416,-,-,84.800,12.800
'13:59:00.240',-0.592,-,-,85.600,12.400
'13:59:00.248',-0.768,-,-,85.600,12.400
'13:59:00.256',-0.912,-,-,85.600,12.400
'13:59:00.264',-1.016,-,-,85.600,12.400
'13:59:00.272',-1.064,-,-,84.800,12.800
'13:59:00.280',-0.960,-,-,84.000,13.200
'13:59:00.288',-0.800,-,-,83.200,14.000
'13:59:00.296',-0.496,-,-,81.600,14.400
'13:59:00.304',-0.208,-,-,80.000,14.400
'13:59:00.312',0.064,-,-,78.400,14.400
'13:59:00.320',0.240,-,-,76.000,13.600
