'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'14:02:41.432',-0.153,-,-,-0.042,64.000
'14:02:41.440',-0.153,-,-,-0.056,64.000
'14:02:41.448',-0.153,-,-,-0.042,64.000
'14:02:41.456',-0.167,-,-,-0.056,64.000
'14:02:41.464',-0.167,-,-,-0.070,64.800
'14:02:41.472',-0.167,-,-,-0.070,67.200
'14:02:41.480',-0.181,-,-,-0.085,72.800
'14:02:41.488',-0.181,-,-,-0.070,80.800
'14:02:41.496',-0.181,-,-,-0.113,91.200
'14:02:41.504',-0.194,-,-,-0.113,102.400
'14:02:41.512',-0.208,-,-,-0.127,111.200
'14:02:41.520',-0.236,-,-,-0.141,116.800
'14:02:41.528',-0.236,-,-,-0.169,118.400
'14:02:41.536',-0.236,-,-,-0.169,118.400
'14:02:41.544',-0.250,-,-,-0.169,116.000
'14:02:41.552',-0.250,-,-,-0.169,113.600
'14:02:41.560',-0.264,-,-,-0.197,111.200
'14:02:41.568',-0.264,-,-,-0.239,108.800
'14:02:41.576',-0.264,-,-,-0.254,107.200
'14:02:41.584',-0.264,-,-,-0.239,105.600
'14:02:41.592',-0.236,-,-,-0.225,104.800
'14:02:41.600',-0.194,-,-,-0.239,104.000
'14:02:41.608',-0.181,-,-,-0.183,102.400
'14:02:41.616',-0.181,-,-,-0.169,100.800
'14:02:41.624',-0.153,-,-,-0.141,99.200
'14:02:41.632',-0.125,-,-,-0.113,96.800
'14:02:41.640',-0.097,-,-,-0.070,94.400
'14:02:41.648',-0.097,-,-,-0.028,92.000
'14:02:41.656',-0.083,-,-,-0.014,88.800
'14:02:41.664',-0.056,-,-,0.000,86.400
'14:02:41.672',-0.028,-,-,0.000,83.200
'14:02:41.680',-0.014,-,-,0.028,80.800
'14:02:41.688',-0.014,-,-,0.042,80.000
'14:02:41.696',-0.014,-,-,0.056,79.200
'14:02:41.704',0.000,-,-,0.056,79.200
'14:02:41.712',0.014,-,-,0.070,80.000
'14:02:41.720',0.014,-,-,0.085,80.800
'14:02:41.728',0.028,-,-,0.085,80.800
'14:02:41.736',0.028,-,-,0.085,80.800
'14:02:41.744',0.028,-,-,0.113,80.800
'14:02:41.752',0.014,-,-,0.085,80.000
'14:02:41.760',0.014,-,-,0.056,79.200
'14:02:41.768',0.000,-,-,0.056,78.400
'14:02:41.776',0.000,-,-,0.042,77.600
'14:02:41.784',0.000,-,-,0.028,76.800
'14:02:41.792',-0.014,-,-,0.028,76.800
'14:02:41.800',-0.014,-,-,0.028,76.000
'14:02:41.808',-0.014,-,-,0.028,75.200
'14:02:41.816',-0.014,-,-,0.028,74.400
'14:02:41.824',-0.014,-,-,0.028,74.400
'14:02:41.832',-0.014,-,-,0.028,73.600
'14:02:41.840',-0.014,-,-,0.028,73.600
'14:02:41.848',-0.014,-,-,0.028,72.800
'14:02:41.856',-0.014,-,-,0.014,72.800
'14:02:41.864',0.000,-,-,0.028,72.800
'14:02:41.872',0.000,-,-,0.028,72.000
'14:02:41.880',0.000,-,-,0.028,72.000
'14:02:41.888',0.000,-,-,0.028,72.000
'14:02:41.896',0.014,-,-,0.028,72.000
'14:02:41.904',0.014,-,-,0.042,71.200
'14:02:41.912',0.028,-,-,0.056,71.200
'14:02:41.920',0.028,-,-,0.042,70.400
'14:02:41.928',0.028,-,-,0.056,70.400
'14:02:41.936',0.028,-,-,0.056,69.600
'14:02:41.944',0.028,-,-,0.056,69.600
'14:02:41.952',0.028,-,-,0.085,68.800
'14:02:41.960',0.014,-,-,0.070,68.000
'14:02:41.968',0.000,-,-,0.056,68.000
'14:02:41.976',-0.014,-,-,0.028,67.200
'14:02:41.984',-0.028,-,-,0.028,67.200
'14:02:41.992',-0.028,-,-,0.014,67.200
'14:02:42.000',-0.028,-,-,0.000,66.400
'14:02:42.008',-0.028,-,-,0.000,66.400
'14:02:42.016',-0.028,-,-,0.014,66.400
'14:02:42.024',-0.028,-,-,0.000,65.600
'14:02:42.032',-0.028,-,-,0.000,65.600
'14:02:42.040',-0.028,-,-,0.000,65.600
'14:02:42.048',-0.028,-,-,0.000,64.800
'14:02:42.056',-0.028,-,-,0.000,64.800
'14:02:42.064',-0.014,-,-,0.028,64.800
'14:02:42.072',0.000,-,-,0.014,64.000
'14:02:42.080',0.000,-,-,0.028,64.000
'14:02:42.088',0.014,-,-,0.028,64.000
'14:02:42.096',0.028,-,-,0.042,63.200
'14:02:42.104',0.028,-,-,0.028,63.200
'14:02:42.112',0.028,-,-,0.042,63.200
'14:02:42.120',0.028,-,-,0.056,62.400
'14:02:42.128',0.056,-,-,0.056,62.400
'14:02:42.136',0.167,-,-,0.169,62.400
'14:02:42.144',0.417,-,-,0.380,61.600
'14:02:42.152',0.569,-,-,0.535,61.600
'14:02:42.160',0.389,-,-,0.155,61.600
'14:02:42.168',0.083,-,-,-0.380,61.600
'14:02:42.176',-0.069,-,-,-0.479,60.800
'14:02:42.184',-0.153,-,-,-0.366,60.800
'14:02:42.192',-0.167,-,-,-0.239,60.800
'14:02:42.200',-0.125,-,-,-0.113,60.800
'14:02:42.208',-0.097,-,-,-0.056,60.800
'14:02:42.216',-0.097,-,-,-0.028,60.800
'14:02:42.224',-0.125,-,-,-0.042,60.800
'14:02:42.232',-0.097,-,-,-0.056,60.800
'14:02:42.240',-0.097,-,-,-0.056,60.000
'14:02:42.248',-0.097,-,-,-0.056,60.800
'14:02:42.256',-0.083,-,-,-0.042,61.600
'14:02:42.264',-0.069,-,-,-0.056,64.800
'14:02:42.272',-0.069,-,-,-0.056,71.200
'14:02:42.280',-0.083,-,-,-0.070,80.800
'14:02:42.288',-0.097,-,-,-0.085,93.600
'14:02:42.296',-0.097,-,-,-0.113,106.400
'14:02:42.304',-0.097,-,-,-0.113,117.600
'14:02:42.312',-0.125,-,-,-0.113,124.000
'14:02:42.320',-0.125,-,-,-0.127,126.400
'14:02:42.328',-0.139,-,-,-0.141,125.600
'14:02:42.336',-0.125,-,-,-0.141,123.200
'14:02:42.344',-0.139,-,-,-0.169,120.800
'14:02:42.352',-0.139,-,-,-0.183,117.600
'14:02:42.360',-0.139,-,-,-0.183,115.200
'14:02:42.368',-0.139,-,-,-0.197,113.600
'14:02:42.376',-0.139,-,-,-0.197,112.000
'14:02:42.384',-0.125,-,-,-0.197,111.200
'14:02:42.392',-0.097,-,-,-0.197,109.600
'14:02:42.400',-0.069,-,-,-0.183,108.800
'14:02:42.408',-0.056,-,-,-0.169,107.200
'14:02:42.416',-0.028,-,-,-0.155,104.800
'14:02:42.424',-0.014,-,-,-0.141,103.200
'14:02:42.432',0.000,-,-,-0.113,100.800
'14:02:42.440',0.014,-,-,-0.070,98.400
'14:02:42.448',0.014,-,-,-0.028,96.800
'14:02:42.456',0.014,-,-,-0.014,94.400
'14:02:42.464',0.028,-,-,0.000,91.200
'14:02:42.472',0.028,-,-,0.000,88.800
'14:02:42.480',0.028,-,-,0.028,85.600
'14:02:42.488',0.028,-,-,0.042,83.200
'14:02:42.496',0.028,-,-,0.056,81.600
'14:02:42.504',0.028,-,-,0.056,80.800
'14:02:42.512',0.028,-,-,0.070,80.800
'14:02:42.520',0.042,-,-,0.056,81.600
'14:02:42.528',0.042,-,-,0.056,82.400
'14:02:42.536',0.042,-,-,0.056,83.200
'14:02:42.544',0.042,-,-,0.056,83.200
'14:02:42.552',0.042,-,-,0.056,84.000
'14:02:42.560',0.042,-,-,0.056,83.200
'14:02:42.568',0.042,-,-,0.070,82.400
'14:02:42.576',0.042,-,-,0.056,81.600
'14:02:42.584',0.042,-,-,0.070,80.800
'14:02:42.592',0.056,-,-,0.056,80.000
'14:02:42.600',0.056,-,-,0.056,79.200
'14:02:42.608',0.056,-,-,0.070,78.400
'14:02:42.616',0.042,-,-,0.056,77.600
'14:02:42.624',0.028,-,-,0.056,77.600
'14:02:42.632',0.028,-,-,0.056,76.800
'14:02:42.640',0.028,-,-,0.056,76.800
'14:02:42.648',0.028,-,-,0.056,76.000
'14:02:42.656',0.056,-,-,0.056,75.200
'14:02:42.664',0.194,-,-,0.197,75.200
'14:02:42.672',0.458,-,-,0.423,74.400
'14:02:42.680',0.583,-,-,0.507,74.400
'14:02:42.688',0.361,-,-,-0.113,73.600
'14:02:42.696',0.056,-,-,-0.479,73.600
'14:02:42.704',-0.083,-,-,-0.493,72.800
'14:02:42.712',-0.125,-,-,-0.296,72.800
'14:02:42.720',-0.083,-,-,-0.113,72.000
'14:02:42.728',-0.069,-,-,-0.014,72.000
'14:02:42.736',-0.069,-,-,0.000,71.200
'14:02:42.744',-0.069,-,-,0.000,71.200
'14:02:42.752',-0.069,-,-,0.000,70.400
'14:02:42.760',-0.069,-,-,0.000,70.400
'14:02:42.768',-0.069,-,-,-0.014,69.600
'14:02:42.776',-0.069,-,-,0.000,69.600
'14:02:42.784',-0.083,-,-,0.000,69.600
'14:02:42.792',-0.097,-,-,-0.014,70.400
'14:02:42.800',-0.097,-,-,-0.028,72.800
'14:02:42.808',-0.097,-,-,-0.056,76.800
'14:02:42.816',-0.125,-,-,-0.056,84.800
'14:02:42.824',-0.153,-,-,-0.070,93.600
'14:02:42.832',-0.167,-,-,-0.085,104.000
'14:02:42.840',-0.167,-,-,-0.113,112.800
'14:02:42.848',-0.167,-,-,-0.141,119.200
'14:02:42.856',-0.181,-,-,-0.169,123.200
'14:02:42.864',-0.194,-,-,-0.169,124.000
'14:02:42.872',-0.194,-,-,-0.183,123.200
'14:02:42.880',-0.194,-,-,-0.197,120.800
'14:02:42.888',-0.208,-,-,-0.225,119.200
'14:02:42.896',-0.194,-,-,-0.239,116.800
'14:02:42.904',-0.167,-,-,-0.197,115.200
'14:02:42.912',-0.139,-,-,-0.183,114.400
'14:02:42.920',-0.139,-,-,-0.169,112.800
'14:02:42.928',-0.125,-,-,-0.183,112.000
'14:02:42.936',-0.083,-,-,-0.085,110.400
'14:02:42.944',-0.056,-,-,-0.070,108.800
'14:02:42.952',-0.042,-,-,-0.085,107.200
'14:02:42.960',-0.014,-,-,-0.014,104.800
'14:02:42.968',0.000,-,-,0.000,102.400
'14:02:42.976',0.000,-,-,0.028,100.000
'14:02:42.984',0.014,-,-,0.056,96.800
'14:02:42.992',0.014,-,-,0.056,93.600
'14:02:43.000',0.014,-,-,0.070,91.200
'14:02:43.008',0.014,-,-,0.085,88.800
'14:02:43.016',0.014,-,-,0.085,88.000
'14:02:43.024',0.014,-,-,0.085,87.200
'14:02:43.032',0.028,-,-,0.113,88.000
'14:02:43.040',0.028,-,-,0.113,88.000
'14:02:43.048',0.028,-,-,0.085,88.800
'14:02:43.056',0.042,-,-,0.127,89.600
'14:02:43.064',0.042,-,-,0.127,89.600
'14:02:43.072',0.042,-,-,0.113,89.600
'14:02:43.080',0.056,-,-,0.085,88.800
'14:02:43.088',0.056,-,-,0.085,88.800
'14:02:43.096',0.056,-,-,0.113,88.000
'14:02:43.104',0.056,-,-,0.085,86.400
'14:02:43.112',0.056,-,-,0.127,85.600
'14:02:43.120',0.056,-,-,0.085,84.800
'14:02:43.128',0.056,-,-,0.113,84.000
'14:02:43.136',0.042,-,-,0.085,83.200
'14:02:43.144',0.028,-,-,0.070,83.200
'14:02:43.152',0.028,-,-,0.113,82.400
'14:02:43.160',0.014,-,-,0.085,81.600
'14:02:43.168',0.028,-,-,0.085,80.800
'14:02:43.176',0.014,-,-,0.056,80.800
'14:02:43.184',0.000,-,-,0.042,80.000
'14:02:43.192',0.000,-,-,0.028,80.000
'14:02:43.200',0.000,-,-,0.042,79.200
'14:02:43.208',0.014,-,-,0.028,79.200
'14:02:43.216',0.014,-,-,0.056,79.200
'14:02:43.224',0.000,-,-,0.042,78.400
'14:02:43.232',0.014,-,-,0.056,78.400
'14:02:43.240',0.028,-,-,0.028,78.400
'14:02:43.248',0.028,-,-,0.042,78.400
'14:02:43.256',0.028,-,-,0.070,77.600
'14:02:43.264',0.028,-,-,0.056,77.600
'14:02:43.272',0.028,-,-,0.028,77.600
'14:02:43.280',0.042,-,-,0.085,77.600
'14:02:43.288',0.014,-,-,0.042,76.800
'14:02:43.296',0.028,-,-,0.056,76.800
'14:02:43.304',0.042,-,-,0.042,76.800
'14:02:43.312',0.042,-,-,0.056,76.800
'14:02:43.320',0.042,-,-,0.056,76.000
'14:02:43.328',0.042,-,-,0.042,76.000
'14:02:43.336',0.042,-,-,0.085,76.000
'14:02:43.344',0.042,-,-,0.056,75.200
'14:02:43.352',0.042,-,-,0.042,75.200
'14:02:43.360',0.042,-,-,0.056,74.400
'14:02:43.368',0.042,-,-,0.042,74.400
'14:02:43.376',0.042,-,-,0.056,73.600
'14:02:43.384',0.042,-,-,0.056,73.600
'14:02:43.392',0.042,-,-,0.042,73.600
'14:02:43.400',0.042,-,-,0.028,72.800
'14:02:43.408',0.056,-,-,0.028,72.800
'14:02:43.416',0.069,-,-,0.056,72.000
'14:02:43.424',0.069,-,-,0.056,72.000
'14:02:43.432',0.056,-,-,0.056,71.200
'14:02:43.440',0.042,-,-,0.042,71.200
'14:02:43.448',0.042,-,-,0.056,71.200
'14:02:43.456',0.083,-,-,-0.014,70.400
'14:02:43.464',0.097,-,-,0.085,70.400
'14:02:43.472',-0.042,-,-,0.056,69.600
'14:02:43.480',-0.194,-,-,0.056,69.600
'14:02:43.488',-0.389,-,-,-0.141,68.800
'14:02:43.496',-0.625,-,-,-0.451,68.000
'14:02:43.504',-0.861,-,-,-0.803,68.000
