'Elapsed time','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'32:58:48.088',-0.088,-,-,-,-,75.920,41.600
'32:58:48.096',-0.088,-,-,-,-,77.480,41.600
'32:58:48.104',-0.096,-,-,-,-,78.000,41.200
'32:58:48.112',-0.096,-,-,-,-,79.040,40.800
'32:58:48.120',-0.096,-,-,-,-,79.560,40.800
'32:58:48.128',-0.096,-,-,-,-,80.600,40.400
'32:58:48.136',-0.096,-,-,-,-,81.120,40.000
'32:58:48.144',-0.096,-,-,-,-,81.120,39.600
'32:58:48.152',-0.096,-,-,-,-,82.160,39.200
'32:58:48.160',-0.096,-,-,-,-,83.200,38.800
'32:58:48.168',-0.096,-,-,-,-,83.200,38.800
'32:58:48.176',-0.096,-,-,-,-,83.200,38.800
'32:58:48.184',-0.096,-,-,-,-,83.200,38.400
'32:58:48.192',-0.096,-,-,-,-,83.720,38.400
'32:58:48.200',-0.096,-,-,-,-,83.720,38.400
'32:58:48.208',-0.088,-,-,-,-,83.200,38.400
'32:58:48.216',-0.080,-,-,-,-,83.200,38.400
'32:58:48.224',-0.064,-,-,-,-,83.200,38.400
'32:58:48.232',-0.056,-,-,-,-,82.160,38.400
'32:58:48.240',-0.040,-,-,-,-,81.120,38.400
'32:58:48.248',-0.032,-,-,-,-,80.600,38.800
'32:58:48.256',-0.032,-,-,-,-,80.600,38.800
'32:58:48.264',-0.032,-,-,-,-,79.560,38.800
'32:58:48.272',-0.024,-,-,-,-,79.040,39.200
'32:58:48.280',-0.032,-,-,-,-,79.040,39.200
'32:58:48.288',-0.048,-,-,-,-,78.000,39.600
'32:58:48.296',-0.072,-,-,-,-,78.000,39.600
'32:58:48.304',-0.088,-,-,-,-,77.480,39.600
'32:58:48.312',-0.104,-,-,-,-,77.480,40.000
'32:58:48.320',-0.104,-,-,-,-,76.440,40.000
'32:58:48.328',-0.096,-,-,-,-,76.440,40.000
'32:58:48.336',-0.096,-,-,-,-,76.440,40.000
'32:58:48.344',-0.104,-,-,-,-,76.440,40.000
'32:58:48.352',-0.112,-,-,-,-,75.920,40.000
'32:58:48.360',-0.088,-,-,-,-,75.920,40.000
'32:58:48.368',0.048,-,-,-,-,75.920,40.000
'32:58:48.376',0.264,-,-,-,-,76.440,40.000
'32:58:48.384',0.328,-,-,-,-,76.440,40.000
'32:58:48.392',0.200,-,-,-,-,76.440,39.600
'32:58:48.400',0.120,-,-,-,-,76.440,39.600
