'Elapsed time','II','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'33:59:29.304',-,0.045,72.000,-
'33:59:29.312',-,0.045,80.400,-
'33:59:29.320',-,0.045,90.000,-
'33:59:29.328',-,0.060,99.600,-
'33:59:29.336',-,0.060,109.200,-
'33:59:29.344',-,0.060,117.600,-
'33:59:29.352',-,0.060,124.800,-
'33:59:29.360',-,0.060,129.600,-
'33:59:29.368',-,0.090,134.400,-
'33:59:29.376',-,0.090,136.800,-
'33:59:29.384',-,0.090,138.000,-
'33:59:29.392',-,0.104,139.200,-
'33:59:29.400',-,0.104,139.200,-
'33:59:29.408',-,0.134,138.000,-
'33:59:29.416',-,0.149,136.800,-
'33:59:29.424',-,0.149,135.600,-
'33:59:29.432',-,0.179,134.400,-
'33:59:29.440',-,0.179,133.200,-
'33:59:29.448',-,0.194,133.200,-
'33:59:29.456',-,0.194,132.000,-
'33:59:29.464',-,0.179,130.800,-
'33:59:29.472',-,0.179,129.600,-
'33:59:29.480',-,0.149,129.600,-
'33:59:29.488',-,0.134,128.400,-
'33:59:29.496',-,0.104,126.000,-
'33:59:29.504',-,0.090,124.800,-
'33:59:29.512',-,0.060,122.400,-
'33:59:29.520',-,0.015,121.200,-
'33:59:29.528',-,0.015,117.600,-
'33:59:29.536',-,0.000,115.200,-
'33:59:29.544',-,-0.015,111.600,-
'33:59:29.552',-,-0.015,108.000,-
'33:59:29.560',-,-0.045,103.200,-
'33:59:29.568',-,-0.045,99.600,-
'33:59:29.576',-,-0.045,94.800,-
'33:59:29.584',-,-0.015,90.000,-
'33:59:29.592',-,-0.015,86.400,-
'33:59:29.600',-,-0.015,82.800,-
'33:59:29.608',-,0.000,80.400,-
'33:59:29.616',-,0.000,78.000,-
'33:59:29.624',-,0.000,76.800,-
'33:59:29.632',-,0.015,76.800,-
'33:59:29.640',-,0.015,75.600,-
'33:59:29.648',-,0.015,75.600,-
'33:59:29.656',-,0.015,75.600,-
'33:59:29.664',-,0.015,75.600,-
'33:59:29.672',-,0.045,75.600,-
'33:59:29.680',-,0.015,75.600,-
'33:59:29.688',-,0.015,75.600,-
'33:59:29.696',-,0.015,75.600,-
'33:59:29.704',-,0.015,74.400,-
'33:59:29.712',-,0.015,74.400,-
'33:59:29.720',-,0.015,73.200,-
'33:59:29.728',-,0.015,72.000,-
'33:59:29.736',-,0.000,72.000,-
'33:59:29.744',-,0.000,70.800,-
'33:59:29.752',-,0.000,69.600,-
'33:59:29.760',-,0.000,69.600,-
'33:59:29.768',-,0.000,68.400,-
'33:59:29.776',-,0.000,67.200,-
'33:59:29.784',-,0.000,67.200,-
'33:59:29.792',-,0.000,66.000,-
'33:59:29.800',-,0.000,64.800,-
'33:59:29.808',-,0.000,64.800,-
'33:59:29.816',-,0.000,63.600,-
'33:59:29.824',-,0.000,63.600,-
'33:59:29.832',-,0.000,62.400,-
'33:59:29.840',-,0.000,62.400,-
'33:59:29.848',-,0.000,62.400,-
'33:59:29.856',-,0.000,61.200,-
'33:59:29.864',-,0.000,61.200,-
'33:59:29.872',-,0.000,60.000,-
'33:59:29.880',-,0.000,60.000,-
'33:59:29.888',-,0.000,60.000,-
'33:59:29.896',-,0.000,60.000,-
'33:59:29.904',-,0.000,58.800,-
'33:59:29.912',-,0.000,58.800,-
'33:59:29.920',-,0.000,58.800,-
'33:59:29.928',-,0.015,57.600,-
'33:59:29.936',-,0.015,57.600,-
'33:59:29.944',-,0.045,57.600,-
'33:59:29.952',-,0.015,57.600,-
'33:59:29.960',-,-0.015,56.400,-
'33:59:29.968',-,-0.060,56.400,-
'33:59:29.976',-,-0.104,56.400,-
'33:59:29.984',-,-0.104,56.400,-
'33:59:29.992',-,-0.060,55.200,-
