'Elapsed time','II','AVR','AVL','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'58:57:15.456',0.027,-,-,-,90.400
'58:57:15.464',0.009,-,-,-,90.400
'58:57:15.472',0.009,-,-,-,90.400
'58:57:15.480',0.000,-,-,-,89.600
'58:57:15.488',0.000,-,-,-,88.800
'58:57:15.496',0.000,-,-,-,88.000
'58:57:15.504',0.000,-,-,-,86.400
'58:57:15.512',0.000,-,-,-,85.600
'58:57:15.520',-0.009,-,-,-,84.000
'58:57:15.528',0.000,-,-,-,82.400
'58:57:15.536',-0.009,-,-,-,80.800
'58:57:15.544',0.000,-,-,-,78.400
'58:57:15.552',-0.009,-,-,-,76.000
'58:57:15.560',-0.009,-,-,-,73.600
'58:57:15.568',-0.009,-,-,-,71.200
'58:57:15.576',-0.009,-,-,-,69.600
'58:57:15.584',-0.027,-,-,-,67.200
'58:57:15.592',0.000,-,-,-,65.600
'58:57:15.600',0.000,-,-,-,64.000
'58:57:15.608',-0.009,-,-,-,63.200
'58:57:15.616',0.000,-,-,-,61.600
'58:57:15.624',0.000,-,-,-,60.800
'58:57:15.632',-0.027,-,-,-,60.000
'58:57:15.640',-0.027,-,-,-,60.000
'58:57:15.648',-0.027,-,-,-,59.200
'58:57:15.656',-0.009,-,-,-,58.400
'58:57:15.664',-0.027,-,-,-,58.400
'58:57:15.672',-0.027,-,-,-,57.600
'58:57:15.680',-0.027,-,-,-,57.600
'58:57:15.688',-0.134,-,-,-,57.600
'58:57:15.696',-0.179,-,-,-,57.600
'58:57:15.704',-0.071,-,-,-,56.800
'58:57:15.712',0.241,-,-,-,56.800
'58:57:15.720',0.491,-,-,-,56.800
'58:57:15.728',0.500,-,-,-,56.800
'58:57:15.736',0.330,-,-,-,56.800
'58:57:15.744',0.161,-,-,-,56.800
'58:57:15.752',0.071,-,-,-,56.000
'58:57:15.760',0.009,-,-,-,56.000
'58:57:15.768',0.000,-,-,-,56.000
'58:57:15.776',-0.027,-,-,-,55.200
'58:57:15.784',-0.027,-,-,-,55.200
'58:57:15.792',-0.027,-,-,-,54.400
'58:57:15.800',-0.027,-,-,-,54.400
'58:57:15.808',-0.027,-,-,-,53.600
'58:57:15.816',-0.009,-,-,-,52.800
'58:57:15.824',-0.027,-,-,-,52.800
'58:57:15.832',-0.009,-,-,-,52.800
'58:57:15.840',-0.027,-,-,-,52.800
'58:57:15.848',0.000,-,-,-,53.600
'58:57:15.856',0.000,-,-,-,55.200
'58:57:15.864',0.000,-,-,-,56.800
'58:57:15.872',0.000,-,-,-,60.000
'58:57:15.880',0.009,-,-,-,64.000
'58:57:15.888',0.009,-,-,-,67.200
'58:57:15.896',0.027,-,-,-,71.200
'58:57:15.904',0.027,-,-,-,74.400
'58:57:15.912',0.027,-,-,-,77.600
'58:57:15.920',0.027,-,-,-,80.000
'58:57:15.928',0.027,-,-,-,82.400
'58:57:15.936',0.027,-,-,-,84.000
'58:57:15.944',0.027,-,-,-,85.600
'58:57:15.952',0.009,-,-,-,86.400
'58:57:15.960',0.009,-,-,-,86.400
'58:57:15.968',0.000,-,-,-,86.400
'58:57:15.976',0.000,-,-,-,85.600
'58:57:15.984',0.000,-,-,-,85.600
'58:57:15.992',0.000,-,-,-,84.000
'58:57:16.000',0.000,-,-,-,83.200
'58:57:16.008',-0.009,-,-,-,81.600
'58:57:16.016',-0.009,-,-,-,80.000
'58:57:16.024',-0.009,-,-,-,78.400
'58:57:16.032',-0.027,-,-,-,76.800
'58:57:16.040',-0.027,-,-,-,74.400
'58:57:16.048',-0.027,-,-,-,72.000
'58:57:16.056',-0.027,-,-,-,69.600
'58:57:16.064',-0.027,-,-,-,67.200
'58:57:16.072',-0.027,-,-,-,64.800
'58:57:16.080',-0.027,-,-,-,63.200
'58:57:16.088',-0.027,-,-,-,61.600
'58:57:16.096',-0.027,-,-,-,60.000
'58:57:16.104',-0.027,-,-,-,59.200
'58:57:16.112',-0.027,-,-,-,58.400
'58:57:16.120',-0.027,-,-,-,57.600
'58:57:16.128',-0.027,-,-,-,56.800
'58:57:16.136',-0.027,-,-,-,56.000
'58:57:16.144',-0.027,-,-,-,56.000
'58:57:16.152',-0.027,-,-,-,55.200
'58:57:16.160',-0.027,-,-,-,55.200
'58:57:16.168',-0.027,-,-,-,54.400
'58:57:16.176',-0.027,-,-,-,54.400
'58:57:16.184',-0.027,-,-,-,54.400
'58:57:16.192',-0.027,-,-,-,54.400
'58:57:16.200',-0.027,-,-,-,53.600
'58:57:16.208',-0.027,-,-,-,53.600
'58:57:16.216',-0.027,-,-,-,53.600
'58:57:16.224',-0.027,-,-,-,53.600
'58:57:16.232',-0.009,-,-,-,52.800
'58:57:16.240',-0.027,-,-,-,52.800
'58:57:16.248',-0.027,-,-,-,52.000
'58:57:16.256',-0.009,-,-,-,52.000
'58:57:16.264',0.000,-,-,-,52.000
'58:57:16.272',0.000,-,-,-,51.200
'58:57:16.280',0.000,-,-,-,51.200
'58:57:16.288',0.009,-,-,-,50.400
'58:57:16.296',0.009,-,-,-,50.400
'58:57:16.304',0.009,-,-,-,49.600
'58:57:16.312',0.000,-,-,-,49.600
'58:57:16.320',0.000,-,-,-,48.800
'58:57:16.328',0.000,-,-,-,48.800
'58:57:16.336',-0.027,-,-,-,48.800
'58:57:16.344',-0.027,-,-,-,48.000
'58:57:16.352',-0.027,-,-,-,48.000
'58:57:16.360',-0.027,-,-,-,47.200
'58:57:16.368',-0.027,-,-,-,47.200
'58:57:16.376',-0.071,-,-,-,47.200
'58:57:16.384',-0.161,-,-,-,47.200
'58:57:16.392',-0.196,-,-,-,47.200
'58:57:16.400',-0.071,-,-,-,47.200
'58:57:16.408',0.277,-,-,-,46.400
