'Elapsed time','I','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'35:35:33.576',-,-0.032,-,-,-0.016,-,70.560,-
'35:35:33.584',-,-0.064,-,-,-0.008,-,70.560,-
'35:35:33.592',-,-0.032,-,-,-0.016,-,70.560,-
'35:35:33.600',-,-0.064,-,-,-0.008,-,70.560,-
'35:35:33.608',-,-0.032,-,-,-0.008,-,70.560,-
'35:35:33.616',-,-0.064,-,-,-0.008,-,70.560,-
'35:35:33.624',-,-0.032,-,-,-0.008,-,70.560,-
'35:35:33.632',-,-0.064,-,-,0.000,-,70.560,-
'35:35:33.640',-,-0.032,-,-,-0.008,-,70.560,-
'35:35:33.648',-,-0.032,-,-,0.000,-,69.120,-
'35:35:33.656',-,0.000,-,-,-0.016,-,69.120,-
'35:35:33.664',-,0.064,-,-,-0.032,-,69.120,-
'35:35:33.672',-,0.200,-,-,-0.080,-,68.160,-
'35:35:33.680',-,0.200,-,-,-0.072,-,68.160,-
'35:35:33.688',-,0.136,-,-,-0.112,-,66.720,-
'35:35:33.696',-,0.168,-,-,-0.176,-,65.760,-
'35:35:33.704',-,0.136,-,-,-0.160,-,65.760,-
'35:35:33.712',-,0.168,-,-,-0.152,-,64.320,-
'35:35:33.720',-,0.136,-,-,-0.144,-,64.320,-
'35:35:33.728',-,0.000,-,-,-0.136,-,64.320,-
'35:35:33.736',-,-0.096,-,-,-0.096,-,63.360,-
'35:35:33.744',-,-0.304,-,-,-0.064,-,63.360,-
'35:35:33.752',-,-0.480,-,-,0.000,-,61.920,-
'35:35:33.760',-,-0.544,-,-,0.032,-,61.920,-
'35:35:33.768',-,-0.616,-,-,0.080,-,61.920,-
'35:35:33.776',-,-0.408,-,-,0.080,-,61.920,-
'35:35:33.784',-,-0.304,-,-,0.072,-,61.920,-
'35:35:33.792',-,-0.168,-,-,0.048,-,60.960,-
'35:35:33.800',-,-0.096,-,-,0.048,-,60.960,-
'35:35:33.808',-,-0.064,-,-,0.048,-,60.960,-
'35:35:33.816',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.824',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.832',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.840',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.848',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.856',-,-0.064,-,-,0.072,-,60.960,-
'35:35:33.864',-,-0.064,-,-,0.072,-,61.920,-
'35:35:33.872',-,-0.064,-,-,0.072,-,64.320,-
'35:35:33.880',-,-0.064,-,-,0.072,-,66.720,-
'35:35:33.888',-,-0.064,-,-,0.080,-,69.120,-
'35:35:33.896',-,-0.064,-,-,0.080,-,72.960,-
'35:35:33.904',-,-0.064,-,-,0.088,-,76.320,-
'35:35:33.912',-,-0.032,-,-,0.088,-,78.720,-
'35:35:33.920',-,-0.032,-,-,0.096,-,82.560,-
'35:35:33.928',-,0.000,-,-,0.088,-,84.960,-
