'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:21:39.240',-0.040,-,-,-,0.060,-,114.400,45.000
'6:21:39.248',-0.048,-,-,-,0.080,-,111.200,45.000
'6:21:39.256',-0.048,-,-,-,0.080,-,108.000,45.000
'6:21:39.264',-0.040,-,-,-,0.080,-,104.800,45.000
'6:21:39.272',-0.048,-,-,-,0.080,-,101.600,45.000
'6:21:39.280',-0.040,-,-,-,0.080,-,98.400,45.000
'6:21:39.288',-0.032,-,-,-,0.080,-,95.200,45.000
'6:21:39.296',-0.040,-,-,-,0.080,-,92.800,45.000
'6:21:39.304',-0.032,-,-,-,0.080,-,89.600,45.000
'6:21:39.312',-0.024,-,-,-,0.080,-,86.400,44.400
'6:21:39.320',-0.024,-,-,-,0.080,-,82.400,43.400
'6:21:39.328',-0.016,-,-,-,0.080,-,78.400,42.400
'6:21:39.336',-0.008,-,-,-,0.060,-,75.200,41.800
'6:21:39.344',-0.008,-,-,-,0.060,-,72.800,41.200
'6:21:39.352',0.000,-,-,-,0.040,-,70.400,40.800
'6:21:39.360',0.000,-,-,-,0.040,-,68.800,40.800
'6:21:39.368',0.000,-,-,-,0.040,-,68.000,41.000
'6:21:39.376',0.008,-,-,-,0.040,-,69.600,41.200
'6:21:39.384',0.016,-,-,-,0.040,-,72.000,41.600
'6:21:39.392',0.024,-,-,-,0.020,-,75.200,42.000
'6:21:39.400',0.024,-,-,-,0.000,-,80.000,42.000
'6:21:39.408',0.032,-,-,-,0.000,-,85.600,42.200
'6:21:39.416',0.032,-,-,-,0.000,-,90.400,42.200
'6:21:39.424',0.040,-,-,-,0.000,-,94.400,42.600
'6:21:39.432',0.032,-,-,-,0.000,-,98.400,42.800
'6:21:39.440',0.032,-,-,-,0.000,-,100.800,42.800
'6:21:39.448',0.024,-,-,-,-0.020,-,101.600,42.400
'6:21:39.456',0.032,-,-,-,-0.020,-,101.600,41.800
'6:21:39.464',0.024,-,-,-,-0.020,-,100.800,41.000
'6:21:39.472',0.016,-,-,-,-0.040,-,99.200,40.400
'6:21:39.480',0.024,-,-,-,-0.020,-,97.600,39.800
'6:21:39.488',0.016,-,-,-,-0.040,-,95.200,39.400
'6:21:39.496',0.008,-,-,-,-0.020,-,91.200,39.000
'6:21:39.504',0.016,-,-,-,-0.040,-,85.600,38.600
'6:21:39.512',0.000,-,-,-,-0.040,-,80.000,38.400
'6:21:39.520',0.008,-,-,-,-0.040,-,75.200,38.200
'6:21:39.528',0.000,-,-,-,-0.040,-,72.000,38.000
'6:21:39.536',0.008,-,-,-,-0.040,-,70.400,37.600
'6:21:39.544',0.000,-,-,-,-0.040,-,69.600,37.600
'6:21:39.552',0.000,-,-,-,-0.040,-,70.400,37.400
'6:21:39.560',0.000,-,-,-,-0.040,-,72.000,37.200
'6:21:39.568',0.000,-,-,-,-0.040,-,72.800,37.200
'6:21:39.576',0.000,-,-,-,-0.040,-,74.400,37.400
'6:21:39.584',0.000,-,-,-,-0.040,-,75.200,37.600
'6:21:39.592',0.000,-,-,-,-0.040,-,76.000,37.600
'6:21:39.600',0.000,-,-,-,-0.040,-,76.800,37.600
'6:21:39.608',0.000,-,-,-,-0.040,-,76.800,37.800
'6:21:39.616',0.000,-,-,-,-0.040,-,76.000,37.800
'6:21:39.624',0.000,-,-,-,-0.020,-,74.400,37.800
'6:21:39.632',0.000,-,-,-,-0.040,-,73.600,37.800
'6:21:39.640',0.000,-,-,-,-0.020,-,72.000,37.800
'6:21:39.648',0.000,-,-,-,-0.040,-,70.400,38.000
'6:21:39.656',0.000,-,-,-,-0.020,-,69.600,38.000
'6:21:39.664',0.000,-,-,-,-0.020,-,68.000,38.200
'6:21:39.672',0.000,-,-,-,-0.020,-,67.200,38.200
'6:21:39.680',0.000,-,-,-,-0.020,-,66.400,38.400
'6:21:39.688',0.000,-,-,-,-0.020,-,66.400,38.400
'6:21:39.696',0.000,-,-,-,-0.020,-,65.600,38.600
'6:21:39.704',0.000,-,-,-,-0.020,-,65.600,38.600
'6:21:39.712',0.000,-,-,-,-0.020,-,64.800,38.600
'6:21:39.720',0.008,-,-,-,-0.020,-,64.800,38.600
'6:21:39.728',0.000,-,-,-,-0.020,-,64.000,38.600
'6:21:39.736',0.000,-,-,-,-0.020,-,64.000,38.400
'6:21:39.744',0.008,-,-,-,-0.040,-,64.000,38.400
'6:21:39.752',0.032,-,-,-,-0.080,-,64.000,38.200
'6:21:39.760',0.080,-,-,-,-0.180,-,63.200,38.200
'6:21:39.768',0.104,-,-,-,-0.320,-,63.200,38.000
'6:21:39.776',0.128,-,-,-,-0.420,-,63.200,38.000
'6:21:39.784',0.184,-,-,-,-0.480,-,63.200,38.000
'6:21:39.792',0.224,-,-,-,-0.580,-,62.400,37.800
'6:21:39.800',0.224,-,-,-,-0.660,-,62.400,37.600
'6:21:39.808',0.240,-,-,-,-0.680,-,62.400,37.600
'6:21:39.816',0.272,-,-,-,-0.580,-,61.600,37.600
'6:21:39.824',0.328,-,-,-,-0.520,-,60.800,37.800
'6:21:39.832',0.360,-,-,-,-0.580,-,60.800,38.000
'6:21:39.840',0.328,-,-,-,-0.480,-,60.800,38.400
'6:21:39.848',0.272,-,-,-,-0.440,-,60.000,39.000
'6:21:39.856',0.192,-,-,-,-0.360,-,60.000,39.400
'6:21:39.864',0.088,-,-,-,-0.280,-,60.000,39.800
'6:21:39.872',0.016,-,-,-,-0.220,-,60.000,40.000
'6:21:39.880',-0.048,-,-,-,-0.160,-,59.200,40.000
'6:21:39.888',-0.088,-,-,-,-0.100,-,59.200,39.800
'6:21:39.896',-0.128,-,-,-,0.020,-,59.200,39.600
'6:21:39.904',-0.136,-,-,-,0.120,-,60.000,39.200
'6:21:39.912',-0.128,-,-,-,0.220,-,60.000,39.000
'6:21:39.920',-0.136,-,-,-,0.220,-,60.800,38.600
'6:21:39.928',-0.128,-,-,-,0.220,-,60.800,38.400
'6:21:39.936',-0.128,-,-,-,0.200,-,60.800,38.400
'6:21:39.944',-0.112,-,-,-,0.200,-,63.200,38.400
'6:21:39.952',-0.104,-,-,-,0.220,-,65.600,38.800
'6:21:39.960',-0.104,-,-,-,0.240,-,69.600,39.000
'6:21:39.968',-0.112,-,-,-,0.260,-,73.600,39.400
'6:21:39.976',-0.128,-,-,-,0.260,-,77.600,39.800
'6:21:39.984',-0.128,-,-,-,0.260,-,81.600,40.200
'6:21:39.992',-0.128,-,-,-,0.280,-,84.800,40.600
'6:21:40.000',-0.128,-,-,-,0.300,-,87.200,40.800
'6:21:40.008',-0.128,-,-,-,0.300,-,88.800,40.800
'6:21:40.016',-0.136,-,-,-,0.300,-,90.400,40.800
'6:21:40.024',-0.128,-,-,-,0.300,-,91.200,40.600
'6:21:40.032',-0.136,-,-,-,0.320,-,91.200,40.200
'6:21:40.040',-0.128,-,-,-,0.340,-,90.400,39.600
'6:21:40.048',-0.136,-,-,-,0.340,-,89.600,39.200
'6:21:40.056',-0.144,-,-,-,0.360,-,88.800,39.000
'6:21:40.064',-0.136,-,-,-,0.360,-,88.000,38.800
'6:21:40.072',-0.128,-,-,-,0.380,-,86.400,38.800
'6:21:40.080',-0.136,-,-,-,0.360,-,85.600,38.800
'6:21:40.088',-0.128,-,-,-,0.380,-,85.600,38.400
'6:21:40.096',-0.112,-,-,-,0.360,-,85.600,38.200
'6:21:40.104',-0.104,-,-,-,0.360,-,84.800,38.600
'6:21:40.112',-0.104,-,-,-,0.340,-,84.800,39.400
'6:21:40.120',-0.088,-,-,-,0.340,-,83.200,40.200
'6:21:40.128',-0.088,-,-,-,0.320,-,80.800,40.600
'6:21:40.136',-0.072,-,-,-,0.300,-,78.400,41.000
'6:21:40.144',-0.064,-,-,-,0.280,-,76.000,41.200
'6:21:40.152',-0.048,-,-,-,0.260,-,72.800,41.400
'6:21:40.160',-0.032,-,-,-,0.260,-,69.600,41.600
'6:21:40.168',-0.024,-,-,-,0.220,-,67.200,41.600
'6:21:40.176',-0.008,-,-,-,0.200,-,64.800,41.800
'6:21:40.184',-0.008,-,-,-,0.180,-,62.400,41.800
'6:21:40.192',0.000,-,-,-,0.160,-,61.600,41.800
'6:21:40.200',0.000,-,-,-,0.120,-,62.400,41.800
'6:21:40.208',0.016,-,-,-,0.120,-,63.200,41.800
'6:21:40.216',0.016,-,-,-,0.080,-,65.600,42.000
'6:21:40.224',0.032,-,-,-,0.040,-,68.800,42.000
'6:21:40.232',0.064,-,-,-,0.000,-,72.800,42.000
'6:21:40.240',0.120,-,-,-,-0.120,-,76.800,42.000
'6:21:40.248',0.144,-,-,-,-0.260,-,81.600,42.200
'6:21:40.256',0.168,-,-,-,-0.400,-,85.600,42.200
'6:21:40.264',0.200,-,-,-,-0.480,-,88.800,42.200
'6:21:40.272',0.224,-,-,-,-0.580,-,92.000,42.200
'6:21:40.280',0.224,-,-,-,-0.680,-,93.600,42.000
'6:21:40.288',0.208,-,-,-,-0.700,-,94.400,42.000
'6:21:40.296',0.240,-,-,-,-0.620,-,94.400,41.800
'6:21:40.304',0.288,-,-,-,-0.560,-,93.600,41.600
'6:21:40.312',0.312,-,-,-,-0.600,-,92.800,41.600
'6:21:40.320',0.272,-,-,-,-0.500,-,91.200,41.600
'6:21:40.328',0.240,-,-,-,-0.440,-,89.600,41.800
'6:21:40.336',0.144,-,-,-,-0.380,-,87.200,42.000
'6:21:40.344',0.064,-,-,-,-0.320,-,83.200,42.400
'6:21:40.352',0.000,-,-,-,-0.260,-,79.200,42.800
'6:21:40.360',-0.048,-,-,-,-0.220,-,75.200,43.000
'6:21:40.368',-0.088,-,-,-,-0.140,-,72.000,43.000
'6:21:40.376',-0.112,-,-,-,-0.040,-,70.400,43.000
'6:21:40.384',-0.128,-,-,-,0.060,-,70.400,42.800
'6:21:40.392',-0.112,-,-,-,0.160,-,70.400,42.600
'6:21:40.400',-0.128,-,-,-,0.200,-,70.400,42.400
'6:21:40.408',-0.104,-,-,-,0.220,-,71.200,42.400
'6:21:40.416',-0.112,-,-,-,0.220,-,71.200,42.400
'6:21:40.424',-0.104,-,-,-,0.240,-,71.200,42.400
'6:21:40.432',-0.112,-,-,-,0.240,-,69.600,42.400
'6:21:40.440',-0.104,-,-,-,0.260,-,68.000,42.600
'6:21:40.448',-0.112,-,-,-,0.240,-,66.400,42.800
'6:21:40.456',-0.128,-,-,-,0.260,-,64.000,43.000
'6:21:40.464',-0.104,-,-,-,0.220,-,61.600,43.200
'6:21:40.472',-0.128,-,-,-,0.220,-,60.000,43.400
'6:21:40.480',-0.112,-,-,-,0.220,-,58.400,43.800
'6:21:40.488',-0.104,-,-,-,0.240,-,56.800,44.000
'6:21:40.496',-0.112,-,-,-,0.260,-,56.000,44.000
'6:21:40.504',-0.104,-,-,-,0.280,-,56.000,44.200
'6:21:40.512',-0.128,-,-,-,0.300,-,56.800,44.400
'6:21:40.520',-0.112,-,-,-,0.280,-,58.400,44.400
'6:21:40.528',-0.128,-,-,-,0.300,-,60.000,44.400
'6:21:40.536',-0.112,-,-,-,0.300,-,60.800,44.600
'6:21:40.544',-0.112,-,-,-,0.300,-,61.600,44.800
'6:21:40.552',-0.112,-,-,-,0.300,-,62.400,45.000
'6:21:40.560',-0.104,-,-,-,0.260,-,62.400,45.000
'6:21:40.568',-0.096,-,-,-,0.260,-,62.400,45.000
'6:21:40.576',-0.088,-,-,-,0.240,-,61.600,45.000
'6:21:40.584',-0.072,-,-,-,0.220,-,60.800,45.000
'6:21:40.592',-0.072,-,-,-,0.200,-,59.200,45.000
'6:21:40.600',-0.056,-,-,-,0.160,-,58.400,45.000
'6:21:40.608',-0.048,-,-,-,0.160,-,56.800,45.000
'6:21:40.616',-0.040,-,-,-,0.120,-,56.000,45.000
'6:21:40.624',-0.032,-,-,-,0.080,-,54.400,45.000
'6:21:40.632',-0.024,-,-,-,0.080,-,52.800,45.000
'6:21:40.640',-0.016,-,-,-,0.060,-,51.200,45.000
'6:21:40.648',0.000,-,-,-,0.040,-,50.400,45.000
'6:21:40.656',0.000,-,-,-,0.020,-,49.600,45.000
'6:21:40.664',0.000,-,-,-,0.000,-,49.600,45.000
'6:21:40.672',0.008,-,-,-,0.000,-,50.400,45.000
'6:21:40.680',0.008,-,-,-,-0.040,-,51.200,44.400
'6:21:40.688',0.016,-,-,-,-0.040,-,52.000,44.000
'6:21:40.696',0.024,-,-,-,-0.040,-,53.600,43.600
'6:21:40.704',0.016,-,-,-,-0.060,-,56.000,43.200
'6:21:40.712',0.024,-,-,-,-0.060,-,57.600,42.600
'6:21:40.720',0.016,-,-,-,-0.080,-,60.000,42.200
'6:21:40.728',0.024,-,-,-,-0.080,-,63.200,41.600
'6:21:40.736',0.008,-,-,-,-0.080,-,65.600,40.800
'6:21:40.744',0.016,-,-,-,-0.080,-,68.800,40.200
'6:21:40.752',0.008,-,-,-,-0.080,-,71.200,39.600
'6:21:40.760',0.008,-,-,-,-0.080,-,72.800,38.800
'6:21:40.768',0.008,-,-,-,-0.080,-,74.400,38.000
'6:21:40.776',0.000,-,-,-,-0.080,-,74.400,37.200
'6:21:40.784',0.008,-,-,-,-0.080,-,74.400,36.600
'6:21:40.792',0.000,-,-,-,-0.080,-,74.400,35.800
'6:21:40.800',0.000,-,-,-,-0.080,-,73.600,35.400
'6:21:40.808',0.000,-,-,-,-0.080,-,72.800,35.000
'6:21:40.816',0.008,-,-,-,-0.080,-,72.000,34.800
'6:21:40.824',0.000,-,-,-,-0.060,-,69.600,34.600
'6:21:40.832',0.000,-,-,-,-0.080,-,65.600,34.200
'6:21:40.840',0.000,-,-,-,-0.060,-,62.400,34.000
'6:21:40.848',0.000,-,-,-,-0.080,-,59.200,33.800
