'Elapsed time','II','III','AVF','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'13:51:29.432',-0.097,-,-,-0.113,98.400
'13:51:29.440',-0.125,-,-,-0.113,110.400
'13:51:29.448',-0.125,-,-,-0.127,118.400
'13:51:29.456',-0.139,-,-,-0.141,123.200
'13:51:29.464',-0.139,-,-,-0.141,124.000
'13:51:29.472',-0.139,-,-,-0.169,123.200
'13:51:29.480',-0.139,-,-,-0.169,120.000
'13:51:29.488',-0.139,-,-,-0.169,117.600
'13:51:29.496',-0.125,-,-,-0.183,114.400
'13:51:29.504',-0.125,-,-,-0.169,112.800
'13:51:29.512',-0.097,-,-,-0.169,111.200
'13:51:29.520',-0.069,-,-,-0.169,109.600
'13:51:29.528',-0.056,-,-,-0.169,108.800
'13:51:29.536',-0.042,-,-,-0.155,107.200
'13:51:29.544',-0.028,-,-,-0.141,106.400
'13:51:29.552',0.000,-,-,-0.113,104.800
'13:51:29.560',0.014,-,-,-0.070,103.200
'13:51:29.568',0.014,-,-,-0.056,100.800
'13:51:29.576',0.028,-,-,-0.028,98.400
'13:51:29.584',0.028,-,-,-0.028,96.000
'13:51:29.592',0.028,-,-,0.000,92.800
'13:51:29.600',0.028,-,-,0.000,90.400
'13:51:29.608',0.042,-,-,0.028,87.200
'13:51:29.616',0.042,-,-,0.042,84.000
'13:51:29.624',0.042,-,-,0.056,81.600
'13:51:29.632',0.042,-,-,0.070,80.800
'13:51:29.640',0.056,-,-,0.085,80.000
'13:51:29.648',0.069,-,-,0.113,80.000
'13:51:29.656',0.069,-,-,0.113,80.800
'13:51:29.664',0.083,-,-,0.085,81.600
'13:51:29.672',0.097,-,-,0.113,82.400
'13:51:29.680',0.097,-,-,0.085,82.400
'13:51:29.688',0.097,-,-,0.113,81.600
'13:51:29.696',0.083,-,-,0.085,81.600
'13:51:29.704',0.083,-,-,0.085,80.800
'13:51:29.712',0.083,-,-,0.070,80.000
'13:51:29.720',0.097,-,-,0.085,78.400
'13:51:29.728',0.083,-,-,0.085,77.600
'13:51:29.736',0.069,-,-,0.056,77.600
'13:51:29.744',0.056,-,-,0.070,76.800
'13:51:29.752',0.042,-,-,0.085,76.000
'13:51:29.760',0.042,-,-,0.070,75.200
'13:51:29.768',0.042,-,-,0.070,75.200
'13:51:29.776',0.042,-,-,0.085,74.400
'13:51:29.784',0.042,-,-,0.056,73.600
'13:51:29.792',0.042,-,-,0.085,72.800
'13:51:29.800',0.028,-,-,0.056,72.800
'13:51:29.808',0.028,-,-,0.056,72.000
'13:51:29.816',0.014,-,-,0.042,71.200
'13:51:29.824',0.014,-,-,0.028,70.400
'13:51:29.832',0.014,-,-,0.042,70.400
'13:51:29.840',0.028,-,-,0.028,69.600
'13:51:29.848',0.028,-,-,0.056,69.600
'13:51:29.856',0.028,-,-,0.042,68.800
'13:51:29.864',0.028,-,-,0.056,68.000
'13:51:29.872',0.028,-,-,0.042,68.000
'13:51:29.880',0.028,-,-,0.056,67.200
'13:51:29.888',0.014,-,-,0.042,67.200
'13:51:29.896',0.028,-,-,0.056,66.400
'13:51:29.904',0.028,-,-,0.042,65.600
'13:51:29.912',0.028,-,-,0.042,65.600
'13:51:29.920',0.028,-,-,0.056,64.800
'13:51:29.928',0.028,-,-,0.042,64.800
'13:51:29.936',0.028,-,-,0.056,64.000
'13:51:29.944',0.014,-,-,0.028,64.000
'13:51:29.952',0.014,-,-,0.042,63.200
'13:51:29.960',0.014,-,-,0.042,63.200
'13:51:29.968',0.014,-,-,0.042,63.200
'13:51:29.976',0.014,-,-,0.042,62.400
'13:51:29.984',0.000,-,-,0.042,62.400
'13:51:29.992',0.014,-,-,0.042,61.600
'13:51:30.000',0.014,-,-,0.028,61.600
'13:51:30.008',0.000,-,-,0.028,60.800
'13:51:30.016',0.000,-,-,0.028,60.800
'13:51:30.024',0.000,-,-,0.014,60.000
'13:51:30.032',0.014,-,-,0.028,60.000
'13:51:30.040',0.014,-,-,0.028,59.200
'13:51:30.048',0.000,-,-,0.014,59.200
'13:51:30.056',-0.014,-,-,0.028,58.400
'13:51:30.064',0.014,-,-,-0.042,58.400
'13:51:30.072',0.014,-,-,0.042,58.400
'13:51:30.080',-0.139,-,-,0.056,57.600
'13:51:30.088',-0.306,-,-,0.014,57.600
'13:51:30.096',-0.500,-,-,-0.141,57.600
'13:51:30.104',-0.708,-,-,-0.451,57.600
'13:51:30.112',-0.861,-,-,-0.648,56.800
'13:51:30.120',-0.931,-,-,-0.845,56.800
'13:51:30.128',-0.819,-,-,-0.930,56.800
'13:51:30.136',-0.542,-,-,-0.761,56.800
'13:51:30.144',-0.236,-,-,-0.465,56.000
'13:51:30.152',0.000,-,-,-0.070,56.000
'13:51:30.160',0.083,-,-,0.085,56.000
'13:51:30.168',0.097,-,-,0.113,55.200
'13:51:30.176',0.125,-,-,0.127,55.200
'13:51:30.184',0.097,-,-,0.113,55.200
'13:51:30.192',0.097,-,-,0.113,54.400
'13:51:30.200',0.097,-,-,0.070,54.400
'13:51:30.208',0.125,-,-,0.085,53.600
'13:51:30.216',0.097,-,-,0.085,53.600
'13:51:30.224',0.097,-,-,0.070,54.400
'13:51:30.232',0.139,-,-,0.056,56.000
'13:51:30.240',0.139,-,-,0.056,60.000
'13:51:30.248',0.139,-,-,0.056,66.400
'13:51:30.256',0.139,-,-,0.042,76.000
'13:51:30.264',0.139,-,-,0.028,88.000
'13:51:30.272',0.139,-,-,0.028,98.400
'13:51:30.280',0.153,-,-,0.042,106.400
'13:51:30.288',0.167,-,-,0.028,111.200
'13:51:30.296',0.167,-,-,0.042,113.600
'13:51:30.304',0.167,-,-,0.028,112.800
'13:51:30.312',0.167,-,-,0.028,111.200
'13:51:30.320',0.181,-,-,0.028,108.800
'13:51:30.328',0.194,-,-,0.042,106.400
'13:51:30.336',0.208,-,-,0.028,104.000
'13:51:30.344',0.208,-,-,0.028,102.400
