'Elapsed time','I','II','III','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg'
'217:45:58.032',0.128,0.174,-,-,-,104.000
'217:45:58.040',0.152,0.174,-,-,-,108.800
'217:45:58.048',0.128,0.152,-,-,-,112.000
'217:45:58.056',0.112,0.130,-,-,-,113.600
'217:45:58.064',0.096,0.130,-,-,-,114.400
'217:45:58.072',0.056,0.076,-,-,-,114.400
'217:45:58.080',0.032,0.043,-,-,-,114.400
'217:45:58.088',0.016,0.022,-,-,-,112.800
'217:45:58.096',0.000,0.000,-,-,-,112.000
'217:45:58.104',0.000,-0.022,-,-,-,111.200
'217:45:58.112',-0.016,-0.022,-,-,-,109.600
'217:45:58.120',-0.016,-0.043,-,-,-,108.800
'217:45:58.128',-0.032,-0.043,-,-,-,107.200
'217:45:58.136',-0.032,-0.076,-,-,-,105.600
'217:45:58.144',-0.032,-0.076,-,-,-,104.800
'217:45:58.152',-0.056,-0.098,-,-,-,103.200
'217:45:58.160',-0.056,-0.098,-,-,-,101.600
'217:45:58.168',-0.056,-0.098,-,-,-,99.200
'217:45:58.176',-0.056,-0.098,-,-,-,97.600
'217:45:58.184',-0.072,-0.098,-,-,-,95.200
'217:45:58.192',-0.072,-0.098,-,-,-,92.000
'217:45:58.200',-0.056,-0.076,-,-,-,89.600
'217:45:58.208',-0.056,-0.076,-,-,-,86.400
'217:45:58.216',-0.056,-0.076,-,-,-,84.000
'217:45:58.224',-0.032,-0.076,-,-,-,82.400
'217:45:58.232',-0.032,-0.076,-,-,-,80.800
'217:45:58.240',-0.016,-0.043,-,-,-,80.000
'217:45:58.248',-0.016,-0.043,-,-,-,79.200
'217:45:58.256',-0.032,-0.043,-,-,-,78.400
'217:45:58.264',-0.032,-0.043,-,-,-,78.400
'217:45:58.272',-0.032,-0.076,-,-,-,78.400
'217:45:58.280',-0.032,-0.076,-,-,-,79.200
'217:45:58.288',-0.032,-0.076,-,-,-,79.200
'217:45:58.296',-0.032,-0.043,-,-,-,79.200
'217:45:58.304',-0.032,-0.043,-,-,-,79.200
'217:45:58.312',-0.032,-0.076,-,-,-,79.200
'217:45:58.320',-0.032,-0.076,-,-,-,79.200
'217:45:58.328',-0.032,-0.043,-,-,-,79.200
'217:45:58.336',-0.032,-0.043,-,-,-,78.400
'217:45:58.344',-0.016,-0.043,-,-,-,78.400
'217:45:58.352',-0.016,-0.043,-,-,-,77.600
'217:45:58.360',0.000,-0.043,-,-,-,76.800
'217:45:58.368',0.000,-0.043,-,-,-,76.000
'217:45:58.376',-0.016,-0.043,-,-,-,74.400
'217:45:58.384',-0.032,-0.043,-,-,-,73.600
'217:45:58.392',-0.056,-0.076,-,-,-,72.800
'217:45:58.400',-0.032,-0.076,-,-,-,72.000
'217:45:58.408',-0.032,-0.076,-,-,-,71.200
'217:45:58.416',-0.032,-0.076,-,-,-,70.400
'217:45:58.424',-0.032,-0.076,-,-,-,70.400
'217:45:58.432',-0.032,-0.076,-,-,-,69.600
'217:45:58.440',-0.056,-0.098,-,-,-,68.800
'217:45:58.448',-0.032,-0.098,-,-,-,68.000
'217:45:58.456',0.128,0.098,-,-,-,68.000
'217:45:58.464',0.440,0.522,-,-,-,67.200
'217:45:58.472',0.632,0.913,-,-,-,66.400
'217:45:58.480',0.496,0.967,-,-,-,65.600
'217:45:58.488',0.168,0.467,-,-,-,65.600
'217:45:58.496',-0.032,0.043,-,-,-,64.800
'217:45:58.504',-0.152,-0.174,-,-,-,64.800
'217:45:58.512',-0.168,-0.207,-,-,-,64.000
'217:45:58.520',-0.152,-0.152,-,-,-,64.000
'217:45:58.528',-0.072,-0.098,-,-,-,64.000
'217:45:58.536',-0.032,-0.076,-,-,-,63.200
'217:45:58.544',-0.032,-0.076,-,-,-,63.200
'217:45:58.552',-0.056,-0.076,-,-,-,63.200
'217:45:58.560',-0.056,-0.076,-,-,-,63.200
'217:45:58.568',-0.032,-0.043,-,-,-,62.400
'217:45:58.576',-0.016,-0.043,-,-,-,62.400
'217:45:58.584',-0.016,-0.022,-,-,-,62.400
'217:45:58.592',0.000,0.000,-,-,-,62.400
'217:45:58.600',0.016,0.000,-,-,-,62.400
'217:45:58.608',0.016,0.000,-,-,-,62.400
'217:45:58.616',0.016,0.022,-,-,-,63.200
'217:45:58.624',0.016,0.022,-,-,-,64.800
'217:45:58.632',0.032,0.043,-,-,-,67.200
'217:45:58.640',0.056,0.076,-,-,-,72.000
'217:45:58.648',0.096,0.130,-,-,-,76.800
'217:45:58.656',0.112,0.152,-,-,-,83.200
'217:45:58.664',0.128,0.174,-,-,-,90.400
'217:45:58.672',0.168,0.207,-,-,-,96.800
'217:45:58.680',0.168,0.228,-,-,-,102.400
'217:45:58.688',0.168,0.228,-,-,-,106.400
'217:45:58.696',0.168,0.228,-,-,-,109.600
'217:45:58.704',0.168,0.207,-,-,-,112.000
'217:45:58.712',0.128,0.152,-,-,-,112.800
'217:45:58.720',0.112,0.130,-,-,-,112.800
'217:45:58.728',0.072,0.076,-,-,-,112.800
'217:45:58.736',0.032,0.022,-,-,-,112.000
'217:45:58.744',0.016,0.000,-,-,-,111.200
'217:45:58.752',0.000,-0.022,-,-,-,110.400
'217:45:58.760',-0.016,-0.043,-,-,-,108.800
'217:45:58.768',-0.032,-0.076,-,-,-,108.000
'217:45:58.776',-0.032,-0.098,-,-,-,106.400
'217:45:58.784',-0.056,-0.098,-,-,-,104.800
'217:45:58.792',-0.056,-0.076,-,-,-,103.200
'217:45:58.800',-0.056,-0.076,-,-,-,101.600
'217:45:58.808',-0.056,-0.076,-,-,-,100.000
'217:45:58.816',-0.056,-0.076,-,-,-,98.400
'217:45:58.824',-0.032,-0.076,-,-,-,96.000
'217:45:58.832',-0.016,-0.076,-,-,-,93.600
'217:45:58.840',-0.016,-0.043,-,-,-,91.200
'217:45:58.848',-0.016,-0.043,-,-,-,88.000
'217:45:58.856',-0.016,-0.076,-,-,-,85.600
'217:45:58.864',-0.016,-0.043,-,-,-,83.200
'217:45:58.872',-0.016,-0.043,-,-,-,81.600
'217:45:58.880',-0.016,-0.043,-,-,-,80.000
'217:45:58.888',-0.016,-0.043,-,-,-,78.400
'217:45:58.896',-0.016,-0.076,-,-,-,77.600
'217:45:58.904',-0.016,-0.043,-,-,-,77.600
'217:45:58.912',-0.016,-0.043,-,-,-,77.600
'217:45:58.920',-0.016,-0.043,-,-,-,77.600
'217:45:58.928',-0.016,-0.022,-,-,-,77.600
'217:45:58.936',-0.016,-0.043,-,-,-,77.600
'217:45:58.944',0.000,-0.043,-,-,-,78.400
'217:45:58.952',0.000,-0.043,-,-,-,78.400
'217:45:58.960',0.000,-0.043,-,-,-,78.400
'217:45:58.968',-0.016,-0.043,-,-,-,77.600
'217:45:58.976',-0.016,-0.043,-,-,-,77.600
'217:45:58.984',-0.016,-0.043,-,-,-,77.600
'217:45:58.992',-0.016,-0.043,-,-,-,76.800
'217:45:59.000',-0.016,-0.043,-,-,-,76.000
'217:45:59.008',-0.016,-0.043,-,-,-,76.000
'217:45:59.016',-0.016,-0.043,-,-,-,75.200
'217:45:59.024',-0.016,-0.043,-,-,-,74.400
'217:45:59.032',-0.016,-0.043,-,-,-,73.600
'217:45:59.040',-0.016,-0.022,-,-,-,72.800
'217:45:59.048',-0.016,-0.022,-,-,-,72.000
'217:45:59.056',0.000,-0.022,-,-,-,71.200
'217:45:59.064',-0.016,-0.043,-,-,-,70.400
'217:45:59.072',-0.016,-0.043,-,-,-,69.600
'217:45:59.080',0.000,-0.043,-,-,-,68.800
'217:45:59.088',-0.016,-0.043,-,-,-,68.000
'217:45:59.096',-0.016,-0.043,-,-,-,68.000
'217:45:59.104',-0.016,-0.043,-,-,-,67.200
'217:45:59.112',-0.016,-0.043,-,-,-,66.400
'217:45:59.120',-0.032,-0.043,-,-,-,66.400
'217:45:59.128',-0.016,-0.043,-,-,-,65.600
'217:45:59.136',-0.016,-0.043,-,-,-,64.800
'217:45:59.144',-0.016,-0.043,-,-,-,64.800
'217:45:59.152',-0.016,-0.022,-,-,-,64.800
'217:45:59.160',0.000,-0.022,-,-,-,64.000
'217:45:59.168',-0.016,-0.022,-,-,-,64.000
'217:45:59.176',-0.016,-0.043,-,-,-,63.200
'217:45:59.184',-0.016,-0.043,-,-,-,63.200
'217:45:59.192',0.112,0.076,-,-,-,62.400
'217:45:59.200',0.384,0.467,-,-,-,62.400
'217:45:59.208',0.608,0.891,-,-,-,62.400
'217:45:59.216',0.536,0.967,-,-,-,61.600
'217:45:59.224',0.224,0.598,-,-,-,61.600
'217:45:59.232',-0.016,0.130,-,-,-,61.600
'217:45:59.240',-0.128,-0.130,-,-,-,60.800
'217:45:59.248',-0.168,-0.207,-,-,-,60.800
'217:45:59.256',-0.152,-0.174,-,-,-,60.800
'217:45:59.264',-0.096,-0.098,-,-,-,60.000
'217:45:59.272',-0.032,-0.076,-,-,-,60.000
'217:45:59.280',-0.016,-0.043,-,-,-,59.200
'217:45:59.288',-0.016,-0.043,-,-,-,59.200
'217:45:59.296',-0.016,-0.043,-,-,-,59.200
'217:45:59.304',0.000,-0.022,-,-,-,58.400
'217:45:59.312',0.000,-0.022,-,-,-,58.400
'217:45:59.320',0.000,0.000,-,-,-,58.400
'217:45:59.328',0.000,0.000,-,-,-,58.400
'217:45:59.336',0.000,0.000,-,-,-,58.400
'217:45:59.344',0.000,0.000,-,-,-,58.400
'217:45:59.352',0.016,0.022,-,-,-,59.200
'217:45:59.360',0.016,0.022,-,-,-,61.600
'217:45:59.368',0.032,0.043,-,-,-,64.800
'217:45:59.376',0.056,0.076,-,-,-,69.600
'217:45:59.384',0.096,0.098,-,-,-,75.200
'217:45:59.392',0.112,0.130,-,-,-,81.600
'217:45:59.400',0.152,0.152,-,-,-,88.800
'217:45:59.408',0.168,0.174,-,-,-,95.200
'217:45:59.416',0.192,0.207,-,-,-,100.800
'217:45:59.424',0.208,0.228,-,-,-,104.800
'217:45:59.432',0.192,0.228,-,-,-,108.000
'217:45:59.440',0.168,0.207,-,-,-,110.400
'217:45:59.448',0.128,0.174,-,-,-,111.200
'217:45:59.456',0.112,0.130,-,-,-,111.200
'217:45:59.464',0.096,0.098,-,-,-,110.400
'217:45:59.472',0.072,0.076,-,-,-,109.600
'217:45:59.480',0.032,0.043,-,-,-,108.800
'217:45:59.488',0.016,0.000,-,-,-,107.200
