'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'6:14:26.064',0.112,-,2.760,-,52.000,-
'6:14:26.072',0.128,-,2.760,-,53.600,-
'6:14:26.080',0.128,-,2.760,-,55.200,-
'6:14:26.088',0.128,-,2.760,-,56.800,-
'6:14:26.096',0.128,-,2.760,-,57.600,-
'6:14:26.104',0.128,-,2.760,-,58.400,-
'6:14:26.112',0.128,-,2.760,-,59.200,-
'6:14:26.120',0.112,-,2.760,-,60.000,-
'6:14:26.128',0.104,-,2.760,-,60.000,-
'6:14:26.136',0.072,-,2.760,-,60.000,-
'6:14:26.144',0.064,-,2.760,-,59.200,-
'6:14:26.152',0.032,-,2.760,-,59.200,-
'6:14:26.160',0.008,-,2.760,-,58.400,-
'6:14:26.168',0.008,-,2.760,-,56.800,-
'6:14:26.176',0.032,-,2.760,-,56.000,-
'6:14:26.184',0.048,-,2.760,-,55.200,-
'6:14:26.192',0.064,-,2.760,-,53.600,-
'6:14:26.200',0.088,-,2.760,-,52.000,-
'6:14:26.208',0.104,-,2.760,-,51.200,-
'6:14:26.216',0.072,-,2.760,-,49.600,-
'6:14:26.224',-0.032,-,2.760,-,48.800,-
'6:14:26.232',-0.216,-,2.760,-,48.800,-
'6:14:26.240',-0.392,-,2.760,-,48.000,-
'6:14:26.248',-0.512,-,2.760,-,48.000,-
'6:14:26.256',-0.600,-,2.760,-,47.200,-
'6:14:26.264',-0.640,-,2.760,-,46.400,-
'6:14:26.272',-0.600,-,2.760,-,46.400,-
'6:14:26.280',-0.520,-,2.760,-,46.400,-
'6:14:26.288',-0.456,-,2.760,-,45.600,-
'6:14:26.296',-0.392,-,2.760,-,45.600,-
'6:14:26.304',-0.288,-,2.760,-,45.600,-
'6:14:26.312',-0.144,-,2.760,-,44.800,-
'6:14:26.320',0.008,-,2.760,-,44.800,-
'6:14:26.328',0.152,-,2.760,-,44.800,-
'6:14:26.336',0.248,-,2.760,-,44.800,-
'6:14:26.344',0.296,-,2.760,-,44.800,-
'6:14:26.352',0.312,-,2.760,-,44.800,-
'6:14:26.360',0.328,-,2.760,-,44.800,-
'6:14:26.368',0.352,-,2.760,-,45.600,-
'6:14:26.376',0.368,-,2.760,-,45.600,-
'6:14:26.384',0.368,-,2.760,-,45.600,-
'6:14:26.392',0.376,-,2.760,-,46.400,-
'6:14:26.400',0.376,-,2.760,-,47.200,-
'6:14:26.408',0.376,-,2.760,-,48.800,-
'6:14:26.416',0.392,-,2.760,-,51.200,-
'6:14:26.424',0.376,-,2.760,-,53.600,-
'6:14:26.432',0.376,-,2.760,-,56.000,-
'6:14:26.440',0.376,-,2.760,-,57.600,-
'6:14:26.448',0.392,-,2.760,-,59.200,-
'6:14:26.456',0.392,-,2.760,-,60.800,-
'6:14:26.464',0.376,-,2.760,-,61.600,-
'6:14:26.472',0.368,-,2.760,-,62.400,-
'6:14:26.480',0.328,-,2.760,-,63.200,-
'6:14:26.488',0.296,-,2.760,-,64.000,-
'6:14:26.496',0.256,-,2.760,-,64.000,-
'6:14:26.504',0.232,-,2.760,-,64.000,-
'6:14:26.512',0.192,-,2.760,-,63.200,-
'6:14:26.520',0.168,-,2.712,-,63.200,-
'6:14:26.528',0.144,-,2.672,-,62.400,-
