'Elapsed time','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'27:53:49.488',-,-,-,-,-
'27:53:49.496',-,-,-,-,-
'27:53:49.504',-,-,-,-,-
'27:53:49.512',-,-,-,-,-
'27:53:49.520',-,-,-,-,-
'27:53:49.528',-,-,-,-,-
'27:53:49.536',-,-,-,-,-
'27:53:49.544',-,-,-,-,-
'27:53:49.552',-,-,-,-,-
'27:53:49.560',-,-,-,-,-
'27:53:49.568',-,-,-,-,-
'27:53:49.576',-,-,-,-,-
'27:53:49.584',-,-,-,-,-
'27:53:49.592',-,-,-,-,-
'27:53:49.600',-,-,-,-,-
'27:53:49.608',-,-,-,-,-
'27:53:49.616',-,-,-,-,-
'27:53:49.624',-,-,-,-,-
'27:53:49.632',-,-,-,-,-
'27:53:49.640',-,-,-,-,-
'27:53:49.648',-,-,-,-,-
'27:53:49.656',-,-,-,-,-
'27:53:49.664',-,-,-,-,-
'27:53:49.672',-,-,-,-,-
'27:53:49.680',-,-,-,-,-
'27:53:49.688',-,-,-,-,-
'27:53:49.696',-,-,-,-,-
'27:53:49.704',-,-,-,-,-
'27:53:49.712',-,-,-,-,-
'27:53:49.720',-,-,-,-,-
'27:53:49.728',-,-,-,-,-
'27:53:49.736',-,-,-,-,-
'27:53:49.744',-,-,-,-,-
'27:53:49.752',-,-,-,-,-
'27:53:49.760',-,-,-,-,-
'27:53:49.768',-,-,-,-,-
'27:53:49.776',-,-,-,-,-
'27:53:49.784',-,-,-,-,-
'27:53:49.792',-,-,-,-,-
'27:53:49.800',-,-,-,-,-
'27:53:49.808',-,-,-,-,-
'27:53:49.816',-,-,-,-,-
'27:53:49.824',-,-,-,-,-
'27:53:49.832',-,-,-,-,-
'27:53:49.840',-,-,-,-,-
'27:53:49.848',-,-,-,-,-
'27:53:49.856',-,-,-,-,-
'27:53:49.864',-,-,-,-,-
'27:53:49.872',-,-,-,-,-
'27:53:49.880',-,-,-,-,-
'27:53:49.888',-,-,-,-,-
'27:53:49.896',-,-,-,-,-
'27:53:49.904',-,-,-,-,-
'27:53:49.912',-,-,-,-,-
'27:53:49.920',-,-,-,-,-
'27:53:49.928',-,-,-,-,-
'27:53:49.936',-,-,-,-,-
'27:53:49.944',-,-,-,-,-
'27:53:49.952',-,-,-,-,-
'27:53:49.960',-,-,-,-,-
'27:53:49.968',-,-,-,-,-
'27:53:49.976',-,-,-,-,-
'27:53:49.984',-,-,-,-,-
'27:53:49.992',-,-,-,-,-
'27:53:50.000',-,-,-,-,-
'27:53:50.008',-,-,-,-,-
'27:53:50.016',-,-,-,-,-
'27:53:50.024',-,-,-,-,-
'27:53:50.032',-,-,-,-,-
'27:53:50.040',-,-,-,-,-
'27:53:50.048',-,-,-,-,-
'27:53:50.056',-,-,-,-,-
'27:53:50.064',-,-,-,-,-
'27:53:50.072',-,-,-,-,-
'27:53:50.080',-,-,-,-,-
'27:53:50.088',-,-,-,-,-
'27:53:50.096',-,-,-,-,-
'27:53:50.104',-,-,-,-,-
'27:53:50.112',-,-,-,-,-
'27:53:50.120',-,-,-,-,-
'27:53:50.128',-,-,-,-,-
'27:53:50.136',-,-,-,-,-
'27:53:50.144',-,-,-,-,-
'27:53:50.152',-,-,-,-,-
'27:53:50.160',-,-,-,-,-
'27:53:50.168',-,-,-,-,-
'27:53:50.176',-,-,-,-,-
'27:53:50.184',-,-,-,-,-
'27:53:50.192',-,-,-,-,-
'27:53:50.200',-,-,-,-,-
'27:53:50.208',-,-,-,-,-
'27:53:50.216',-,-,-,-,-
'27:53:50.224',-,-,-,-,-
'27:53:50.232',-,-,-,-,-
'27:53:50.240',-,-,-,-,-
'27:53:50.248',-,-,-,-,-
'27:53:50.256',-,-,-,-,-
'27:53:50.264',-,-,-,-,-
'27:53:50.272',-,-,-,-,-
'27:53:50.280',-,-,-,-,-
'27:53:50.288',-,-,-,-,-
'27:53:50.296',-,-,-,-,-
'27:53:50.304',-,-,-,-,-
'27:53:50.312',-,-,-,-,-
'27:53:50.320',-,-,-,-,-
'27:53:50.328',-,-,-,-,-
'27:53:50.336',-,-,-,-,-
'27:53:50.344',-,-,-,-,-
'27:53:50.352',-,-,-,-,-
'27:53:50.360',-,-,-,-,-
'27:53:50.368',-,-,-,-,-
'27:53:50.376',-,-,-,-,-
'27:53:50.384',-,-,-,-,-
'27:53:50.392',-,-,-,-,-
'27:53:50.400',-,-,-,-,-
'27:53:50.408',-,-,-,-,-
