'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'1:20:12.256',-0.143,-0.920,-,179.920
'1:20:12.264',-0.057,-0.920,-,174.200
'1:20:12.272',-0.057,-0.931,-,168.480
'1:20:12.280',0.000,-0.931,-,162.760
'1:20:12.288',-0.086,-0.943,-,157.560
'1:20:12.296',-0.057,-0.943,-,151.840
'1:20:12.304',-0.029,-0.943,-,147.160
'1:20:12.312',0.057,-0.943,-,143.000
'1:20:12.320',0.057,-0.943,-,139.880
'1:20:12.328',-0.057,-0.943,-,138.320
'1:20:12.336',-0.029,-0.943,-,137.280
'1:20:12.344',-0.057,-0.943,-,137.280
'1:20:12.352',0.057,-0.954,-,138.320
'1:20:12.360',0.057,-0.954,-,138.840
'1:20:12.368',0.000,-0.954,-,138.840
'1:20:12.376',-0.086,-0.954,-,138.840
'1:20:12.384',-0.057,-0.954,-,138.320
'1:20:12.392',0.000,-0.966,-,137.280
'1:20:12.400',0.114,-0.966,-,135.720
'1:20:12.408',0.171,-0.966,-,134.160
'1:20:12.416',-0.143,-0.966,-,132.600
'1:20:12.424',-0.143,-0.977,-,131.560
'1:20:12.432',-0.086,-0.977,-,130.000
'1:20:12.440',-0.029,-0.977,-,128.440
'1:20:12.448',0.000,-0.989,-,127.920
'1:20:12.456',0.143,-0.989,-,126.360
'1:20:12.464',-0.171,-0.989,-,125.320
'1:20:12.472',-0.200,-0.989,-,123.760
'1:20:12.480',0.171,-0.989,-,122.720
'1:20:12.488',0.229,-0.989,-,122.200
'1:20:12.496',0.314,-0.989,-,120.640
'1:20:12.504',0.000,-0.989,-,119.600
'1:20:12.512',-0.514,-0.989,-,118.040
'1:20:12.520',-0.829,-0.989,-,117.520
'1:20:12.528',-0.457,-0.989,-,116.480
'1:20:12.536',-0.229,-0.989,-,115.960
'1:20:12.544',-0.086,-0.989,-,114.920
'1:20:12.552',-0.057,-0.989,-,114.920
'1:20:12.560',0.171,-0.977,-,114.400
'1:20:12.568',0.229,-0.977,-,114.400
'1:20:12.576',-0.086,-0.977,-,114.400
'1:20:12.584',-0.057,-0.977,-,114.400
'1:20:12.592',-0.029,-0.989,-,114.920
'1:20:12.600',0.000,-0.989,-,117.520
'1:20:12.608',0.057,-0.989,-,122.200
'1:20:12.616',0.314,-0.989,-,130.000
'1:20:12.624',-0.057,-0.989,-,141.440
'1:20:12.632',-0.086,-0.989,-,154.960
'1:20:12.640',0.000,-0.989,-,169.520
'1:20:12.648',0.057,-0.989,-,179.920
'1:20:12.656',0.086,-0.989,-,179.920
'1:20:12.664',0.114,-0.989,-,179.920
'1:20:12.672',0.229,-0.989,-,179.920
'1:20:12.680',0.371,-0.989,-,179.920
'1:20:12.688',0.114,-0.989,-,179.920
'1:20:12.696',0.057,-0.989,-,179.920
'1:20:12.704',0.114,-0.989,-,179.920
'1:20:12.712',0.171,-1.000,-,179.920
'1:20:12.720',0.229,-1.000,-,179.920
'1:20:12.728',0.257,-1.000,-,179.920
'1:20:12.736',0.029,-1.000,-,173.160
'1:20:12.744',-0.029,-1.000,-,167.960
'1:20:12.752',-0.057,-1.000,-,161.200
'1:20:12.760',0.000,-0.989,-,154.960
'1:20:12.768',0.057,-0.989,-,149.240
'1:20:12.776',0.086,-0.989,-,144.560
'1:20:12.784',-0.029,-0.989,-,141.440
'1:20:12.792',-0.057,-0.989,-,138.840
'1:20:12.800',0.000,-0.989,-,138.320
'1:20:12.808',0.029,-0.989,-,138.320
'1:20:12.816',0.057,-0.989,-,138.320
'1:20:12.824',0.000,-0.977,-,138.840
'1:20:12.832',-0.029,-0.977,-,138.320
'1:20:12.840',0.000,-0.977,-,138.320
'1:20:12.848',-0.029,-0.977,-,136.760
'1:20:12.856',0.000,-0.966,-,135.200
'1:20:12.864',-0.057,-0.966,-,133.120
'1:20:12.872',0.000,-0.966,-,131.560
'1:20:12.880',0.057,-0.954,-,130.000
'1:20:12.888',-0.086,-0.954,-,128.440
'1:20:12.896',-0.143,-0.943,-,126.880
'1:20:12.904',-0.114,-0.931,-,125.320
'1:20:12.912',-0.057,-0.920,-,123.760
'1:20:12.920',0.000,-0.920,-,122.200
'1:20:12.928',-0.029,-0.908,-,121.160
