'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'1:20:02.256',0.086,-0.356,-,179.920
'1:20:02.264',0.057,-0.356,-,178.880
'1:20:02.272',0.057,-0.368,-,173.160
'1:20:02.280',0.114,-0.379,-,166.920
'1:20:02.288',0.000,-0.391,-,161.200
'1:20:02.296',0.000,-0.402,-,156.520
'1:20:02.304',0.000,-0.414,-,153.400
'1:20:02.312',0.000,-0.425,-,150.800
'1:20:02.320',0.114,-0.437,-,150.800
'1:20:02.328',0.000,-0.448,-,150.800
'1:20:02.336',-0.029,-0.460,-,151.840
'1:20:02.344',0.000,-0.460,-,152.360
'1:20:02.352',0.000,-0.471,-,152.360
'1:20:02.360',0.029,-0.483,-,151.840
'1:20:02.368',0.057,-0.494,-,150.800
'1:20:02.376',-0.057,-0.506,-,149.240
'1:20:02.384',-0.029,-0.529,-,147.680
'1:20:02.392',0.029,-0.540,-,145.600
'1:20:02.400',0.000,-0.552,-,143.520
'1:20:02.408',0.000,-0.563,-,141.960
'1:20:02.416',-0.029,-0.575,-,140.400
'1:20:02.424',0.000,-0.586,-,138.840
'1:20:02.432',-0.086,-0.598,-,138.320
'1:20:02.440',0.000,-0.609,-,136.760
'1:20:02.448',0.200,-0.609,-,135.200
'1:20:02.456',0.314,-0.621,-,133.120
'1:20:02.464',0.400,-0.632,-,131.560
'1:20:02.472',0.114,-0.644,-,131.040
'1:20:02.480',-0.429,-0.655,-,130.000
'1:20:02.488',-0.886,-0.667,-,128.440
'1:20:02.496',-0.486,-0.667,-,127.920
'1:20:02.504',-0.171,-0.678,-,126.880
'1:20:02.512',0.000,-0.690,-,126.360
'1:20:02.520',0.000,-0.701,-,125.320
'1:20:02.528',-0.057,-0.724,-,125.320
'1:20:02.536',0.000,-0.736,-,124.800
'1:20:02.544',0.000,-0.747,-,124.800
'1:20:02.552',0.000,-0.759,-,124.800
'1:20:02.560',0.029,-0.770,-,125.320
'1:20:02.568',0.057,-0.793,-,127.920
'1:20:02.576',0.000,-0.805,-,131.560
'1:20:02.584',0.057,-0.828,-,139.880
'1:20:02.592',0.057,-0.839,-,150.800
'1:20:02.600',0.057,-0.851,-,164.320
'1:20:02.608',0.057,-0.862,-,178.880
'1:20:02.616',0.057,-0.874,-,179.920
'1:20:02.624',0.086,-0.885,-,179.920
'1:20:02.632',0.114,-0.897,-,179.920
'1:20:02.640',0.229,-0.908,-,179.920
'1:20:02.648',0.114,-0.920,-,179.920
'1:20:02.656',0.171,-0.931,-,179.920
'1:20:02.664',0.171,-0.943,-,179.920
'1:20:02.672',0.114,-0.943,-,179.920
'1:20:02.680',0.171,-0.954,-,179.920
'1:20:02.688',0.114,-0.966,-,179.920
'1:20:02.696',0.143,-0.966,-,179.920
'1:20:02.704',0.171,-0.977,-,179.920
'1:20:02.712',0.057,-0.989,-,173.160
'1:20:02.720',0.000,-0.989,-,166.400
'1:20:02.728',0.029,-1.000,-,159.640
'1:20:02.736',0.029,-1.000,-,153.920
'1:20:02.744',0.000,-1.011,-,148.720
'1:20:02.752',0.057,-1.011,-,145.600
'1:20:02.760',0.000,-1.011,-,143.000
'1:20:02.768',-0.029,-1.011,-,141.960
'1:20:02.776',0.000,-1.011,-,141.960
'1:20:02.784',0.114,-1.011,-,141.960
'1:20:02.792',0.000,-1.011,-,141.960
'1:20:02.800',-0.029,-1.011,-,141.440
'1:20:02.808',0.000,-1.011,-,140.400
'1:20:02.816',-0.029,-1.011,-,138.840
'1:20:02.824',0.000,-1.000,-,137.280
'1:20:02.832',0.000,-1.000,-,135.720
'1:20:02.840',-0.029,-0.989,-,134.160
'1:20:02.848',-0.029,-0.989,-,131.560
'1:20:02.856',0.000,-0.977,-,130.000
'1:20:02.864',-0.029,-0.966,-,128.440
'1:20:02.872',-0.029,-0.954,-,126.880
