'Elapsed time','II','III','AVR','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'47:29:39.696',-0.056,-,-,-0.088,-,-
'47:29:39.704',-0.048,-,-,-0.064,-,-
'47:29:39.712',-0.032,-,-,-0.056,-,-
'47:29:39.720',-0.016,-,-,-0.064,-,-
'47:29:39.728',0.000,-,-,-0.040,-,-
'47:29:39.736',0.008,-,-,-0.016,-,-
'47:29:39.744',0.024,-,-,0.000,-,-
'47:29:39.752',0.040,-,-,0.024,-,-
'47:29:39.760',0.056,-,-,0.040,-,-
'47:29:39.768',0.056,-,-,0.016,-,-
'47:29:39.776',0.064,-,-,0.000,-,-
'47:29:39.784',0.072,-,-,0.008,-,-
'47:29:39.792',0.072,-,-,0.000,-,-
'47:29:39.800',0.048,-,-,-0.024,-,-
'47:29:39.808',0.016,-,-,-0.032,-,-
'47:29:39.816',0.000,-,-,-0.024,-,-
'47:29:39.824',-0.016,-,-,-0.080,-,-
'47:29:39.832',-0.048,-,-,-0.128,-,-
'47:29:39.840',-0.072,-,-,-0.128,-,-
'47:29:39.848',-0.096,-,-,-0.112,-,-
'47:29:39.856',-0.104,-,-,-0.112,-,-
'47:29:39.864',-0.096,-,-,-0.104,-,-
'47:29:39.872',-0.096,-,-,-0.104,-,-
'47:29:39.880',-0.096,-,-,-0.120,-,-
'47:29:39.888',-0.104,-,-,-0.152,-,-
'47:29:39.896',-0.096,-,-,-0.152,-,-
'47:29:39.904',-0.104,-,-,-0.128,-,-
'47:29:39.912',-0.104,-,-,-0.096,-,-
'47:29:39.920',-0.120,-,-,-0.096,-,-
'47:29:39.928',-0.128,-,-,-0.128,-,-
'47:29:39.936',-0.080,-,-,-0.176,-,-
'47:29:39.944',-0.008,-,-,-0.248,-,-
'47:29:39.952',0.056,-,-,-0.344,-,-
'47:29:39.960',0.088,-,-,-0.368,-,-
'47:29:39.968',0.096,-,-,-0.184,-,-
'47:29:39.976',0.008,-,-,-0.056,-,-
'47:29:39.984',-0.088,-,-,-0.048,-,-
'47:29:39.992',-0.104,-,-,-0.056,-,-
'47:29:40.000',-0.064,-,-,-0.008,-,-
'47:29:40.008',-0.064,-,-,0.016,-,-
'47:29:40.016',-0.080,-,-,0.048,-,-
'47:29:40.024',-0.080,-,-,0.080,-,-
'47:29:40.032',-0.072,-,-,0.088,-,-
'47:29:40.040',-0.072,-,-,0.056,-,-
'47:29:40.048',-0.064,-,-,0.008,-,-
'47:29:40.056',-0.056,-,-,0.008,-,-
'47:29:40.064',-0.040,-,-,0.032,-,-
'47:29:40.072',-0.040,-,-,0.040,-,-
'47:29:40.080',-0.040,-,-,0.008,-,-
'47:29:40.088',-0.040,-,-,-0.008,-,-
'47:29:40.096',-0.032,-,-,0.008,-,-
'47:29:40.104',-0.016,-,-,0.016,-,-
'47:29:40.112',0.000,-,-,0.032,-,-
'47:29:40.120',0.000,-,-,0.040,-,-
'47:29:40.128',0.000,-,-,0.032,-,-
'47:29:40.136',0.008,-,-,0.064,-,-
