'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:42:41.064',0.192,-,-0.064,-,49.600,-
'5:42:41.072',0.192,-,-0.064,-,52.000,-
'5:42:41.080',0.192,-,-0.064,-,53.600,-
'5:42:41.088',0.208,-,-0.064,-,55.200,-
'5:42:41.096',0.208,-,-0.064,-,56.000,-
'5:42:41.104',0.192,-,-0.064,-,57.600,-
'5:42:41.112',0.184,-,-0.064,-,58.400,-
'5:42:41.120',0.168,-,-0.040,-,60.000,-
'5:42:41.128',0.144,-,-0.040,-,60.000,-
'5:42:41.136',0.112,-,-0.040,-,60.000,-
'5:42:41.144',0.088,-,-0.016,-,60.000,-
'5:42:41.152',0.064,-,-0.016,-,59.200,-
'5:42:41.160',0.032,-,-0.016,-,58.400,-
'5:42:41.168',0.032,-,-0.016,-,57.600,-
'5:42:41.176',0.032,-,0.000,-,56.000,-
'5:42:41.184',0.024,-,0.000,-,55.200,-
'5:42:41.192',0.024,-,0.000,-,53.600,-
'5:42:41.200',0.024,-,0.000,-,52.000,-
'5:42:41.208',0.008,-,0.000,-,50.400,-
'5:42:41.216',0.008,-,0.000,-,48.800,-
'5:42:41.224',0.000,-,0.000,-,47.200,-
'5:42:41.232',0.000,-,0.000,-,46.400,-
'5:42:41.240',0.000,-,0.000,-,45.600,-
'5:42:41.248',0.000,-,-0.016,-,44.800,-
'5:42:41.256',0.000,-,-0.016,-,44.800,-
'5:42:41.264',0.000,-,-0.016,-,44.000,-
'5:42:41.272',0.000,-,-0.040,-,44.000,-
'5:42:41.280',0.000,-,-0.040,-,43.200,-
'5:42:41.288',0.000,-,-0.064,-,43.200,-
'5:42:41.296',0.000,-,-0.080,-,42.400,-
'5:42:41.304',0.000,-,-0.080,-,42.400,-
'5:42:41.312',0.000,-,-0.104,-,42.400,-
'5:42:41.320',0.000,-,-0.104,-,41.600,-
'5:42:41.328',0.000,-,-0.128,-,41.600,-
'5:42:41.336',0.000,-,-0.128,-,41.600,-
'5:42:41.344',0.000,-,-0.152,-,41.600,-
'5:42:41.352',0.000,-,-0.168,-,41.600,-
'5:42:41.360',0.008,-,-0.192,-,41.600,-
'5:42:41.368',0.008,-,-0.192,-,41.600,-
'5:42:41.376',0.024,-,-0.216,-,41.600,-
'5:42:41.384',0.048,-,-0.232,-,41.600,-
'5:42:41.392',0.064,-,-0.232,-,41.600,-
'5:42:41.400',0.064,-,-0.256,-,41.600,-
'5:42:41.408',0.008,-,-0.280,-,41.600,-
'5:42:41.416',-0.128,-,-0.280,-,41.600,-
'5:42:41.424',-0.272,-,-0.304,-,40.800,-
'5:42:41.432',-0.336,-,-0.304,-,40.800,-
'5:42:41.440',-0.352,-,-0.304,-,40.800,-
'5:42:41.448',-0.312,-,-0.320,-,40.800,-
'5:42:41.456',-0.232,-,-0.320,-,40.800,-
'5:42:41.464',-0.144,-,-0.320,-,40.800,-
'5:42:41.472',-0.064,-,-0.344,-,40.000,-
'5:42:41.480',-0.008,-,-0.344,-,40.000,-
'5:42:41.488',0.008,-,-0.344,-,40.000,-
'5:42:41.496',0.024,-,-0.344,-,39.200,-
'5:42:41.504',0.032,-,-0.344,-,39.200,-
'5:42:41.512',0.048,-,-0.368,-,39.200,-
'5:42:41.520',0.032,-,-0.368,-,39.200,-
'5:42:41.528',0.032,-,-0.368,-,39.200,-
'5:42:41.536',0.048,-,-0.368,-,39.200,-
'5:42:41.544',0.048,-,-0.368,-,39.200,-
'5:42:41.552',0.048,-,-0.368,-,39.200,-
'5:42:41.560',0.064,-,-0.384,-,39.200,-
'5:42:41.568',0.072,-,-0.384,-,40.000,-
'5:42:41.576',0.072,-,-0.384,-,41.600,-
'5:42:41.584',0.072,-,-0.384,-,44.000,-
'5:42:41.592',0.072,-,-0.384,-,48.000,-
'5:42:41.600',0.072,-,-0.408,-,51.200,-
'5:42:41.608',0.072,-,-0.408,-,54.400,-
'5:42:41.616',0.072,-,-0.408,-,56.000,-
'5:42:41.624',0.072,-,-0.384,-,58.400,-
'5:42:41.632',0.072,-,-0.384,-,60.000,-
'5:42:41.640',0.072,-,-0.368,-,61.600,-
'5:42:41.648',0.064,-,-0.344,-,62.400,-
'5:42:41.656',0.048,-,-0.344,-,64.000,-
'5:42:41.664',0.032,-,-0.320,-,64.800,-
'5:42:41.672',0.024,-,-0.320,-,64.800,-
'5:42:41.680',0.000,-,-0.304,-,64.800,-
'5:42:41.688',-0.008,-,-0.304,-,64.800,-
'5:42:41.696',0.000,-,-0.304,-,64.000,-
'5:42:41.704',0.000,-,-0.280,-,63.200,-
'5:42:41.712',0.000,-,-0.280,-,62.400,-
'5:42:41.720',0.000,-,-0.280,-,60.800,-
'5:42:41.728',0.000,-,-0.280,-,59.200,-
'5:42:41.736',0.000,-,-0.280,-,57.600,-
'5:42:41.744',0.000,-,-0.280,-,56.000,-
'5:42:41.752',0.000,-,-0.280,-,53.600,-
'5:42:41.760',0.000,-,-0.280,-,52.000,-
'5:42:41.768',-0.008,-,-0.280,-,50.400,-
'5:42:41.776',-0.008,-,-0.304,-,48.800,-
'5:42:41.784',-0.008,-,-0.304,-,48.000,-
'5:42:41.792',-0.008,-,-0.304,-,47.200,-
'5:42:41.800',-0.008,-,-0.320,-,46.400,-
'5:42:41.808',-0.024,-,-0.320,-,46.400,-
'5:42:41.816',-0.024,-,-0.344,-,45.600,-
'5:42:41.824',-0.024,-,-0.344,-,45.600,-
'5:42:41.832',-0.008,-,-0.368,-,44.800,-
'5:42:41.840',0.000,-,-0.384,-,44.800,-
'5:42:41.848',-0.008,-,-0.384,-,44.000,-
'5:42:41.856',-0.008,-,-0.408,-,44.000,-
'5:42:41.864',-0.008,-,-0.408,-,43.200,-
'5:42:41.872',0.000,-,-0.408,-,43.200,-
'5:42:41.880',0.000,-,-0.432,-,43.200,-
'5:42:41.888',0.000,-,-0.456,-,43.200,-
'5:42:41.896',0.000,-,-0.456,-,43.200,-
'5:42:41.904',0.008,-,-0.472,-,43.200,-
'5:42:41.912',0.024,-,-0.496,-,43.200,-
'5:42:41.920',0.032,-,-0.520,-,42.400,-
'5:42:41.928',0.048,-,-0.536,-,42.400,-
'5:42:41.936',-0.024,-,-0.560,-,42.400,-
'5:42:41.944',-0.184,-,-0.584,-,42.400,-
'5:42:41.952',-0.312,-,-0.584,-,42.400,-
'5:42:41.960',-0.336,-,-0.608,-,42.400,-
'5:42:41.968',-0.336,-,-0.624,-,42.400,-
'5:42:41.976',-0.296,-,-0.648,-,42.400,-
'5:42:41.984',-0.232,-,-0.672,-,41.600,-
'5:42:41.992',-0.144,-,-0.672,-,41.600,-
'5:42:42.000',-0.064,-,-0.688,-,41.600,-
'5:42:42.008',-0.024,-,-0.688,-,41.600,-
