'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'26:53:37.872',-,-,-0.016,-,-,-,-,-0.920,59.880,22.400
'26:53:37.880',-,-,0.008,-,-,-,-,-0.874,59.160,22.000
'26:53:37.888',-,-,0.016,-,-,-,-,-0.874,58.320,21.400
'26:53:37.896',-,-,0.056,-,-,-,-,-0.851,58.320,20.800
'26:53:37.904',-,-,0.096,-,-,-,-,-0.793,57.480,20.000
'26:53:37.912',-,-,0.016,-,-,-,-,-0.851,56.760,19.400
'26:53:37.920',-,-,0.064,-,-,-,-,-0.851,55.920,18.600
'26:53:37.928',-,-,0.112,-,-,-,-,-0.770,55.920,17.800
'26:53:37.936',-,-,0.096,-,-,-,-,-0.839,55.080,17.200
'26:53:37.944',-,-,0.064,-,-,-,-,-0.770,55.080,16.400
'26:53:37.952',-,-,0.112,-,-,-,-,-0.759,55.080,15.800
'26:53:37.960',-,-,0.088,-,-,-,-,-0.736,54.360,15.400
'26:53:37.968',-,-,0.088,-,-,-,-,-0.793,54.360,15.000
'26:53:37.976',-,-,0.040,-,-,-,-,-0.770,54.360,14.800
'26:53:37.984',-,-,0.032,-,-,-,-,-0.839,53.520,14.600
'26:53:37.992',-,-,0.088,-,-,-,-,-0.770,53.520,14.400
'26:53:38.000',-,-,0.040,-,-,-,-,-0.839,53.520,14.400
'26:53:38.008',-,-,0.040,-,-,-,-,-0.839,52.680,14.400
'26:53:38.016',-,-,0.016,-,-,-,-,-0.839,52.680,14.200
'26:53:38.024',-,-,0.056,-,-,-,-,-0.816,52.680,14.200
'26:53:38.032',-,-,0.008,-,-,-,-,-0.839,51.960,14.000
'26:53:38.040',-,-,0.064,-,-,-,-,-0.816,51.960,13.800
'26:53:38.048',-,-,0.016,-,-,-,-,-0.851,51.120,13.800
'26:53:38.056',-,-,0.056,-,-,-,-,-0.851,51.120,13.600
'26:53:38.064',-,-,0.016,-,-,-,-,-0.874,51.120,13.400
'26:53:38.072',-,-,0.064,-,-,-,-,-0.839,50.280,13.400
'26:53:38.080',-,-,0.008,-,-,-,-,-0.897,49.560,13.200
'26:53:38.088',-,-,0.040,-,-,-,-,-0.874,49.560,13.200
'26:53:38.096',-,-,0.064,-,-,-,-,-0.851,48.720,13.000
'26:53:38.104',-,-,0.040,-,-,-,-,-0.897,48.720,13.000
'26:53:38.112',-,-,0.000,-,-,-,-,-0.920,47.880,13.000
'26:53:38.120',-,-,0.040,-,-,-,-,-0.874,47.880,12.800
'26:53:38.128',-,-,0.056,-,-,-,-,-0.874,47.880,12.800
'26:53:38.136',-,-,0.040,-,-,-,-,-0.897,47.160,12.800
'26:53:38.144',-,-,0.088,-,-,-,-,-0.874,47.160,12.600
'26:53:38.152',-,-,0.192,-,-,-,-,-0.989,47.160,12.600
'26:53:38.160',-,-,0.160,-,-,-,-,-1.138,46.320,12.400
'26:53:38.168',-,-,0.144,-,-,-,-,-1.253,46.320,12.400
'26:53:38.176',-,-,0.224,-,-,-,-,-1.517,45.480,12.400
'26:53:38.184',-,-,0.216,-,-,-,-,-1.736,45.480,12.600
'26:53:38.192',-,-,0.240,-,-,-,-,-1.770,44.760,13.000
'26:53:38.200',-,-,0.120,-,-,-,-,-1.793,44.760,13.400
'26:53:38.208',-,-,-0.096,-,-,-,-,-1.759,43.920,13.800
'26:53:38.216',-,-,-0.272,-,-,-,-,-1.713,43.920,14.200
'26:53:38.224',-,-,-0.296,-,-,-,-,-1.575,43.920,14.600
'26:53:38.232',-,-,-0.280,-,-,-,-,-1.391,43.920,15.200
'26:53:38.240',-,-,-0.400,-,-,-,-,-1.253,43.920,15.800
'26:53:38.248',-,-,-0.424,-,-,-,-,-1.138,43.080,16.400
'26:53:38.256',-,-,-0.240,-,-,-,-,-0.989,43.080,17.000
'26:53:38.264',-,-,-0.056,-,-,-,-,-0.839,43.080,17.600
'26:53:38.272',-,-,-0.040,-,-,-,-,-0.793,43.080,18.200
'26:53:38.280',-,-,0.000,-,-,-,-,-0.759,43.080,19.000
'26:53:38.288',-,-,0.016,-,-,-,-,-0.770,43.080,19.800
'26:53:38.296',-,-,0.000,-,-,-,-,-0.736,42.360,20.800
'26:53:38.304',-,-,0.032,-,-,-,-,-0.770,42.360,21.200
