'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:35:59.416',-0.112,-0.157,-,-,-,-,68.000
'14:35:59.424',-0.104,-0.149,-,-,-,-,66.400
'14:35:59.432',-0.096,-0.165,-,-,-,-,64.000
'14:35:59.440',-0.088,-0.165,-,-,-,-,61.600
'14:35:59.448',-0.072,-0.165,-,-,-,-,59.200
'14:35:59.456',-0.056,-0.157,-,-,-,-,56.800
'14:35:59.464',-0.048,-0.140,-,-,-,-,55.200
'14:35:59.472',-0.032,-0.149,-,-,-,-,53.600
'14:35:59.480',-0.032,-0.124,-,-,-,-,52.800
'14:35:59.488',-0.016,-0.132,-,-,-,-,53.600
'14:35:59.496',-0.016,-0.107,-,-,-,-,55.200
'14:35:59.504',0.000,-0.099,-,-,-,-,56.800
'14:35:59.512',-0.016,-0.091,-,-,-,-,57.600
'14:35:59.520',-0.008,-0.066,-,-,-,-,56.800
'14:35:59.528',-0.008,-0.058,-,-,-,-,56.000
'14:35:59.536',-0.008,-0.058,-,-,-,-,55.200
'14:35:59.544',-0.016,-0.050,-,-,-,-,55.200
'14:35:59.552',0.000,-0.041,-,-,-,-,54.400
'14:35:59.560',-0.008,-0.033,-,-,-,-,54.400
'14:35:59.568',0.000,-0.025,-,-,-,-,53.600
'14:35:59.576',0.000,-0.017,-,-,-,-,53.600
'14:35:59.584',-0.008,-0.008,-,-,-,-,52.800
'14:35:59.592',0.000,-0.017,-,-,-,-,52.800
'14:35:59.600',-0.008,0.000,-,-,-,-,52.000
'14:35:59.608',0.000,0.000,-,-,-,-,52.000
'14:35:59.616',0.000,0.000,-,-,-,-,52.000
'14:35:59.624',0.000,0.008,-,-,-,-,51.200
'14:35:59.632',0.000,0.000,-,-,-,-,51.200
'14:35:59.640',0.000,0.008,-,-,-,-,51.200
'14:35:59.648',0.000,0.008,-,-,-,-,51.200
'14:35:59.656',0.000,0.008,-,-,-,-,50.400
'14:35:59.664',0.000,0.017,-,-,-,-,50.400
'14:35:59.672',0.000,0.025,-,-,-,-,50.400
'14:35:59.680',0.008,0.041,-,-,-,-,50.400
'14:35:59.688',0.032,0.058,-,-,-,-,50.400
'14:35:59.696',0.048,0.066,-,-,-,-,50.400
'14:35:59.704',0.080,0.091,-,-,-,-,50.400
'14:35:59.712',0.088,0.116,-,-,-,-,49.600
'14:35:59.720',0.088,0.116,-,-,-,-,49.600
'14:35:59.728',0.104,0.099,-,-,-,-,49.600
'14:35:59.736',0.128,0.132,-,-,-,-,49.600
'14:35:59.744',0.144,0.165,-,-,-,-,49.600
'14:35:59.752',0.192,0.215,-,-,-,-,48.800
'14:35:59.760',0.200,0.289,-,-,-,-,48.800
'14:35:59.768',0.160,0.298,-,-,-,-,48.800
'14:35:59.776',0.168,0.322,-,-,-,-,48.000
'14:35:59.784',0.128,0.347,-,-,-,-,48.000
'14:35:59.792',0.088,0.256,-,-,-,-,48.000
'14:35:59.800',0.048,0.215,-,-,-,-,48.000
'14:35:59.808',0.016,0.165,-,-,-,-,47.200
'14:35:59.816',-0.008,0.099,-,-,-,-,47.200
'14:35:59.824',-0.016,0.041,-,-,-,-,47.200
'14:35:59.832',-0.040,0.008,-,-,-,-,47.200
'14:35:59.840',-0.048,-0.008,-,-,-,-,47.200
'14:35:59.848',-0.064,-0.017,-,-,-,-,48.000
'14:35:59.856',-0.064,-0.025,-,-,-,-,48.800
'14:35:59.864',-0.072,-0.033,-,-,-,-,50.400
'14:35:59.872',-0.072,-0.025,-,-,-,-,54.400
'14:35:59.880',-0.088,-0.033,-,-,-,-,59.200
'14:35:59.888',-0.088,-0.041,-,-,-,-,64.800
'14:35:59.896',-0.104,-0.050,-,-,-,-,69.600
'14:35:59.904',-0.104,-0.058,-,-,-,-,72.000
'14:35:59.912',-0.128,-0.058,-,-,-,-,72.800
'14:35:59.920',-0.112,-0.074,-,-,-,-,72.800
'14:35:59.928',-0.128,-0.091,-,-,-,-,72.800
'14:35:59.936',-0.136,-0.099,-,-,-,-,72.000
'14:35:59.944',-0.136,-0.107,-,-,-,-,70.400
'14:35:59.952',-0.128,-0.124,-,-,-,-,68.000
'14:35:59.960',-0.128,-0.116,-,-,-,-,66.400
'14:35:59.968',-0.112,-0.132,-,-,-,-,64.000
'14:35:59.976',-0.096,-0.140,-,-,-,-,61.600
'14:35:59.984',-0.088,-0.140,-,-,-,-,59.200
'14:35:59.992',-0.072,-0.132,-,-,-,-,57.600
'14:36:00.000',-0.048,-0.140,-,-,-,-,55.200
'14:36:00.008',-0.040,-0.124,-,-,-,-,53.600
'14:36:00.016',-0.032,-0.116,-,-,-,-,53.600
'14:36:00.024',-0.024,-0.107,-,-,-,-,53.600
'14:36:00.032',-0.024,-0.099,-,-,-,-,55.200
'14:36:00.040',-0.008,-0.074,-,-,-,-,56.800
'14:36:00.048',-0.024,-0.091,-,-,-,-,56.800
'14:36:00.056',-0.016,-0.058,-,-,-,-,56.800
'14:36:00.064',-0.008,-0.050,-,-,-,-,56.000
'14:36:00.072',0.000,-0.041,-,-,-,-,55.200
'14:36:00.080',-0.016,-0.033,-,-,-,-,54.400
'14:36:00.088',-0.008,-0.025,-,-,-,-,54.400
'14:36:00.096',-0.016,-0.017,-,-,-,-,53.600
'14:36:00.104',-0.008,-0.017,-,-,-,-,53.600
'14:36:00.112',-0.008,-0.017,-,-,-,-,52.800
'14:36:00.120',-0.008,-0.008,-,-,-,-,52.800
'14:36:00.128',0.000,-0.008,-,-,-,-,52.000
'14:36:00.136',-0.008,0.000,-,-,-,-,52.000
'14:36:00.144',0.000,0.008,-,-,-,-,52.000
'14:36:00.152',0.000,0.008,-,-,-,-,52.000
'14:36:00.160',0.000,0.017,-,-,-,-,52.000
'14:36:00.168',0.000,0.017,-,-,-,-,51.200
'14:36:00.176',0.000,0.008,-,-,-,-,51.200
'14:36:00.184',-0.008,0.017,-,-,-,-,51.200
'14:36:00.192',0.000,0.017,-,-,-,-,51.200
'14:36:00.200',0.000,0.025,-,-,-,-,51.200
'14:36:00.208',0.000,0.017,-,-,-,-,50.400
'14:36:00.216',0.000,0.017,-,-,-,-,50.400
'14:36:00.224',0.008,0.025,-,-,-,-,50.400
'14:36:00.232',0.000,0.017,-,-,-,-,50.400
'14:36:00.240',0.008,0.025,-,-,-,-,50.400
'14:36:00.248',0.000,0.017,-,-,-,-,49.600
'14:36:00.256',0.000,0.025,-,-,-,-,49.600
'14:36:00.264',0.000,0.025,-,-,-,-,49.600
'14:36:00.272',0.008,0.017,-,-,-,-,49.600
'14:36:00.280',0.000,0.017,-,-,-,-,49.600
'14:36:00.288',0.008,0.017,-,-,-,-,48.800
'14:36:00.296',0.000,0.017,-,-,-,-,48.800
'14:36:00.304',0.008,0.017,-,-,-,-,48.800
'14:36:00.312',0.000,0.017,-,-,-,-,48.000
'14:36:00.320',0.000,0.017,-,-,-,-,48.000
'14:36:00.328',0.008,0.017,-,-,-,-,48.000
'14:36:00.336',0.000,0.017,-,-,-,-,48.000
'14:36:00.344',0.000,0.017,-,-,-,-,47.200
'14:36:00.352',0.000,0.017,-,-,-,-,47.200
'14:36:00.360',0.008,0.017,-,-,-,-,47.200
'14:36:00.368',0.000,0.017,-,-,-,-,46.400
'14:36:00.376',0.008,0.017,-,-,-,-,46.400
'14:36:00.384',0.000,0.017,-,-,-,-,46.400
'14:36:00.392',0.000,0.017,-,-,-,-,46.400
'14:36:00.400',0.000,0.017,-,-,-,-,46.400
'14:36:00.408',0.000,0.017,-,-,-,-,46.400
'14:36:00.416',0.000,0.025,-,-,-,-,45.600
'14:36:00.424',0.000,0.017,-,-,-,-,45.600
'14:36:00.432',0.000,0.017,-,-,-,-,45.600
'14:36:00.440',0.000,0.017,-,-,-,-,45.600
'14:36:00.448',0.000,0.017,-,-,-,-,44.800
'14:36:00.456',0.000,0.025,-,-,-,-,44.800
'14:36:00.464',0.000,0.041,-,-,-,-,44.800
'14:36:00.472',0.000,0.033,-,-,-,-,44.800
'14:36:00.480',0.000,0.050,-,-,-,-,44.800
'14:36:00.488',0.008,0.050,-,-,-,-,44.800
'14:36:00.496',0.000,0.050,-,-,-,-,44.000
'14:36:00.504',0.008,0.050,-,-,-,-,44.000
'14:36:00.512',0.000,0.041,-,-,-,-,44.000
'14:36:00.520',0.016,0.025,-,-,-,-,44.000
'14:36:00.528',0.000,0.033,-,-,-,-,44.000
'14:36:00.536',0.008,0.017,-,-,-,-,44.000
'14:36:00.544',0.016,0.017,-,-,-,-,44.000
'14:36:00.552',0.008,0.008,-,-,-,-,44.000
'14:36:00.560',0.016,0.000,-,-,-,-,44.000
'14:36:00.568',0.000,-0.008,-,-,-,-,43.200
'14:36:00.576',-0.032,-0.198,-,-,-,-,43.200
'14:36:00.584',0.000,0.017,-,-,-,-,43.200
'14:36:00.592',0.008,0.017,-,-,-,-,43.200
'14:36:00.600',0.000,0.000,-,-,-,-,43.200
'14:36:00.608',0.024,-0.050,-,-,-,-,43.200
'14:36:00.616',0.032,-0.107,-,-,-,-,42.400
'14:36:00.624',0.040,-0.149,-,-,-,-,42.400
'14:36:00.632',0.032,-0.223,-,-,-,-,42.400
'14:36:00.640',0.064,-0.240,-,-,-,-,41.600
'14:36:00.648',0.080,-0.256,-,-,-,-,41.600
'14:36:00.656',0.104,-0.281,-,-,-,-,41.600
'14:36:00.664',0.136,-0.289,-,-,-,-,41.600
'14:36:00.672',0.168,-0.256,-,-,-,-,41.600
'14:36:00.680',0.192,-0.149,-,-,-,-,41.600
'14:36:00.688',0.208,-0.058,-,-,-,-,41.600
'14:36:00.696',0.208,-0.025,-,-,-,-,42.400
'14:36:00.704',0.144,-0.050,-,-,-,-,42.400
'14:36:00.712',0.088,-0.041,-,-,-,-,42.400
'14:36:00.720',0.080,-0.033,-,-,-,-,42.400
'14:36:00.728',0.064,-0.008,-,-,-,-,42.400
'14:36:00.736',0.064,0.017,-,-,-,-,42.400
'14:36:00.744',0.056,0.025,-,-,-,-,42.400
'14:36:00.752',0.048,0.041,-,-,-,-,42.400
'14:36:00.760',0.008,0.099,-,-,-,-,41.600
'14:36:00.768',-0.016,0.124,-,-,-,-,41.600
'14:36:00.776',-0.072,0.182,-,-,-,-,42.400
'14:36:00.784',-0.088,0.215,-,-,-,-,44.000
'14:36:00.792',-0.088,0.215,-,-,-,-,46.400
'14:36:00.800',-0.096,0.231,-,-,-,-,49.600
'14:36:00.808',-0.104,0.231,-,-,-,-,53.600
'14:36:00.816',-0.112,0.240,-,-,-,-,58.400
'14:36:00.824',-0.112,0.248,-,-,-,-,62.400
'14:36:00.832',-0.128,0.248,-,-,-,-,65.600
'14:36:00.840',-0.128,0.256,-,-,-,-,68.000
'14:36:00.848',-0.136,0.248,-,-,-,-,71.200
'14:36:00.856',-0.128,0.248,-,-,-,-,73.600
'14:36:00.864',-0.144,0.240,-,-,-,-,75.200
'14:36:00.872',-0.136,0.231,-,-,-,-,76.000
'14:36:00.880',-0.144,0.215,-,-,-,-,76.000
'14:36:00.888',-0.136,0.198,-,-,-,-,76.000
'14:36:00.896',-0.144,0.182,-,-,-,-,75.200
'14:36:00.904',-0.128,0.157,-,-,-,-,73.600
'14:36:00.912',-0.128,0.140,-,-,-,-,72.000
'14:36:00.920',-0.104,0.116,-,-,-,-,71.200
'14:36:00.928',-0.104,0.099,-,-,-,-,69.600
'14:36:00.936',-0.088,0.074,-,-,-,-,67.200
'14:36:00.944',-0.072,0.050,-,-,-,-,65.600
'14:36:00.952',-0.056,0.025,-,-,-,-,64.000
'14:36:00.960',-0.056,0.017,-,-,-,-,61.600
'14:36:00.968',-0.040,0.000,-,-,-,-,60.000
'14:36:00.976',-0.040,-0.008,-,-,-,-,58.400
'14:36:00.984',-0.024,-0.017,-,-,-,-,57.600
'14:36:00.992',-0.016,-0.017,-,-,-,-,57.600
'14:36:01.000',-0.016,-0.017,-,-,-,-,57.600
'14:36:01.008',-0.008,-0.017,-,-,-,-,58.400
'14:36:01.016',-0.024,-0.025,-,-,-,-,59.200
'14:36:01.024',0.000,-0.017,-,-,-,-,58.400
'14:36:01.032',-0.008,-0.017,-,-,-,-,58.400
'14:36:01.040',0.000,-0.017,-,-,-,-,57.600
'14:36:01.048',0.000,-0.033,-,-,-,-,57.600
'14:36:01.056',0.008,-0.033,-,-,-,-,56.800
'14:36:01.064',0.000,-0.050,-,-,-,-,56.800
'14:36:01.072',0.016,-0.058,-,-,-,-,56.000
'14:36:01.080',0.000,-0.050,-,-,-,-,56.000
'14:36:01.088',0.024,-0.058,-,-,-,-,55.200
'14:36:01.096',0.008,-0.058,-,-,-,-,55.200
'14:36:01.104',0.016,-0.066,-,-,-,-,55.200
'14:36:01.112',0.000,-0.066,-,-,-,-,55.200
'14:36:01.120',0.016,-0.058,-,-,-,-,55.200
'14:36:01.128',0.008,-0.058,-,-,-,-,54.400
'14:36:01.136',0.000,-0.066,-,-,-,-,54.400
'14:36:01.144',0.016,-0.058,-,-,-,-,54.400
'14:36:01.152',0.000,-0.058,-,-,-,-,53.600
'14:36:01.160',0.016,-0.050,-,-,-,-,53.600
'14:36:01.168',0.000,-0.058,-,-,-,-,52.800
'14:36:01.176',0.008,-0.050,-,-,-,-,52.000
'14:36:01.184',0.000,-0.058,-,-,-,-,52.000
'14:36:01.192',0.016,-0.041,-,-,-,-,52.000
'14:36:01.200',0.008,-0.050,-,-,-,-,52.000
'14:36:01.208',0.016,-0.041,-,-,-,-,52.000
'14:36:01.216',0.000,-0.033,-,-,-,-,51.200
'14:36:01.224',0.008,-0.025,-,-,-,-,51.200
'14:36:01.232',0.000,-0.033,-,-,-,-,51.200
'14:36:01.240',0.000,-0.025,-,-,-,-,51.200
'14:36:01.248',0.000,-0.025,-,-,-,-,51.200
'14:36:01.256',0.000,-0.025,-,-,-,-,50.400
'14:36:01.264',-0.008,-0.033,-,-,-,-,50.400
'14:36:01.272',0.000,-0.017,-,-,-,-,50.400
'14:36:01.280',0.000,0.000,-,-,-,-,49.600
'14:36:01.288',0.016,-0.008,-,-,-,-,49.600
'14:36:01.296',0.032,0.017,-,-,-,-,49.600
'14:36:01.304',0.064,0.025,-,-,-,-,48.800
'14:36:01.312',0.088,0.050,-,-,-,-,48.800
'14:36:01.320',0.104,0.066,-,-,-,-,48.800
'14:36:01.328',0.104,0.050,-,-,-,-,48.800
'14:36:01.336',0.120,0.066,-,-,-,-,48.800
'14:36:01.344',0.104,-0.157,-,-,-,-,48.800
'14:36:01.352',0.184,0.116,-,-,-,-,48.800
'14:36:01.360',0.224,0.190,-,-,-,-,48.000
'14:36:01.368',0.208,0.240,-,-,-,-,48.000
'14:36:01.376',0.176,0.198,-,-,-,-,48.000
'14:36:01.384',0.160,0.182,-,-,-,-,47.200
'14:36:01.392',0.136,0.165,-,-,-,-,47.200
'14:36:01.400',0.088,0.132,-,-,-,-,47.200
'14:36:01.408',0.032,0.140,-,-,-,-,47.200
'14:36:01.416',0.000,0.074,-,-,-,-,47.200
'14:36:01.424',-0.008,0.033,-,-,-,-,46.400
'14:36:01.432',-0.040,0.008,-,-,-,-,46.400
'14:36:01.440',-0.056,-0.008,-,-,-,-,46.400
'14:36:01.448',-0.064,-0.025,-,-,-,-,46.400
'14:36:01.456',-0.064,-0.033,-,-,-,-,47.200
'14:36:01.464',-0.072,-0.041,-,-,-,-,48.000
'14:36:01.472',-0.072,-0.033,-,-,-,-,50.400
'14:36:01.480',-0.072,-0.041,-,-,-,-,54.400
'14:36:01.488',-0.072,-0.033,-,-,-,-,60.000
'14:36:01.496',-0.088,-0.050,-,-,-,-,65.600
'14:36:01.504',-0.088,-0.041,-,-,-,-,70.400
'14:36:01.512',-0.104,-0.058,-,-,-,-,72.800
'14:36:01.520',-0.104,-0.050,-,-,-,-,72.800
'14:36:01.528',-0.128,-0.058,-,-,-,-,72.800
'14:36:01.536',-0.128,-0.058,-,-,-,-,72.800
'14:36:01.544',-0.136,-0.074,-,-,-,-,72.000
'14:36:01.552',-0.144,-0.099,-,-,-,-,70.400
'14:36:01.560',-0.128,-0.107,-,-,-,-,68.800
'14:36:01.568',-0.136,-0.116,-,-,-,-,67.200
'14:36:01.576',-0.112,-0.132,-,-,-,-,65.600
'14:36:01.584',-0.096,-0.140,-,-,-,-,63.200
'14:36:01.592',-0.088,-0.140,-,-,-,-,61.600
'14:36:01.600',-0.088,-0.149,-,-,-,-,59.200
'14:36:01.608',-0.048,-0.140,-,-,-,-,57.600
'14:36:01.616',-0.032,-0.140,-,-,-,-,56.000
'14:36:01.624',-0.016,-0.132,-,-,-,-,54.400
'14:36:01.632',-0.008,-0.132,-,-,-,-,54.400
'14:36:01.640',0.000,-0.124,-,-,-,-,55.200
'14:36:01.648',-0.008,-0.107,-,-,-,-,56.800
'14:36:01.656',0.000,-0.099,-,-,-,-,57.600
'14:36:01.664',0.000,-0.099,-,-,-,-,57.600
'14:36:01.672',0.008,-0.099,-,-,-,-,56.800
'14:36:01.680',0.000,-0.091,-,-,-,-,56.000
'14:36:01.688',0.008,-0.066,-,-,-,-,55.200
'14:36:01.696',0.000,-0.058,-,-,-,-,54.400
'14:36:01.704',0.008,-0.066,-,-,-,-,53.600
'14:36:01.712',0.000,-0.058,-,-,-,-,53.600
'14:36:01.720',0.008,-0.058,-,-,-,-,53.600
'14:36:01.728',0.016,-0.041,-,-,-,-,53.600
'14:36:01.736',0.000,-0.050,-,-,-,-,52.800
'14:36:01.744',0.016,-0.033,-,-,-,-,52.800
'14:36:01.752',0.000,-0.025,-,-,-,-,52.800
'14:36:01.760',0.008,-0.017,-,-,-,-,52.800
'14:36:01.768',0.016,-0.017,-,-,-,-,52.800
'14:36:01.776',0.008,-0.017,-,-,-,-,52.000
'14:36:01.784',0.016,-0.017,-,-,-,-,52.000
'14:36:01.792',0.008,-0.008,-,-,-,-,52.000
'14:36:01.800',0.016,0.000,-,-,-,-,52.000
'14:36:01.808',0.024,-0.008,-,-,-,-,51.200
'14:36:01.816',0.016,0.017,-,-,-,-,51.200
'14:36:01.824',0.032,0.025,-,-,-,-,51.200
'14:36:01.832',0.048,0.041,-,-,-,-,51.200
'14:36:01.840',0.064,0.050,-,-,-,-,51.200
'14:36:01.848',0.104,0.074,-,-,-,-,50.400
'14:36:01.856',0.120,0.099,-,-,-,-,50.400
'14:36:01.864',0.104,0.091,-,-,-,-,50.400
'14:36:01.872',0.136,0.074,-,-,-,-,50.400
'14:36:01.880',0.144,0.116,-,-,-,-,50.400
'14:36:01.888',0.184,0.157,-,-,-,-,50.400
'14:36:01.896',0.208,0.215,-,-,-,-,49.600
'14:36:01.904',0.224,0.281,-,-,-,-,49.600
'14:36:01.912',0.168,0.289,-,-,-,-,49.600
'14:36:01.920',0.176,0.322,-,-,-,-,48.800
'14:36:01.928',0.128,0.331,-,-,-,-,48.800
'14:36:01.936',0.104,0.248,-,-,-,-,48.800
'14:36:01.944',0.056,0.207,-,-,-,-,48.800
'14:36:01.952',0.024,0.140,-,-,-,-,48.800
'14:36:01.960',0.000,0.074,-,-,-,-,48.000
