'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:39:36.064',-0.008,-,0.040,-,44.800,-
'5:39:36.072',-0.024,-,0.016,-,44.800,-
'5:39:36.080',-0.032,-,-0.016,-,44.000,-
'5:39:36.088',-0.032,-,-0.040,-,43.200,-
'5:39:36.096',-0.024,-,-0.064,-,43.200,-
'5:39:36.104',-0.008,-,-0.080,-,43.200,-
'5:39:36.112',-0.008,-,-0.104,-,42.400,-
'5:39:36.120',-0.008,-,-0.128,-,42.400,-
'5:39:36.128',0.000,-,-0.152,-,42.400,-
'5:39:36.136',0.000,-,-0.168,-,42.400,-
'5:39:36.144',-0.008,-,-0.192,-,42.400,-
'5:39:36.152',-0.008,-,-0.192,-,42.400,-
'5:39:36.160',-0.024,-,-0.216,-,42.400,-
'5:39:36.168',-0.008,-,-0.232,-,42.400,-
'5:39:36.176',-0.008,-,-0.232,-,42.400,-
'5:39:36.184',-0.008,-,-0.256,-,42.400,-
'5:39:36.192',-0.024,-,-0.256,-,41.600,-
'5:39:36.200',-0.024,-,-0.280,-,41.600,-
'5:39:36.208',-0.024,-,-0.280,-,41.600,-
'5:39:36.216',-0.008,-,-0.304,-,41.600,-
'5:39:36.224',-0.008,-,-0.304,-,41.600,-
'5:39:36.232',0.000,-,-0.304,-,41.600,-
'5:39:36.240',0.000,-,-0.320,-,40.800,-
'5:39:36.248',0.000,-,-0.320,-,40.800,-
'5:39:36.256',-0.008,-,-0.320,-,40.800,-
'5:39:36.264',-0.008,-,-0.320,-,40.800,-
'5:39:36.272',0.000,-,-0.344,-,40.800,-
'5:39:36.280',0.000,-,-0.344,-,40.000,-
'5:39:36.288',0.008,-,-0.344,-,40.000,-
'5:39:36.296',0.024,-,-0.368,-,40.000,-
'5:39:36.304',0.048,-,-0.368,-,39.200,-
'5:39:36.312',0.064,-,-0.384,-,39.200,-
'5:39:36.320',0.064,-,-0.408,-,39.200,-
'5:39:36.328',-0.032,-,-0.408,-,39.200,-
'5:39:36.336',-0.216,-,-0.432,-,39.200,-
'5:39:36.344',-0.352,-,-0.432,-,38.400,-
'5:39:36.352',-0.392,-,-0.456,-,38.400,-
'5:39:36.360',-0.368,-,-0.472,-,38.400,-
'5:39:36.368',-0.312,-,-0.496,-,38.400,-
'5:39:36.376',-0.216,-,-0.496,-,38.400,-
'5:39:36.384',-0.128,-,-0.520,-,37.600,-
'5:39:36.392',-0.048,-,-0.536,-,37.600,-
'5:39:36.400',-0.008,-,-0.536,-,37.600,-
'5:39:36.408',0.008,-,-0.560,-,37.600,-
'5:39:36.416',0.032,-,-0.560,-,37.600,-
'5:39:36.424',0.032,-,-0.584,-,37.600,-
'5:39:36.432',0.032,-,-0.584,-,36.800,-
'5:39:36.440',0.032,-,-0.608,-,36.800,-
'5:39:36.448',0.032,-,-0.624,-,36.800,-
'5:39:36.456',0.048,-,-0.648,-,36.800,-
'5:39:36.464',0.048,-,-0.672,-,37.600,-
'5:39:36.472',0.048,-,-0.688,-,38.400,-
'5:39:36.480',0.064,-,-0.712,-,40.000,-
'5:39:36.488',0.064,-,-0.736,-,43.200,-
'5:39:36.496',0.064,-,-0.760,-,48.000,-
'5:39:36.504',0.064,-,-0.776,-,52.800,-
'5:39:36.512',0.072,-,-0.776,-,56.800,-
'5:39:36.520',0.072,-,-0.800,-,60.000,-
'5:39:36.528',0.072,-,-0.800,-,62.400,-
'5:39:36.536',0.072,-,-0.824,-,64.800,-
'5:39:36.544',0.072,-,-0.824,-,66.400,-
'5:39:36.552',0.088,-,-0.824,-,68.800,-
