'Elapsed time','II','III','AVR','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'96:42:17.552',-0.120,-,-,-,-,44.800,17.200
'96:42:17.560',-0.176,-,-,-,-,44.800,17.600
'96:42:17.568',-0.192,-,-,-,-,44.000,18.000
'96:42:17.576',-0.176,-,-,-,-,44.000,18.800
'96:42:17.584',-0.216,-,-,-,-,44.000,19.200
'96:42:17.592',-0.144,-,-,-,-,43.200,20.000
'96:42:17.600',-0.128,-,-,-,-,43.200,21.200
'96:42:17.608',-0.144,-,-,-,-,43.200,22.800
'96:42:17.616',-0.120,-,-,-,-,43.200,24.000
'96:42:17.624',-0.120,-,-,-,-,42.400,25.600
'96:42:17.632',-0.104,-,-,-,-,42.400,27.200
'96:42:17.640',-0.072,-,-,-,-,42.400,28.400
'96:42:17.648',-0.056,-,-,-,-,42.400,29.200
'96:42:17.656',0.000,-,-,-,-,42.400,29.600
'96:42:17.664',0.048,-,-,-,-,42.400,29.600
'96:42:17.672',0.072,-,-,-,-,42.400,30.400
'96:42:17.680',0.096,-,-,-,-,42.400,31.600
'96:42:17.688',0.104,-,-,-,-,42.400,33.200
'96:42:17.696',0.104,-,-,-,-,42.400,34.800
'96:42:17.704',0.120,-,-,-,-,42.400,36.800
'96:42:17.712',0.104,-,-,-,-,42.400,38.000
'96:42:17.720',0.128,-,-,-,-,42.400,39.200
'96:42:17.728',0.144,-,-,-,-,43.200,40.000
'96:42:17.736',0.152,-,-,-,-,44.800,40.400
'96:42:17.744',0.128,-,-,-,-,47.200,40.000
'96:42:17.752',0.144,-,-,-,-,51.200,39.600
'96:42:17.760',0.128,-,-,-,-,56.000,39.200
'96:42:17.768',0.128,-,-,-,-,61.600,38.400
'96:42:17.776',0.120,-,-,-,-,67.200,37.600
'96:42:17.784',0.128,-,-,-,-,72.800,36.400
'96:42:17.792',0.144,-,-,-,-,77.600,35.600
'96:42:17.800',0.128,-,-,-,-,81.600,34.400
'96:42:17.808',0.104,-,-,-,-,84.800,33.600
'96:42:17.816',0.120,-,-,-,-,87.200,32.400
'96:42:17.824',0.096,-,-,-,-,88.800,31.200
'96:42:17.832',0.072,-,-,-,-,89.600,29.600
'96:42:17.840',0.096,-,-,-,-,89.600,28.000
'96:42:17.848',0.072,-,-,-,-,89.600,26.400
'96:42:17.856',0.048,-,-,-,-,88.800,24.400
'96:42:17.864',0.048,-,-,-,-,87.200,23.200
'96:42:17.872',0.048,-,-,-,-,86.400,22.000
'96:42:17.880',0.024,-,-,-,-,84.800,22.000
'96:42:17.888',0.024,-,-,-,-,82.400,22.800
'96:42:17.896',0.000,-,-,-,-,80.800,23.600
'96:42:17.904',0.000,-,-,-,-,78.400,24.400
'96:42:17.912',0.000,-,-,-,-,76.000,25.200
'96:42:17.920',0.000,-,-,-,-,73.600,25.600
'96:42:17.928',-0.008,-,-,-,-,71.200,25.600
'96:42:17.936',0.000,-,-,-,-,68.800,25.600
'96:42:17.944',0.000,-,-,-,-,65.600,25.200
'96:42:17.952',0.000,-,-,-,-,62.400,24.400
'96:42:17.960',0.000,-,-,-,-,60.000,24.000
'96:42:17.968',-0.008,-,-,-,-,57.600,24.000
'96:42:17.976',0.000,-,-,-,-,55.200,24.400
'96:42:17.984',-0.024,-,-,-,-,53.600,25.200
'96:42:17.992',0.000,-,-,-,-,52.000,26.000
'96:42:18.000',-0.024,-,-,-,-,51.200,26.800
'96:42:18.008',-0.032,-,-,-,-,50.400,27.200
'96:42:18.016',-0.024,-,-,-,-,50.400,27.600
'96:42:18.024',-0.048,-,-,-,-,50.400,27.600
'96:42:18.032',-0.024,-,-,-,-,51.200,28.000
'96:42:18.040',-0.032,-,-,-,-,51.200,27.600
'96:42:18.048',-0.024,-,-,-,-,52.000,27.600
'96:42:18.056',-0.024,-,-,-,-,52.000,27.200
'96:42:18.064',-0.032,-,-,-,-,52.800,26.400
'96:42:18.072',-0.024,-,-,-,-,53.600,26.000
'96:42:18.080',-0.032,-,-,-,-,54.400,25.600
