'Elapsed time','I','II','III','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg'
'218:21:29.032',0.496,0.652,-,-,-,68.800
'218:21:29.040',0.592,0.891,-,-,-,68.000
'218:21:29.048',0.360,0.674,-,-,-,68.000
'218:21:29.056',0.056,0.228,-,-,-,67.200
'218:21:29.064',-0.128,-0.098,-,-,-,66.400
'218:21:29.072',-0.208,-0.228,-,-,-,65.600
'218:21:29.080',-0.208,-0.261,-,-,-,65.600
'218:21:29.088',-0.152,-0.152,-,-,-,64.800
'218:21:29.096',-0.096,-0.098,-,-,-,64.800
'218:21:29.104',-0.056,-0.043,-,-,-,64.000
'218:21:29.112',-0.032,-0.043,-,-,-,64.000
'218:21:29.120',-0.016,-0.022,-,-,-,63.200
'218:21:29.128',-0.016,-0.022,-,-,-,63.200
'218:21:29.136',-0.016,0.000,-,-,-,62.400
'218:21:29.144',0.000,0.000,-,-,-,62.400
'218:21:29.152',0.000,0.000,-,-,-,62.400
'218:21:29.160',0.000,0.022,-,-,-,62.400
'218:21:29.168',0.016,0.022,-,-,-,63.200
'218:21:29.176',0.032,0.043,-,-,-,64.000
'218:21:29.184',0.056,0.076,-,-,-,67.200
'218:21:29.192',0.072,0.098,-,-,-,71.200
'218:21:29.200',0.096,0.130,-,-,-,77.600
'218:21:29.208',0.112,0.130,-,-,-,85.600
'218:21:29.216',0.112,0.152,-,-,-,95.200
'218:21:29.224',0.128,0.152,-,-,-,104.800
'218:21:29.232',0.128,0.152,-,-,-,112.800
'218:21:29.240',0.128,0.152,-,-,-,120.000
'218:21:29.248',0.112,0.152,-,-,-,124.800
'218:21:29.256',0.096,0.130,-,-,-,128.000
'218:21:29.264',0.072,0.098,-,-,-,128.800
'218:21:29.272',0.056,0.043,-,-,-,128.800
'218:21:29.280',0.016,0.022,-,-,-,127.200
'218:21:29.288',0.016,0.000,-,-,-,124.800
'218:21:29.296',0.000,-0.022,-,-,-,123.200
'218:21:29.304',0.000,-0.022,-,-,-,120.800
'218:21:29.312',-0.016,-0.043,-,-,-,118.400
'218:21:29.320',-0.032,-0.043,-,-,-,116.000
'218:21:29.328',-0.032,-0.076,-,-,-,113.600
'218:21:29.336',-0.056,-0.076,-,-,-,111.200
'218:21:29.344',-0.056,-0.076,-,-,-,108.800
'218:21:29.352',-0.056,-0.076,-,-,-,106.400
'218:21:29.360',-0.056,-0.076,-,-,-,104.000
'218:21:29.368',-0.056,-0.076,-,-,-,101.600
'218:21:29.376',-0.056,-0.098,-,-,-,99.200
'218:21:29.384',-0.056,-0.076,-,-,-,96.000
'218:21:29.392',-0.056,-0.076,-,-,-,92.800
'218:21:29.400',-0.056,-0.043,-,-,-,89.600
'218:21:29.408',-0.032,-0.043,-,-,-,86.400
'218:21:29.416',-0.032,-0.043,-,-,-,84.000
'218:21:29.424',-0.016,-0.022,-,-,-,81.600
'218:21:29.432',0.000,-0.022,-,-,-,80.000
'218:21:29.440',0.000,0.000,-,-,-,79.200
'218:21:29.448',0.000,0.000,-,-,-,78.400
'218:21:29.456',0.000,-0.022,-,-,-,78.400
'218:21:29.464',0.000,-0.022,-,-,-,78.400
'218:21:29.472',-0.016,-0.022,-,-,-,78.400
'218:21:29.480',-0.016,-0.022,-,-,-,79.200
'218:21:29.488',-0.016,-0.022,-,-,-,80.000
'218:21:29.496',0.000,-0.022,-,-,-,80.800
'218:21:29.504',0.000,-0.022,-,-,-,80.800
'218:21:29.512',-0.016,-0.043,-,-,-,81.600
'218:21:29.520',-0.016,-0.043,-,-,-,81.600
'218:21:29.528',-0.016,-0.043,-,-,-,81.600
'218:21:29.536',-0.032,-0.043,-,-,-,80.800
'218:21:29.544',-0.032,-0.043,-,-,-,80.800
'218:21:29.552',-0.016,-0.043,-,-,-,80.000
'218:21:29.560',-0.016,-0.043,-,-,-,79.200
'218:21:29.568',-0.016,-0.043,-,-,-,78.400
'218:21:29.576',-0.016,-0.022,-,-,-,77.600
'218:21:29.584',-0.016,-0.043,-,-,-,76.800
'218:21:29.592',-0.016,-0.043,-,-,-,75.200
'218:21:29.600',-0.016,-0.043,-,-,-,74.400
'218:21:29.608',-0.016,-0.043,-,-,-,73.600
'218:21:29.616',-0.016,-0.043,-,-,-,72.800
'218:21:29.624',-0.016,-0.043,-,-,-,72.000
'218:21:29.632',-0.016,-0.043,-,-,-,71.200
'218:21:29.640',0.000,-0.043,-,-,-,70.400
'218:21:29.648',0.000,-0.043,-,-,-,69.600
'218:21:29.656',0.000,-0.022,-,-,-,68.800
'218:21:29.664',0.000,-0.022,-,-,-,68.800
'218:21:29.672',0.000,-0.022,-,-,-,68.000
'218:21:29.680',0.000,0.000,-,-,-,67.200
'218:21:29.688',0.000,0.000,-,-,-,67.200
'218:21:29.696',0.000,0.000,-,-,-,66.400
'218:21:29.704',0.000,0.000,-,-,-,65.600
'218:21:29.712',0.000,0.000,-,-,-,65.600
'218:21:29.720',-0.016,-0.043,-,-,-,64.800
'218:21:29.728',-0.016,-0.076,-,-,-,64.800
'218:21:29.736',0.096,0.076,-,-,-,64.800
'218:21:29.744',0.344,0.489,-,-,-,64.000
'218:21:29.752',0.512,0.891,-,-,-,64.000
'218:21:29.760',0.400,0.946,-,-,-,64.000
'218:21:29.768',0.112,0.446,-,-,-,63.200
'218:21:29.776',-0.072,0.000,-,-,-,63.200
'218:21:29.784',-0.168,-0.228,-,-,-,63.200
'218:21:29.792',-0.168,-0.261,-,-,-,63.200
'218:21:29.800',-0.128,-0.174,-,-,-,62.400
'218:21:29.808',-0.072,-0.098,-,-,-,62.400
'218:21:29.816',-0.032,-0.043,-,-,-,62.400
'218:21:29.824',-0.016,-0.043,-,-,-,62.400
'218:21:29.832',0.000,-0.022,-,-,-,62.400
'218:21:29.840',0.000,-0.022,-,-,-,61.600
'218:21:29.848',0.000,-0.022,-,-,-,61.600
'218:21:29.856',0.000,0.000,-,-,-,61.600
'218:21:29.864',0.000,0.000,-,-,-,60.800
'218:21:29.872',0.000,0.000,-,-,-,60.800
'218:21:29.880',0.016,0.022,-,-,-,60.800
'218:21:29.888',0.016,0.022,-,-,-,62.400
'218:21:29.896',0.032,0.043,-,-,-,64.000
'218:21:29.904',0.056,0.076,-,-,-,68.000
'218:21:29.912',0.096,0.076,-,-,-,74.400
'218:21:29.920',0.112,0.098,-,-,-,82.400
'218:21:29.928',0.128,0.152,-,-,-,92.000
'218:21:29.936',0.168,0.174,-,-,-,101.600
'218:21:29.944',0.192,0.207,-,-,-,111.200
'218:21:29.952',0.208,0.228,-,-,-,118.400
'218:21:29.960',0.208,0.228,-,-,-,124.000
'218:21:29.968',0.192,0.207,-,-,-,127.200
'218:21:29.976',0.168,0.174,-,-,-,128.000
'218:21:29.984',0.128,0.152,-,-,-,128.000
'218:21:29.992',0.112,0.098,-,-,-,126.400
'218:21:30.000',0.096,0.076,-,-,-,124.000
'218:21:30.008',0.056,0.043,-,-,-,122.400
'218:21:30.016',0.032,0.022,-,-,-,120.000
'218:21:30.024',0.016,0.000,-,-,-,117.600
'218:21:30.032',0.000,-0.022,-,-,-,115.200
'218:21:30.040',-0.016,-0.043,-,-,-,112.800
'218:21:30.048',-0.016,-0.043,-,-,-,110.400
'218:21:30.056',-0.032,-0.043,-,-,-,108.800
'218:21:30.064',-0.032,-0.043,-,-,-,106.400
'218:21:30.072',-0.016,-0.043,-,-,-,104.000
'218:21:30.080',-0.016,-0.022,-,-,-,100.800
'218:21:30.088',-0.016,-0.022,-,-,-,98.400
'218:21:30.096',0.000,-0.022,-,-,-,95.200
'218:21:30.104',-0.016,0.000,-,-,-,92.800
'218:21:30.112',-0.016,-0.022,-,-,-,89.600
'218:21:30.120',0.000,-0.022,-,-,-,86.400
'218:21:30.128',0.000,0.000,-,-,-,83.200
'218:21:30.136',0.000,0.000,-,-,-,80.800
'218:21:30.144',0.000,0.000,-,-,-,79.200
'218:21:30.152',0.000,-0.022,-,-,-,77.600
'218:21:30.160',0.056,0.000,-,-,-,76.800
'218:21:30.168',0.248,0.283,-,-,-,76.800
'218:21:30.176',0.576,0.728,-,-,-,76.800
'218:21:30.184',0.672,0.967,-,-,-,77.600
'218:21:30.192',0.360,0.652,-,-,-,77.600
'218:21:30.200',0.000,0.098,-,-,-,78.400
'218:21:30.208',-0.192,-0.207,-,-,-,79.200
'218:21:30.216',-0.224,-0.261,-,-,-,80.000
'218:21:30.224',-0.168,-0.174,-,-,-,80.000
'218:21:30.232',-0.096,-0.130,-,-,-,80.000
'218:21:30.240',-0.072,-0.076,-,-,-,80.000
'218:21:30.248',-0.056,-0.043,-,-,-,80.000
'218:21:30.256',-0.056,-0.076,-,-,-,79.200
'218:21:30.264',-0.032,-0.076,-,-,-,78.400
'218:21:30.272',-0.032,-0.043,-,-,-,78.400
'218:21:30.280',-0.032,-0.043,-,-,-,77.600
'218:21:30.288',-0.016,-0.043,-,-,-,76.000
'218:21:30.296',-0.016,-0.022,-,-,-,75.200
'218:21:30.304',0.000,0.000,-,-,-,74.400
'218:21:30.312',0.000,0.000,-,-,-,73.600
'218:21:30.320',0.016,0.022,-,-,-,72.800
'218:21:30.328',0.032,0.043,-,-,-,72.000
'218:21:30.336',0.072,0.098,-,-,-,71.200
'218:21:30.344',0.112,0.130,-,-,-,71.200
'218:21:30.352',0.152,0.174,-,-,-,71.200
'218:21:30.360',0.168,0.207,-,-,-,72.000
'218:21:30.368',0.168,0.207,-,-,-,72.800
'218:21:30.376',0.152,0.207,-,-,-,75.200
'218:21:30.384',0.152,0.174,-,-,-,77.600
'218:21:30.392',0.128,0.152,-,-,-,80.800
'218:21:30.400',0.096,0.130,-,-,-,84.800
'218:21:30.408',0.072,0.076,-,-,-,88.800
'218:21:30.416',0.032,0.022,-,-,-,92.000
'218:21:30.424',0.016,0.000,-,-,-,96.000
'218:21:30.432',0.000,-0.022,-,-,-,98.400
'218:21:30.440',-0.016,-0.043,-,-,-,100.000
'218:21:30.448',-0.032,-0.076,-,-,-,100.800
'218:21:30.456',-0.032,-0.076,-,-,-,100.000
'218:21:30.464',-0.032,-0.076,-,-,-,99.200
'218:21:30.472',-0.016,-0.043,-,-,-,97.600
'218:21:30.480',-0.016,-0.043,-,-,-,96.000
'218:21:30.488',-0.016,-0.043,-,-,-,93.600
'218:21:30.496',-0.016,-0.022,-,-,-,90.400
'218:21:30.504',-0.016,-0.022,-,-,-,87.200
'218:21:30.512',-0.016,-0.022,-,-,-,84.000
'218:21:30.520',-0.016,-0.022,-,-,-,80.800
'218:21:30.528',-0.016,-0.022,-,-,-,76.800
'218:21:30.536',-0.016,-0.022,-,-,-,73.600
'218:21:30.544',-0.016,-0.043,-,-,-,70.400
'218:21:30.552',-0.016,-0.043,-,-,-,68.000
'218:21:30.560',-0.016,-0.043,-,-,-,66.400
'218:21:30.568',-0.016,-0.043,-,-,-,64.800
