'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:28:54.416',-0.128,-0.124,-,-,-,-,73.600
'14:28:54.424',-0.128,-0.140,-,-,-,-,71.200
'14:28:54.432',-0.104,-0.157,-,-,-,-,69.600
'14:28:54.440',-0.096,-0.165,-,-,-,-,67.200
'14:28:54.448',-0.072,-0.182,-,-,-,-,64.800
'14:28:54.456',-0.064,-0.165,-,-,-,-,63.200
'14:28:54.464',-0.040,-0.157,-,-,-,-,62.400
'14:28:54.472',-0.024,-0.157,-,-,-,-,61.600
'14:28:54.480',-0.032,-0.157,-,-,-,-,62.400
'14:28:54.488',-0.016,-0.149,-,-,-,-,63.200
'14:28:54.496',-0.024,-0.140,-,-,-,-,64.000
'14:28:54.504',0.000,-0.124,-,-,-,-,64.000
'14:28:54.512',-0.008,-0.116,-,-,-,-,62.400
'14:28:54.520',0.008,-0.099,-,-,-,-,61.600
'14:28:54.528',0.000,-0.099,-,-,-,-,60.800
'14:28:54.536',0.008,-0.091,-,-,-,-,60.000
'14:28:54.544',0.000,-0.074,-,-,-,-,59.200
'14:28:54.552',0.008,-0.091,-,-,-,-,58.400
'14:28:54.560',0.000,-0.066,-,-,-,-,58.400
'14:28:54.568',0.000,-0.058,-,-,-,-,58.400
'14:28:54.576',0.000,-0.058,-,-,-,-,58.400
'14:28:54.584',0.008,-0.041,-,-,-,-,57.600
'14:28:54.592',0.000,-0.033,-,-,-,-,57.600
'14:28:54.600',0.008,-0.041,-,-,-,-,57.600
'14:28:54.608',0.000,-0.025,-,-,-,-,57.600
'14:28:54.616',0.008,-0.025,-,-,-,-,57.600
'14:28:54.624',0.016,-0.017,-,-,-,-,57.600
'14:28:54.632',0.000,-0.017,-,-,-,-,57.600
'14:28:54.640',0.024,-0.008,-,-,-,-,56.800
'14:28:54.648',0.008,-0.017,-,-,-,-,56.800
'14:28:54.656',0.024,0.000,-,-,-,-,56.000
'14:28:54.664',0.032,0.017,-,-,-,-,56.000
'14:28:54.672',0.040,0.025,-,-,-,-,56.000
'14:28:54.680',0.056,0.041,-,-,-,-,56.000
'14:28:54.688',0.064,0.050,-,-,-,-,56.000
'14:28:54.696',0.104,0.074,-,-,-,-,55.200
'14:28:54.704',0.104,0.099,-,-,-,-,55.200
'14:28:54.712',0.104,0.091,-,-,-,-,55.200
'14:28:54.720',0.128,0.099,-,-,-,-,55.200
'14:28:54.728',0.144,0.124,-,-,-,-,55.200
'14:28:54.736',0.176,0.157,-,-,-,-,55.200
'14:28:54.744',0.208,0.215,-,-,-,-,54.400
'14:28:54.752',0.224,0.281,-,-,-,-,54.400
'14:28:54.760',0.168,0.298,-,-,-,-,54.400
'14:28:54.768',0.176,0.322,-,-,-,-,54.400
'14:28:54.776',0.128,0.331,-,-,-,-,53.600
