'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:36:45.200',-0.009,-,-,-0.047,-,-,-
'44:36:45.208',0.000,-,-,0.000,-,-,-
'44:36:45.216',0.000,-,-,-0.019,-,-,-
'44:36:45.224',0.009,-,-,-0.028,-,-,-
'44:36:45.232',0.075,-,-,0.019,-,-,-
'44:36:45.240',0.208,-,-,0.113,-,-,-
'44:36:45.248',0.358,-,-,0.236,-,-,-
'44:36:45.256',0.434,-,-,0.377,-,-,-
'44:36:45.264',0.491,-,-,0.340,-,-,-
'44:36:45.272',0.500,-,-,0.387,-,-,-
'44:36:45.280',0.406,-,-,0.406,-,-,-
'44:36:45.288',0.189,-,-,0.132,-,-,-
'44:36:45.296',0.028,-,-,-0.019,-,-,-
'44:36:45.304',-0.113,-,-,-0.113,-,-,-
'44:36:45.312',-0.208,-,-,-0.255,-,-,-
'44:36:45.320',-0.245,-,-,-0.283,-,-,-
'44:36:45.328',-0.189,-,-,-0.226,-,-,-
'44:36:45.336',-0.123,-,-,-0.142,-,-,-
'44:36:45.344',-0.075,-,-,-0.094,-,-,-
'44:36:45.352',-0.047,-,-,-0.019,-,-,-
'44:36:45.360',-0.047,-,-,-0.028,-,-,-
'44:36:45.368',-0.047,-,-,-0.019,-,-,-
'44:36:45.376',-0.047,-,-,0.000,-,-,-
'44:36:45.384',-0.047,-,-,-0.028,-,-,-
'44:36:45.392',-0.047,-,-,0.000,-,-,-
'44:36:45.400',-0.057,-,-,-0.028,-,-,-
'44:36:45.408',-0.057,-,-,-0.047,-,-,-
'44:36:45.416',-0.047,-,-,-0.047,-,-,-
'44:36:45.424',-0.028,-,-,-0.009,-,-,-
'44:36:45.432',-0.028,-,-,0.009,-,-,-
'44:36:45.440',-0.047,-,-,-0.019,-,-,-
'44:36:45.448',-0.057,-,-,-0.019,-,-,-
'44:36:45.456',-0.075,-,-,-0.066,-,-,-
'44:36:45.464',-0.057,-,-,-0.047,-,-,-
'44:36:45.472',-0.057,-,-,-0.019,-,-,-
'44:36:45.480',-0.075,-,-,-0.047,-,-,-
'44:36:45.488',-0.075,-,-,-0.047,-,-,-
'44:36:45.496',-0.057,-,-,-0.038,-,-,-
'44:36:45.504',-0.047,-,-,-0.047,-,-,-
'44:36:45.512',-0.028,-,-,-0.019,-,-,-
'44:36:45.520',0.000,-,-,0.000,-,-,-
'44:36:45.528',0.047,-,-,0.019,-,-,-
'44:36:45.536',0.075,-,-,0.057,-,-,-
'44:36:45.544',0.113,-,-,0.094,-,-,-
'44:36:45.552',0.123,-,-,0.113,-,-,-
'44:36:45.560',0.123,-,-,0.104,-,-,-
'44:36:45.568',0.113,-,-,0.113,-,-,-
'44:36:45.576',0.094,-,-,0.085,-,-,-
'44:36:45.584',0.075,-,-,0.066,-,-,-
