'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:09:50.200',0.057,-,-,0.038,-,-,-
'44:09:50.208',0.075,-,-,0.047,-,-,-
'44:09:50.216',0.094,-,-,0.038,-,-,-
'44:09:50.224',0.075,-,-,0.104,-,-,-
'44:09:50.232',0.047,-,-,0.038,-,-,-
'44:09:50.240',0.009,-,-,0.047,-,-,-
'44:09:50.248',0.009,-,-,-0.019,-,-,-
'44:09:50.256',0.009,-,-,0.009,-,-,-
'44:09:50.264',0.009,-,-,0.000,-,-,-
'44:09:50.272',0.009,-,-,0.019,-,-,-
'44:09:50.280',0.028,-,-,0.057,-,-,-
'44:09:50.288',0.047,-,-,0.019,-,-,-
'44:09:50.296',0.047,-,-,0.028,-,-,-
'44:09:50.304',0.028,-,-,0.019,-,-,-
'44:09:50.312',0.009,-,-,0.019,-,-,-
'44:09:50.320',0.000,-,-,-0.019,-,-,-
'44:09:50.328',0.000,-,-,0.000,-,-,-
'44:09:50.336',0.000,-,-,-0.019,-,-,-
'44:09:50.344',0.000,-,-,0.000,-,-,-
'44:09:50.352',-0.009,-,-,-0.019,-,-,-
'44:09:50.360',-0.028,-,-,-0.019,-,-,-
'44:09:50.368',-0.028,-,-,-0.057,-,-,-
'44:09:50.376',-0.047,-,-,-0.038,-,-,-
'44:09:50.384',-0.047,-,-,-0.066,-,-,-
'44:09:50.392',-0.047,-,-,-0.057,-,-,-
'44:09:50.400',-0.047,-,-,-0.066,-,-,-
'44:09:50.408',-0.047,-,-,-0.028,-,-,-
'44:09:50.416',-0.047,-,-,-0.057,-,-,-
'44:09:50.424',-0.028,-,-,-0.094,-,-,-
'44:09:50.432',0.009,-,-,-0.028,-,-,-
'44:09:50.440',0.075,-,-,0.019,-,-,-
'44:09:50.448',0.226,-,-,0.113,-,-,-
'44:09:50.456',0.368,-,-,0.292,-,-,-
'44:09:50.464',0.453,-,-,0.443,-,-,-
'44:09:50.472',0.519,-,-,0.434,-,-,-
'44:09:50.480',0.538,-,-,0.509,-,-,-
'44:09:50.488',0.387,-,-,0.434,-,-,-
'44:09:50.496',0.179,-,-,0.170,-,-,-
'44:09:50.504',0.000,-,-,0.038,-,-,-
'44:09:50.512',-0.123,-,-,-0.123,-,-,-
'44:09:50.520',-0.208,-,-,-0.217,-,-,-
'44:09:50.528',-0.226,-,-,-0.255,-,-,-
