'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'48:20:33.448',-,0.000,-,96.000,54.800
'48:20:33.456',-,0.016,-,92.000,52.800
'48:20:33.464',-,0.040,-,88.000,50.400
'48:20:33.472',-,0.040,-,83.200,48.000
'48:20:33.480',-,0.040,-,79.200,45.200
'48:20:33.488',-,0.016,-,74.400,42.400
'48:20:33.496',-,0.040,-,69.600,40.000
'48:20:33.504',-,0.056,-,65.600,38.400
'48:20:33.512',-,0.040,-,61.600,37.200
'48:20:33.520',-,0.016,-,57.600,36.000
'48:20:33.528',-,0.016,-,53.600,35.200
'48:20:33.536',-,0.040,-,51.200,34.000
'48:20:33.544',-,0.040,-,48.000,33.600
'48:20:33.552',-,0.040,-,46.400,33.200
'48:20:33.560',-,0.016,-,44.800,32.800
'48:20:33.568',-,0.040,-,44.000,33.200
'48:20:33.576',-,0.040,-,43.200,33.600
'48:20:33.584',-,0.056,-,42.400,34.800
'48:20:33.592',-,0.056,-,42.400,36.400
'48:20:33.600',-,0.056,-,42.400,37.600
'48:20:33.608',-,0.056,-,42.400,38.800
'48:20:33.616',-,0.080,-,42.400,39.200
'48:20:33.624',-,0.080,-,43.200,39.200
'48:20:33.632',-,0.056,-,44.000,39.200
'48:20:33.640',-,0.056,-,44.000,38.400
'48:20:33.648',-,0.080,-,44.800,38.000
'48:20:33.656',-,0.080,-,44.800,37.200
'48:20:33.664',-,0.080,-,45.600,36.400
'48:20:33.672',-,0.056,-,45.600,36.000
'48:20:33.680',-,0.040,-,45.600,35.200
'48:20:33.688',-,0.016,-,45.600,34.800
'48:20:33.696',-,0.016,-,45.600,34.000
'48:20:33.704',-,0.016,-,44.800,32.800
'48:20:33.712',-,0.040,-,44.800,32.000
'48:20:33.720',-,0.040,-,44.000,31.200
'48:20:33.728',-,0.040,-,43.200,30.800
'48:20:33.736',-,0.040,-,42.400,30.400
'48:20:33.744',-,0.016,-,40.800,30.000
'48:20:33.752',-,0.016,-,40.000,30.000
'48:20:33.760',-,0.016,-,39.200,30.000
'48:20:33.768',-,0.056,-,37.600,30.400
'48:20:33.776',-,0.160,-,36.800,30.800
'48:20:33.784',-,0.320,-,36.000,31.600
'48:20:33.792',-,0.488,-,35.200,32.400
'48:20:33.800',-,0.544,-,35.200,33.200
'48:20:33.808',-,0.504,-,34.400,33.600
'48:20:33.816',-,0.304,-,34.400,34.400
'48:20:33.824',-,0.040,-,34.400,35.200
'48:20:33.832',-,-0.120,-,34.400,36.000
'48:20:33.840',-,-0.136,-,35.200,37.600
