'Elapsed time','II','AVR','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'44:28:08.200',0.009,-,-,0.000,-,-,-
'44:28:08.208',0.047,-,-,0.000,-,-,-
'44:28:08.216',0.123,-,-,0.066,-,-,-
'44:28:08.224',0.226,-,-,0.123,-,-,-
'44:28:08.232',0.321,-,-,0.217,-,-,-
'44:28:08.240',0.368,-,-,0.283,-,-,-
'44:28:08.248',0.406,-,-,0.217,-,-,-
'44:28:08.256',0.425,-,-,0.274,-,-,-
'44:28:08.264',0.274,-,-,0.283,-,-,-
'44:28:08.272',0.094,-,-,0.028,-,-,-
'44:28:08.280',-0.009,-,-,-0.066,-,-,-
'44:28:08.288',-0.094,-,-,-0.113,-,-,-
'44:28:08.296',-0.142,-,-,-0.170,-,-,-
'44:28:08.304',-0.160,-,-,-0.189,-,-,-
'44:28:08.312',-0.142,-,-,-0.132,-,-,-
'44:28:08.320',-0.113,-,-,-0.113,-,-,-
'44:28:08.328',-0.075,-,-,-0.057,-,-,-
'44:28:08.336',-0.057,-,-,-0.038,-,-,-
'44:28:08.344',-0.047,-,-,-0.028,-,-,-
'44:28:08.352',-0.047,-,-,-0.019,-,-,-
'44:28:08.360',-0.047,-,-,-0.019,-,-,-
'44:28:08.368',-0.047,-,-,-0.019,-,-,-
'44:28:08.376',-0.047,-,-,-0.009,-,-,-
'44:28:08.384',-0.047,-,-,0.000,-,-,-
'44:28:08.392',-0.047,-,-,-0.019,-,-,-
'44:28:08.400',-0.047,-,-,-0.009,-,-,-
'44:28:08.408',-0.047,-,-,-0.019,-,-,-
'44:28:08.416',-0.047,-,-,-0.009,-,-,-
'44:28:08.424',-0.047,-,-,-0.019,-,-,-
'44:28:08.432',-0.047,-,-,-0.019,-,-,-
'44:28:08.440',-0.047,-,-,-0.009,-,-,-
'44:28:08.448',-0.057,-,-,-0.019,-,-,-
'44:28:08.456',-0.057,-,-,-0.019,-,-,-
'44:28:08.464',-0.057,-,-,-0.028,-,-,-
'44:28:08.472',-0.057,-,-,-0.019,-,-,-
'44:28:08.480',-0.047,-,-,-0.028,-,-,-
'44:28:08.488',-0.047,-,-,-0.009,-,-,-
'44:28:08.496',-0.009,-,-,-0.028,-,-,-
'44:28:08.504',0.000,-,-,0.000,-,-,-
'44:28:08.512',0.028,-,-,0.019,-,-,-
'44:28:08.520',0.047,-,-,0.038,-,-,-
'44:28:08.528',0.075,-,-,0.057,-,-,-
'44:28:08.536',0.094,-,-,0.066,-,-,-
'44:28:08.544',0.094,-,-,0.057,-,-,-
'44:28:08.552',0.075,-,-,0.085,-,-,-
'44:28:08.560',0.057,-,-,0.057,-,-,-
'44:28:08.568',0.047,-,-,0.038,-,-,-
'44:28:08.576',0.047,-,-,0.038,-,-,-
'44:28:08.584',0.028,-,-,0.028,-,-,-
'44:28:08.592',0.009,-,-,0.009,-,-,-
'44:28:08.600',0.028,-,-,0.019,-,-,-
'44:28:08.608',0.028,-,-,0.028,-,-,-
'44:28:08.616',0.047,-,-,0.038,-,-,-
'44:28:08.624',0.028,-,-,0.038,-,-,-
'44:28:08.632',0.009,-,-,0.038,-,-,-
'44:28:08.640',0.028,-,-,0.019,-,-,-
'44:28:08.648',0.028,-,-,0.019,-,-,-
'44:28:08.656',0.028,-,-,0.028,-,-,-
'44:28:08.664',0.000,-,-,0.000,-,-,-
'44:28:08.672',-0.009,-,-,-0.047,-,-,-
'44:28:08.680',-0.028,-,-,-0.057,-,-,-
'44:28:08.688',0.000,-,-,-0.019,-,-,-
'44:28:08.696',0.000,-,-,0.000,-,-,-
'44:28:08.704',0.000,-,-,-0.009,-,-,-
'44:28:08.712',0.000,-,-,-0.019,-,-,-
'44:28:08.720',0.000,-,-,0.000,-,-,-
'44:28:08.728',0.000,-,-,-0.019,-,-,-
'44:28:08.736',0.000,-,-,0.000,-,-,-
'44:28:08.744',0.000,-,-,-0.019,-,-,-
'44:28:08.752',0.000,-,-,0.000,-,-,-
'44:28:08.760',0.009,-,-,-0.019,-,-,-
'44:28:08.768',0.075,-,-,0.019,-,-,-
'44:28:08.776',0.160,-,-,0.085,-,-,-
'44:28:08.784',0.226,-,-,0.132,-,-,-
'44:28:08.792',0.245,-,-,0.170,-,-,-
'44:28:08.800',0.274,-,-,0.057,-,-,-
'44:28:08.808',0.311,-,-,0.057,-,-,-
'44:28:08.816',0.226,-,-,0.179,-,-,-
'44:28:08.824',0.057,-,-,-0.047,-,-,-
'44:28:08.832',-0.047,-,-,-0.123,-,-,-
'44:28:08.840',-0.123,-,-,-0.179,-,-,-
'44:28:08.848',-0.189,-,-,-0.226,-,-,-
'44:28:08.856',-0.189,-,-,-0.217,-,-,-
'44:28:08.864',-0.179,-,-,-0.226,-,-,-
'44:28:08.872',-0.123,-,-,-0.151,-,-,-
'44:28:08.880',-0.075,-,-,-0.066,-,-,-
'44:28:08.888',-0.028,-,-,-0.009,-,-,-
'44:28:08.896',-0.028,-,-,0.000,-,-,-
'44:28:08.904',-0.028,-,-,-0.019,-,-,-
'44:28:08.912',-0.009,-,-,0.009,-,-,-
'44:28:08.920',-0.028,-,-,0.019,-,-,-
'44:28:08.928',-0.028,-,-,0.000,-,-,-
'44:28:08.936',-0.028,-,-,0.009,-,-,-
'44:28:08.944',-0.028,-,-,0.000,-,-,-
'44:28:08.952',-0.047,-,-,0.000,-,-,-
'44:28:08.960',-0.047,-,-,-0.009,-,-,-
'44:28:08.968',-0.047,-,-,0.000,-,-,-
'44:28:08.976',-0.047,-,-,0.009,-,-,-
'44:28:08.984',-0.047,-,-,-0.019,-,-,-
'44:28:08.992',-0.047,-,-,0.000,-,-,-
'44:28:09.000',-0.047,-,-,-0.019,-,-,-
'44:28:09.008',-0.047,-,-,0.000,-,-,-
'44:28:09.016',-0.047,-,-,0.000,-,-,-
'44:28:09.024',-0.047,-,-,-0.019,-,-,-
'44:28:09.032',-0.047,-,-,-0.009,-,-,-
'44:28:09.040',-0.028,-,-,-0.019,-,-,-
'44:28:09.048',-0.009,-,-,0.000,-,-,-
'44:28:09.056',0.009,-,-,0.019,-,-,-
'44:28:09.064',0.028,-,-,0.038,-,-,-
'44:28:09.072',0.057,-,-,0.047,-,-,-
'44:28:09.080',0.075,-,-,0.066,-,-,-
'44:28:09.088',0.094,-,-,0.094,-,-,-
'44:28:09.096',0.075,-,-,0.085,-,-,-
'44:28:09.104',0.075,-,-,0.057,-,-,-
'44:28:09.112',0.057,-,-,0.066,-,-,-
'44:28:09.120',0.047,-,-,0.047,-,-,-
'44:28:09.128',0.028,-,-,0.028,-,-,-
'44:28:09.136',0.009,-,-,0.019,-,-,-
'44:28:09.144',0.000,-,-,0.009,-,-,-
'44:28:09.152',0.000,-,-,0.019,-,-,-
'44:28:09.160',0.000,-,-,-0.019,-,-,-
'44:28:09.168',0.000,-,-,0.000,-,-,-
'44:28:09.176',0.000,-,-,0.000,-,-,-
'44:28:09.184',0.000,-,-,0.000,-,-,-
'44:28:09.192',-0.009,-,-,-0.009,-,-,-
'44:28:09.200',-0.028,-,-,-0.028,-,-,-
'44:28:09.208',-0.009,-,-,-0.047,-,-,-
'44:28:09.216',0.000,-,-,0.000,-,-,-
'44:28:09.224',0.000,-,-,-0.009,-,-,-
'44:28:09.232',0.000,-,-,0.000,-,-,-
'44:28:09.240',0.000,-,-,-0.019,-,-,-
'44:28:09.248',0.000,-,-,0.000,-,-,-
'44:28:09.256',0.000,-,-,0.000,-,-,-
'44:28:09.264',0.000,-,-,-0.019,-,-,-
'44:28:09.272',0.000,-,-,0.000,-,-,-
'44:28:09.280',0.009,-,-,-0.009,-,-,-
'44:28:09.288',0.057,-,-,-0.019,-,-,-
'44:28:09.296',0.160,-,-,0.085,-,-,-
'44:28:09.304',0.245,-,-,0.142,-,-,-
'44:28:09.312',0.274,-,-,0.198,-,-,-
'44:28:09.320',0.274,-,-,0.113,-,-,-
'44:28:09.328',0.292,-,-,0.057,-,-,-
'44:28:09.336',0.226,-,-,0.132,-,-,-
'44:28:09.344',0.057,-,-,-0.028,-,-,-
'44:28:09.352',-0.075,-,-,-0.179,-,-,-
'44:28:09.360',-0.160,-,-,-0.217,-,-,-
'44:28:09.368',-0.226,-,-,-0.274,-,-,-
'44:28:09.376',-0.245,-,-,-0.302,-,-,-
'44:28:09.384',-0.189,-,-,-0.255,-,-,-
'44:28:09.392',-0.142,-,-,-0.179,-,-,-
'44:28:09.400',-0.075,-,-,-0.094,-,-,-
'44:28:09.408',-0.047,-,-,-0.019,-,-,-
'44:28:09.416',-0.028,-,-,0.000,-,-,-
'44:28:09.424',-0.009,-,-,0.009,-,-,-
'44:28:09.432',-0.009,-,-,0.000,-,-,-
