'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:31:59.416',0.168,0.198,-,-,-,-,55.200
'14:31:59.424',0.200,0.281,-,-,-,-,55.200
'14:31:59.432',0.160,0.314,-,-,-,-,54.400
'14:31:59.440',0.152,0.314,-,-,-,-,54.400
'14:31:59.448',0.160,0.364,-,-,-,-,54.400
'14:31:59.456',0.104,0.298,-,-,-,-,54.400
'14:31:59.464',0.064,0.248,-,-,-,-,53.600
'14:31:59.472',0.024,0.207,-,-,-,-,53.600
'14:31:59.480',-0.008,0.132,-,-,-,-,53.600
'14:31:59.488',-0.024,0.066,-,-,-,-,53.600
'14:31:59.496',-0.016,0.033,-,-,-,-,53.600
'14:31:59.504',-0.040,0.000,-,-,-,-,53.600
'14:31:59.512',-0.056,-0.017,-,-,-,-,53.600
'14:31:59.520',-0.072,-0.025,-,-,-,-,54.400
'14:31:59.528',-0.064,-0.033,-,-,-,-,56.800
'14:31:59.536',-0.072,-0.025,-,-,-,-,60.800
'14:31:59.544',-0.088,-0.041,-,-,-,-,67.200
'14:31:59.552',-0.088,-0.033,-,-,-,-,73.600
'14:31:59.560',-0.096,-0.050,-,-,-,-,77.600
'14:31:59.568',-0.104,-0.050,-,-,-,-,80.000
'14:31:59.576',-0.112,-0.058,-,-,-,-,80.800
'14:31:59.584',-0.128,-0.058,-,-,-,-,80.000
'14:31:59.592',-0.128,-0.066,-,-,-,-,79.200
'14:31:59.600',-0.136,-0.091,-,-,-,-,77.600
'14:31:59.608',-0.144,-0.099,-,-,-,-,75.200
'14:31:59.616',-0.128,-0.116,-,-,-,-,72.800
'14:31:59.624',-0.136,-0.132,-,-,-,-,70.400
'14:31:59.632',-0.112,-0.140,-,-,-,-,68.000
'14:31:59.640',-0.104,-0.140,-,-,-,-,65.600
'14:31:59.648',-0.088,-0.149,-,-,-,-,63.200
'14:31:59.656',-0.072,-0.140,-,-,-,-,61.600
'14:31:59.664',-0.064,-0.132,-,-,-,-,60.000
'14:31:59.672',-0.056,-0.132,-,-,-,-,60.000
'14:31:59.680',-0.040,-0.116,-,-,-,-,60.800
'14:31:59.688',-0.040,-0.124,-,-,-,-,62.400
'14:31:59.696',-0.024,-0.099,-,-,-,-,63.200
'14:31:59.704',-0.032,-0.074,-,-,-,-,63.200
'14:31:59.712',-0.024,-0.091,-,-,-,-,62.400
'14:31:59.720',-0.032,-0.066,-,-,-,-,61.600
'14:31:59.728',-0.016,-0.058,-,-,-,-,60.800
'14:31:59.736',-0.032,-0.050,-,-,-,-,60.000
'14:31:59.744',-0.024,-0.041,-,-,-,-,59.200
'14:31:59.752',-0.016,-0.033,-,-,-,-,58.400
'14:31:59.760',-0.024,-0.025,-,-,-,-,58.400
'14:31:59.768',-0.008,-0.017,-,-,-,-,57.600
'14:31:59.776',-0.016,-0.017,-,-,-,-,57.600
'14:31:59.784',-0.008,-0.008,-,-,-,-,57.600
'14:31:59.792',0.000,0.000,-,-,-,-,56.800
'14:31:59.800',-0.016,0.000,-,-,-,-,56.800
'14:31:59.808',0.000,0.000,-,-,-,-,56.800
'14:31:59.816',0.000,0.000,-,-,-,-,56.800
'14:31:59.824',0.000,0.008,-,-,-,-,56.800
'14:31:59.832',0.000,0.008,-,-,-,-,56.800
'14:31:59.840',0.000,0.017,-,-,-,-,56.800
'14:31:59.848',0.000,0.008,-,-,-,-,56.000
'14:31:59.856',0.000,0.017,-,-,-,-,56.000
'14:31:59.864',0.000,0.017,-,-,-,-,56.000
'14:31:59.872',-0.008,0.033,-,-,-,-,56.000
'14:31:59.880',0.016,0.050,-,-,-,-,55.200
'14:31:59.888',0.040,0.058,-,-,-,-,55.200
'14:31:59.896',0.064,0.066,-,-,-,-,55.200
'14:31:59.904',0.088,0.099,-,-,-,-,55.200
'14:31:59.912',0.104,0.116,-,-,-,-,54.400
'14:31:59.920',0.088,0.099,-,-,-,-,54.400
'14:31:59.928',0.120,0.116,-,-,-,-,54.400
'14:31:59.936',0.136,0.132,-,-,-,-,54.400
'14:31:59.944',0.168,0.165,-,-,-,-,53.600
'14:31:59.952',0.200,0.231,-,-,-,-,53.600
'14:31:59.960',0.184,0.289,-,-,-,-,53.600
'14:31:59.968',0.152,0.298,-,-,-,-,52.800
'14:31:59.976',0.160,0.331,-,-,-,-,52.800
'14:31:59.984',0.120,0.347,-,-,-,-,52.800
'14:31:59.992',0.080,0.248,-,-,-,-,52.800
'14:32:00.000',0.040,0.215,-,-,-,-,52.000
'14:32:00.008',0.008,0.149,-,-,-,-,52.000
'14:32:00.016',-0.024,0.074,-,-,-,-,52.000
'14:32:00.024',-0.032,0.033,-,-,-,-,52.000
'14:32:00.032',-0.048,0.008,-,-,-,-,52.000
'14:32:00.040',-0.064,-0.008,-,-,-,-,52.800
'14:32:00.048',-0.072,-0.017,-,-,-,-,53.600
'14:32:00.056',-0.072,-0.025,-,-,-,-,56.800
'14:32:00.064',-0.072,-0.033,-,-,-,-,61.600
'14:32:00.072',-0.088,-0.025,-,-,-,-,68.800
'14:32:00.080',-0.088,-0.041,-,-,-,-,75.200
'14:32:00.088',-0.104,-0.033,-,-,-,-,79.200
'14:32:00.096',-0.096,-0.041,-,-,-,-,81.600
'14:32:00.104',-0.128,-0.033,-,-,-,-,81.600
'14:32:00.112',-0.128,-0.050,-,-,-,-,81.600
'14:32:00.120',-0.144,-0.066,-,-,-,-,80.800
'14:32:00.128',-0.136,-0.074,-,-,-,-,79.200
'14:32:00.136',-0.144,-0.099,-,-,-,-,76.800
'14:32:00.144',-0.136,-0.091,-,-,-,-,74.400
'14:32:00.152',-0.136,-0.132,-,-,-,-,72.000
'14:32:00.160',-0.112,-0.140,-,-,-,-,69.600
'14:32:00.168',-0.112,-0.157,-,-,-,-,67.200
'14:32:00.176',-0.096,-0.149,-,-,-,-,64.800
'14:32:00.184',-0.088,-0.157,-,-,-,-,62.400
'14:32:00.192',-0.064,-0.140,-,-,-,-,61.600
'14:32:00.200',-0.048,-0.140,-,-,-,-,61.600
'14:32:00.208',-0.032,-0.140,-,-,-,-,62.400
'14:32:00.216',-0.032,-0.132,-,-,-,-,63.200
'14:32:00.224',-0.024,-0.116,-,-,-,-,64.000
'14:32:00.232',-0.016,-0.099,-,-,-,-,64.000
'14:32:00.240',-0.024,-0.099,-,-,-,-,63.200
'14:32:00.248',-0.008,-0.091,-,-,-,-,62.400
'14:32:00.256',-0.016,-0.066,-,-,-,-,60.800
'14:32:00.264',0.000,-0.058,-,-,-,-,60.000
'14:32:00.272',-0.016,-0.058,-,-,-,-,59.200
'14:32:00.280',0.000,-0.058,-,-,-,-,58.400
'14:32:00.288',-0.016,-0.041,-,-,-,-,58.400
'14:32:00.296',-0.008,-0.033,-,-,-,-,58.400
'14:32:00.304',-0.016,-0.041,-,-,-,-,57.600
'14:32:00.312',0.000,-0.025,-,-,-,-,57.600
'14:32:00.320',-0.008,-0.017,-,-,-,-,57.600
'14:32:00.328',0.000,-0.017,-,-,-,-,57.600
'14:32:00.336',0.000,-0.008,-,-,-,-,57.600
'14:32:00.344',0.008,-0.017,-,-,-,-,57.600
'14:32:00.352',0.000,-0.008,-,-,-,-,57.600
'14:32:00.360',0.016,0.000,-,-,-,-,56.800
'14:32:00.368',0.000,0.000,-,-,-,-,56.800
'14:32:00.376',0.008,0.000,-,-,-,-,56.800
'14:32:00.384',0.008,0.008,-,-,-,-,56.000
'14:32:00.392',0.024,0.000,-,-,-,-,56.000
'14:32:00.400',0.008,0.008,-,-,-,-,56.000
'14:32:00.408',0.024,0.000,-,-,-,-,56.000
'14:32:00.416',0.016,0.008,-,-,-,-,56.000
'14:32:00.424',0.008,0.008,-,-,-,-,56.000
'14:32:00.432',0.024,0.017,-,-,-,-,55.200
'14:32:00.440',0.000,0.000,-,-,-,-,55.200
'14:32:00.448',-0.008,-0.033,-,-,-,-,55.200
'14:32:00.456',-0.032,-0.091,-,-,-,-,54.400
'14:32:00.464',-0.016,-0.058,-,-,-,-,54.400
'14:32:00.472',0.000,-0.058,-,-,-,-,54.400
'14:32:00.480',0.048,-0.025,-,-,-,-,54.400
'14:32:00.488',0.064,-0.017,-,-,-,-,53.600
'14:32:00.496',0.088,-0.050,-,-,-,-,53.600
'14:32:00.504',0.120,-0.017,-,-,-,-,53.600
'14:32:00.512',0.128,-0.008,-,-,-,-,52.800
'14:32:00.520',0.120,0.017,-,-,-,-,52.800
'14:32:00.528',0.128,0.074,-,-,-,-,52.800
'14:32:00.536',0.120,0.124,-,-,-,-,52.000
'14:32:00.544',0.128,0.149,-,-,-,-,52.000
'14:32:00.552',0.136,0.165,-,-,-,-,52.000
'14:32:00.560',0.120,0.116,-,-,-,-,52.000
'14:32:00.568',0.152,0.074,-,-,-,-,52.000
'14:32:00.576',0.120,0.050,-,-,-,-,52.000
'14:32:00.584',0.136,0.066,-,-,-,-,52.000
'14:32:00.592',0.120,0.116,-,-,-,-,52.000
'14:32:00.600',0.064,0.132,-,-,-,-,52.000
'14:32:00.608',0.040,0.157,-,-,-,-,52.000
'14:32:00.616',0.000,0.157,-,-,-,-,52.800
'14:32:00.624',-0.008,0.165,-,-,-,-,54.400
'14:32:00.632',-0.024,0.182,-,-,-,-,57.600
'14:32:00.640',-0.040,0.165,-,-,-,-,62.400
'14:32:00.648',-0.032,0.165,-,-,-,-,68.800
'14:32:00.656',-0.064,0.157,-,-,-,-,74.400
'14:32:00.664',-0.056,0.165,-,-,-,-,78.400
'14:32:00.672',-0.072,0.149,-,-,-,-,80.000
'14:32:00.680',-0.072,0.132,-,-,-,-,80.000
'14:32:00.688',-0.088,0.116,-,-,-,-,80.000
'14:32:00.696',-0.072,0.099,-,-,-,-,79.200
'14:32:00.704',-0.096,0.050,-,-,-,-,77.600
'14:32:00.712',-0.088,0.041,-,-,-,-,75.200
'14:32:00.720',-0.096,0.025,-,-,-,-,72.800
'14:32:00.728',-0.088,0.008,-,-,-,-,70.400
'14:32:00.736',-0.112,-0.008,-,-,-,-,67.200
