'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'15:01:44.416',0.000,-0.074,-,-,-,-,60.000
'15:01:44.424',-0.008,-0.091,-,-,-,-,60.000
'15:01:44.432',0.000,-0.074,-,-,-,-,59.200
'15:01:44.440',-0.008,-0.066,-,-,-,-,59.200
'15:01:44.448',0.000,-0.058,-,-,-,-,58.400
'15:01:44.456',0.000,-0.050,-,-,-,-,58.400
'15:01:44.464',0.000,-0.058,-,-,-,-,57.600
'15:01:44.472',0.000,-0.041,-,-,-,-,57.600
'15:01:44.480',0.000,-0.050,-,-,-,-,56.800
'15:01:44.488',0.000,-0.033,-,-,-,-,56.800
'15:01:44.496',0.000,-0.033,-,-,-,-,56.800
'15:01:44.504',0.008,-0.025,-,-,-,-,56.800
'15:01:44.512',0.000,-0.017,-,-,-,-,56.000
'15:01:44.520',0.008,-0.017,-,-,-,-,56.000
'15:01:44.528',0.000,-0.017,-,-,-,-,56.000
'15:01:44.536',0.008,-0.008,-,-,-,-,55.200
'15:01:44.544',0.000,-0.017,-,-,-,-,55.200
'15:01:44.552',0.008,-0.008,-,-,-,-,55.200
'15:01:44.560',0.000,-0.017,-,-,-,-,55.200
'15:01:44.568',0.016,0.000,-,-,-,-,54.400
'15:01:44.576',0.000,0.017,-,-,-,-,54.400
'15:01:44.584',0.032,0.033,-,-,-,-,54.400
'15:01:44.592',0.040,0.041,-,-,-,-,54.400
'15:01:44.600',0.064,0.050,-,-,-,-,53.600
'15:01:44.608',0.088,0.074,-,-,-,-,53.600
'15:01:44.616',0.088,0.091,-,-,-,-,53.600
'15:01:44.624',0.104,0.074,-,-,-,-,53.600
'15:01:44.632',0.120,0.099,-,-,-,-,53.600
'15:01:44.640',0.136,0.124,-,-,-,-,52.800
'15:01:44.648',0.168,0.149,-,-,-,-,52.800
'15:01:44.656',0.192,0.231,-,-,-,-,52.000
'15:01:44.664',0.176,0.281,-,-,-,-,52.000
'15:01:44.672',0.152,0.289,-,-,-,-,52.000
'15:01:44.680',0.160,0.331,-,-,-,-,51.200
'15:01:44.688',0.120,0.314,-,-,-,-,51.200
'15:01:44.696',0.088,0.240,-,-,-,-,51.200
'15:01:44.704',0.040,0.215,-,-,-,-,51.200
'15:01:44.712',0.008,0.132,-,-,-,-,51.200
'15:01:44.720',-0.008,0.066,-,-,-,-,50.400
'15:01:44.728',-0.016,0.017,-,-,-,-,50.400
'15:01:44.736',-0.024,-0.008,-,-,-,-,51.200
'15:01:44.744',-0.048,-0.025,-,-,-,-,51.200
'15:01:44.752',-0.064,-0.033,-,-,-,-,52.800
'15:01:44.760',-0.072,-0.041,-,-,-,-,56.000
'15:01:44.768',-0.064,-0.058,-,-,-,-,61.600
'15:01:44.776',-0.072,-0.050,-,-,-,-,68.800
'15:01:44.784',-0.088,-0.058,-,-,-,-,75.200
'15:01:44.792',-0.088,-0.058,-,-,-,-,79.200
'15:01:44.800',-0.096,-0.066,-,-,-,-,80.800
'15:01:44.808',-0.112,-0.091,-,-,-,-,80.800
'15:01:44.816',-0.112,-0.099,-,-,-,-,80.000
'15:01:44.824',-0.128,-0.124,-,-,-,-,79.200
'15:01:44.832',-0.128,-0.116,-,-,-,-,77.600
'15:01:44.840',-0.128,-0.132,-,-,-,-,75.200
'15:01:44.848',-0.128,-0.132,-,-,-,-,72.800
'15:01:44.856',-0.128,-0.132,-,-,-,-,70.400
'15:01:44.864',-0.104,-0.140,-,-,-,-,68.000
'15:01:44.872',-0.096,-0.124,-,-,-,-,65.600
'15:01:44.880',-0.072,-0.116,-,-,-,-,63.200
'15:01:44.888',-0.072,-0.116,-,-,-,-,60.800
'15:01:44.896',-0.056,-0.116,-,-,-,-,59.200
'15:01:44.904',-0.048,-0.116,-,-,-,-,58.400
'15:01:44.912',-0.032,-0.107,-,-,-,-,59.200
'15:01:44.920',-0.024,-0.099,-,-,-,-,60.800
'15:01:44.928',-0.016,-0.091,-,-,-,-,61.600
'15:01:44.936',-0.008,-0.074,-,-,-,-,62.400
'15:01:44.944',-0.016,-0.074,-,-,-,-,61.600
'15:01:44.952',-0.008,-0.058,-,-,-,-,60.800
'15:01:44.960',-0.016,-0.066,-,-,-,-,60.000
'15:01:44.968',-0.008,-0.050,-,-,-,-,59.200
'15:01:44.976',-0.024,-0.058,-,-,-,-,58.400
'15:01:44.984',-0.008,-0.041,-,-,-,-,58.400
'15:01:44.992',-0.016,-0.025,-,-,-,-,57.600
'15:01:45.000',-0.008,-0.017,-,-,-,-,57.600
'15:01:45.008',-0.008,-0.025,-,-,-,-,56.800
'15:01:45.016',-0.008,-0.017,-,-,-,-,56.800
'15:01:45.024',0.000,-0.008,-,-,-,-,56.000
'15:01:45.032',-0.008,-0.008,-,-,-,-,56.000
'15:01:45.040',0.000,0.000,-,-,-,-,56.000
'15:01:45.048',0.000,0.000,-,-,-,-,56.000
'15:01:45.056',0.000,0.000,-,-,-,-,55.200
'15:01:45.064',0.000,0.008,-,-,-,-,55.200
'15:01:45.072',0.000,0.017,-,-,-,-,55.200
'15:01:45.080',0.000,0.008,-,-,-,-,54.400
'15:01:45.088',0.000,0.017,-,-,-,-,54.400
'15:01:45.096',0.000,0.017,-,-,-,-,54.400
'15:01:45.104',0.000,0.008,-,-,-,-,54.400
'15:01:45.112',-0.008,0.017,-,-,-,-,54.400
'15:01:45.120',0.000,0.033,-,-,-,-,53.600
'15:01:45.128',0.008,0.050,-,-,-,-,53.600
'15:01:45.136',0.024,0.058,-,-,-,-,53.600
'15:01:45.144',0.016,0.066,-,-,-,-,52.800
'15:01:45.152',0.064,0.091,-,-,-,-,52.800
'15:01:45.160',0.088,0.116,-,-,-,-,52.800
'15:01:45.168',0.088,0.124,-,-,-,-,52.800
'15:01:45.176',0.104,0.116,-,-,-,-,52.800
'15:01:45.184',0.120,0.132,-,-,-,-,52.000
'15:01:45.192',0.136,0.149,-,-,-,-,52.000
'15:01:45.200',0.176,0.190,-,-,-,-,52.000
'15:01:45.208',0.200,0.248,-,-,-,-,51.200
'15:01:45.216',0.176,0.298,-,-,-,-,51.200
'15:01:45.224',0.152,0.322,-,-,-,-,51.200
'15:01:45.232',0.160,0.347,-,-,-,-,50.400
'15:01:45.240',0.104,0.314,-,-,-,-,50.400
'15:01:45.248',0.064,0.256,-,-,-,-,50.400
'15:01:45.256',0.024,0.215,-,-,-,-,50.400
'15:01:45.264',0.000,0.157,-,-,-,-,50.400
'15:01:45.272',-0.024,0.091,-,-,-,-,50.400
'15:01:45.280',-0.032,0.041,-,-,-,-,50.400
'15:01:45.288',-0.024,0.000,-,-,-,-,50.400
'15:01:45.296',-0.056,-0.017,-,-,-,-,51.200
'15:01:45.304',-0.072,-0.017,-,-,-,-,52.800
'15:01:45.312',-0.072,-0.025,-,-,-,-,56.800
'15:01:45.320',-0.088,-0.033,-,-,-,-,62.400
'15:01:45.328',-0.088,-0.025,-,-,-,-,69.600
'15:01:45.336',-0.088,-0.033,-,-,-,-,75.200
'15:01:45.344',-0.104,-0.041,-,-,-,-,79.200
'15:01:45.352',-0.112,-0.058,-,-,-,-,80.000
'15:01:45.360',-0.128,-0.058,-,-,-,-,80.000
'15:01:45.368',-0.136,-0.091,-,-,-,-,79.200
'15:01:45.376',-0.144,-0.107,-,-,-,-,78.400
'15:01:45.384',-0.144,-0.099,-,-,-,-,76.800
'15:01:45.392',-0.144,-0.116,-,-,-,-,74.400
'15:01:45.400',-0.136,-0.124,-,-,-,-,72.000
'15:01:45.408',-0.144,-0.132,-,-,-,-,69.600
'15:01:45.416',-0.128,-0.124,-,-,-,-,67.200
'15:01:45.424',-0.104,-0.116,-,-,-,-,64.800
'15:01:45.432',-0.088,-0.124,-,-,-,-,62.400
'15:01:45.440',-0.088,-0.116,-,-,-,-,60.800
'15:01:45.448',-0.056,-0.107,-,-,-,-,59.200
'15:01:45.456',-0.048,-0.116,-,-,-,-,58.400
'15:01:45.464',-0.056,-0.107,-,-,-,-,59.200
'15:01:45.472',-0.032,-0.099,-,-,-,-,60.800
'15:01:45.480',-0.016,-0.091,-,-,-,-,61.600
'15:01:45.488',-0.024,-0.091,-,-,-,-,61.600
'15:01:45.496',-0.008,-0.066,-,-,-,-,60.800
'15:01:45.504',-0.016,-0.058,-,-,-,-,60.000
'15:01:45.512',-0.016,-0.058,-,-,-,-,59.200
'15:01:45.520',-0.008,-0.050,-,-,-,-,58.400
'15:01:45.528',-0.024,-0.058,-,-,-,-,58.400
'15:01:45.536',-0.008,-0.033,-,-,-,-,57.600
'15:01:45.544',-0.016,-0.033,-,-,-,-,56.800
