'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'23:44:04.776',-,-,-,-,-,0.226,74.400
'23:44:04.784',-,-,-,-,-,0.226,74.400
'23:44:04.792',-,-,-,-,-,0.226,75.600
'23:44:04.800',-,-,-,-,-,0.226,76.800
'23:44:04.808',-,-,-,-,-,0.290,80.400
'23:44:04.816',-,-,-,-,-,0.290,85.200
'23:44:04.824',-,-,-,-,-,0.339,90.000
'23:44:04.832',-,-,-,-,-,0.290,97.200
'23:44:04.840',-,-,-,-,-,0.403,104.400
'23:44:04.848',-,-,-,-,-,0.403,111.600
'23:44:04.856',-,-,-,-,-,0.468,120.000
'23:44:04.864',-,-,-,-,-,0.468,127.200
'23:44:04.872',-,-,-,-,-,0.468,134.400
'23:44:04.880',-,-,-,-,-,0.516,140.400
'23:44:04.888',-,-,-,-,-,0.468,145.200
'23:44:04.896',-,-,-,-,-,0.468,148.800
'23:44:04.904',-,-,-,-,-,0.403,150.000
'23:44:04.912',-,-,-,-,-,0.339,150.000
'23:44:04.920',-,-,-,-,-,0.290,148.800
'23:44:04.928',-,-,-,-,-,0.161,147.600
'23:44:04.936',-,-,-,-,-,0.113,145.200
'23:44:04.944',-,-,-,-,-,0.000,142.800
'23:44:04.952',-,-,-,-,-,0.048,140.400
'23:44:04.960',-,-,-,-,-,0.000,138.000
'23:44:04.968',-,-,-,-,-,0.000,134.400
'23:44:04.976',-,-,-,-,-,-0.048,130.800
'23:44:04.984',-,-,-,-,-,0.000,127.200
'23:44:04.992',-,-,-,-,-,0.000,123.600
'23:44:05.000',-,-,-,-,-,0.000,118.800
'23:44:05.008',-,-,-,-,-,0.000,114.000
'23:44:05.016',-,-,-,-,-,0.000,110.400
'23:44:05.024',-,-,-,-,-,0.000,105.600
'23:44:05.032',-,-,-,-,-,0.000,100.800
'23:44:05.040',-,-,-,-,-,0.000,97.200
'23:44:05.048',-,-,-,-,-,0.000,94.800
'23:44:05.056',-,-,-,-,-,0.000,92.400
'23:44:05.064',-,-,-,-,-,0.000,91.200
'23:44:05.072',-,-,-,-,-,0.000,91.200
'23:44:05.080',-,-,-,-,-,0.113,91.200
'23:44:05.088',-,-,-,-,-,0.048,91.200
'23:44:05.096',-,-,-,-,-,0.000,92.400
'23:44:05.104',-,-,-,-,-,0.000,92.400
'23:44:05.112',-,-,-,-,-,0.000,93.600
'23:44:05.120',-,-,-,-,-,-0.048,93.600
'23:44:05.128',-,-,-,-,-,-0.113,94.800
'23:44:05.136',-,-,-,-,-,0.000,94.800
'23:44:05.144',-,-,-,-,-,0.000,94.800
'23:44:05.152',-,-,-,-,-,-0.048,94.800
'23:44:05.160',-,-,-,-,-,0.000,94.800
'23:44:05.168',-,-,-,-,-,-0.048,94.800
'23:44:05.176',-,-,-,-,-,0.000,93.600
'23:44:05.184',-,-,-,-,-,-0.048,93.600
'23:44:05.192',-,-,-,-,-,0.000,92.400
'23:44:05.200',-,-,-,-,-,-0.048,92.400
'23:44:05.208',-,-,-,-,-,0.000,91.200
'23:44:05.216',-,-,-,-,-,0.000,91.200
'23:44:05.224',-,-,-,-,-,-0.645,90.000
'23:44:05.232',-,-,-,-,-,-1.403,88.800
'23:44:05.240',-,-,-,-,-,-2.161,88.800
'23:44:05.248',-,-,-,-,-,-2.161,87.600
'23:44:05.256',-,-,-,-,-,-1.516,86.400
'23:44:05.264',-,-,-,-,-,-1.161,86.400
'23:44:05.272',-,-,-,-,-,-0.645,85.200
'23:44:05.280',-,-,-,-,-,-0.113,84.000
'23:44:05.288',-,-,-,-,-,0.113,82.800
'23:44:05.296',-,-,-,-,-,0.226,81.600
'23:44:05.304',-,-,-,-,-,0.339,81.600
'23:44:05.312',-,-,-,-,-,0.226,80.400
'23:44:05.320',-,-,-,-,-,0.339,79.200
'23:44:05.328',-,-,-,-,-,0.226,79.200
'23:44:05.336',-,-,-,-,-,0.339,78.000
'23:44:05.344',-,-,-,-,-,0.339,78.000
'23:44:05.352',-,-,-,-,-,0.290,78.000
'23:44:05.360',-,-,-,-,-,0.339,78.000
'23:44:05.368',-,-,-,-,-,0.339,79.200
'23:44:05.376',-,-,-,-,-,0.339,81.600
'23:44:05.384',-,-,-,-,-,0.339,85.200
'23:44:05.392',-,-,-,-,-,0.339,90.000
'23:44:05.400',-,-,-,-,-,0.403,97.200
'23:44:05.408',-,-,-,-,-,0.339,104.400
'23:44:05.416',-,-,-,-,-,0.468,111.600
'23:44:05.424',-,-,-,-,-,0.403,120.000
'23:44:05.432',-,-,-,-,-,0.516,127.200
'23:44:05.440',-,-,-,-,-,0.581,134.400
'23:44:05.448',-,-,-,-,-,0.516,141.600
'23:44:05.456',-,-,-,-,-,0.581,146.400
'23:44:05.464',-,-,-,-,-,0.516,151.200
'23:44:05.472',-,-,-,-,-,0.468,153.600
'23:44:05.480',-,-,-,-,-,0.403,153.600
'23:44:05.488',-,-,-,-,-,0.339,153.600
'23:44:05.496',-,-,-,-,-,0.226,152.400
'23:44:05.504',-,-,-,-,-,0.161,150.000
'23:44:05.512',-,-,-,-,-,0.113,147.600
'23:44:05.520',-,-,-,-,-,0.048,145.200
'23:44:05.528',-,-,-,-,-,0.000,141.600
'23:44:05.536',-,-,-,-,-,0.000,139.200
'23:44:05.544',-,-,-,-,-,0.000,135.600
'23:44:05.552',-,-,-,-,-,0.000,132.000
'23:44:05.560',-,-,-,-,-,0.000,127.200
