'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:35:24.448',-,0.016,-,41.600,28.400
'47:35:24.456',-,0.096,-,41.600,27.600
'47:35:24.464',-,0.200,-,41.600,27.600
'47:35:24.472',-,0.344,-,40.800,27.600
'47:35:24.480',-,0.448,-,40.800,27.600
'47:35:24.488',-,0.504,-,40.000,28.000
'47:35:24.496',-,0.464,-,40.000,28.000
'47:35:24.504',-,0.320,-,39.200,28.000
'47:35:24.512',-,0.120,-,39.200,28.000
'47:35:24.520',-,-0.040,-,38.400,28.400
'47:35:24.528',-,-0.096,-,38.400,28.800
'47:35:24.536',-,-0.136,-,38.400,29.200
'47:35:24.544',-,-0.136,-,38.400,30.000
'47:35:24.552',-,-0.136,-,38.400,30.400
'47:35:24.560',-,-0.120,-,38.400,30.800
'47:35:24.568',-,-0.120,-,38.400,31.200
'47:35:24.576',-,-0.120,-,40.000,31.200
'47:35:24.584',-,-0.096,-,41.600,30.800
'47:35:24.592',-,-0.096,-,45.600,30.000
'47:35:24.600',-,-0.096,-,52.000,29.600
'47:35:24.608',-,-0.096,-,60.800,29.600
'47:35:24.616',-,-0.096,-,72.000,30.000
'47:35:24.624',-,-0.120,-,84.000,31.600
'47:35:24.632',-,-0.120,-,95.200,33.600
'47:35:24.640',-,-0.120,-,103.200,36.800
'47:35:24.648',-,-0.136,-,109.600,40.400
'47:35:24.656',-,-0.136,-,114.400,44.400
'47:35:24.664',-,-0.160,-,116.800,48.400
'47:35:24.672',-,-0.176,-,118.400,52.000
'47:35:24.680',-,-0.176,-,118.400,54.800
'47:35:24.688',-,-0.176,-,116.800,57.200
'47:35:24.696',-,-0.176,-,114.400,59.200
'47:35:24.704',-,-0.176,-,112.000,60.000
'47:35:24.712',-,-0.160,-,108.800,60.400
'47:35:24.720',-,-0.136,-,105.600,60.000
'47:35:24.728',-,-0.096,-,101.600,59.200
'47:35:24.736',-,-0.080,-,97.600,58.000
'47:35:24.744',-,-0.040,-,93.600,56.400
'47:35:24.752',-,-0.040,-,89.600,54.400
'47:35:24.760',-,-0.016,-,84.800,51.600
'47:35:24.768',-,0.000,-,80.000,48.800
'47:35:24.776',-,0.000,-,75.200,46.000
'47:35:24.784',-,0.016,-,70.400,43.200
'47:35:24.792',-,0.040,-,65.600,40.400
'47:35:24.800',-,0.040,-,61.600,38.400
'47:35:24.808',-,0.056,-,56.800,36.400
'47:35:24.816',-,0.040,-,53.600,34.800
'47:35:24.824',-,0.040,-,49.600,33.600
'47:35:24.832',-,0.016,-,47.200,32.800
'47:35:24.840',-,0.016,-,44.800,32.000
'47:35:24.848',-,0.016,-,43.200,31.200
'47:35:24.856',-,0.016,-,41.600,31.200
'47:35:24.864',-,0.016,-,40.800,31.200
'47:35:24.872',-,0.016,-,40.800,31.600
'47:35:24.880',-,0.000,-,40.800,32.400
'47:35:24.888',-,0.000,-,40.800,33.200
'47:35:24.896',-,0.000,-,40.800,33.200
'47:35:24.904',-,0.000,-,40.800,33.200
'47:35:24.912',-,0.000,-,40.800,33.200
'47:35:24.920',-,0.000,-,40.800,32.800
'47:35:24.928',-,0.000,-,41.600,32.400
'47:35:24.936',-,0.000,-,41.600,31.600
'47:35:24.944',-,0.000,-,41.600,31.200
'47:35:24.952',-,0.000,-,41.600,30.800
'47:35:24.960',-,0.000,-,41.600,30.000
'47:35:24.968',-,0.000,-,41.600,29.600
'47:35:24.976',-,0.040,-,41.600,29.200
'47:35:24.984',-,0.136,-,40.800,29.200
'47:35:24.992',-,0.264,-,40.800,29.200
'47:35:25.000',-,0.384,-,40.000,29.200
'47:35:25.008',-,0.488,-,40.000,29.200
'47:35:25.016',-,0.488,-,40.000,29.200
'47:35:25.024',-,0.384,-,39.200,29.200
'47:35:25.032',-,0.176,-,39.200,29.200
'47:35:25.040',-,-0.016,-,38.400,29.600
'47:35:25.048',-,-0.120,-,38.400,30.000
'47:35:25.056',-,-0.160,-,38.400,30.400
'47:35:25.064',-,-0.176,-,38.400,31.200
'47:35:25.072',-,-0.176,-,38.400,32.000
'47:35:25.080',-,-0.160,-,38.400,32.800
'47:35:25.088',-,-0.160,-,38.400,33.200
'47:35:25.096',-,-0.136,-,39.200,33.600
'47:35:25.104',-,-0.120,-,40.800,33.600
'47:35:25.112',-,-0.120,-,43.200,33.600
'47:35:25.120',-,-0.120,-,48.800,34.000
'47:35:25.128',-,-0.120,-,56.800,34.800
