'Elapsed time','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'49:30.256',-0.029,-0.425,-,67.080
'49:30.264',0.057,-0.414,-,67.080
'49:30.272',0.286,-0.402,-,67.080
'49:30.280',0.371,-0.402,-,66.040
'49:30.288',0.457,-0.391,-,66.040
'49:30.296',0.171,-0.391,-,66.040
'49:30.304',-0.371,-0.379,-,65.520
'49:30.312',-0.800,-0.379,-,65.520
'49:30.320',-0.514,-0.368,-,65.520
'49:30.328',-0.200,-0.368,-,64.480
'49:30.336',-0.057,-0.356,-,64.480
'49:30.344',-0.029,-0.356,-,64.480
'49:30.352',-0.029,-0.356,-,63.960
'49:30.360',0.000,-0.345,-,63.960
'49:30.368',0.000,-0.345,-,62.920
'49:30.376',0.000,-0.345,-,62.920
'49:30.384',0.000,-0.345,-,62.920
'49:30.392',0.000,-0.333,-,62.400
'49:30.400',0.000,-0.333,-,62.400
'49:30.408',0.000,-0.333,-,62.400
'49:30.416',0.000,-0.333,-,61.360
'49:30.424',0.000,-0.333,-,61.360
'49:30.432',0.000,-0.322,-,61.360
'49:30.440',0.000,-0.333,-,61.360
'49:30.448',0.000,-0.333,-,62.400
'49:30.456',0.000,-0.333,-,62.920
'49:30.464',0.000,-0.333,-,64.480
'49:30.472',0.000,-0.322,-,67.600
'49:30.480',0.029,-0.322,-,71.760
'49:30.488',0.000,-0.322,-,76.440
'49:30.496',0.000,-0.322,-,82.160
'49:30.504',0.029,-0.322,-,88.400
'49:30.512',0.000,-0.322,-,95.680
'49:30.520',0.000,-0.322,-,101.920
'49:30.528',0.000,-0.322,-,108.680
'49:30.536',0.000,-0.322,-,114.400
'49:30.544',0.000,-0.322,-,119.080
'49:30.552',0.000,-0.322,-,122.720
'49:30.560',0.000,-0.322,-,125.320
'49:30.568',0.000,-0.322,-,127.920
'49:30.576',0.000,-0.322,-,128.440
'49:30.584',0.000,-0.322,-,128.440
'49:30.592',-0.029,-0.322,-,128.440
'49:30.600',0.000,-0.322,-,127.920
'49:30.608',0.000,-0.322,-,126.360
'49:30.616',0.000,-0.322,-,123.760
'49:30.624',0.000,-0.310,-,121.160
'49:30.632',0.000,-0.310,-,118.040
'49:30.640',0.000,-0.310,-,114.920
'49:30.648',0.000,-0.310,-,110.760
'49:30.656',0.000,-0.310,-,107.120
'49:30.664',0.000,-0.310,-,102.960
'49:30.672',0.000,-0.310,-,98.800
'49:30.680',0.000,-0.310,-,95.160
'49:30.688',0.000,-0.310,-,91.000
'49:30.696',0.000,-0.310,-,88.400
'49:30.704',0.000,-0.310,-,86.320
'49:30.712',0.000,-0.299,-,85.280
'49:30.720',0.000,-0.299,-,84.760
'49:30.728',0.000,-0.299,-,83.720
'49:30.736',0.000,-0.299,-,83.720
'49:30.744',0.000,-0.299,-,84.760
'49:30.752',0.029,-0.310,-,85.280
'49:30.760',0.000,-0.310,-,85.280
'49:30.768',0.029,-0.310,-,86.320
'49:30.776',0.000,-0.310,-,86.320
'49:30.784',0.000,-0.322,-,86.320
'49:30.792',0.000,-0.322,-,86.320
'49:30.800',0.000,-0.322,-,86.320
'49:30.808',0.000,-0.333,-,86.320
'49:30.816',0.000,-0.333,-,86.320
'49:30.824',0.000,-0.333,-,85.280
'49:30.832',0.000,-0.345,-,84.760
'49:30.840',0.000,-0.345,-,84.760
'49:30.848',0.000,-0.356,-,83.720
'49:30.856',0.000,-0.356,-,83.200
'49:30.864',0.000,-0.356,-,82.160
'49:30.872',0.000,-0.356,-,81.120
'49:30.880',0.057,-0.368,-,80.600
'49:30.888',0.057,-0.368,-,79.560
'49:30.896',0.057,-0.368,-,79.040
'49:30.904',0.057,-0.368,-,78.000
'49:30.912',0.029,-0.379,-,77.480
'49:30.920',0.000,-0.379,-,76.440
'49:30.928',0.000,-0.379,-,75.920
'49:30.936',0.029,-0.391,-,75.920
'49:30.944',0.029,-0.391,-,74.880
'49:30.952',0.029,-0.402,-,74.360
'49:30.960',0.000,-0.402,-,74.360
'49:30.968',0.000,-0.414,-,73.320
'49:30.976',-0.057,-0.414,-,72.800
'49:30.984',-0.029,-0.414,-,72.800
'49:30.992',-0.057,-0.425,-,72.800
'49:31.000',-0.057,-0.425,-,71.760
'49:31.008',-0.029,-0.425,-,71.760
'49:31.016',-0.057,-0.437,-,71.760
'49:31.024',-0.057,-0.437,-,70.720
'49:31.032',-0.057,-0.437,-,70.720
'49:31.040',-0.057,-0.437,-,70.720
'49:31.048',-0.057,-0.448,-,70.720
'49:31.056',-0.029,-0.448,-,70.200
'49:31.064',0.114,-0.448,-,70.200
'49:31.072',0.314,-0.460,-,70.200
'49:31.080',0.371,-0.460,-,69.160
'49:31.088',0.457,-0.460,-,69.160
'49:31.096',-0.057,-0.471,-,69.160
'49:31.104',-0.571,-0.471,-,68.640
'49:31.112',-0.800,-0.471,-,68.640
'49:31.120',-0.343,-0.483,-,67.600
'49:31.128',-0.114,-0.483,-,67.600
'49:31.136',-0.057,-0.494,-,67.600
'49:31.144',-0.029,-0.494,-,67.080
'49:31.152',0.000,-0.506,-,67.080
'49:31.160',-0.029,-0.506,-,66.040
'49:31.168',0.000,-0.517,-,66.040
'49:31.176',0.000,-0.517,-,65.520
'49:31.184',0.000,-0.529,-,65.520
'49:31.192',0.000,-0.529,-,65.520
'49:31.200',0.000,-0.540,-,64.480
'49:31.208',0.000,-0.552,-,64.480
'49:31.216',0.029,-0.552,-,64.480
'49:31.224',0.000,-0.563,-,64.480
'49:31.232',0.000,-0.575,-,64.480
'49:31.240',0.000,-0.575,-,64.480
'49:31.248',0.000,-0.586,-,64.480
'49:31.256',0.000,-0.598,-,65.520
'49:31.264',0.000,-0.609,-,67.600
'49:31.272',0.029,-0.609,-,70.200
'49:31.280',0.000,-0.621,-,74.360
'49:31.288',0.000,-0.632,-,79.560
'49:31.296',0.000,-0.632,-,85.280
'49:31.304',0.000,-0.644,-,91.000
'49:31.312',0.000,-0.644,-,97.240
'49:31.320',0.029,-0.655,-,104.000
'49:31.328',0.000,-0.655,-,110.240
'49:31.336',0.000,-0.667,-,114.920
'49:31.344',0.000,-0.667,-,119.600
'49:31.352',0.000,-0.678,-,122.720
'49:31.360',0.000,-0.678,-,125.320
'49:31.368',0.000,-0.690,-,126.880
'49:31.376',0.000,-0.690,-,127.920
'49:31.384',0.000,-0.690,-,128.440
'49:31.392',0.000,-0.701,-,127.920
'49:31.400',0.000,-0.701,-,126.360
'49:31.408',0.000,-0.701,-,124.800
'49:31.416',0.000,-0.713,-,122.720
'49:31.424',0.000,-0.713,-,119.600
'49:31.432',0.000,-0.713,-,116.480
'49:31.440',0.000,-0.713,-,113.360
'49:31.448',0.000,-0.713,-,109.200
'49:31.456',0.000,-0.713,-,105.560
'49:31.464',0.000,-0.713,-,101.400
'49:31.472',-0.029,-0.713,-,97.240
'49:31.480',-0.029,-0.713,-,93.600
'49:31.488',-0.029,-0.724,-,89.960
'49:31.496',0.000,-0.724,-,87.880
'49:31.504',0.000,-0.724,-,86.320
'49:31.512',0.000,-0.724,-,84.760
'49:31.520',0.029,-0.724,-,83.720
'49:31.528',0.086,-0.724,-,83.720
'49:31.536',0.171,-0.724,-,84.760
'49:31.544',0.229,-0.736,-,84.760
'49:31.552',0.343,-0.736,-,85.280
'49:31.560',0.457,-0.736,-,85.280
'49:31.568',0.629,-0.747,-,86.320
'49:31.576',0.800,-0.747,-,86.320
'49:31.584',1.000,-0.759,-,86.320
'49:31.592',1.229,-0.759,-,86.320
'49:31.600',1.543,-0.759,-,86.320
'49:31.608',1.771,-0.759,-,86.320
'49:31.616',2.029,-0.770,-,85.280
'49:31.624',2.171,-0.770,-,85.280
'49:31.632',2.229,-0.770,-,84.760
'49:31.640',1.629,-0.770,-,83.720
'49:31.648',1.086,-0.782,-,83.200
'49:31.656',0.571,-0.782,-,83.200
'49:31.664',0.057,-0.782,-,82.160
'49:31.672',-0.429,-0.782,-,81.120
'49:31.680',-0.657,-0.782,-,80.600
'49:31.688',-0.657,-0.782,-,79.560
'49:31.696',-0.600,-0.782,-,79.040
'49:31.704',-0.571,-0.782,-,78.000
'49:31.712',-0.571,-0.793,-,77.480
'49:31.720',-0.543,-0.793,-,77.480
'49:31.728',-0.543,-0.793,-,76.440
'49:31.736',-0.571,-0.793,-,75.920
'49:31.744',-0.600,-0.793,-,74.880
'49:31.752',-0.600,-0.793,-,74.880
'49:31.760',-0.571,-0.782,-,74.360
'49:31.768',-0.571,-0.782,-,73.320
'49:31.776',-0.629,-0.782,-,73.320
'49:31.784',-0.686,-0.782,-,72.800
'49:31.792',-0.714,-0.782,-,72.800
'49:31.800',-0.743,-0.782,-,72.800
'49:31.808',-0.771,-0.782,-,72.800
'49:31.816',-0.829,-0.782,-,73.320
'49:31.824',-0.829,-0.782,-,74.880
'49:31.832',-0.886,-0.793,-,76.440
'49:31.840',-0.886,-0.793,-,79.040
'49:31.848',-0.914,-0.793,-,81.120
'49:31.856',-0.943,-0.805,-,84.760
'49:31.864',-0.943,-0.805,-,88.400
'49:31.872',-0.971,-0.805,-,91.520
'49:31.880',-0.943,-0.816,-,94.120
'49:31.888',-0.914,-0.816,-,96.720
'49:31.896',-0.886,-0.816,-,98.800
'49:31.904',-0.829,-0.828,-,99.840
'49:31.912',-0.771,-0.828,-,100.360
'49:31.920',-0.686,-0.828,-,99.840
'49:31.928',-0.600,-0.839,-,98.800
'49:31.936',-0.543,-0.839,-,97.240
'49:31.944',-0.457,-0.839,-,95.160
'49:31.952',-0.371,-0.851,-,92.560
'49:31.960',-0.286,-0.851,-,89.440
'49:31.968',-0.200,-0.851,-,86.320
'49:31.976',-0.143,-0.851,-,83.200
'49:31.984',-0.057,-0.851,-,79.560
'49:31.992',-0.029,-0.851,-,77.480
'49:32.000',0.000,-0.851,-,74.880
'49:32.008',0.000,-0.851,-,73.320
'49:32.016',0.057,-0.851,-,72.800
'49:32.024',0.057,-0.851,-,71.760
'49:32.032',0.057,-0.851,-,70.720
'49:32.040',0.086,-0.851,-,70.720
'49:32.048',0.114,-0.851,-,70.720
'49:32.056',0.114,-0.839,-,70.720
'49:32.064',0.171,-0.839,-,70.720
'49:32.072',0.257,-0.839,-,70.720
'49:32.080',0.371,-0.839,-,70.720
'49:32.088',0.429,-0.839,-,71.760
'49:32.096',0.543,-0.839,-,71.760
'49:32.104',0.743,-0.851,-,71.760
'49:32.112',0.800,-0.851,-,71.760
'49:32.120',0.286,-0.851,-,71.760
'49:32.128',-0.771,-0.851,-,71.760
'49:32.136',-1.257,-0.851,-,71.760
'49:32.144',-1.429,-0.851,-,71.760
'49:32.152',-1.343,-0.862,-,71.760
'49:32.160',-1.114,-0.862,-,71.760
'49:32.168',-0.743,-0.862,-,71.760
'49:32.176',-0.457,-0.862,-,70.720
'49:32.184',-0.286,-0.862,-,70.720
'49:32.192',-0.057,-0.862,-,70.200
'49:32.200',0.057,-0.862,-,70.200
'49:32.208',0.171,-0.862,-,69.160
'49:32.216',0.229,-0.862,-,69.160
'49:32.224',0.229,-0.851,-,68.640
'49:32.232',0.229,-0.851,-,67.600
'49:32.240',0.229,-0.851,-,67.600
'49:32.248',0.229,-0.851,-,67.080
'49:32.256',0.200,-0.839,-,66.040
'49:32.264',0.229,-0.839,-,66.040
'49:32.272',0.200,-0.839,-,66.040
'49:32.280',0.200,-0.828,-,65.520
'49:32.288',0.200,-0.828,-,65.520
'49:32.296',0.229,-0.828,-,65.520
'49:32.304',0.200,-0.816,-,65.520
'49:32.312',0.200,-0.816,-,65.520
'49:32.320',0.229,-0.816,-,65.520
'49:32.328',0.229,-0.816,-,67.080
'49:32.336',0.229,-0.816,-,68.640
'49:32.344',0.229,-0.816,-,70.720
