'Elapsed time','II','AVL','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'5:36:41.064',0.296,-,-1.928,-,51.200,-
'5:36:41.072',0.296,-,-1.888,-,52.800,-
'5:36:41.080',0.296,-,-1.864,-,53.600,-
'5:36:41.088',0.296,-,-1.824,-,54.400,-
'5:36:41.096',0.288,-,-1.776,-,55.200,-
'5:36:41.104',0.256,-,-1.736,-,56.000,-
'5:36:41.112',0.232,-,-1.688,-,56.800,-
'5:36:41.120',0.208,-,-1.672,-,56.800,-
'5:36:41.128',0.184,-,-1.624,-,56.800,-
'5:36:41.136',0.152,-,-1.584,-,56.000,-
'5:36:41.144',0.128,-,-1.536,-,55.200,-
'5:36:41.152',0.104,-,-1.520,-,54.400,-
'5:36:41.160',0.064,-,-1.472,-,53.600,-
'5:36:41.168',0.048,-,-1.432,-,52.000,-
'5:36:41.176',0.032,-,-1.384,-,51.200,-
'5:36:41.184',0.024,-,-1.344,-,49.600,-
'5:36:41.192',0.008,-,-1.304,-,48.000,-
'5:36:41.200',0.000,-,-1.256,-,46.400,-
'5:36:41.208',0.000,-,-1.216,-,45.600,-
'5:36:41.216',-0.008,-,-1.168,-,44.800,-
'5:36:41.224',-0.032,-,-1.128,-,44.000,-
'5:36:41.232',-0.048,-,-1.104,-,43.200,-
'5:36:41.240',-0.064,-,-1.064,-,43.200,-
'5:36:41.248',-0.064,-,-1.040,-,42.400,-
'5:36:41.256',-0.072,-,-1.000,-,41.600,-
'5:36:41.264',-0.072,-,-0.976,-,40.800,-
'5:36:41.272',-0.064,-,-0.952,-,40.800,-
'5:36:41.280',-0.048,-,-0.912,-,40.000,-
'5:36:41.288',-0.048,-,-0.888,-,40.000,-
'5:36:41.296',-0.048,-,-0.840,-,40.000,-
'5:36:41.304',-0.048,-,-0.824,-,39.200,-
'5:36:41.312',-0.032,-,-0.776,-,39.200,-
'5:36:41.320',-0.048,-,-0.736,-,39.200,-
'5:36:41.328',-0.048,-,-0.712,-,39.200,-
'5:36:41.336',-0.048,-,-0.672,-,39.200,-
'5:36:41.344',-0.048,-,-0.648,-,39.200,-
'5:36:41.352',-0.048,-,-0.608,-,39.200,-
'5:36:41.360',-0.048,-,-0.560,-,39.200,-
'5:36:41.368',-0.048,-,-0.520,-,39.200,-
'5:36:41.376',-0.048,-,-0.496,-,39.200,-
'5:36:41.384',-0.048,-,-0.456,-,39.200,-
'5:36:41.392',-0.048,-,-0.408,-,39.200,-
'5:36:41.400',-0.032,-,-0.368,-,38.400,-
'5:36:41.408',-0.032,-,-0.320,-,38.400,-
'5:36:41.416',-0.024,-,-0.280,-,38.400,-
'5:36:41.424',-0.024,-,-0.232,-,38.400,-
'5:36:41.432',-0.024,-,-0.192,-,38.400,-
'5:36:41.440',-0.024,-,-0.152,-,37.600,-
'5:36:41.448',-0.024,-,-0.104,-,37.600,-
'5:36:41.456',-0.024,-,-0.080,-,37.600,-
'5:36:41.464',0.000,-,-0.040,-,37.600,-
'5:36:41.472',0.008,-,0.000,-,37.600,-
'5:36:41.480',0.032,-,0.016,-,36.800,-
'5:36:41.488',0.048,-,0.064,-,36.800,-
'5:36:41.496',0.048,-,0.104,-,36.800,-
'5:36:41.504',-0.048,-,0.128,-,36.800,-
'5:36:41.512',-0.232,-,0.152,-,36.000,-
'5:36:41.520',-0.392,-,0.192,-,36.000,-
'5:36:41.528',-0.432,-,0.216,-,36.000,-
'5:36:41.536',-0.416,-,0.232,-,36.000,-
'5:36:41.544',-0.352,-,0.256,-,36.000,-
'5:36:41.552',-0.248,-,0.280,-,35.200,-
'5:36:41.560',-0.144,-,0.304,-,35.200,-
'5:36:41.568',-0.064,-,0.320,-,35.200,-
'5:36:41.576',-0.024,-,0.344,-,35.200,-
'5:36:41.584',0.008,-,0.344,-,35.200,-
'5:36:41.592',0.024,-,0.368,-,35.200,-
'5:36:41.600',0.032,-,0.384,-,34.400,-
'5:36:41.608',0.032,-,0.408,-,34.400,-
'5:36:41.616',0.032,-,0.432,-,34.400,-
'5:36:41.624',0.032,-,0.456,-,34.400,-
'5:36:41.632',0.032,-,0.456,-,34.400,-
'5:36:41.640',0.032,-,0.472,-,34.400,-
'5:36:41.648',0.032,-,0.472,-,35.200,-
'5:36:41.656',0.048,-,0.496,-,36.000,-
'5:36:41.664',0.048,-,0.496,-,38.400,-
'5:36:41.672',0.064,-,0.496,-,41.600,-
'5:36:41.680',0.064,-,0.520,-,46.400,-
'5:36:41.688',0.064,-,0.536,-,50.400,-
'5:36:41.696',0.072,-,0.536,-,53.600,-
'5:36:41.704',0.072,-,0.560,-,56.000,-
'5:36:41.712',0.072,-,0.584,-,57.600,-
'5:36:41.720',0.072,-,0.584,-,60.000,-
'5:36:41.728',0.072,-,0.608,-,61.600,-
'5:36:41.736',0.072,-,0.624,-,63.200,-
'5:36:41.744',0.072,-,0.648,-,64.800,-
'5:36:41.752',0.064,-,0.648,-,65.600,-
'5:36:41.760',0.032,-,0.672,-,66.400,-
'5:36:41.768',0.032,-,0.672,-,67.200,-
'5:36:41.776',0.024,-,0.688,-,66.400,-
'5:36:41.784',0.000,-,0.688,-,66.400,-
'5:36:41.792',0.000,-,0.688,-,64.800,-
'5:36:41.800',0.000,-,0.688,-,64.000,-
'5:36:41.808',0.000,-,0.688,-,62.400,-
'5:36:41.816',0.000,-,0.688,-,60.800,-
'5:36:41.824',0.000,-,0.688,-,58.400,-
'5:36:41.832',0.000,-,0.688,-,56.800,-
'5:36:41.840',0.000,-,0.688,-,54.400,-
'5:36:41.848',0.000,-,0.688,-,52.800,-
'5:36:41.856',0.000,-,0.672,-,51.200,-
'5:36:41.864',0.000,-,0.672,-,49.600,-
'5:36:41.872',0.000,-,0.672,-,48.800,-
'5:36:41.880',0.000,-,0.672,-,48.800,-
'5:36:41.888',0.000,-,0.672,-,48.000,-
'5:36:41.896',0.000,-,0.672,-,47.200,-
'5:36:41.904',-0.008,-,0.672,-,46.400,-
'5:36:41.912',-0.008,-,0.672,-,46.400,-
'5:36:41.920',0.000,-,0.672,-,45.600,-
'5:36:41.928',0.000,-,0.672,-,45.600,-
'5:36:41.936',0.000,-,0.672,-,44.800,-
'5:36:41.944',0.000,-,0.672,-,44.800,-
'5:36:41.952',0.000,-,0.672,-,44.800,-
'5:36:41.960',0.000,-,0.672,-,44.800,-
'5:36:41.968',0.000,-,0.672,-,44.800,-
'5:36:41.976',0.008,-,0.648,-,44.800,-
'5:36:41.984',0.008,-,0.648,-,44.800,-
'5:36:41.992',0.024,-,0.648,-,44.800,-
'5:36:42.000',0.032,-,0.648,-,44.800,-
'5:36:42.008',0.064,-,0.624,-,44.800,-
'5:36:42.016',0.072,-,0.608,-,44.800,-
'5:36:42.024',0.072,-,0.608,-,44.000,-
'5:36:42.032',0.048,-,0.584,-,44.000,-
'5:36:42.040',-0.088,-,0.560,-,44.000,-
'5:36:42.048',-0.248,-,0.536,-,44.000,-
'5:36:42.056',-0.336,-,0.520,-,44.000,-
'5:36:42.064',-0.336,-,0.520,-,44.000,-
'5:36:42.072',-0.312,-,0.496,-,43.200,-
'5:36:42.080',-0.232,-,0.472,-,43.200,-
'5:36:42.088',-0.144,-,0.456,-,43.200,-
'5:36:42.096',-0.048,-,0.456,-,43.200,-
'5:36:42.104',0.000,-,0.432,-,43.200,-
'5:36:42.112',0.024,-,0.408,-,42.400,-
