'Elapsed time','I','II','III','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg'
'14:26:48.416',-0.008,-0.107,-,-,-,-,63.200
'14:26:48.424',0.000,-0.099,-,-,-,-,61.600
'14:26:48.432',0.000,-0.099,-,-,-,-,60.800
'14:26:48.440',0.000,-0.091,-,-,-,-,60.000
'14:26:48.448',-0.008,-0.074,-,-,-,-,60.000
'14:26:48.456',0.000,-0.058,-,-,-,-,59.200
'14:26:48.464',0.000,-0.058,-,-,-,-,59.200
'14:26:48.472',0.000,-0.050,-,-,-,-,58.400
'14:26:48.480',-0.008,-0.041,-,-,-,-,58.400
'14:26:48.488',0.000,-0.033,-,-,-,-,58.400
'14:26:48.496',0.000,-0.033,-,-,-,-,57.600
'14:26:48.504',0.008,-0.025,-,-,-,-,57.600
'14:26:48.512',0.000,-0.017,-,-,-,-,57.600
'14:26:48.520',0.016,-0.017,-,-,-,-,57.600
'14:26:48.528',0.000,-0.017,-,-,-,-,56.800
'14:26:48.536',0.016,-0.017,-,-,-,-,56.800
'14:26:48.544',0.000,-0.017,-,-,-,-,56.800
'14:26:48.552',0.016,-0.008,-,-,-,-,56.800
'14:26:48.560',0.008,-0.017,-,-,-,-,56.800
'14:26:48.568',0.016,0.000,-,-,-,-,56.000
'14:26:48.576',0.008,0.008,-,-,-,-,56.000
'14:26:48.584',0.032,0.025,-,-,-,-,56.000
'14:26:48.592',0.040,0.033,-,-,-,-,56.000
'14:26:48.600',0.064,0.041,-,-,-,-,55.200
'14:26:48.608',0.088,0.058,-,-,-,-,55.200
'14:26:48.616',0.104,0.091,-,-,-,-,55.200
'14:26:48.624',0.104,0.066,-,-,-,-,55.200
'14:26:48.632',0.120,0.091,-,-,-,-,55.200
'14:26:48.640',0.136,0.116,-,-,-,-,54.400
'14:26:48.648',0.160,0.140,-,-,-,-,54.400
'14:26:48.656',0.192,0.198,-,-,-,-,54.400
'14:26:48.664',0.200,0.256,-,-,-,-,53.600
'14:26:48.672',0.160,0.289,-,-,-,-,53.600
'14:26:48.680',0.152,0.314,-,-,-,-,53.600
'14:26:48.688',0.160,0.322,-,-,-,-,52.800
'14:26:48.696',0.088,0.240,-,-,-,-,52.800
'14:26:48.704',0.056,0.198,-,-,-,-,52.800
'14:26:48.712',0.016,0.140,-,-,-,-,52.800
'14:26:48.720',0.000,0.074,-,-,-,-,52.800
